<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABIG.US,5,20250829,182500,30.93,30.93,30.93,30.93,100,0
ABIG.US,5,20250902,155000,30.64,30.64,30.64,30.64,100,0
ABIG.US,5,20250902,211000,30.66,30.66,30.66,30.66,5140,0
ABIG.US,5,20250902,212500,30.69,30.69,30.6899,30.6899,376,0
ABIG.US,5,20250903,160000,30.85,30.85,30.85,30.85,100,0
ABIG.US,5,20250903,182500,30.87,30.87,30.87,30.87,3049,0
ABIG.US,5,20250903,210500,30.76,30.76,30.76,30.76,1605,0
ABIG.US,5,20250903,212000,30.76,30.76,30.76,30.76,100,0
ABIG.US,5,20250904,160000,30.92,30.92,30.92,30.92,100,0
ABIG.US,5,20250904,212000,31.14,31.14,31.14,31.14,4926,0
ABIG.US,5,20250905,155500,31.32,31.32,31.32,31.32,100,0
ABIG.US,5,20250905,161000,31.28,31.28,31.2799,31.2799,2874,0
ABIG.US,5,20250905,210000,31.06,31.11,31.06,31.11,320,0
ABIG.US,5,20250908,175000,31.32,31.32,31.32,31.32,100,0
ABIG.US,5,20250908,214000,31.34,31.34,31.315,31.315,1700,0
ABIG.US,5,20250908,215500,31.37,31.37,31.37,31.37,100,0
ABIG.US,5,20250909,203500,31.29,31.29,31.29,31.29,100,0
ABIG.US,5,20250909,204000,31.3,31.3,31.3,31.3,100,0
ABIG.US,5,20250909,205000,31.31,31.31,31.31,31.31,200,0
ABIG.US,5,20250909,205500,31.31,31.31,31.31,31.31,100,0
ABIG.US,5,20250911,163000,31.41,31.41,31.41,31.41,151,0
ABIG.US,5,20250912,165500,31.42,31.4201,31.42,31.4201,3502,0
ABIG.US,5,20250915,184500,31.54,31.54,31.5399,31.5399,22970,0
ABIG.US,5,20250915,192000,31.51,31.51,31.51,31.51,100,0
ABIG.US,5,20250916,213500,31.55,31.55,31.55,31.55,100,0
