<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHPS.US,5,20250902,193000,33.77,33.77,33.77,33.77,100,0
CHPS.US,5,20250902,203500,33.77,33.77,33.77,33.77,100,0
CHPS.US,5,20250904,164500,34.12,34.12,34.12,34.12,100,0
CHPS.US,5,20250905,153000,35.23,35.23,35.23,35.23,165,0
CHPS.US,5,20250905,194000,35,35,35,35,463,0
CHPS.US,5,20250905,202500,34.96,34.96,34.95,34.9573,2000,0
CHPS.US,5,20250905,203000,35.0378,35.0378,35.0378,35.0378,571,0
CHPS.US,5,20250905,210000,35,35,35,35,700,0
CHPS.US,5,20250908,163000,35.5672,35.5672,35.5672,35.5672,565,0
CHPS.US,5,20250908,163500,35.6299,35.6299,35.6299,35.6299,565,0
CHPS.US,5,20250909,155500,35.58,35.58,35.58,35.58,200,0
CHPS.US,5,20250909,180500,35.79,35.79,35.79,35.79,100,0
CHPS.US,5,20250909,214500,35.6656,35.6656,35.6656,35.6656,300,0
CHPS.US,5,20250910,155500,36.22,36.2201,36.22,36.2201,400,0
CHPS.US,5,20250910,211000,36.2652,36.2652,36.2652,36.2652,110,0
CHPS.US,5,20250911,160000,36.79,36.79,36.79,36.79,700,0
CHPS.US,5,20250912,212500,37.1229,37.1229,37.1229,37.1229,491,0
CHPS.US,5,20250912,214000,37.12,37.12,37.12,37.12,100,0
CHPS.US,5,20250915,153000,37.17,37.17,37.17,37.17,147,0
CHPS.US,5,20250915,174500,37.53,37.54,37.53,37.54,500,0
CHPS.US,5,20250915,181500,37.53,37.53,37.53,37.53,100,0
CHPS.US,5,20250915,185000,37.49,37.49,37.49,37.49,100,0
CHPS.US,5,20250915,210000,37.4721,37.4721,37.4721,37.4721,124,0
CHPS.US,5,20250916,154500,37.92,37.92,37.92,37.92,150,0
CHPS.US,5,20250916,155000,37.95,37.95,37.95,37.95,200,0
CHPS.US,5,20250916,155500,37.94,37.94,37.94,37.94,707,0
CHPS.US,5,20250916,171500,37.7483,37.7483,37.7483,37.7483,100,0
CHPS.US,5,20250916,175500,37.67,37.67,37.67,37.67,100,0
CHPS.US,5,20250916,183000,37.68,37.68,37.68,37.68,100,0
CHPS.US,5,20250916,194500,37.9099,37.91,37.9099,37.91,200,0
CHPS.US,5,20250917,154500,37.958,37.958,37.958,37.958,1000,0
CHPS.US,5,20250917,180500,37.9501,37.9501,37.9501,37.9501,540,0
CHPS.US,5,20250917,200500,37.995,37.995,37.995,37.995,100,0
CHPS.US,5,20250917,204000,37.95,37.95,37.95,37.95,109,0
CHPS.US,5,20250918,153000,39.02,39.28,39.02,39.2799,1123,0
CHPS.US,5,20250918,163000,39.68,39.68,39.68,39.68,100,0
CHPS.US,5,20250918,174000,39.65,39.65,39.65,39.65,200,0
CHPS.US,5,20250918,174500,39.6599,39.66,39.6599,39.66,200,0
CHPS.US,5,20250918,210000,39.6035,39.6035,39.6035,39.6035,152,0
CHPS.US,5,20250919,153000,39.48,39.48,39.16,39.16,336,0
CHPS.US,5,20250919,155500,39.0594,39.0594,39.0594,39.0594,152,0
CHPS.US,5,20250919,172000,39.11,39.11,39.1099,39.1099,400,0
CHPS.US,5,20250919,190500,39.065,39.065,39.065,39.065,100,0
CHPS.US,5,20250922,173000,39.45,39.45,39.45,39.45,100,0
CHPS.US,5,20250923,155000,40.11,40.11,40.1099,40.1099,400,0
CHPS.US,5,20250923,172500,40.095,40.095,40.095,40.095,125,0
CHPS.US,5,20250923,194000,39.63,39.655965,39.63,39.655965,1765,0
CHPS.US,5,20250923,195000,39.725,39.725,39.725,39.725,100,0
CHPS.US,5,20250923,200000,39.67,39.67,39.67,39.67,100,0
CHPS.US,5,20250923,205500,39.7344,39.7344,39.7344,39.7344,300,0
CHPS.US,5,20250924,153000,39.75,39.75,39.6199,39.6199,415,0
CHPS.US,5,20250924,173500,39.72,39.72,39.72,39.72,300,0
CHPS.US,5,20250924,193500,39.672,39.672,39.672,39.672,200,0
CHPS.US,5,20250925,212500,39.45,39.45,39.45,39.45,200,0
CHPS.US,5,20250929,153000,39.8,39.8,39.8,39.8,103,0
CHPS.US,5,20250929,171500,39.95,39.95,39.95,39.95,100,0
CHPS.US,5,20250929,185500,39.72,39.72,39.72,39.72,100,0
CHPS.US,5,20250929,215500,39.73,39.73,39.73,39.73,100,0
CHPS.US,5,20250930,165000,39.78,39.78,39.78,39.78,100,0
CHPS.US,5,20250930,172500,39.73,39.73,39.73,39.73,100,0
CHPS.US,5,20250930,215500,39.83,39.92,39.83,39.92,201,0
CHPS.US,5,20251001,153000,39.87,39.87,39.87,39.87,173,0
CHPS.US,5,20251001,163500,40.13,40.13,40.13,40.13,700,0
CHPS.US,5,20251001,164000,40.13,40.13,40.13,40.13,1000,0
CHPS.US,5,20251001,165000,40.3,40.3,40.3,40.3,200,0
CHPS.US,5,20251001,172500,40.0894,40.0894,40.0894,40.0894,137,0
CHPS.US,5,20251001,180500,40.3329,40.3329,40.3329,40.3329,495,0
CHPS.US,5,20251001,205000,40.82,40.84,40.82,40.84,717,0
CHPS.US,5,20251001,212000,40.7516,40.7516,40.7516,40.7516,254,0
CHPS.US,5,20251002,153000,41.44,41.44,41.4,41.4,900,0
CHPS.US,5,20251002,153500,41.39,41.39,41.39,41.39,700,0
CHPS.US,5,20251002,155500,41.5,41.5,41.5,41.5,100,0
CHPS.US,5,20251002,160500,41.79,41.79,41.79,41.79,100,0
CHPS.US,5,20251002,163000,41.51,41.54,41.51,41.54,800,0
CHPS.US,5,20251002,181000,41.655,41.655,41.655,41.655,167,0
CHPS.US,5,20251002,181500,41.785,41.785,41.785,41.785,100,0
CHPS.US,5,20251002,184500,41.84,41.84,41.69,41.69,382,0
CHPS.US,5,20251002,190000,41.7632,41.7632,41.5344,41.5344,211,0
CHPS.US,5,20251002,194500,41.818,41.818,41.818,41.818,144,0
CHPS.US,5,20251002,200000,41.8979,41.8979,41.8979,41.8979,145,0
CHPS.US,5,20251003,173500,42.08,42.08,42.08,42.08,100,0
CHPS.US,5,20251003,184000,42.1099,42.1099,42.05,42.05,1100,0
CHPS.US,5,20251006,155500,43.23,43.23,43.23,43.23,292,0
CHPS.US,5,20251006,163500,43.12,43.12,43.12,43.12,1000,0
CHPS.US,5,20251006,182500,43.26,43.26,43.26,43.26,300,0
CHPS.US,5,20251006,193500,43.1374,43.1374,43.1374,43.1374,100,0
CHPS.US,5,20251006,215500,42.95,42.95,42.95,42.95,182,0
CHPS.US,5,20251007,175000,42.695,42.695,42.695,42.695,104,0
CHPS.US,5,20251007,180000,42.5,42.5,42.5,42.5,217,0
CHPS.US,5,20251007,181000,42.05,42.05,42.05,42.05,100,0
CHPS.US,5,20251007,202000,42.05,42.05,41.995,41.995,456,0
CHPS.US,5,20251007,215500,41.97,41.97,41.96,41.97,900,0
CHPS.US,5,20251008,160000,42.1401,42.1401,42.1401,42.1401,100,0
CHPS.US,5,20251008,175500,42.58,42.58,42.58,42.58,115,0
CHPS.US,5,20251008,185000,42.59,42.59,42.59,42.59,100,0
CHPS.US,5,20251008,204500,42.68,42.68,42.68,42.68,710,0
CHPS.US,5,20251008,213500,42.79,42.79,42.7899,42.7899,820,0
CHPS.US,5,20251008,215000,42.805,42.805,42.805,42.805,100,0
CHPS.US,5,20251009,153000,42.96,42.96,42.92,42.92,3307,0
CHPS.US,5,20251009,163000,42.64,42.64,42.64,42.64,100,0
CHPS.US,5,20251009,164500,42.47,42.47,42.47,42.47,100,0
CHPS.US,5,20251009,165000,42.51,42.51,42.51,42.51,100,0
CHPS.US,5,20251009,172000,42.68,42.68,42.68,42.68,200,0
CHPS.US,5,20251009,180000,42.618,42.618,42.618,42.618,100,0
CHPS.US,5,20251009,212500,42.53,42.53,42.53,42.53,470,0
CHPS.US,5,20251009,215000,42.574,42.574,42.574,42.574,200,0
CHPS.US,5,20251009,215500,42.66,42.66,42.66,42.66,101,0
CHPS.US,5,20251010,172500,42.08,42.08,42.08,42.08,100,0
CHPS.US,5,20251010,174500,41.49,41.49,41.445,41.445,200,0
CHPS.US,5,20251010,185000,41.2,41.2,41.2,41.2,250,0
CHPS.US,5,20251013,153000,40.29,41.63,40.29,41.63,2081,0
