<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXSE.US,5,20250829,153500,40.72,40.72,40.72,40.72,900,0
CXSE.US,5,20250829,161000,40.65,40.66,40.65,40.6546,333,0
CXSE.US,5,20250829,161500,40.66,40.66,40.66,40.66,300,0
CXSE.US,5,20250829,162000,40.68,40.68,40.68,40.68,300,0
CXSE.US,5,20250829,164500,40.82,40.82,40.82,40.82,500,0
CXSE.US,5,20250829,165000,40.82,40.82,40.82,40.82,500,0
CXSE.US,5,20250829,170500,40.8594,40.8594,40.8594,40.8594,100,0
CXSE.US,5,20250829,171000,40.84,40.84,40.84,40.84,100,0
CXSE.US,5,20250829,175000,40.82,40.82,40.82,40.82,201,0
CXSE.US,5,20250829,175500,40.8123,40.8123,40.8123,40.8123,100,0
CXSE.US,5,20250829,180000,40.86,40.86,40.86,40.86,200,0
CXSE.US,5,20250829,180500,40.86,40.86,40.86,40.86,200,0
CXSE.US,5,20250829,185500,40.92,40.955,40.909,40.94,1046,0
CXSE.US,5,20250829,190000,40.9,40.9,40.9,40.9,200,0
CXSE.US,5,20250829,194500,40.9427,40.9427,40.93,40.93,615,0
CXSE.US,5,20250829,195000,40.93,40.93,40.93,40.93,200,0
CXSE.US,5,20250829,202000,40.943,40.943,40.943,40.943,244,0
CXSE.US,5,20250829,204500,40.9,40.9,40.87,40.87,500,0
CXSE.US,5,20250829,205000,40.895,40.895,40.895,40.895,100,0
CXSE.US,5,20250829,205500,40.86,40.86,40.86,40.86,490,0
CXSE.US,5,20250829,210500,40.87,40.87,40.87,40.87,490,0
CXSE.US,5,20250829,211500,40.87,40.87,40.87,40.87,300,0
CXSE.US,5,20250829,212000,40.87,40.87,40.87,40.87,450,0
CXSE.US,5,20250829,213000,40.8502,40.8502,40.85,40.85,1197,0
CXSE.US,5,20250829,214000,40.84,40.84,40.84,40.84,400,0
CXSE.US,5,20250829,214500,40.87,40.8941,40.87,40.8941,200,0
CXSE.US,5,20250829,215000,40.86,40.8899,40.81,40.8899,941,0
CXSE.US,5,20250829,215500,40.86,40.86,40.83,40.86,2142,0
CXSE.US,5,20250902,153000,40.43,40.43,40.37,40.37,7359,0
CXSE.US,5,20250902,153500,40.4,40.44,40.4,40.44,300,0
CXSE.US,5,20250902,155000,40.49,40.49,40.48,40.48,383,0
CXSE.US,5,20250902,160000,40.57,40.57,40.57,40.57,600,0
CXSE.US,5,20250902,160500,40.58,40.58,40.58,40.58,114,0
CXSE.US,5,20250902,161000,40.58,40.63,40.58,40.63,1500,0
CXSE.US,5,20250902,162000,40.71,40.71,40.71,40.71,118,0
CXSE.US,5,20250902,163000,40.788,40.788,40.788,40.788,133,0
CXSE.US,5,20250902,164000,40.689,40.689,40.689,40.689,108,0
CXSE.US,5,20250902,165500,40.675,40.68,40.675,40.68,1131,0
CXSE.US,5,20250902,171500,40.6115,40.6115,40.6115,40.6115,435,0
CXSE.US,5,20250902,172000,40.655,40.655,40.655,40.655,491,0
CXSE.US,5,20250902,173000,40.66,40.66,40.66,40.66,428,0
CXSE.US,5,20250902,174500,40.69,40.6987,40.69,40.6987,200,0
CXSE.US,5,20250902,175000,40.69,40.69,40.69,40.69,100,0
CXSE.US,5,20250902,175500,40.68,40.68,40.68,40.68,491,0
CXSE.US,5,20250902,181000,40.7,40.7,40.6827,40.6827,300,0
CXSE.US,5,20250902,181500,40.6709,40.6709,40.6709,40.6709,100,0
CXSE.US,5,20250902,182000,40.6676,40.6676,40.6676,40.6676,125,0
CXSE.US,5,20250902,182500,40.67,40.67,40.67,40.67,250,0
CXSE.US,5,20250902,183500,40.7,40.7206,40.6806,40.72,1600,0
CXSE.US,5,20250902,184000,40.7227,40.75,40.7227,40.7499,1600,0
CXSE.US,5,20250902,184500,40.75,40.75,40.75,40.75,100,0
CXSE.US,5,20250902,185500,40.68,40.71,40.67,40.71,4500,0
CXSE.US,5,20250902,192500,40.72,40.72,40.71,40.71,1600,0
CXSE.US,5,20250902,193000,40.73,40.73,40.705,40.705,2500,0
CXSE.US,5,20250902,193500,40.734,40.734,40.734,40.734,1500,0
CXSE.US,5,20250902,204000,40.72,40.72,40.72,40.72,100,0
CXSE.US,5,20250902,205000,40.7485,40.7485,40.7485,40.7485,245,0
CXSE.US,5,20250902,205500,40.75,40.75,40.75,40.75,100,0
CXSE.US,5,20250902,214500,40.853,40.86,40.853,40.86,300,0
CXSE.US,5,20250902,215500,40.88,40.88,40.88,40.88,550,0
CXSE.US,5,20250903,153000,40.85,40.85,40.7801,40.82,6500,0
CXSE.US,5,20250903,154000,40.82,40.83,40.805,40.81,1670,0
CXSE.US,5,20250903,154500,40.84,40.84,40.81,40.82,868,0
CXSE.US,5,20250903,155000,40.78,40.78,40.78,40.78,100,0
CXSE.US,5,20250903,155500,40.8,40.8,40.8,40.8,165,0
CXSE.US,5,20250903,160000,40.8,40.8,40.8,40.8,103,0
CXSE.US,5,20250903,160500,40.8,40.8,40.8,40.8,100,0
CXSE.US,5,20250903,161000,40.8,40.8,40.8,40.8,607,0
CXSE.US,5,20250903,163000,40.93,40.93,40.87,40.87,400,0
CXSE.US,5,20250903,163500,40.905,40.93,40.905,40.92,1600,0
CXSE.US,5,20250903,164000,40.9,40.9,40.9,40.9,330,0
CXSE.US,5,20250903,170500,40.8431,40.8431,40.8431,40.8431,212,0
CXSE.US,5,20250903,171000,40.845,40.845,40.845,40.845,455,0
CXSE.US,5,20250903,172000,40.8206,40.8206,40.8206,40.8206,1007,0
CXSE.US,5,20250903,173500,40.87,40.87,40.87,40.87,200,0
CXSE.US,5,20250903,175000,40.83,40.83,40.83,40.83,100,0
CXSE.US,5,20250903,180500,40.8964,40.8964,40.8964,40.8964,586,0
CXSE.US,5,20250903,181000,40.9,40.9,40.9,40.9,260,0
CXSE.US,5,20250903,182000,40.9283,40.9283,40.9283,40.9283,146,0
CXSE.US,5,20250903,182500,40.905,40.905,40.905,40.905,222,0
CXSE.US,5,20250903,184000,40.9086,40.9086,40.9086,40.9086,200,0
CXSE.US,5,20250903,190000,40.93,40.93,40.93,40.93,100,0
CXSE.US,5,20250903,204000,40.9598,40.9598,40.9598,40.9598,200,0
CXSE.US,5,20250903,211500,40.9,40.9,40.9,40.9,155,0
CXSE.US,5,20250903,214500,40.91,40.96,40.91,40.91,778,0
CXSE.US,5,20250903,215500,40.97,40.979,40.94,40.94,600,0
CXSE.US,5,20250904,153000,39.99,39.99,39.99,39.99,965,0
CXSE.US,5,20250904,153500,39.87,39.925,39.87,39.925,1936,0
CXSE.US,5,20250904,154000,39.88,39.88,39.88,39.88,450,0
CXSE.US,5,20250904,154500,39.8314,39.8314,39.8,39.8,3031,0
CXSE.US,5,20250904,155500,39.8215,39.8215,39.8215,39.8215,209,0
CXSE.US,5,20250904,162500,39.7437,39.7876,39.7437,39.7876,958,0
CXSE.US,5,20250904,163000,39.77,39.7791,39.77,39.7791,205,0
CXSE.US,5,20250904,163500,39.77,39.77,39.77,39.77,650,0
CXSE.US,5,20250904,164000,39.81,39.81,39.81,39.81,466,0
CXSE.US,5,20250904,165500,39.82,39.82,39.82,39.82,100,0
CXSE.US,5,20250904,171500,39.8395,39.85,39.8395,39.85,314,0
CXSE.US,5,20250904,172500,39.855,39.855,39.855,39.855,100,0
CXSE.US,5,20250904,173000,39.86,39.86,39.86,39.86,100,0
CXSE.US,5,20250904,174000,39.86,39.86,39.86,39.86,100,0
CXSE.US,5,20250904,180000,39.905,39.905,39.905,39.905,100,0
CXSE.US,5,20250904,180500,39.89,39.9,39.89,39.89,300,0
CXSE.US,5,20250904,181000,39.89,39.89,39.88,39.88,600,0
CXSE.US,5,20250904,181500,39.89,39.89,39.89,39.89,100,0
CXSE.US,5,20250904,182000,39.8724,39.8724,39.8724,39.8724,211,0
CXSE.US,5,20250904,184500,39.905,39.905,39.905,39.905,100,0
CXSE.US,5,20250904,191000,39.9378,39.9378,39.9378,39.9378,100,0
CXSE.US,5,20250904,193000,39.935,39.935,39.935,39.935,100,0
CXSE.US,5,20250904,193500,39.94,39.95,39.93,39.93,1200,0
CXSE.US,5,20250904,195500,39.94,39.94,39.94,39.94,100,0
CXSE.US,5,20250904,201500,39.94,39.94,39.94,39.94,100,0
CXSE.US,5,20250904,205000,39.95,39.95,39.9,39.9,601,0
CXSE.US,5,20250904,210000,39.93,39.93,39.93,39.93,100,0
CXSE.US,5,20250904,211000,39.8901,39.8901,39.8901,39.8901,250,0
CXSE.US,5,20250904,212000,39.894,39.894,39.89,39.89,1205,0
CXSE.US,5,20250904,214000,39.93,39.93,39.93,39.93,100,0
CXSE.US,5,20250904,215500,39.945,39.965,39.94,39.96,1376,0
CXSE.US,5,20250905,153000,41.2,41.2,41.2,41.2,1023,0
CXSE.US,5,20250905,153500,41.2,41.2,41.2,41.2,382,0
CXSE.US,5,20250905,154000,41.2699,41.2699,41.2699,41.2699,121,0
