<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMEQ.US,5,20250829,165000,31.29,31.2901,31.29,31.2901,356,0
EMEQ.US,5,20250829,174500,31.32,31.32,31.32,31.32,300,0
EMEQ.US,5,20250829,175000,31.35,31.35,31.35,31.35,8255,0
EMEQ.US,5,20250829,213000,31.41,31.41,31.41,31.41,1600,0
EMEQ.US,5,20250902,161000,31.025,31.07,31.025,31.07,450,0
EMEQ.US,5,20250902,215000,31.105,31.105,31.105,31.105,225,0
EMEQ.US,5,20250903,155500,31.24,31.24,31.24,31.24,3000,0
EMEQ.US,5,20250903,165000,31.34,31.34,31.25,31.34,2000,0
EMEQ.US,5,20250903,170000,31.25,31.32,31.25,31.285,600,0
EMEQ.US,5,20250903,194500,31.25,31.25,31.25,31.25,100,0
EMEQ.US,5,20250903,205500,31.22,31.22,31.22,31.22,100,0
EMEQ.US,5,20250903,214500,31.195,31.195,31.195,31.195,131,0
EMEQ.US,5,20250904,173000,31.2,31.2,31.2,31.2,500,0
EMEQ.US,5,20250904,175000,31.14,31.14,31.1324,31.1324,500,0
EMEQ.US,5,20250904,182000,31.184,31.184,31.184,31.184,3197,0
EMEQ.US,5,20250904,210000,31.3,31.3,31.3,31.3,2380,0
EMEQ.US,5,20250904,212500,31.28,31.2911,31.28,31.2911,1216,0
EMEQ.US,5,20250904,213500,31.23,31.23,31.23,31.23,278,0
EMEQ.US,5,20250904,215500,31.29,31.29,31.29,31.29,155,0
EMEQ.US,5,20250905,171500,31.655,31.655,31.655,31.655,200,0
EMEQ.US,5,20250905,205000,31.78,31.78,31.78,31.78,22005,0
EMEQ.US,5,20250905,210500,31.81,31.81,31.81,31.81,3000,0
EMEQ.US,5,20250905,212500,31.84,31.84,31.84,31.84,6000,0
EMEQ.US,5,20250905,213000,31.84,31.84,31.8,31.8,3100,0
EMEQ.US,5,20250905,215000,31.84,31.85,31.8,31.85,4305,0
EMEQ.US,5,20250905,215500,31.85,31.9,31.85,31.9,5457,0
EMEQ.US,5,20250908,153000,32.12,32.12,32.12,32.12,200,0
EMEQ.US,5,20250909,171000,32.66,32.66,32.66,32.66,100,0
EMEQ.US,5,20250909,172000,32.6699,32.67,32.6699,32.67,996,0
EMEQ.US,5,20250909,181500,32.68,32.68,32.68,32.68,3000,0
EMEQ.US,5,20250909,192500,32.72,32.72,32.72,32.72,111,0
EMEQ.US,5,20250909,193500,32.72,32.72,32.72,32.72,111,0
EMEQ.US,5,20250909,194000,32.72,32.72,32.72,32.72,1487,0
EMEQ.US,5,20250909,194500,32.73,32.73,32.73,32.73,148,0
EMEQ.US,5,20250909,200000,32.73,32.73,32.73,32.73,148,0
EMEQ.US,5,20250909,201000,32.73,32.73,32.73,32.73,185,0
EMEQ.US,5,20250909,202500,32.73,32.73,32.73,32.73,185,0
EMEQ.US,5,20250909,203000,32.73,32.73,32.73,32.73,200,0
EMEQ.US,5,20250909,203500,32.73,32.73,32.73,32.73,185,0
EMEQ.US,5,20250909,204000,32.72,32.72,32.72,32.72,1263,0
EMEQ.US,5,20250909,204500,32.74,32.74,32.74,32.74,185,0
EMEQ.US,5,20250909,205000,32.74,32.74,32.74,32.74,100,0
EMEQ.US,5,20250909,210000,32.74,32.74,32.7399,32.7399,2222,0
EMEQ.US,5,20250909,211000,32.74,32.74,32.74,32.74,185,0
EMEQ.US,5,20250909,212000,32.73,32.73,32.73,32.73,185,0
EMEQ.US,5,20250909,212500,32.73,32.73,32.73,32.73,338,0
EMEQ.US,5,20250909,213500,32.74,32.74,32.74,32.74,185,0
EMEQ.US,5,20250909,214000,32.73,32.73,32.73,32.73,148,0
EMEQ.US,5,20250909,214500,32.73,32.73,32.73,32.73,259,0
EMEQ.US,5,20250909,215000,32.73,32.74,32.675,32.675,481,0
EMEQ.US,5,20250909,215500,32.685,32.685,32.685,32.685,111,0
EMEQ.US,5,20250910,170000,33.265,33.265,33.265,33.265,300,0
EMEQ.US,5,20250910,171000,33.3,33.3,33.3,33.3,750,0
EMEQ.US,5,20250910,171500,33.32,33.32,33.32,33.32,1000,0
EMEQ.US,5,20250910,172500,33.281,33.281,33.281,33.281,140,0
EMEQ.US,5,20250910,190000,33.29,33.29,33.29,33.29,100,0
EMEQ.US,5,20250910,191500,33.246753,33.246753,33.246753,33.246753,195,0
EMEQ.US,5,20250910,201500,33.27,33.27,33.27,33.27,7439,0
EMEQ.US,5,20250910,210000,33.2568,33.2568,33.2568,33.2568,253,0
EMEQ.US,5,20250910,211000,33.26,33.26,33.25,33.26,3767,0
