<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGM.US,5,20250829,153000,57,57,57,57,123,0
FGM.US,5,20250829,185000,57.2116,57.2116,57.2116,57.2116,100,0
FGM.US,5,20250829,203500,57.31,57.31,57.31,57.31,100,0
FGM.US,5,20250829,205000,57.31,57.31,57.31,57.31,100,0
FGM.US,5,20250829,211000,57.3,57.3,57.3,57.3,100,0
FGM.US,5,20250902,153500,55.89,55.89,55.89,55.89,100,0
FGM.US,5,20250902,160000,56.18,56.18,56.18,56.18,200,0
FGM.US,5,20250902,161000,56.19,56.19,56.19,56.19,200,0
FGM.US,5,20250902,162500,56.3033,56.3033,56.3033,56.3033,1500,0
FGM.US,5,20250902,164000,56.3,56.3,56.09,56.09,214,0
FGM.US,5,20250902,180000,56.03,56.03,55.91,55.91,1600,0
FGM.US,5,20250902,182000,55.93,55.9301,55.93,55.9301,200,0
FGM.US,5,20250902,183500,56.09,56.09,56.09,56.09,185,0
FGM.US,5,20250902,185000,56.025,56.025,56.0192,56.0192,200,0
FGM.US,5,20250902,185500,56.045,56.045,56.045,56.045,100,0
FGM.US,5,20250902,192000,56.0551,56.0551,56.0551,56.0551,900,0
FGM.US,5,20250902,193500,56.15,56.15,56.15,56.15,500,0
FGM.US,5,20250902,200000,56.14,56.15,56.13,56.13,700,0
FGM.US,5,20250902,203000,56.105,56.105,56.105,56.105,136,0
FGM.US,5,20250903,212000,56.12,56.12,56.12,56.12,149,0
FGM.US,5,20250904,160500,56.3374,56.3374,56.3374,56.3374,350,0
FGM.US,5,20250904,170500,56.2,56.3453,56.08,56.081,7149,0
FGM.US,5,20250904,171000,56.09,56.37,56.09,56.09,2087,0
FGM.US,5,20250904,183000,56.23,56.23,56.23,56.23,100,0
FGM.US,5,20250904,193000,56.2334,56.2334,56.2334,56.2334,100,0
FGM.US,5,20250904,194500,56.41,56.4195,56.41,56.4195,354,0
FGM.US,5,20250904,214000,56.4784,56.4784,56.4784,56.4784,265,0
FGM.US,5,20250905,154000,57.1525,57.1525,57.1525,57.1525,465,0
FGM.US,5,20250905,160500,57.04,57.04,57.04,57.04,113,0
FGM.US,5,20250905,163000,56.7634,56.7634,56.7634,56.7634,439,0
FGM.US,5,20250905,172000,56.74,56.84,56.735,56.84,526,0
FGM.US,5,20250905,174500,56.895,57.02,56.895,57,500,0
FGM.US,5,20250905,181000,56.8896,56.8896,56.8896,56.8896,100,0
FGM.US,5,20250905,200500,56.8499,56.8499,56.8499,56.8499,116,0
FGM.US,5,20250908,162500,57.36,57.36,57.36,57.36,100,0
FGM.US,5,20250908,171000,57.4271,57.4271,57.4271,57.4271,120,0
FGM.US,5,20250908,202000,57.5499,57.5499,57.5499,57.5499,173,0
FGM.US,5,20250908,212000,57.3501,57.3501,57.3501,57.3501,225,0
FGM.US,5,20250909,200500,56.82,56.82,56.8124,56.8124,200,0
FGM.US,5,20250909,201000,56.81,56.81,56.81,56.81,200,0
FGM.US,5,20250910,153000,55.73,56.7901,55.73,56.7901,1776,0
FGM.US,5,20250910,161500,57.116,57.116,57.116,57.116,400,0
FGM.US,5,20250910,192500,57.0799,57.0799,57.0799,57.0799,133,0
FGM.US,5,20250910,213000,56.75,56.75,56.75,56.75,100,0
FGM.US,5,20250910,214500,56.86,56.86,56.86,56.86,225,0
FGM.US,5,20250910,215000,56.905,56.905,56.905,56.905,269,0
FGM.US,5,20250911,154500,57.16,57.16,57.16,57.16,100,0
FGM.US,5,20250911,160000,57.2,57.2,57.2,57.2,123,0
FGM.US,5,20250911,183000,57.66,57.66,57.66,57.66,530,0
FGM.US,5,20250911,184000,57.3301,57.519,57.3301,57.519,408,0
FGM.US,5,20250912,153500,57.151,57.151,57.151,57.151,100,0
FGM.US,5,20250912,161500,57.13,57.13,57.13,57.13,463,0
FGM.US,5,20250912,164000,57.045,57.045,57.045,57.045,100,0
FGM.US,5,20250912,183000,57.11,57.11,57.11,57.11,100,0
FGM.US,5,20250912,185500,57.13,57.15,57.13,57.15,813,0
FGM.US,5,20250912,214000,57.4075,57.4075,57.4075,57.4075,453,0
FGM.US,5,20250915,175000,58.115,58.115,58.115,58.115,887,0
FGM.US,5,20250915,185500,58.21,58.21,58.21,58.21,72661,0
FGM.US,5,20250915,200500,57.96,57.96,57.96,57.96,139,0
FGM.US,5,20250916,155500,57.83,57.83,57.83,57.83,100,0
FGM.US,5,20250916,170000,57.97,57.97,57.97,57.97,200,0
FGM.US,5,20250917,160000,57.73,57.73,57.73,57.73,100,0
FGM.US,5,20250917,201500,57.73,57.73,57.73,57.73,1000,0
FGM.US,5,20250918,154500,57.21,57.21,57.04,57.04,500,0
FGM.US,5,20250918,165500,57.3838,57.3838,57.3838,57.3838,271,0
FGM.US,5,20250918,172000,57.56,57.56,57.4626,57.4626,1000,0
FGM.US,5,20250919,173500,57.4,57.41,57.4,57.41,200,0
FGM.US,5,20250919,180500,57.28,57.28,57.24,57.24,1600,0
FGM.US,5,20250919,184000,57.3042,57.3042,57.3042,57.3042,125,0
FGM.US,5,20250919,184500,57.2888,57.2888,57.2888,57.2888,500,0
FGM.US,5,20250919,191500,57.2301,57.2301,57.23,57.23,400,0
FGM.US,5,20250919,194000,57.25,57.2501,57.25,57.2501,920,0
FGM.US,5,20250919,202000,57.38,57.38,57.38,57.38,439,0
FGM.US,5,20250922,153000,57.49,57.49,57.49,57.49,170,0
FGM.US,5,20250922,161500,57.07,57.07,57.07,57.07,100,0
FGM.US,5,20250922,172000,57.335,57.335,57.335,57.335,100,0
FGM.US,5,20250922,180000,57.29,57.29,57.29,57.29,21096,0
FGM.US,5,20250922,182500,57.31,57.31,57.31,57.31,100,0
FGM.US,5,20250922,190000,57.425,57.425,57.425,57.425,100,0
FGM.US,5,20250922,211000,57.6468,57.6468,57.6468,57.6468,260,0
FGM.US,5,20250923,155500,57.87,57.87,57.87,57.87,100,0
FGM.US,5,20250923,163000,57.9179,57.9179,57.9179,57.9179,100,0
FGM.US,5,20250923,165500,57.73,57.73,57.73,57.73,100,0
FGM.US,5,20250923,185000,57.6224,57.6224,57.6224,57.6224,100,0
FGM.US,5,20250924,160000,57.611,57.805,57.611,57.805,500,0
FGM.US,5,20250924,173000,58.145,58.145,58.145,58.145,1382,0
FGM.US,5,20250924,173500,58.04,58.04,58.04,58.04,108,0
FGM.US,5,20250924,211000,58.105,58.105,58.105,58.105,124,0
FGM.US,5,20250925,153500,57.35,57.35,57.35,57.35,141,0
FGM.US,5,20250925,164500,57.65,57.65,57.65,57.65,1000,0
FGM.US,5,20250926,180000,57.69,57.69,57.69,57.69,300,0
FGM.US,5,20250926,195000,57.8605,57.8605,57.8605,57.8605,100,0
FGM.US,5,20250926,211500,57.92,57.92,57.92,57.92,300,0
FGM.US,5,20250929,160000,58.23,58.23,58.23,58.23,100,0
FGM.US,5,20250929,160500,58.24,58.24,58.24,58.24,200,0
FGM.US,5,20250929,162500,58.25,58.25,58.25,58.25,487,0
FGM.US,5,20250929,163000,58.4116,58.4116,58.4116,58.4116,148,0
FGM.US,5,20250929,185000,58.5,58.5,58.5,58.5,100,0
FGM.US,5,20250929,192000,58.266,58.266,58.266,58.266,100,0
FGM.US,5,20250929,202500,58.22,58.2201,58.22,58.2201,1600,0
FGM.US,5,20250929,215500,58.4699,58.4699,58.4699,58.4699,344,0
FGM.US,5,20250930,182000,58.69,58.69,58.69,58.69,371,0
FGM.US,5,20251001,181500,59.42,59.42,59.42,59.42,100,0
FGM.US,5,20251001,201000,59.625,59.625,59.625,59.625,200,0
FGM.US,5,20251001,211000,59.6718,59.6718,59.6718,59.6718,1700,0
FGM.US,5,20251001,211500,59.649,59.808,59.649,59.649,3200,0
FGM.US,5,20251001,212500,59.56,59.56,59.56,59.56,100,0
FGM.US,5,20251001,214500,59.65,59.65,59.65,59.65,699,0
FGM.US,5,20251001,215000,59.76,59.76,59.76,59.76,100,0
FGM.US,5,20251002,153000,60,60,60,60,131,0
FGM.US,5,20251002,155000,60.2,60.2,60.2,60.2,2164,0
FGM.US,5,20251002,160000,60.13,60.13,60.13,60.13,556,0
FGM.US,5,20251002,162000,59.92,59.92,59.89,59.89,400,0
FGM.US,5,20251002,180500,60.11,60.11,60.11,60.11,100,0
FGM.US,5,20251002,191500,60.33,60.33,60.33,60.33,100,0
FGM.US,5,20251002,203000,60.41,60.41,60.41,60.41,100,0
FGM.US,5,20251002,215500,60.2,60.2,60.2,60.2,100,0
FGM.US,5,20251003,160000,60.6,60.6,60.6,60.6,100,0
FGM.US,5,20251003,161000,60.65,60.6799,60.535,60.67,3200,0
FGM.US,5,20251003,171500,60.55,60.55,60.55,60.55,100,0
FGM.US,5,20251003,190500,60.51,60.51,60.51,60.51,100,0
FGM.US,5,20251003,200000,60.37,60.37,60.35,60.36,900,0
FGM.US,5,20251003,211000,60.47,60.47,60.19,60.19,3949,0
FGM.US,5,20251003,212500,60.47,60.47,60.47,60.47,200,0
FGM.US,5,20251003,213500,60.5,60.5,60.5,60.5,100,0
FGM.US,5,20251003,215500,60.54,60.54,60.54,60.54,300,0
FGM.US,5,20251006,211000,60.285,60.285,60.285,60.285,300,0
FGM.US,5,20251006,212000,60.28,60.28,60.28,60.28,200,0
FGM.US,5,20251007,163500,60.0942,60.2499,59.85,60.2499,4589,0
FGM.US,5,20251007,170000,59.84,59.84,59.84,59.84,200,0
FGM.US,5,20251007,211000,59.725,59.725,59.725,59.725,200,0
