<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSZ.US,5,20250829,184500,79.16,79.16,79.16,79.16,202,0
FSZ.US,5,20250902,153000,77.07,77.07,77.07,77.07,130,0
FSZ.US,5,20250902,173000,77.0829,77.0829,77.0829,77.0829,138,0
FSZ.US,5,20250902,175000,76.9292,76.9292,76.9292,76.9292,100,0
FSZ.US,5,20250902,190500,76.9738,76.9738,76.9738,76.9738,100,0
FSZ.US,5,20250902,192000,77.16,77.16,77.16,77.16,100,0
FSZ.US,5,20250904,153000,77.49,77.49,77.49,77.49,154,0
FSZ.US,5,20250904,172500,77.73,77.73,77.6001,77.7105,1500,0
FSZ.US,5,20250904,183000,77.59,77.59,77.59,77.59,300,0
FSZ.US,5,20250904,183500,77.57,77.57,77.57,77.57,200,0
FSZ.US,5,20250904,184500,77.57,77.57,77.57,77.57,691,0
FSZ.US,5,20250905,173000,78.36,78.36,78.36,78.36,300,0
FSZ.US,5,20250908,211500,78.84,78.84,78.84,78.84,2394,0
FSZ.US,5,20250910,193000,78.4842,78.4842,78.4842,78.4842,139,0
FSZ.US,5,20250910,205000,78.4476,78.4476,78.4476,78.4476,160,0
FSZ.US,5,20250911,173500,79.0698,79.0698,79.0698,79.0698,200,0
FSZ.US,5,20250912,161500,79.3,79.3,79.3,79.3,300,0
FSZ.US,5,20250916,162000,79.36,79.36,79.36,79.36,1500,0
FSZ.US,5,20250916,163500,78.96,78.96,78.96,78.96,1500,0
FSZ.US,5,20250916,185000,79.1199,79.1199,79.1199,79.1199,100,0
FSZ.US,5,20250916,210500,79.12,79.12,79.12,79.12,100,0
FSZ.US,5,20250918,154000,77.6,77.6,77.6,77.6,1250,0
FSZ.US,5,20250918,195500,77.955,77.955,77.955,77.955,160,0
FSZ.US,5,20250922,201500,77.43,77.43,77.41,77.415,1600,0
FSZ.US,5,20250922,203000,77.43,77.43,77.43,77.43,100,0
FSZ.US,5,20250922,204500,77.44,77.44,77.44,77.44,200,0
FSZ.US,5,20250922,210000,77.52,77.52,77.52,77.52,200,0
FSZ.US,5,20250922,211000,77.44,77.515,77.44,77.515,300,0
FSZ.US,5,20250922,213000,77.44,77.52,77.44,77.52,200,0
FSZ.US,5,20250922,215000,77.46,77.46,77.46,77.46,200,0
FSZ.US,5,20250922,215500,77.44,77.48,77.44,77.48,231,0
FSZ.US,5,20250923,212000,77.82,77.82,77.82,77.82,1523,0
FSZ.US,5,20250924,212000,76.75,76.75,76.74,76.74,200,0
FSZ.US,5,20250924,215000,76.76,76.76,76.76,76.76,100,0
FSZ.US,5,20250925,153000,76,76,76,76,100,0
FSZ.US,5,20250925,155500,76.1,76.1,76.1,76.1,1190,0
FSZ.US,5,20250925,162500,76.01,76.01,76.01,76.01,760,0
FSZ.US,5,20250925,164500,76,76,76,76,700,0
FSZ.US,5,20250925,200000,75.99,75.99,75.99,75.99,100,0
FSZ.US,5,20250929,173000,76.15,76.15,76.15,76.15,100,0
FSZ.US,5,20250930,161500,76.44,76.44,76.44,76.44,150,0
FSZ.US,5,20250930,182000,76.53,76.53,76.53,76.53,100,0
FSZ.US,5,20251001,203000,76.584,76.584,76.584,76.584,250,0
FSZ.US,5,20251006,180000,77.29,77.29,77.29,77.29,300,0
FSZ.US,5,20251007,163500,77.48,78.4,77.48,78.01,3084,0
FSZ.US,5,20251007,170000,77.03,77.03,77.03,77.03,100,0
FSZ.US,5,20251008,153500,76.95,76.95,76.95,76.95,134,0
FSZ.US,5,20251010,161500,77.035,77.035,77.035,77.035,102,0
FSZ.US,5,20251014,195000,76.97,76.97,76.97,76.97,100,0
FSZ.US,5,20251014,195500,76.96,76.96,76.96,76.96,100,0
FSZ.US,5,20251014,200000,76.94,76.94,76.94,76.94,100,0
FSZ.US,5,20251014,200500,76.92,76.92,76.92,76.92,100,0
FSZ.US,5,20251014,201000,76.92,76.92,76.92,76.92,100,0
FSZ.US,5,20251014,201500,76.92,76.92,76.92,76.92,200,0
FSZ.US,5,20251014,202000,76.92,76.92,76.92,76.92,100,0
FSZ.US,5,20251014,202500,76.94,76.94,76.94,76.94,100,0
FSZ.US,5,20251014,203000,76.93,76.94,76.93,76.94,200,0
