<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRW.US,5,20250829,153500,32.88,32.88,32.79,32.865,643,0
GRW.US,5,20250829,154000,32.835,32.835,32.835,32.835,146,0
GRW.US,5,20250829,161000,32.7495,32.7495,32.7495,32.7495,125,0
GRW.US,5,20250829,164500,32.7535,32.7535,32.7535,32.7535,220,0
GRW.US,5,20250829,165000,32.7502,32.7502,32.7502,32.7502,193,0
GRW.US,5,20250829,170500,32.755,32.7593,32.755,32.7584,500,0
GRW.US,5,20250829,182500,32.755,32.87,32.755,32.87,2085,0
GRW.US,5,20250829,183000,32.815,32.815,32.815,32.815,1000,0
GRW.US,5,20250829,184000,32.85,32.89,32.78,32.78,1203,0
GRW.US,5,20250829,185500,32.8333,32.8333,32.8333,32.8333,461,0
GRW.US,5,20250829,200000,32.81,32.81,32.8007,32.8007,430,0
GRW.US,5,20250829,210000,32.791,32.791,32.791,32.791,343,0
GRW.US,5,20250829,213000,32.805,32.805,32.8,32.8,200,0
GRW.US,5,20250829,213500,32.8,32.8,32.8,32.8,200,0
GRW.US,5,20250829,214000,32.8,32.8,32.8,32.8,200,0
GRW.US,5,20250829,214500,32.8,32.805,32.8,32.805,700,0
GRW.US,5,20250829,215500,32.805,32.81,32.805,32.805,2538,0
GRW.US,5,20250902,153000,32.75,32.75,32.75,32.75,1349,0
GRW.US,5,20250902,161000,32.6,32.6,32.6,32.6,100,0
GRW.US,5,20250902,172000,32.589,32.589,32.58,32.58,218308,0
GRW.US,5,20250902,185500,32.49,32.49,32.49,32.49,100,0
GRW.US,5,20250902,202000,32.6044,32.6044,32.6044,32.6044,143,0
GRW.US,5,20250902,203500,32.615,32.615,32.615,32.615,3551,0
GRW.US,5,20250902,212000,32.6182,32.6182,32.6182,32.6182,300,0
GRW.US,5,20250902,212500,32.665,32.665,32.665,32.665,300,0
GRW.US,5,20250902,214500,32.698,32.7,32.66,32.7,700,0
GRW.US,5,20250902,215000,32.65,32.68,32.65,32.68,320,0
GRW.US,5,20250903,153000,32.62,32.62,32.62,32.62,318,0
GRW.US,5,20250903,155000,32.63,32.63,32.622,32.622,306,0
GRW.US,5,20250903,162000,32.68,32.68,32.68,32.68,100,0
GRW.US,5,20250903,163500,32.7241,32.7241,32.7241,32.7241,584,0
GRW.US,5,20250903,164500,32.7201,32.7201,32.7201,32.7201,500,0
GRW.US,5,20250903,165000,32.74,32.753,32.74,32.75,800,0
GRW.US,5,20250903,170000,32.75,32.75,32.75,32.75,100,0
GRW.US,5,20250903,171000,32.75,32.83,32.745,32.745,253312,0
GRW.US,5,20250903,173000,32.7,32.7,32.7,32.7,295,0
GRW.US,5,20250903,175000,32.7,32.7,32.7,32.7,100,0
