<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDEF.US,5,20250829,153000,29.31,29.31,29.31,29.31,219,0
IDEF.US,5,20250829,155000,29.2486,29.2486,29.2486,29.2486,1711,0
IDEF.US,5,20250829,170500,29.12,29.12,29.09,29.09,500,0
IDEF.US,5,20250829,180500,29.155,29.1614,29.155,29.1614,770,0
IDEF.US,5,20250829,210000,29.16,29.16,29.16,29.16,250,0
IDEF.US,5,20250829,210500,29.1791,29.1791,29.1791,29.1791,141,0
IDEF.US,5,20250829,213500,29.1464,29.1464,29.1464,29.1464,170,0
IDEF.US,5,20250829,214500,29.1193,29.1193,29.1193,29.1193,200,0
IDEF.US,5,20250829,215500,29.114,29.114,29.114,29.114,263,0
IDEF.US,5,20250902,153000,28.775,28.775,28.775,28.775,208,0
IDEF.US,5,20250902,154000,28.8,28.81,28.8,28.81,200,0
IDEF.US,5,20250902,162500,29,29,29,29,300,0
IDEF.US,5,20250902,163500,29.05,29.05,29.05,29.05,100,0
IDEF.US,5,20250902,182500,28.8836,28.8836,28.8836,28.8836,100,0
IDEF.US,5,20250902,185500,28.92,28.92,28.92,28.92,100,0
IDEF.US,5,20250902,201000,29.0499,29.0499,29.0499,29.0499,100,0
IDEF.US,5,20250902,205500,29.04,29.04,29.0386,29.0386,788,0
IDEF.US,5,20250902,210000,29.035,29.035,29.035,29.035,100,0
IDEF.US,5,20250902,212500,29.1,29.19,29.1,29.18,2100,0
IDEF.US,5,20250902,213500,29.16,29.17,29.12,29.17,400,0
IDEF.US,5,20250902,215500,29.17,29.17,29.17,29.17,217,0
IDEF.US,5,20250903,153000,29.22,29.22,29.156,29.156,1959,0
IDEF.US,5,20250903,153500,29.1595,29.1595,29.1544,29.1544,300,0
IDEF.US,5,20250903,155000,29.072,29.072,29.072,29.072,158,0
IDEF.US,5,20250903,160000,29.13,29.13,29.04,29.04,785,0
IDEF.US,5,20250903,161000,29.0861,29.0861,29.0861,29.0861,100,0
IDEF.US,5,20250903,164000,29.1,29.1,29.1,29.1,100,0
IDEF.US,5,20250903,181500,29.0368,29.0368,29.0368,29.0368,250,0
IDEF.US,5,20250903,183000,29.06,29.06,29.06,29.06,200,0
IDEF.US,5,20250903,184000,29.01,29.01,29.01,29.01,3445,0
IDEF.US,5,20250903,184500,29,29,29,29,100,0
IDEF.US,5,20250903,190000,28.9776,28.9776,28.9776,28.9776,200,0
IDEF.US,5,20250903,212000,28.9206,28.9206,28.9206,28.9206,200,0
IDEF.US,5,20250903,212500,28.93,28.97,28.93,28.96,1932,0
IDEF.US,5,20250903,213000,28.8945,28.8945,28.8945,28.8945,1920,0
IDEF.US,5,20250903,213500,28.9076,28.9076,28.9076,28.9076,1790,0
IDEF.US,5,20250903,214000,28.941,28.9899,28.92,28.955,5160,0
IDEF.US,5,20250903,214500,28.9631,28.9631,28.92,28.92,2673,0
IDEF.US,5,20250903,215000,28.92,29.04,28.92,28.9968,4192,0
IDEF.US,5,20250903,215500,29.04,29.07,29.005,29.0268,2360,0
IDEF.US,5,20250904,153000,29.03,29.03,29.03,29.03,656,0
IDEF.US,5,20250904,153500,29.01,29.01,29.01,29.01,200,0
IDEF.US,5,20250904,154500,29.07,29.07,28.92,28.92,1600,0
IDEF.US,5,20250904,161000,28.92,28.92,28.92,28.92,100,0
IDEF.US,5,20250904,161500,28.97,28.97,28.97,28.97,100,0
IDEF.US,5,20250904,170000,29.0307,29.0307,29.0307,29.0307,1500,0
IDEF.US,5,20250904,171000,29.06,29.06,29.06,29.06,100,0
IDEF.US,5,20250904,171500,29.09,29.09,29.09,29.09,100,0
IDEF.US,5,20250904,173000,29.03,29.03,29.03,29.03,200,0
IDEF.US,5,20250904,180500,29.04,29.04,29.04,29.04,100,0
IDEF.US,5,20250904,181500,29.0147,29.0147,29.0147,29.0147,200,0
