<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCJ.US,5,20250829,185500,25.03,25.03,25.03,25.03,297,0
MYCJ.US,5,20250903,161000,24.95,24.95,24.9,24.9,600,0
MYCJ.US,5,20250903,195000,24.975,24.975,24.975,24.975,160,0
MYCJ.US,5,20250904,155000,25.0096,25.01,25.0096,25.01,1100,0
MYCJ.US,5,20250904,165000,25.0115,25.0115,25.0115,25.0115,181,0
MYCJ.US,5,20250904,173000,25.0001,25.0001,25.0001,25.0001,100,0
MYCJ.US,5,20250904,214500,25.05,25.05,25.05,25.05,100,0
MYCJ.US,5,20250905,204000,25.13,25.13,25.12,25.12,2666,0
MYCJ.US,5,20250905,213000,25.11,25.11,25.1099,25.1099,380,0
MYCJ.US,5,20250905,214500,25.11,25.11,25.1,25.1,980,0
MYCJ.US,5,20250908,211000,25.11,25.11,25.11,25.11,286,0
MYCJ.US,5,20250909,170000,25.1,25.1,25.1,25.1,147,0
MYCJ.US,5,20250909,171000,25.1,25.1,25.1,25.1,747,0
MYCJ.US,5,20250909,215000,25.1,25.1,25.1,25.1,300,0
MYCJ.US,5,20250910,153000,25.13,25.13,25.1299,25.1299,368,0
MYCJ.US,5,20250912,191000,25.11,25.16,25.11,25.16,2000,0
MYCJ.US,5,20250915,163000,25.16,25.16,25.151,25.151,219,0
MYCJ.US,5,20250915,164000,25.15,25.15,25.15,25.15,12607,0
MYCJ.US,5,20250915,184000,25.16,25.16,25.16,25.16,100,0
MYCJ.US,5,20250915,214500,25.16,25.16,25.15,25.15,1610,0
MYCJ.US,5,20250917,155000,25.17,25.17,25.17,25.17,200,0
MYCJ.US,5,20250917,185000,25.14,25.14,25.14,25.14,200,0
MYCJ.US,5,20250917,190000,25.114,25.2,25.114,25.17,1242,0
MYCJ.US,5,20250918,181500,25.1,25.1,25.1,25.1,122,0
MYCJ.US,5,20250918,194500,25.115,25.115,25.115,25.115,400,0
MYCJ.US,5,20250918,214500,25.11,25.11,25.11,25.11,2205,0
MYCJ.US,5,20250919,201500,25.1,25.1,24.96,24.96,3891,0
MYCJ.US,5,20250919,213500,25.11,25.11,25.11,25.11,175,0
MYCJ.US,5,20250923,195000,25.12,25.12,25.12,25.12,651,0
MYCJ.US,5,20250924,204500,25.075,25.0774,25.075,25.0774,1603,0
MYCJ.US,5,20250925,161500,25,25,24.98,24.98,1811,0
MYCJ.US,5,20250926,180500,25,25,25,25,163,0
MYCJ.US,5,20250929,162500,25.04,25.04,25.04,25.04,100,0
MYCJ.US,5,20250929,191000,25.0549,25.0549,25.0549,25.0549,801,0
MYCJ.US,5,20250930,153500,25.08,25.08,25.08,25.08,564,0
MYCJ.US,5,20250930,193000,25.06,25.06,25.06,25.06,400,0
MYCJ.US,5,20251001,185500,24.9903,24.9903,24.9903,24.9903,114,0
MYCJ.US,5,20251001,200500,25.02,25.02,25.02,25.02,321,0
MYCJ.US,5,20251001,202500,25.01,25.015,25.01,25.015,604,0
MYCJ.US,5,20251003,162000,25.04,25.04,25.04,25.04,1984,0
MYCJ.US,5,20251006,175500,25.01,25.01,25.01,25.01,2430,0
MYCJ.US,5,20251006,214000,25,25,25,25,2640,0
MYCJ.US,5,20251007,214500,25.015,25.02,25.01,25.02,1133,0
MYCJ.US,5,20251008,214000,25.01,25.01,25.01,25.01,185,0
MYCJ.US,5,20251010,171500,25.02,25.02,25.02,25.02,266,0
MYCJ.US,5,20251010,204500,25.03,25.03,25.03,25.03,1465,0
MYCJ.US,5,20251010,214500,25.02,25.02,25.02,25.02,182,0
MYCJ.US,5,20251013,170500,25.04,25.04,25.04,25.04,300,0
MYCJ.US,5,20251013,175500,25.0383,25.0383,25.0383,25.0383,196,0
MYCJ.US,5,20251014,164500,25.06,25.06,25.06,25.06,123,0
MYCJ.US,5,20251014,190500,25.1096,25.11,25.09,25.09,1169,0
MYCJ.US,5,20251014,195500,25.11,25.11,25.11,25.11,200,0
