<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROBT.US,5,20250829,153000,51,51.2388,51,51.2388,1574,0
ROBT.US,5,20250829,153500,51.22,51.22,51.17,51.17,745,0
ROBT.US,5,20250829,154000,51.2094,51.2094,51.2094,51.2094,156,0
ROBT.US,5,20250829,154500,51.12,51.12,51.02,51.02,974,0
ROBT.US,5,20250829,155000,51.01,51.06,51.01,51.05,941,0
ROBT.US,5,20250829,160000,50.94,50.94,50.7901,50.7901,307,0
ROBT.US,5,20250829,161500,50.67,50.67,50.67,50.67,100,0
ROBT.US,5,20250829,162000,50.7699,50.7699,50.7699,50.7699,256,0
ROBT.US,5,20250829,162500,50.66,50.665,50.66,50.665,511,0
ROBT.US,5,20250829,163000,50.745,50.745,50.745,50.745,100,0
ROBT.US,5,20250829,163500,50.755,50.7994,50.755,50.7994,983,0
ROBT.US,5,20250829,171000,50.69,50.7179,50.69,50.7179,226,0
ROBT.US,5,20250829,171500,50.675,50.675,50.675,50.675,200,0
ROBT.US,5,20250829,172500,50.759,50.759,50.759,50.759,197,0
ROBT.US,5,20250829,173000,50.725,50.725,50.725,50.725,575,0
ROBT.US,5,20250829,173500,50.705,50.705,50.7,50.7,782,0
ROBT.US,5,20250829,174000,50.675,50.675,50.675,50.675,100,0
ROBT.US,5,20250829,175500,50.68,50.7,50.68,50.7,300,0
ROBT.US,5,20250829,180000,50.685,50.685,50.685,50.685,110,0
ROBT.US,5,20250829,180500,50.7161,50.735,50.7161,50.735,4767,0
ROBT.US,5,20250829,181000,50.7364,50.7364,50.7364,50.7364,145,0
ROBT.US,5,20250829,183000,50.75,50.76,50.74,50.76,3498,0
ROBT.US,5,20250829,183500,50.777,50.777,50.7737,50.7737,547,0
ROBT.US,5,20250829,184500,50.766758,50.766758,50.766758,50.766758,240,0
ROBT.US,5,20250829,185000,50.755,50.78,50.74,50.76,2005,0
ROBT.US,5,20250829,190000,50.7405,50.7519,50.6785,50.6785,3312,0
ROBT.US,5,20250829,190500,50.65,50.69,50.65,50.69,1000,0
ROBT.US,5,20250829,191000,50.64,50.64,50.6275,50.6275,200,0
ROBT.US,5,20250829,191500,50.589,50.589,50.589,50.589,100,0
ROBT.US,5,20250829,192500,50.66,50.68,50.645,50.68,410,0
ROBT.US,5,20250829,193500,50.65,50.65,50.65,50.65,266,0
ROBT.US,5,20250829,194500,50.7,50.71,50.67,50.71,3100,0
ROBT.US,5,20250829,195000,50.71,50.71,50.71,50.71,700,0
ROBT.US,5,20250829,195500,50.729,50.729,50.7154,50.7199,400,0
ROBT.US,5,20250829,200500,50.65,50.65,50.65,50.65,100,0
ROBT.US,5,20250829,201000,50.6557,50.6557,50.6557,50.6557,100,0
ROBT.US,5,20250829,202000,50.561,50.585,50.561,50.585,2300,0
ROBT.US,5,20250829,203000,50.585,50.585,50.585,50.585,103,0
ROBT.US,5,20250829,204000,50.62,50.62,50.62,50.62,100,0
ROBT.US,5,20250829,204500,50.59,50.59,50.581,50.581,888,0
ROBT.US,5,20250829,205500,50.62,50.62,50.62,50.62,100,0
ROBT.US,5,20250829,210000,50.57,50.6,50.57,50.6,382,0
ROBT.US,5,20250829,211000,50.6498,50.66,50.642433,50.642433,5371,0
ROBT.US,5,20250829,211500,50.66,50.66,50.64,50.65,2326,0
ROBT.US,5,20250829,212000,50.67,50.69,50.6501,50.6501,1525,0
ROBT.US,5,20250829,212500,50.65,50.65,50.63,50.63,400,0
