<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMST.US,5,20250829,153000,28.87,29.03,28.73,28.86,39003,0
SMST.US,5,20250829,153500,28.92,28.94,28.38,28.92,59490,0
SMST.US,5,20250829,154000,28.93,29,28.56,28.66,15787,0
SMST.US,5,20250829,154500,28.78,28.93,28.71,28.9,30337,0
SMST.US,5,20250829,155000,28.85,28.85,28.51,28.7707,11994,0
SMST.US,5,20250829,155500,28.849,29.1582,28.74,29.15,19196,0
SMST.US,5,20250829,160000,29.12,29.12,28.465,28.83,36581,0
SMST.US,5,20250829,160500,28.82,29.12,28.785,28.94,39835,0
SMST.US,5,20250829,161000,28.87,29.03,28.7597,28.99,27219,0
SMST.US,5,20250829,161500,29.02,29.22,28.8302,28.9578,45144,0
SMST.US,5,20250829,162000,28.8902,28.8902,28.65,28.81,29401,0
SMST.US,5,20250829,162500,28.8,29.13,28.7903,28.8802,16857,0
SMST.US,5,20250829,163000,28.9,29.03,28.7427,28.86,14879,0
SMST.US,5,20250829,163500,28.85,28.92,28.6504,28.6504,11814,0
SMST.US,5,20250829,164000,28.665,28.68,28.4,28.61,39668,0
SMST.US,5,20250829,164500,28.59,28.65,28.42,28.64,22866,0
SMST.US,5,20250829,165000,28.65,28.88,28.65,28.81,20867,0
SMST.US,5,20250829,165500,28.83,28.99,28.76,28.83,28338,0
SMST.US,5,20250829,170000,28.8831,28.89,28.73,28.81,11328,0
SMST.US,5,20250829,170500,28.83,28.88,28.59,28.62,8473,0
SMST.US,5,20250829,171000,28.6,28.76,28.54,28.76,12139,0
SMST.US,5,20250829,171500,28.74,28.75,28.48,28.62,14340,0
SMST.US,5,20250829,172000,28.63,28.65,28.47,28.49,22533,0
SMST.US,5,20250829,172500,28.47,28.75,28.47,28.75,16152,0
SMST.US,5,20250829,173000,28.72,28.85,28.59,28.59,5920,0
SMST.US,5,20250829,173500,28.59,28.6,28.43,28.57,10532,0
SMST.US,5,20250829,174000,28.59,28.7,28.535,28.62,13851,0
SMST.US,5,20250829,174500,28.61,28.64,28.55,28.6,10334,0
SMST.US,5,20250829,175000,28.62,28.66,28.47,28.57,24161,0
SMST.US,5,20250829,175500,28.51,28.64,28.5,28.6201,4278,0
SMST.US,5,20250829,180000,28.61,28.61,28.5,28.59,28044,0
SMST.US,5,20250829,180500,28.58,28.62,28.46,28.46,41178,0
SMST.US,5,20250829,181000,28.4606,28.4606,28.22,28.29,17956,0
SMST.US,5,20250829,181500,28.28,28.3,28.255,28.2768,9040,0
SMST.US,5,20250829,182000,28.28,28.28,28.18,28.187,5872,0
SMST.US,5,20250829,182500,28.172925,28.22,28.14,28.1708,7498,0
SMST.US,5,20250829,183000,28.14,28.25,28.08,28.1705,16729,0
SMST.US,5,20250829,183500,28.19,28.19,28.0702,28.08,6692,0
SMST.US,5,20250829,184000,28.07,28.23,28.07,28.2297,1886,0
SMST.US,5,20250829,184500,28.18,28.3299,28.15,28.3299,3169,0
SMST.US,5,20250829,185000,28.3,28.34,28.24,28.24,3782,0
SMST.US,5,20250829,185500,28.25,28.25,28.23,28.25,1400,0
SMST.US,5,20250829,190000,28.27,28.45,28.27,28.45,6605,0
SMST.US,5,20250829,190500,28.4335,28.45,28.4,28.4,5155,0
SMST.US,5,20250829,191000,28.47,28.58,28.47,28.58,12110,0
SMST.US,5,20250829,191500,28.48,28.52,28.46,28.4602,2227,0
SMST.US,5,20250829,192000,28.4725,28.4725,28.24,28.24,6404,0
SMST.US,5,20250829,192500,28.25,28.33,28.25,28.33,5697,0
SMST.US,5,20250829,193000,28.34,28.36,28.24,28.36,3762,0
SMST.US,5,20250829,193500,28.4,28.4284,28.3984,28.3984,2042,0
SMST.US,5,20250829,194000,28.4301,28.57,28.43,28.53,8273,0
SMST.US,5,20250829,194500,28.43,28.47,28.43,28.47,2765,0
SMST.US,5,20250829,195000,28.49,28.49,28.37,28.42,6571,0
SMST.US,5,20250829,195500,28.4202,28.51,28.4202,28.51,3259,0
SMST.US,5,20250829,200000,28.5495,28.56,28.51,28.5526,6805,0
SMST.US,5,20250829,200500,28.512,28.52,28.37,28.4,4014,0
SMST.US,5,20250829,201000,28.45,28.56,28.45,28.55,71307,0
SMST.US,5,20250829,201500,28.53,28.64,28.53,28.6341,7768,0
SMST.US,5,20250829,202000,28.64,28.75,28.64,28.75,13024,0
SMST.US,5,20250829,202500,28.75,28.8408,28.75,28.84,10800,0
SMST.US,5,20250829,203000,28.82,28.82,28.7357,28.74,7805,0
SMST.US,5,20250829,203500,28.73,28.77,28.73,28.76,3902,0
SMST.US,5,20250829,204000,28.8137,28.81574,28.76,28.785,2469,0
SMST.US,5,20250829,204500,28.7586,28.7701,28.7,28.71,2902,0
SMST.US,5,20250829,205000,28.69,28.69,28.65,28.65,700,0
SMST.US,5,20250829,205500,28.7,28.76,28.58,28.58,28102,0
SMST.US,5,20250829,210000,28.7074,28.76,28.6676,28.72,27425,0
SMST.US,5,20250829,210500,28.74,28.81,28.585,28.585,31371,0
SMST.US,5,20250829,211000,28.59,28.62,28.57,28.5817,9204,0
SMST.US,5,20250829,211500,28.48,28.5562,28.48,28.5472,6776,0
SMST.US,5,20250829,212000,28.53,28.5524,28.49,28.54,4493,0
SMST.US,5,20250829,212500,28.6,28.65,28.5999,28.62,2286,0
SMST.US,5,20250829,213000,28.61,28.69,28.6,28.68,2904,0
SMST.US,5,20250829,213500,28.72,28.77,28.64,28.64,23202,0
SMST.US,5,20250829,214000,28.7,28.7,28.57,28.59,7353,0
SMST.US,5,20250829,214500,28.6,28.65,28.58,28.595,7329,0
SMST.US,5,20250829,215000,28.61,28.81,28.61,28.78,19131,0
SMST.US,5,20250829,215500,28.73,28.97,28.62,28.95,27519,0
SMST.US,5,20250902,153000,28.82,29.32,28.73,28.88,132700,0
SMST.US,5,20250902,153500,28.75,28.75,28.11,28.54,46923,0
SMST.US,5,20250902,154000,28.55,28.5501,27.97,27.97,33666,0
SMST.US,5,20250902,154500,28.05,28.06,27.3622,27.4,48405,0
SMST.US,5,20250902,155000,27.35,27.5922,27.19,27.52,14706,0
SMST.US,5,20250902,155500,27.4925,27.95,27.475,27.88,48525,0
SMST.US,5,20250902,160000,27.8,28.12,27.59,28.07,27111,0
SMST.US,5,20250902,160500,28,28.09,27.72,27.9435,42255,0
