<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWP.US,5,20250829,153500,27.41,27.41,27.41,27.41,100,0
SWP.US,5,20250829,173000,27.265,27.265,27.265,27.265,108,0
SWP.US,5,20250829,174000,27.31,27.31,27.31,27.31,713,0
SWP.US,5,20250829,174500,27.3,27.3,27.3,27.3,141,0
SWP.US,5,20250829,181000,27.32,27.34,27.32,27.34,9067,0
SWP.US,5,20250829,181500,27.33,27.33,27.33,27.33,5473,0
SWP.US,5,20250829,182000,27.34,27.34,27.34,27.34,1462,0
SWP.US,5,20250829,185500,27.37,27.37,27.37,27.37,7559,0
SWP.US,5,20250902,161500,27.1186,27.1186,27.1186,27.1186,405,0
SWP.US,5,20250902,174500,27.055,27.055,27.055,27.055,100,0
SWP.US,5,20250902,201000,27.135,27.135,27.11,27.1101,2020,0
SWP.US,5,20250902,213000,27.12,27.12,27.12,27.12,134,0
SWP.US,5,20250902,213500,27.18,27.18,27.18,27.18,5536,0
SWP.US,5,20250902,215000,27.2,27.2,27.2,27.2,2203,0
SWP.US,5,20250902,215500,27.3325,27.3325,27.33,27.33,231,0
SWP.US,5,20250903,173000,27.2899,27.29,27.2899,27.29,585,0
SWP.US,5,20250903,174000,27.29,27.29,27.29,27.29,867,0
SWP.US,5,20250903,174500,27.29,27.29,27.29,27.29,1880,0
SWP.US,5,20250903,190500,27.265,27.265,27.265,27.265,243,0
SWP.US,5,20250903,191000,27.28,27.28,27.27,27.27,386,0
SWP.US,5,20250903,194500,27.26,27.26,27.26,27.26,200,0
SWP.US,5,20250903,203000,27.2144,27.2144,27.2,27.2,930,0
SWP.US,5,20250903,204500,27.24,27.24,27.24,27.24,4384,0
SWP.US,5,20250903,210500,27.23,27.23,27.23,27.23,3675,0
SWP.US,5,20250903,211500,27.23,27.23,27.22,27.22,4211,0
SWP.US,5,20250903,213000,27.23,27.23,27.23,27.23,2718,0
SWP.US,5,20250903,214000,27.265,27.265,27.265,27.265,200,0
SWP.US,5,20250903,215500,27.35,27.35,27.35,27.35,164,0
SWP.US,5,20250904,161000,27.32,27.32,27.32,27.32,100,0
SWP.US,5,20250904,175500,27.44,27.44,27.44,27.44,400,0
SWP.US,5,20250904,184000,27.42,27.42,27.42,27.42,400,0
SWP.US,5,20250904,185000,27.43,27.43,27.43,27.43,200,0
SWP.US,5,20250904,190500,27.45,27.45,27.45,27.45,400,0
SWP.US,5,20250904,192500,27.46,27.46,27.46,27.46,2016,0
SWP.US,5,20250904,214000,27.48,27.48,27.48,27.48,2947,0
SWP.US,5,20250904,215500,27.53,27.53,27.51,27.51,1641,0
SWP.US,5,20250905,215500,27.54,27.54,27.54,27.54,100,0
SWP.US,5,20250908,161500,27.54,27.54,27.54,27.54,100,0
SWP.US,5,20250908,164000,27.59,27.625,27.59,27.625,1700,0
SWP.US,5,20250908,195000,27.583,27.583,27.583,27.583,139,0
SWP.US,5,20250908,205000,27.64,27.64,27.63,27.63,2909,0
SWP.US,5,20250909,161500,27.68,27.68,27.6799,27.6799,566,0
SWP.US,5,20250909,162500,27.65,27.65,27.65,27.65,100,0
SWP.US,5,20250909,185000,27.65,27.65,27.65,27.65,200,0
SWP.US,5,20250909,211000,27.61,27.61,27.61,27.61,4052,0
SWP.US,5,20250909,215500,27.66,27.66,27.66,27.66,154,0
SWP.US,5,20250910,153000,27.94,27.94,27.94,27.94,100,0
SWP.US,5,20250910,163000,28.0155,28.0155,27.94,27.9401,915,0
SWP.US,5,20250910,192000,27.93,27.93,27.93,27.93,6077,0
SWP.US,5,20250910,192500,27.92,27.9259,27.905,27.9259,621,0
SWP.US,5,20250910,193000,27.895,27.905,27.895,27.905,500,0
SWP.US,5,20250910,194000,27.91,27.94,27.91,27.94,3068,0
SWP.US,5,20250910,205000,27.92,27.92,27.92,27.92,700,0
SWP.US,5,20250910,213500,27.93,27.93,27.93,27.93,129,0
SWP.US,5,20250910,215500,27.97,27.97,27.97,27.97,768,0
SWP.US,5,20250911,174000,28.1601,28.1601,28.1601,28.1601,119,0
SWP.US,5,20250911,180500,28.2,28.2,28.2,28.2,4203,0
SWP.US,5,20250911,184500,28.21,28.21,28.21,28.21,100,0
SWP.US,5,20250911,201500,28.1832,28.1832,28.1832,28.1832,100,0
SWP.US,5,20250911,204500,28.19,28.19,28.19,28.19,1800,0
SWP.US,5,20250911,210000,28.19,28.19,28.19,28.19,683,0
