<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAE.US,5,20250829,153000,19.49,19.49,19.47,19.47,903,0
UAE.US,5,20250829,153500,19.47,19.47,19.4551,19.4551,298,0
UAE.US,5,20250829,155500,19.46,19.47,19.46,19.46,1000,0
UAE.US,5,20250829,160000,19.45,19.46,19.442,19.46,752,0
UAE.US,5,20250829,161000,19.44,19.44,19.44,19.44,400,0
UAE.US,5,20250829,162000,19.43,19.43,19.43,19.43,400,0
UAE.US,5,20250829,163000,19.44,19.44,19.431045,19.431045,1350,0
UAE.US,5,20250829,163500,19.44,19.4499,19.43,19.43,937,0
UAE.US,5,20250829,164500,19.44,19.44,19.44,19.44,100,0
UAE.US,5,20250829,165000,19.415,19.415,19.41,19.41,200,0
UAE.US,5,20250829,165500,19.4108,19.4108,19.4108,19.4108,276,0
UAE.US,5,20250829,170000,19.415,19.415,19.41,19.41,2535,0
UAE.US,5,20250829,170500,19.415,19.415,19.415,19.415,200,0
UAE.US,5,20250829,171000,19.42,19.43,19.42,19.43,1242,0
UAE.US,5,20250829,171500,19.4386,19.4386,19.43,19.43,274,0
UAE.US,5,20250829,172000,19.43,19.43,19.43,19.43,400,0
UAE.US,5,20250829,172500,19.425,19.425,19.41,19.41,3016,0
UAE.US,5,20250829,173500,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,174000,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,175000,19.41,19.41,19.41,19.41,408,0
UAE.US,5,20250829,175500,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,180000,19.4135,19.4135,19.411,19.411,525,0
UAE.US,5,20250829,180500,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,182000,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,183000,19.41,19.41,19.41,19.41,244,0
UAE.US,5,20250829,183500,19.4133,19.4154,19.4133,19.4136,600,0
UAE.US,5,20250829,184500,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,185500,19.41,19.41,19.41,19.41,100,0
UAE.US,5,20250829,190000,19.41,19.41,19.41,19.41,600,0
UAE.US,5,20250829,191000,19.41,19.41,19.41,19.41,200,0
UAE.US,5,20250829,191500,19.4,19.4,19.4,19.4,100,0
UAE.US,5,20250829,192000,19.4,19.4,19.4,19.4,100,0
UAE.US,5,20250829,192500,19.4,19.4,19.4,19.4,200,0
UAE.US,5,20250829,193000,19.405,19.41,19.4,19.4,1665,0
UAE.US,5,20250829,193500,19.39,19.4,19.39,19.395,4200,0
UAE.US,5,20250829,194000,19.395,19.395,19.39,19.39,300,0
UAE.US,5,20250829,194500,19.395,19.395,19.395,19.395,100,0
UAE.US,5,20250829,195000,19.3965,19.3965,19.395,19.395,335,0
UAE.US,5,20250829,200000,19.3901,19.3901,19.3901,19.3901,303,0
UAE.US,5,20250829,200500,19.39,19.39,19.39,19.39,190,0
UAE.US,5,20250829,202000,19.395,19.395,19.39,19.39,240,0
UAE.US,5,20250829,203000,19.395,19.395,19.395,19.395,241,0
UAE.US,5,20250829,205500,19.39,19.39,19.39,19.39,100,0
UAE.US,5,20250829,211000,19.3991,19.3991,19.39,19.39,370,0
UAE.US,5,20250829,212000,19.3991,19.3991,19.395,19.395,660,0
UAE.US,5,20250829,212500,19.39,19.39,19.39,19.39,100,0
UAE.US,5,20250829,213000,19.391,19.4,19.391,19.4,461,0
UAE.US,5,20250829,214000,19.391,19.395,19.391,19.395,359,0
UAE.US,5,20250829,214500,19.39,19.3989,19.39,19.3989,715,0
UAE.US,5,20250829,215000,19.3999,19.3999,19.38,19.38,5920,0
UAE.US,5,20250829,215500,19.385,19.3854,19.38,19.38,15063,0
UAE.US,5,20250902,153000,19.23,19.2695,19.12,19.16,19217,0
UAE.US,5,20250902,153500,19.16,19.16,19.16,19.16,7492,0
UAE.US,5,20250902,154000,19.16,19.17,19.16,19.16,2700,0
UAE.US,5,20250902,154500,19.16,19.165,19.15,19.15,2600,0
UAE.US,5,20250902,155000,19.155,19.155,19.1401,19.1401,1689,0
UAE.US,5,20250902,155500,19.14,19.14,19.13,19.13,2668,0
UAE.US,5,20250902,160000,19.13,19.13,19.045,19.07,10508,0
UAE.US,5,20250902,160500,19.095,19.095,19.055,19.065,3806,0
UAE.US,5,20250902,161000,19.06,19.065,19.05,19.055,3395,0
UAE.US,5,20250902,161500,19.055,19.11,19.055,19.11,5249,0
UAE.US,5,20250902,162000,19.11,19.115,19.09,19.095,2300,0
UAE.US,5,20250902,162500,19.095,19.125,19.095,19.125,3513,0
UAE.US,5,20250902,163000,19.12,19.13,19.1,19.1,17822,0
UAE.US,5,20250902,163500,19.08,19.08,19.08,19.08,600,0
UAE.US,5,20250902,164000,19.075,19.075,19.045,19.045,600,0
UAE.US,5,20250902,164500,19.045,19.0462,19.04,19.04,1177,0
UAE.US,5,20250902,165000,19.04,19.05,19.03,19.05,4360,0
UAE.US,5,20250902,165500,19.05,19.05,19.0384,19.04,3201,0
UAE.US,5,20250902,170000,19.06,19.06,19.03,19.03,11833,0
UAE.US,5,20250902,170500,19.035,19.035,19.02,19.03,1391,0
UAE.US,5,20250902,171000,19.02,19.06,19.02,19.06,571,0
UAE.US,5,20250902,171500,19.03,19.035,19.01,19.03,600,0
UAE.US,5,20250902,172000,19.03,19.04,19.03,19.03,1478,0
UAE.US,5,20250902,172500,19.03,19.04,19.03,19.04,13040,0
UAE.US,5,20250902,173000,19.04,19.0454,19.02,19.03,5100,0
UAE.US,5,20250902,173500,19.03,19.03,19.02,19.02,901,0
UAE.US,5,20250902,174000,19.03,19.04,19.015,19.04,5265,0
UAE.US,5,20250902,174500,19.02,19.035,19.015,19.02,1296,0
UAE.US,5,20250902,175000,19.02,19.02,19.01,19.01,700,0
UAE.US,5,20250902,175500,19.01,19.02,19.01,19.02,600,0
UAE.US,5,20250902,180000,19.02,19.02,19.02,19.02,1000,0
UAE.US,5,20250902,180500,19.01,19.0171,19.01,19.01,895,0
UAE.US,5,20250902,181000,19.01,19.02,19.01,19.02,1100,0
UAE.US,5,20250902,181500,19.02,19.02,19.02,19.02,500,0
UAE.US,5,20250902,182000,19.02,19.02,19.01,19.015,6100,0
UAE.US,5,20250902,182500,19.015,19.015,19.015,19.015,1400,0
UAE.US,5,20250902,183000,19.015,19.035,19.015,19.03,2466,0
UAE.US,5,20250902,183500,19.02,19.03,19.02,19.02,700,0
UAE.US,5,20250902,184000,19.02,19.028,19.02,19.02,3300,0
UAE.US,5,20250902,184500,19.02,19.02,19.02,19.02,950,0
UAE.US,5,20250902,185000,19.02,19.03,19.02,19.02,2433,0
UAE.US,5,20250902,185500,19.02,19.0279,19.02,19.025,1418,0
UAE.US,5,20250902,190000,19.025,19.025,19.0228,19.0228,1338,0
UAE.US,5,20250902,190500,19.02,19.02,19.02,19.02,1194,0
UAE.US,5,20250902,191000,19.025,19.045,19.025,19.03,5022,0
UAE.US,5,20250902,191500,19.03,19.03,19.03,19.03,400,0
UAE.US,5,20250902,192000,19.03,19.0335,19.03,19.03,679,0
UAE.US,5,20250902,192500,19.035,19.035,19.03,19.035,900,0
UAE.US,5,20250902,193000,19.035,19.0392,19.0333,19.035,1937,0
UAE.US,5,20250902,193500,19.035,19.08,19.035,19.055,2931,0
