<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBND.US,5,20250829,153000,21.91,21.91,21.91,21.91,1495,0
UBND.US,5,20250829,154000,21.904,21.904,21.904,21.904,293,0
UBND.US,5,20250829,160000,21.9065,21.91,21.9065,21.9099,4429,0
UBND.US,5,20250829,163500,21.915,21.915,21.915,21.915,309,0
UBND.US,5,20250829,164500,21.9191,21.9191,21.9191,21.9191,477,0
UBND.US,5,20250829,165500,21.9002,21.9002,21.9002,21.9002,1460,0
UBND.US,5,20250829,171500,21.905,21.905,21.9,21.9,14895,0
UBND.US,5,20250829,172000,21.89,21.89,21.89,21.89,2519,0
UBND.US,5,20250829,173500,21.905,21.905,21.905,21.905,6100,0
UBND.US,5,20250829,175500,21.9,21.9199,21.9,21.9199,975,0
UBND.US,5,20250829,180000,21.909,21.909,21.909,21.909,171,0
UBND.US,5,20250829,183500,21.9138,21.9138,21.9138,21.9138,109,0
UBND.US,5,20250829,190500,21.92,21.92,21.92,21.92,2600,0
UBND.US,5,20250829,192500,21.925,21.925,21.925,21.925,4521,0
UBND.US,5,20250829,193500,21.925,21.925,21.925,21.925,100,0
UBND.US,5,20250829,194500,21.92,21.92,21.92,21.92,100,0
UBND.US,5,20250829,195000,21.9249,21.9249,21.9249,21.9249,475,0
UBND.US,5,20250829,195500,21.9235,21.9235,21.9235,21.9235,368,0
UBND.US,5,20250829,200000,21.92,21.92,21.92,21.92,100,0
UBND.US,5,20250829,203000,21.92,21.92,21.92,21.92,100,0
UBND.US,5,20250829,203500,21.92,21.93,21.9135,21.9265,4654,0
UBND.US,5,20250829,205000,21.92,21.92,21.92,21.92,27549,0
UBND.US,5,20250829,205500,21.9243,21.9243,21.92,21.92,529,0
UBND.US,5,20250829,210500,21.92,21.9499,21.92,21.9299,15389,0
UBND.US,5,20250829,211000,21.925,21.925,21.92,21.925,20310,0
UBND.US,5,20250829,211500,21.925,21.925,21.925,21.925,390,0
UBND.US,5,20250829,212000,21.92,21.92,21.92,21.92,200,0
UBND.US,5,20250829,212500,21.925,21.925,21.925,21.925,237,0
UBND.US,5,20250829,213000,21.93,21.93,21.93,21.93,100,0
UBND.US,5,20250829,213500,21.9209,21.94,21.9209,21.94,19604,0
UBND.US,5,20250829,214000,21.935,21.935,21.935,21.935,204,0
UBND.US,5,20250829,215000,21.935,21.9372,21.935,21.9372,598,0
UBND.US,5,20250829,215500,21.93,21.95,21.91,21.92,7903,0
UBND.US,5,20250902,153000,21.85,21.86,21.85,21.86,200,0
UBND.US,5,20250902,160000,21.8699,21.87,21.8699,21.87,200,0
UBND.US,5,20250902,163000,21.8672,21.8672,21.8672,21.8672,318,0
UBND.US,5,20250902,165000,21.87,21.88,21.87,21.87,4311,0
UBND.US,5,20250902,170000,21.87,21.875,21.87,21.87,1800,0
UBND.US,5,20250902,170500,21.869,21.87,21.865,21.87,2820,0
UBND.US,5,20250902,171000,21.865,21.87,21.865,21.87,200,0
UBND.US,5,20250902,171500,21.86,21.86,21.86,21.86,200,0
UBND.US,5,20250902,172000,21.8635,21.8635,21.8635,21.8635,1967,0
