<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UEVM.US,5,20250829,153000,54.54,54.54,54.54,54.54,600,0
UEVM.US,5,20250829,162500,54.525,54.525,54.525,54.525,697,0
UEVM.US,5,20250829,183000,54.65,54.67,54.65,54.67,756,0
UEVM.US,5,20250829,215500,54.7,54.7,54.7,54.7,1100,0
UEVM.US,5,20250902,153000,54.03,54.03,54.03,54.03,127,0
UEVM.US,5,20250902,161500,54.326,54.326,54.326,54.326,110,0
UEVM.US,5,20250902,202500,54.345,54.345,54.345,54.345,200,0
UEVM.US,5,20250903,182000,54.5199,54.5199,54.5199,54.5199,248,0
UEVM.US,5,20250903,190000,54.5,54.5,54.5,54.5,200,0
UEVM.US,5,20250903,214000,54.52,54.52,54.52,54.52,326,0
UEVM.US,5,20250904,153000,53.99,53.99,53.99,53.99,701,0
UEVM.US,5,20250904,183000,53.99,53.99,53.99,53.99,150,0
UEVM.US,5,20250904,191000,54.08,54.08,54.08,54.08,100,0
UEVM.US,5,20250904,195500,54.04,54.0401,54.04,54.0401,200,0
UEVM.US,5,20250904,210000,54.12,54.12,54.12,54.12,150,0
UEVM.US,5,20250905,154500,54.94,54.95,54.94,54.9499,1900,0
UEVM.US,5,20250905,155000,55.01,55.05,55.0099,55.0099,5000,0
UEVM.US,5,20250905,164500,54.6567,54.6567,54.6567,54.6567,500,0
UEVM.US,5,20250905,170000,54.6791,54.6791,54.6791,54.6791,700,0
UEVM.US,5,20250908,153000,54.99,54.99,54.99,54.99,172,0
UEVM.US,5,20250908,155500,54.95,54.96,54.95,54.96,840,0
UEVM.US,5,20250908,163500,54.888985,54.888985,54.888985,54.888985,352,0
UEVM.US,5,20250908,164500,54.9,54.9,54.9,54.9,100,0
UEVM.US,5,20250908,165500,54.8715,54.8715,54.8715,54.8715,200,0
UEVM.US,5,20250908,171500,54.9976,54.9976,54.9976,54.9976,162,0
UEVM.US,5,20250908,172000,54.985,54.985,54.985,54.985,100,0
UEVM.US,5,20250908,174500,54.92,54.92,54.92,54.92,100,0
UEVM.US,5,20250908,182500,54.935,54.935,54.935,54.935,338,0
UEVM.US,5,20250908,183500,54.92,54.92,54.92,54.92,300,0
UEVM.US,5,20250908,191500,54.905,54.91,54.905,54.91,200,0
UEVM.US,5,20250908,204500,54.97,54.97,54.97,54.97,100,0
UEVM.US,5,20250908,210000,54.97,54.97,54.97,54.97,250,0
UEVM.US,5,20250909,153000,55.23,55.23,55.23,55.23,714,0
UEVM.US,5,20250909,155500,55.14,55.14,55.14,55.14,500,0
UEVM.US,5,20250909,160000,55.16,55.16,55.16,55.16,200,0
UEVM.US,5,20250909,160500,55.13,55.13,55.13,55.13,125,0
UEVM.US,5,20250909,181500,55.09,55.09,55.09,55.09,257,0
UEVM.US,5,20250909,184500,55.12,55.12,55.12,55.12,100,0
UEVM.US,5,20250909,192000,55.13,55.13,55.13,55.13,700,0
UEVM.US,5,20250909,193000,55.105,55.105,55.105,55.105,212,0
UEVM.US,5,20250909,210000,55.14,55.14,55.14,55.14,500,0
UEVM.US,5,20250909,213500,55.1211,55.1211,55.1211,55.1211,417,0
UEVM.US,5,20250910,161500,55.3465,55.3465,55.3465,55.3465,200,0
UEVM.US,5,20250910,162500,55.32,55.32,55.15,55.18,2400,0
UEVM.US,5,20250910,163000,55.24,55.24,55.1,55.1,2000,0
UEVM.US,5,20250910,163500,55.25,55.25,55.25,55.25,200,0
UEVM.US,5,20250910,180500,55.211,55.211,55.211,55.211,200,0
UEVM.US,5,20250910,190000,55.21,55.21,55.21,55.21,211,0
UEVM.US,5,20250910,194000,55.2458,55.2458,55.2458,55.2458,183,0
UEVM.US,5,20250910,203000,55.205,55.205,55.205,55.205,128,0
UEVM.US,5,20250910,210500,55.205,55.205,55.205,55.205,100,0
UEVM.US,5,20250910,211000,55.1701,55.18,55.17,55.1701,500,0
UEVM.US,5,20250911,153500,55.31,55.31,55.29,55.29,400,0
UEVM.US,5,20250911,155500,55.64,55.64,55.62,55.62,344,0
UEVM.US,5,20250911,160500,55.58,55.58,55.58,55.58,100,0
UEVM.US,5,20250911,164500,55.645,55.645,55.645,55.645,214,0
UEVM.US,5,20250911,191500,55.69,55.69,55.69,55.69,175,0
UEVM.US,5,20250911,215500,55.77,55.77,55.77,55.77,280,0
UEVM.US,5,20250912,155500,55.6506,55.6506,55.6506,55.6506,200,0
UEVM.US,5,20250912,171500,55.69,55.69,55.69,55.69,658,0
UEVM.US,5,20250912,173000,55.635,55.635,55.635,55.635,300,0
UEVM.US,5,20250912,181000,55.6,55.6,55.6,55.6,100,0
UEVM.US,5,20250912,185000,55.6412,55.6412,55.625,55.625,460,0
UEVM.US,5,20250912,203500,55.72,55.72,55.72,55.72,100,0
UEVM.US,5,20250912,204500,55.72,55.72,55.72,55.72,100,0
UEVM.US,5,20250912,205000,55.73,55.73,55.73,55.73,100,0
UEVM.US,5,20250915,172000,55.845,55.845,55.845,55.845,350,0
UEVM.US,5,20250915,175500,55.9,55.9,55.9,55.9,3773,0
UEVM.US,5,20250915,190000,55.82828,55.82828,55.82828,55.82828,117,0
UEVM.US,5,20250916,153000,55.74,55.74,55.74,55.74,477,0
UEVM.US,5,20250916,165500,55.7,55.7,55.7,55.7,200,0
