<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XMAG.US,5,20250829,153000,21.7,21.7,21.7,21.7,267,0
XMAG.US,5,20250829,154000,21.711,21.7111,21.71,21.7101,1576,0
XMAG.US,5,20250829,154500,21.7541,21.7541,21.7541,21.7541,115,0
XMAG.US,5,20250829,155000,21.7272,21.7272,21.7272,21.7272,1500,0
XMAG.US,5,20250829,155500,21.72,21.72,21.72,21.72,100,0
XMAG.US,5,20250829,160500,21.62,21.65,21.62,21.635,1061,0
XMAG.US,5,20250829,170500,21.65,21.65,21.6456,21.6456,11574,0
XMAG.US,5,20250829,171500,21.6485,21.6485,21.6485,21.6485,4552,0
XMAG.US,5,20250829,172000,21.635,21.635,21.635,21.635,4585,0
XMAG.US,5,20250829,174500,21.6599,21.6599,21.6599,21.6599,138,0
XMAG.US,5,20250829,175000,21.66,21.66,21.66,21.66,100,0
XMAG.US,5,20250829,175500,21.65,21.65,21.65,21.65,300,0
XMAG.US,5,20250829,180000,21.645,21.67,21.645,21.65,1930,0
XMAG.US,5,20250829,182500,21.6789,21.6789,21.6692,21.6692,300,0
XMAG.US,5,20250829,193500,21.67,21.67,21.67,21.67,1200,0
XMAG.US,5,20250829,194000,21.66,21.66,21.66,21.66,400,0
XMAG.US,5,20250829,195000,21.69,21.69,21.69,21.69,1200,0
XMAG.US,5,20250829,200500,21.67,21.67,21.67,21.67,1200,0
XMAG.US,5,20250829,201000,21.669,21.669,21.63,21.63,200,0
XMAG.US,5,20250829,202000,21.67,21.67,21.67,21.67,923,0
XMAG.US,5,20250829,204000,21.67,21.67,21.67,21.67,100,0
XMAG.US,5,20250829,213000,21.68,21.68,21.6654,21.6654,732,0
XMAG.US,5,20250829,214000,21.659,21.69,21.659,21.69,599,0
XMAG.US,5,20250902,153000,21.4627,21.4627,21.4627,21.4627,5000,0
XMAG.US,5,20250902,154500,21.41,21.41,21.41,21.41,180,0
XMAG.US,5,20250902,161000,21.53,21.53,21.53,21.53,500,0
XMAG.US,5,20250902,163500,21.54,21.54,21.54,21.54,150,0
XMAG.US,5,20250902,165000,21.53,21.53,21.53,21.53,100,0
XMAG.US,5,20250902,172500,21.51,21.51,21.4954,21.5032,787,0
XMAG.US,5,20250902,173500,21.51,21.51,21.46,21.46,775,0
XMAG.US,5,20250902,174500,21.4684,21.4684,21.4684,21.4684,140,0
XMAG.US,5,20250902,181500,21.48,21.48,21.48,21.48,100,0
XMAG.US,5,20250902,182000,21.49,21.5,21.4717,21.475,4136,0
XMAG.US,5,20250902,192000,21.51,21.51,21.51,21.51,1200,0
XMAG.US,5,20250902,200000,21.55,21.55,21.55,21.55,100,0
XMAG.US,5,20250902,205000,21.549,21.549,21.549,21.549,100,0
XMAG.US,5,20250902,205500,21.5254,21.54,21.5254,21.54,1192,0
XMAG.US,5,20250902,210000,21.55,21.55,21.55,21.55,300,0
XMAG.US,5,20250902,215500,21.56,21.59,21.56,21.59,8809,0
XMAG.US,5,20250903,153000,21.57,21.57,21.57,21.57,212,0
XMAG.US,5,20250903,154000,21.545,21.545,21.545,21.545,100,0
XMAG.US,5,20250903,155500,21.52,21.53,21.51,21.51,4100,0
XMAG.US,5,20250903,161000,21.54,21.54,21.54,21.54,100,0
XMAG.US,5,20250903,161500,21.52,21.52,21.52,21.52,100,0
XMAG.US,5,20250903,162000,21.5075,21.5075,21.5075,21.5075,114,0
XMAG.US,5,20250903,162500,21.515,21.515,21.515,21.515,287,0
XMAG.US,5,20250903,171500,21.55,21.55,21.55,21.55,1092,0
XMAG.US,5,20250903,173000,21.494,21.494,21.494,21.494,233,0
XMAG.US,5,20250903,175000,21.5,21.5,21.5,21.5,100,0
XMAG.US,5,20250903,191500,21.49,21.49,21.49,21.49,1200,0
XMAG.US,5,20250903,192500,21.4547,21.4547,21.4547,21.4547,150,0
XMAG.US,5,20250903,193000,21.49,21.49,21.49,21.49,247,0
XMAG.US,5,20250903,194000,21.45,21.47,21.45,21.47,300,0
XMAG.US,5,20250903,194500,21.45,21.45,21.45,21.45,100,0
XMAG.US,5,20250903,195500,21.4298,21.4298,21.4298,21.4298,100,0
XMAG.US,5,20250903,205000,21.46,21.46,21.46,21.46,100,0
XMAG.US,5,20250903,210500,21.46,21.46,21.46,21.46,118,0
XMAG.US,5,20250903,212000,21.47,21.47,21.47,21.47,100,0
XMAG.US,5,20250903,213500,21.4999,21.4999,21.475,21.475,256,0
XMAG.US,5,20250904,153000,21.56,21.56,21.56,21.56,2001,0
XMAG.US,5,20250904,160000,21.59,21.59,21.59,21.59,450,0
XMAG.US,5,20250904,160500,21.56,21.56,21.56,21.56,100,0
XMAG.US,5,20250904,171500,21.5851,21.5851,21.5851,21.5851,128,0
XMAG.US,5,20250904,173000,21.6256,21.6256,21.6256,21.6256,200,0
XMAG.US,5,20250904,180500,21.601,21.601,21.6,21.6,1010,0
