<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACHC.US,5,20250829,153000,22.74,22.84,22.63,22.75,22998,0
ACHC.US,5,20250829,153500,22.83,22.94,22.82,22.915,13964,0
ACHC.US,5,20250829,154000,22.95,23.29,22.93,23.28,39790,0
ACHC.US,5,20250829,154500,23.31,23.34,23.22,23.23,3897,0
ACHC.US,5,20250829,155000,23.235,23.255,23.11,23.125,3016,0
ACHC.US,5,20250829,155500,23.14,23.22,23.11,23.185,85465,0
ACHC.US,5,20250829,160000,23.18,23.222,23.1401,23.17,7270,0
ACHC.US,5,20250829,160500,23.19,23.21,23.095,23.13,8096,0
ACHC.US,5,20250829,161000,23.09,23.13,23.02,23.035,97370,0
ACHC.US,5,20250829,161500,23.08,23.123,23.065,23.07,5461,0
ACHC.US,5,20250829,162000,23.03,23.08,23.01,23.06,3946,0
ACHC.US,5,20250829,162500,23.08,23.09,23.06,23.09,2644,0
ACHC.US,5,20250829,163000,23.085,23.1,23.06,23.06,2103,0
ACHC.US,5,20250829,163500,23.05,23.07,23.01,23.0405,5010,0
ACHC.US,5,20250829,164000,23.0457,23.16,23.0457,23.1,104860,0
ACHC.US,5,20250829,164500,23.11,23.11,22.985,22.985,6110,0
ACHC.US,5,20250829,165000,23.01,23.01,22.95,22.97,5372,0
ACHC.US,5,20250829,165500,22.97,23.08,22.97,23.08,2229,0
ACHC.US,5,20250829,170000,23.08,23.08,22.97,22.97,5231,0
ACHC.US,5,20250829,170500,22.98,22.98,22.9,22.93,8204,0
ACHC.US,5,20250829,171000,22.94,22.95,22.9,22.9,14005,0
ACHC.US,5,20250829,171500,22.91,22.91,22.86,22.86,2947,0
ACHC.US,5,20250829,172000,22.85,22.85,22.81,22.82,6720,0
ACHC.US,5,20250829,172500,22.8,22.83,22.8,22.8,2611,0
ACHC.US,5,20250829,173000,22.8054,22.84,22.8,22.83,3047,0
ACHC.US,5,20250829,173500,22.82,22.94,22.8194,22.925,164339,0
ACHC.US,5,20250829,174000,22.91,22.9216,22.86,22.9065,107879,0
ACHC.US,5,20250829,174500,22.905,22.93,22.9,22.9,2402,0
ACHC.US,5,20250829,175000,22.89,22.89,22.84,22.85,4730,0
ACHC.US,5,20250829,175500,22.85,22.9,22.85,22.855,4906,0
ACHC.US,5,20250829,180000,22.845,22.99,22.845,22.96,122871,0
ACHC.US,5,20250829,180500,22.97,22.99,22.97,22.97,1724,0
ACHC.US,5,20250829,181000,22.96,22.96,22.9,22.91,3686,0
ACHC.US,5,20250829,181500,22.91,22.93,22.91,22.93,3345,0
ACHC.US,5,20250829,182000,22.93,22.98,22.93,22.97,3250,0
ACHC.US,5,20250829,182500,22.96,22.97,22.95,22.97,994,0
ACHC.US,5,20250829,183000,22.97,22.97,22.96,22.96,891,0
ACHC.US,5,20250829,183500,22.96,22.98,22.96,22.96,2751,0
ACHC.US,5,20250829,184000,22.95,22.975,22.92,22.95,6471,0
ACHC.US,5,20250829,184500,22.96,22.96,22.855,22.855,58749,0
ACHC.US,5,20250829,185000,22.84,22.86,22.825,22.86,2753,0
ACHC.US,5,20250829,185500,22.88,22.94,22.88,22.94,2575,0
ACHC.US,5,20250829,190000,22.94,22.95,22.93,22.95,10270,0
ACHC.US,5,20250829,190500,22.9435,23,22.9435,22.965,90207,0
ACHC.US,5,20250829,191000,22.96,22.98,22.95,22.98,1978,0
ACHC.US,5,20250829,191500,22.98,22.987341,22.97,22.987341,2068,0
ACHC.US,5,20250829,192000,22.98,22.995,22.98,22.98,2961,0
ACHC.US,5,20250829,192500,22.97,22.98,22.95,22.98,3650,0
ACHC.US,5,20250829,193000,22.98,23.11,22.97,23.085,145372,0
ACHC.US,5,20250829,193500,23.08,23.13,23.08,23.12,4140,0
ACHC.US,5,20250829,194000,23.12,23.1208,23.04,23.05,103876,0
ACHC.US,5,20250829,194500,23.05,23.05,23.01,23.01,2642,0
ACHC.US,5,20250829,195000,23.01,23.03,23.01,23.02,2486,0
ACHC.US,5,20250829,195500,23.02,23.035,22.98,23.03,29119,0
ACHC.US,5,20250829,200000,23.03,23.03,22.92,22.92,3528,0
ACHC.US,5,20250829,200500,22.92,22.92,22.875,22.88,3742,0
ACHC.US,5,20250829,201000,22.88,22.88,22.82,22.82,1800,0
ACHC.US,5,20250829,201500,22.84,22.845,22.82,22.84,3664,0
ACHC.US,5,20250829,202000,22.85,22.86,22.8,22.84,3752,0
ACHC.US,5,20250829,202500,22.83,22.8606,22.8,22.84,62485,0
ACHC.US,5,20250829,203000,22.83,22.83,22.79,22.8,42288,0
ACHC.US,5,20250829,203500,22.79,22.8,22.775,22.79,5369,0
ACHC.US,5,20250829,204000,22.79,22.81,22.74,22.7401,7906,0
ACHC.US,5,20250829,204500,22.74,22.74,22.7101,22.7101,1973,0
ACHC.US,5,20250829,205000,22.72,22.72,22.68,22.685,2056,0
ACHC.US,5,20250829,205500,22.68,22.69,22.67,22.675,1160,0
ACHC.US,5,20250829,210000,22.67,22.69,22.645,22.69,7102,0
ACHC.US,5,20250829,210500,22.685,22.7,22.67,22.685,7381,0
ACHC.US,5,20250829,211000,22.685,22.69,22.65,22.665,3731,0
ACHC.US,5,20250829,211500,22.67,22.68,22.615,22.635,7091,0
ACHC.US,5,20250829,212000,22.64,22.68,22.635,22.67,5197,0
ACHC.US,5,20250829,212500,22.68,22.735,22.655,22.73,19192,0
ACHC.US,5,20250829,213000,22.735,22.765,22.735,22.75,22346,0
ACHC.US,5,20250829,213500,22.76,22.795,22.75,22.795,8694,0
ACHC.US,5,20250829,214000,22.795,22.8375,22.795,22.825,10200,0
ACHC.US,5,20250829,214500,22.825,22.92,22.82,22.92,50764,0
ACHC.US,5,20250829,215000,22.93,22.96,22.9,22.91,34070,0
ACHC.US,5,20250829,215500,22.915,23,22.915,22.96,351872,0
ACHC.US,5,20250902,153000,22.57,22.66,22.2781,22.555,22269,0
ACHC.US,5,20250902,153500,22.745,22.89,22.41,22.515,4572,0
ACHC.US,5,20250902,154000,22.515,22.5391,22.4,22.505,6140,0
ACHC.US,5,20250902,154500,22.5,22.5,22.355,22.485,9569,0
ACHC.US,5,20250902,155000,22.5,22.62,22.485,22.62,2217,0
ACHC.US,5,20250902,155500,22.62,22.705,22.62,22.705,2973,0
ACHC.US,5,20250902,160000,22.73,22.95,22.73,22.95,32489,0
ACHC.US,5,20250902,160500,22.95,23.05,22.95,23.03,12277,0
ACHC.US,5,20250902,161000,23.07,23.095,23,23.06,37238,0
ACHC.US,5,20250902,161500,23.055,23.11,23.055,23.06,7390,0
ACHC.US,5,20250902,162000,23.04,23.21,23.03,23.13,118033,0
ACHC.US,5,20250902,162500,23.1,23.2,23.07,23.165,117305,0
ACHC.US,5,20250902,163000,23.16,23.16,23.1025,23.14,29629,0
ACHC.US,5,20250902,163500,23.15,23.1895,23.05,23.1796,26851,0
ACHC.US,5,20250902,164000,23.1612,23.2297,23.0901,23.17,268829,0
ACHC.US,5,20250902,164500,23.16,23.21,23.15,23.15,2964,0
ACHC.US,5,20250902,165000,23.135,23.135,22.985,22.985,10295,0
ACHC.US,5,20250902,165500,22.985,23.01,22.9301,22.955,5084,0
ACHC.US,5,20250902,170000,22.955,23.09,22.955,23.08,4182,0
ACHC.US,5,20250902,170500,23.07,23.1038,23.05,23.0677,73144,0
ACHC.US,5,20250902,171000,23.08,23.14,23.06,23.1,37256,0
ACHC.US,5,20250902,171500,23.1,23.11,23.035,23.11,8866,0
ACHC.US,5,20250902,172000,23.11,23.11,23.05,23.05,6174,0
ACHC.US,5,20250902,172500,23.04,23.15,23.04,23.11,82537,0
ACHC.US,5,20250902,173000,23.1,23.11,23.09,23.1,1900,0
ACHC.US,5,20250902,173500,23.09,23.19,23.08,23.18,21759,0
ACHC.US,5,20250902,174000,23.18,23.22,23.18,23.21,19822,0
ACHC.US,5,20250902,174500,23.22,23.23,23.199,23.22,42069,0
ACHC.US,5,20250902,175000,23.2,23.21,23.13,23.15,49486,0
ACHC.US,5,20250902,175500,23.15,23.15,23.095,23.15,9092,0
ACHC.US,5,20250902,180000,23.17,23.21,23.16,23.21,1927,0
ACHC.US,5,20250902,180500,23.21,23.25,23.17,23.24,33803,0
ACHC.US,5,20250902,181000,23.23,23.255,23.17,23.18,127155,0
ACHC.US,5,20250902,181500,23.19,23.24,23.19,23.22,6177,0
ACHC.US,5,20250902,182000,23.18,23.195,23.06,23.09,19643,0
ACHC.US,5,20250902,182500,23.09,23.09,23.04,23.08,25285,0
ACHC.US,5,20250902,183000,23.08,23.12,23.06,23.095,35580,0
ACHC.US,5,20250902,183500,23.1,23.12,23.07,23.07,13216,0
ACHC.US,5,20250902,184000,23.07,23.07,22.98,23,4535,0
ACHC.US,5,20250902,184500,22.99,23.01,22.865,22.865,11718,0
ACHC.US,5,20250902,185000,22.86,23.005,22.86,23,62823,0
ACHC.US,5,20250902,185500,23,23.09,22.995,23.08,37658,0
ACHC.US,5,20250902,190000,23.08,23.1,23.05,23.07,49454,0
ACHC.US,5,20250902,190500,23.07,23.13,23.07,23.1,3793,0
