<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADAMM.US,5,20250829,153500,24.9483,24.9483,24.9483,24.9483,150,0
ADAMM.US,5,20250829,162500,24.9478,24.9478,24.9478,24.9478,100,0
ADAMM.US,5,20250829,163000,24.948,24.948,24.948,24.948,240,0
ADAMM.US,5,20250829,171500,24.95,24.95,24.9499,24.9499,428,0
ADAMM.US,5,20250829,180000,24.9404,24.9404,24.9404,24.9404,200,0
ADAMM.US,5,20250829,181000,24.95,24.95,24.95,24.95,133,0
ADAMM.US,5,20250829,194500,24.93,24.9496,24.91,24.91,300,0
ADAMM.US,5,20250829,201500,24.91,24.91,24.91,24.91,100,0
ADAMM.US,5,20250829,204000,24.91,24.91,24.91,24.91,100,0
ADAMM.US,5,20250829,205500,24.9,24.9,24.9,24.9,210,0
ADAMM.US,5,20250829,210500,24.82,24.95,24.82,24.95,261,0
ADAMM.US,5,20250829,212500,24.82,24.82,24.82,24.82,100,0
ADAMM.US,5,20250829,213500,24.948,24.948,24.948,24.948,147,0
ADAMM.US,5,20250829,214000,24.81,24.81,24.81,24.81,100,0
ADAMM.US,5,20250829,215000,24.89,24.89,24.79,24.79,200,0
ADAMM.US,5,20250829,215500,24.81,24.83,24.78,24.78,9057,0
ADAMM.US,5,20250902,153000,24.77,24.84,24.77,24.84,1280,0
ADAMM.US,5,20250902,154000,24.88,24.9,24.88,24.9,250,0
ADAMM.US,5,20250902,155000,24.93,24.9499,24.9135,24.9135,3000,0
ADAMM.US,5,20250902,160500,24.9408,24.9408,24.9408,24.9408,100,0
ADAMM.US,5,20250902,161000,24.93,24.9499,24.9,24.9,2400,0
ADAMM.US,5,20250902,164500,24.9169,24.9169,24.9169,24.9169,100,0
ADAMM.US,5,20250902,165000,24.93,24.93,24.93,24.93,100,0
ADAMM.US,5,20250902,170000,24.95,24.95,24.93,24.93,540,0
ADAMM.US,5,20250902,171500,24.93,24.93,24.93,24.93,150,0
ADAMM.US,5,20250902,173000,24.93,24.9486,24.9227,24.9486,1100,0
ADAMM.US,5,20250902,173500,24.93,24.94,24.93,24.94,403,0
ADAMM.US,5,20250902,175500,24.95,24.95,24.94,24.94,400,0
ADAMM.US,5,20250902,183000,24.95,24.95,24.93,24.93,200,0
ADAMM.US,5,20250902,184000,24.9215,24.9215,24.9215,24.9215,500,0
ADAMM.US,5,20250902,184500,24.9284,24.9284,24.9284,24.9284,125,0
ADAMM.US,5,20250902,185500,24.95,24.98,24.9499,24.9544,6050,0
ADAMM.US,5,20250902,192000,24.93,24.93,24.9183,24.9183,1000,0
ADAMM.US,5,20250902,192500,24.93,24.93,24.93,24.93,100,0
ADAMM.US,5,20250902,193000,25,25,25,25,100,0
ADAMM.US,5,20250902,201000,24.9586,24.9644,24.9586,24.9644,200,0
ADAMM.US,5,20250902,202000,24.9967,24.9967,24.9967,24.9967,280,0
ADAMM.US,5,20250902,205000,24.998,24.998,24.998,24.998,100,0
ADAMM.US,5,20250902,210000,25,25,25,25,2726,0
ADAMM.US,5,20250902,213000,24.95,24.95,24.95,24.95,100,0
ADAMM.US,5,20250902,215000,24.95,24.95,24.92,24.92,200,0
ADAMM.US,5,20250902,215500,24.98,24.98,24.98,24.98,100,0
ADAMM.US,5,20250904,153000,24.95,24.95,24.95,24.95,100,0
ADAMM.US,5,20250904,154000,25,25,25,25,1469,0
ADAMM.US,5,20250904,155500,24.975,24.975,24.975,24.975,990,0
ADAMM.US,5,20250904,160500,25,25,24.9999,24.9999,2974,0
ADAMM.US,5,20250904,162000,24.96,24.96,24.96,24.96,200,0
ADAMM.US,5,20250904,163500,25,25,24.975,24.975,801,0
ADAMM.US,5,20250904,164000,24.97,24.97,24.97,24.97,110,0
ADAMM.US,5,20250904,171000,24.9834,24.9834,24.9834,24.9834,165,0
ADAMM.US,5,20250904,171500,24.9956,24.9956,24.9956,24.9956,100,0
ADAMM.US,5,20250904,172500,24.985,24.9927,24.985,24.9927,300,0
ADAMM.US,5,20250904,173500,24.98,24.98,24.98,24.98,300,0
ADAMM.US,5,20250904,175500,24.99,25,24.99,25,4397,0
ADAMM.US,5,20250904,180000,24.9841,24.9841,24.9841,24.9841,100,0
ADAMM.US,5,20250904,180500,24.97,24.97,24.97,24.97,176,0
ADAMM.US,5,20250904,192000,24.985,24.985,24.97,24.9701,2081,0
ADAMM.US,5,20250904,205500,24.98,24.98,24.98,24.98,100,0
ADAMM.US,5,20250904,212500,25,25,24.9998,25,624,0
ADAMM.US,5,20250904,213000,24.9943,24.9943,24.9943,24.9943,100,0
ADAMM.US,5,20250904,214000,24.98,24.98,24.98,24.98,100,0
ADAMM.US,5,20250905,161500,25.1,25.1,25.1,25.1,100,0
ADAMM.US,5,20250905,163500,25.09,25.09,25.09,25.09,100,0
ADAMM.US,5,20250905,165000,25.1,25.1,25.0934,25.095,1761,0
ADAMM.US,5,20250905,165500,25.095,25.1,25.09,25.09,5088,0
ADAMM.US,5,20250905,180000,25.1,25.1,25.1,25.1,203,0
ADAMM.US,5,20250905,183500,25.1,25.1,25.1,25.1,115,0
ADAMM.US,5,20250905,193000,25.0916,25.0916,25.0916,25.0916,1000,0
ADAMM.US,5,20250905,193500,25.09,25.09,25.09,25.09,150,0
ADAMM.US,5,20250905,194500,25.08,25.08,25.08,25.08,300,0
ADAMM.US,5,20250905,201500,25.1,25.1,25.1,25.1,200,0
ADAMM.US,5,20250905,205000,25.031,25.031,25.031,25.031,851,0
ADAMM.US,5,20250905,205500,25.0332,25.0332,25.0332,25.0332,100,0
ADAMM.US,5,20250905,213500,25.0384,25.0384,25.0384,25.0384,1000,0
ADAMM.US,5,20250905,214000,25.03,25.05,25.03,25.05,1079,0
ADAMM.US,5,20250905,215500,25.1,25.1,25.1,25.1,881,0
ADAMM.US,5,20250908,155000,25.095,25.095,25.095,25.095,100,0
ADAMM.US,5,20250908,160000,25.11,25.11,25.11,25.11,200,0
ADAMM.US,5,20250908,164000,25.11,25.11,25.1,25.1,1177,0
