<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATLC.US,5,20250829,153000,66.52,66.52,66.5,66.5,327,0
ATLC.US,5,20250829,154000,66.68,67.065,66.65,66.65,300,0
ATLC.US,5,20250829,161500,66.9,66.9,66.9,66.9,200,0
ATLC.US,5,20250829,164500,66.945,66.945,66.805,66.805,200,0
ATLC.US,5,20250829,165000,66.725,66.725,66.725,66.725,100,0
ATLC.US,5,20250829,170500,66.5052,66.5052,66.5052,66.5052,191,0
ATLC.US,5,20250829,171000,66.665,66.665,66.27,66.27,812,0
ATLC.US,5,20250829,172500,66.44,66.49,66.42,66.42,500,0
ATLC.US,5,20250829,173500,66.38,66.38,66.38,66.38,300,0
ATLC.US,5,20250829,181500,66.5485,66.5485,66.5485,66.5485,105,0
ATLC.US,5,20250829,182500,66.8775,66.905,66.83,66.905,300,0
ATLC.US,5,20250829,184000,66.57,66.57,66.57,66.57,100,0
ATLC.US,5,20250829,185000,66.59,66.59,66.59,66.59,100,0
ATLC.US,5,20250829,185500,66.695,66.695,66.695,66.695,100,0
ATLC.US,5,20250829,191500,66.58,66.63,66.58,66.63,200,0
ATLC.US,5,20250829,193000,66.64,66.64,66.64,66.64,100,0
ATLC.US,5,20250829,194000,66.8,66.8,66.8,66.8,200,0
ATLC.US,5,20250829,200500,66.735,66.735,66.735,66.735,100,0
ATLC.US,5,20250829,201500,66.7357,66.7357,66.7357,66.7357,100,0
ATLC.US,5,20250829,210000,66.45,66.45,66.42,66.42,300,0
ATLC.US,5,20250829,212500,66.43,66.47,66.4,66.47,500,0
ATLC.US,5,20250829,213000,66.39,66.39,66.38,66.38,200,0
ATLC.US,5,20250829,214500,66.42,66.53,66.42,66.53,200,0
ATLC.US,5,20250829,215000,66.62,66.62,66.58,66.58,300,0
ATLC.US,5,20250829,215500,66.46,66.7,66.44,66.7,4537,0
ATLC.US,5,20250902,153000,65.47,65.47,64.8541,64.8541,828,0
ATLC.US,5,20250902,154000,65.25,65.25,65.25,65.25,300,0
ATLC.US,5,20250902,155500,65,65.66,65,65.035,300,0
ATLC.US,5,20250902,160000,65.8,65.8,65.8,65.8,100,0
ATLC.US,5,20250902,160500,65.085,65.085,65.085,65.085,100,0
ATLC.US,5,20250902,161500,64.945,64.945,64.945,64.945,369,0
ATLC.US,5,20250902,162000,65.265,65.265,65.265,65.265,100,0
ATLC.US,5,20250902,163000,65.285,65.285,65.285,65.285,100,0
ATLC.US,5,20250902,165500,65.2801,65.2801,65.2801,65.2801,126,0
ATLC.US,5,20250902,171000,65.27,65.27,65.155,65.155,563,0
ATLC.US,5,20250902,173000,64.745,64.745,64.745,64.745,500,0
ATLC.US,5,20250902,173500,64.78,64.78,64.78,64.78,100,0
ATLC.US,5,20250902,174000,65,65,65,65,100,0
ATLC.US,5,20250902,184500,65.4003,65.4003,65.4003,65.4003,255,0
ATLC.US,5,20250902,185000,65.24,65.345,65.24,65.345,200,0
ATLC.US,5,20250902,185500,65.55,65.55,65.55,65.55,100,0
ATLC.US,5,20250902,191000,65.745,65.745,65.39,65.39,348,0
ATLC.US,5,20250902,192500,65.38,65.38,65.38,65.38,100,0
ATLC.US,5,20250902,193500,66.18,66.18,66.1,66.1,219,0
ATLC.US,5,20250902,194500,66,66,66,66,100,0
ATLC.US,5,20250902,201000,65.88,65.88,65.88,65.88,200,0
ATLC.US,5,20250902,201500,66.04,66.04,66.035,66.035,200,0
ATLC.US,5,20250902,202000,66.03,66.03,66.03,66.03,100,0
ATLC.US,5,20250902,204500,66.045,66.045,66.045,66.045,200,0
ATLC.US,5,20250902,205000,66.19,66.21,66.19,66.21,380,0
ATLC.US,5,20250902,205500,66.21,66.21,66.21,66.21,100,0
ATLC.US,5,20250902,210500,66.245,66.245,66.245,66.245,100,0
ATLC.US,5,20250902,212000,66.26,66.37,66.26,66.37,220,0
ATLC.US,5,20250902,212500,66.47,66.47,66.47,66.47,100,0
ATLC.US,5,20250902,213500,66.49,66.7,66.49,66.7,400,0
ATLC.US,5,20250902,214000,66.54,66.54,66.54,66.54,100,0
ATLC.US,5,20250902,214500,66.51,66.51,66.325,66.325,400,0
ATLC.US,5,20250902,215000,66.63,66.63,66.36,66.39,300,0
ATLC.US,5,20250902,215500,66.475,66.5,66.28,66.34,6022,0
ATLC.US,5,20250903,153000,65.85,66.87,65.85,65.975,2298,0
ATLC.US,5,20250903,154500,66.64,66.64,66.64,66.64,100,0
ATLC.US,5,20250903,160000,66.205,66.205,66.205,66.205,100,0
ATLC.US,5,20250903,162500,66.51,66.51,66.51,66.51,100,0
ATLC.US,5,20250903,163500,66.16,66.16,66.16,66.16,147,0
ATLC.US,5,20250903,165500,66.58,66.58,66.58,66.58,100,0
ATLC.US,5,20250903,170000,66.63,66.63,66.63,66.63,100,0
ATLC.US,5,20250903,171500,66.505,66.625,66.505,66.625,200,0
ATLC.US,5,20250903,172000,66.27,66.27,66.27,66.27,100,0
ATLC.US,5,20250903,173500,66.525,66.525,66.525,66.525,100,0
