<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXSM.US,5,20250829,153000,121.75,122.275,121.75,121.99,3662,0
AXSM.US,5,20250829,153500,121.71,122.2,121.71,121.75,1700,0
AXSM.US,5,20250829,154000,121.38,121.5,121,121.5,3066,0
AXSM.US,5,20250829,154500,121.5,121.5,121,121.01,1222,0
AXSM.US,5,20250829,155000,121.25,121.795,121.18,121.18,1249,0
AXSM.US,5,20250829,155500,121.1301,121.4999,120.3271,120.7356,3658,0
AXSM.US,5,20250829,160000,120.71,120.99,120.71,120.885,3789,0
AXSM.US,5,20250829,160500,120.7866,121.04,120.45,120.52,3093,0
AXSM.US,5,20250829,161000,120.65,120.65,120.26,120.26,1100,0
AXSM.US,5,20250829,161500,120.15,120.2148,119.98,120.0301,2250,0
AXSM.US,5,20250829,162000,119.93,120.5106,119.93,120.475,1577,0
AXSM.US,5,20250829,162500,120.14,120.5125,120.14,120.22,400,0
AXSM.US,5,20250829,163000,120.51,120.86,120.31,120.58,1600,0
AXSM.US,5,20250829,163500,120.25,120.64,120.25,120.44,720,0
AXSM.US,5,20250829,164000,120.43,120.625,120.43,120.48,800,0
AXSM.US,5,20250829,164500,120.43,121.02,120.22,121.02,3025,0
AXSM.US,5,20250829,165000,121,121,121,121,100,0
AXSM.US,5,20250829,165500,120.995,121.39,120.995,121.32,1432,0
AXSM.US,5,20250829,170000,121.31,121.4099,121.2,121.4099,900,0
AXSM.US,5,20250829,170500,121.235,121.235,121.1,121.235,650,0
AXSM.US,5,20250829,171000,121.07,121.12,121.03,121.035,1058,0
AXSM.US,5,20250829,171500,121.21,121.24,121,121,1100,0
AXSM.US,5,20250829,172000,120.995,121,120.87,120.89,1832,0
AXSM.US,5,20250829,172500,120.96,121.22,120.935,121.21,2220,0
AXSM.US,5,20250829,173000,121.32,121.32,121.16,121.16,700,0
AXSM.US,5,20250829,173500,121.0213,121.33,121.0213,121.31,713,0
AXSM.US,5,20250829,174000,121.235,121.235,121.23,121.23,200,0
AXSM.US,5,20250829,175000,121.3,121.56,121.22,121.56,665,0
AXSM.US,5,20250829,175500,121.51,121.6,121.5,121.5,2774,0
AXSM.US,5,20250829,180500,121.435,121.435,121.2857,121.43,850,0
AXSM.US,5,20250829,181000,121.4,121.43,121.4,121.43,300,0
AXSM.US,5,20250829,181500,121.405,121.48,121.405,121.45,400,0
AXSM.US,5,20250829,182000,121.405,121.405,121.405,121.405,100,0
AXSM.US,5,20250829,182500,121.4175,121.5,121.4175,121.5,300,0
AXSM.US,5,20250829,183000,121.49,121.49,121.49,121.49,200,0
AXSM.US,5,20250829,183500,121.565,121.65,121.565,121.585,900,0
AXSM.US,5,20250829,184000,121.5,121.5,121.36,121.41,1757,0
AXSM.US,5,20250829,184500,121.41,121.46,121.395,121.46,600,0
AXSM.US,5,20250829,185000,121.33,121.33,121.26,121.3267,800,0
AXSM.US,5,20250829,185500,121.19,121.19,121.12,121.185,1010,0
AXSM.US,5,20250829,190000,121.17,121.17,121.17,121.17,100,0
AXSM.US,5,20250829,191000,120.99,121.065,120.95,120.95,850,0
AXSM.US,5,20250829,191500,120.87,120.925,120.87,120.925,200,0
AXSM.US,5,20250829,192000,120.865,120.98,120.865,120.96,700,0
AXSM.US,5,20250829,192500,121.05,121.05,120.96,120.96,700,0
AXSM.US,5,20250829,193000,121.015,121.17,121.015,121.17,200,0
AXSM.US,5,20250829,193500,121.17,121.17,121.17,121.17,100,0
AXSM.US,5,20250829,194000,121.17,121.44,121.16,121.17,1400,0
AXSM.US,5,20250829,194500,121.12,121.23,121.105,121.23,300,0
AXSM.US,5,20250829,195000,121.3551,121.3551,121.195,121.195,900,0
AXSM.US,5,20250829,195500,121.33,121.44,121.28,121.395,604,0
AXSM.US,5,20250829,200000,121.455,121.47,121.3805,121.3805,362,0
AXSM.US,5,20250829,200500,121.435,121.48,121.37,121.42,600,0
AXSM.US,5,20250829,201000,121.38,121.42,121.38,121.42,400,0
AXSM.US,5,20250829,201500,121.44,121.46,121.26,121.26,800,0
AXSM.US,5,20250829,202000,121.255,121.26,121.175,121.175,800,0
AXSM.US,5,20250829,202500,121.17,121.221,121.17,121.221,200,0
AXSM.US,5,20250829,203000,121.26,121.3,121.245,121.3,800,0
AXSM.US,5,20250829,203500,121.275,121.47,121.275,121.33,500,0
AXSM.US,5,20250829,204000,121.3,121.39,121.3,121.39,400,0
AXSM.US,5,20250829,204500,121.41,121.41,121.33,121.33,700,0
AXSM.US,5,20250829,205000,121.29,121.36,121.28,121.355,1173,0
AXSM.US,5,20250829,205500,121.3755,121.4,121.26,121.34,7370,0
AXSM.US,5,20250829,210500,121.45,121.45,121.3,121.3,588,0
AXSM.US,5,20250829,211000,121.37,121.55,121.335,121.55,4300,0
AXSM.US,5,20250829,211500,121.55,121.67,121.47,121.67,1750,0
AXSM.US,5,20250829,212000,121.67,121.69,121.61,121.69,600,0
AXSM.US,5,20250829,212500,121.71,121.76,121.6225,121.6225,815,0
AXSM.US,5,20250829,213000,121.73,121.73,121.475,121.475,1541,0
AXSM.US,5,20250829,213500,121.445,121.55,121.2701,121.51,3331,0
AXSM.US,5,20250829,214000,121.45,121.56,121.42,121.465,2326,0
AXSM.US,5,20250829,214500,121.49,121.61,121.47,121.58,1301,0
AXSM.US,5,20250829,215000,121.54,121.61,121.141,121.26,13048,0
AXSM.US,5,20250829,215500,121.14,121.38,121.115,121.28,85772,0
AXSM.US,5,20250902,153000,121.41,123.06,121.29,121.8968,13255,0
AXSM.US,5,20250902,153500,121.86,122.39,121.86,122.355,4280,0
AXSM.US,5,20250902,154000,122.355,123.7,122.35,122.6,11623,0
AXSM.US,5,20250902,154500,122.595,123.33,122.595,123.11,4586,0
AXSM.US,5,20250902,155000,123.17,124,123.11,123.4,6969,0
AXSM.US,5,20250902,155500,123.4,123.73,123.4,123.565,3586,0
AXSM.US,5,20250902,160000,123.565,124.5,123.565,123.85,21926,0
AXSM.US,5,20250902,160500,123.77,124.42,123.71,124.34,4923,0
AXSM.US,5,20250902,161000,124.31,124.4,124.2736,124.2736,3159,0
AXSM.US,5,20250902,161500,124.29,124.49,124.19,124.3,2896,0
AXSM.US,5,20250902,162000,124.16,124.38,124.14,124.14,3627,0
AXSM.US,5,20250902,162500,124.135,124.605,124.06,124.605,14145,0
AXSM.US,5,20250902,163000,124.57,124.57,124.3901,124.54,350,0
AXSM.US,5,20250902,163500,124.44,124.44,123.97,123.97,4330,0
AXSM.US,5,20250902,164000,123.9,124.0088,123.87,123.87,550,0
AXSM.US,5,20250902,164500,123.68,123.94,123.68,123.88,1300,0
AXSM.US,5,20250902,165000,123.69,123.88,123.68,123.69,1203,0
AXSM.US,5,20250902,165500,123.61,123.63,123.5,123.5,1175,0
AXSM.US,5,20250902,170000,123.63,123.74,123.51,123.65,4450,0
AXSM.US,5,20250902,170500,123.49,124.09,123.34,123.95,11513,0
AXSM.US,5,20250902,171000,123.955,123.955,123.5,123.635,1724,0
AXSM.US,5,20250902,171500,123.635,123.64,123.36,123.36,4760,0
AXSM.US,5,20250902,172000,123.33,123.48,123.16,123.16,1733,0
AXSM.US,5,20250902,172500,123.16,123.61,123.09,123.465,2114,0
AXSM.US,5,20250902,173000,123.61,123.69,123.54,123.65,6463,0
AXSM.US,5,20250902,173500,123.66,123.73,123.64,123.645,1301,0
AXSM.US,5,20250902,174000,123.645,123.645,123.28,123.28,3570,0
AXSM.US,5,20250902,174500,123.09,123.09,122.935,122.99,1028,0
AXSM.US,5,20250902,175000,123.02,123.13,122.428,122.428,1334,0
AXSM.US,5,20250902,175500,122.6575,122.6575,122.38,122.38,500,0
AXSM.US,5,20250902,180000,122.74,122.87,122.62,122.87,1798,0
AXSM.US,5,20250902,180500,122.81,122.81,122.775,122.775,425,0
AXSM.US,5,20250902,181000,123.03,123.07,122.82,122.82,700,0
AXSM.US,5,20250902,181500,123.06,123.495,123.02,123.02,5651,0
AXSM.US,5,20250902,182000,123.02,123.035,122.89,123.035,1523,0
AXSM.US,5,20250902,182500,123.03,123.03,122.89,122.89,200,0
AXSM.US,5,20250902,183000,122.975,123.06,122.83,122.995,1745,0
AXSM.US,5,20250902,183500,123.01,123.165,123.01,123.165,430,0
AXSM.US,5,20250902,184000,123.04,123.16,123.04,123.16,200,0
AXSM.US,5,20250902,184500,123.165,123.295,123.11,123.11,1156,0
AXSM.US,5,20250902,185000,123.19,123.28,122.81,122.81,6081,0
AXSM.US,5,20250902,185500,122.7,122.765,122.7,122.76,1593,0
AXSM.US,5,20250902,190000,122.7,122.7,122.52,122.57,2013,0
AXSM.US,5,20250902,190500,122.51,122.63,122.02,122.28,4544,0
AXSM.US,5,20250902,191000,122.16,122.905,122.16,122.81,11626,0
AXSM.US,5,20250902,191500,122.95,122.965,122.74,122.86,3021,0
AXSM.US,5,20250902,192000,122.74,123.12,122.74,123.115,6700,0
AXSM.US,5,20250902,192500,123.16678,123.16678,123.08,123.08,600,0
AXSM.US,5,20250902,193000,123.07,123.375,123.07,123.31,5240,0
AXSM.US,5,20250902,193500,123.31,123.375,123.28,123.36,821,0
AXSM.US,5,20250902,194000,123.29,123.5,123.25,123.335,3068,0
AXSM.US,5,20250902,194500,123.35,123.35,123.29,123.325,500,0
AXSM.US,5,20250902,195000,123.325,123.325,123.215,123.215,1361,0
AXSM.US,5,20250902,195500,123.32,123.32,123.19,123.29,1443,0
AXSM.US,5,20250902,200000,123.24,123.41,123.23,123.32,1762,0
AXSM.US,5,20250902,200500,123.22,123.3,123.175,123.3,1125,0
AXSM.US,5,20250902,201000,123.16,123.18,123.11,123.11,1972,0
AXSM.US,5,20250902,201500,123.11,123.4,123.1,123.4,2701,0
AXSM.US,5,20250902,202000,123.375,123.44,123.31,123.44,2915,0
AXSM.US,5,20250902,202500,123.38,123.5,123.34,123.47,5845,0
AXSM.US,5,20250902,203000,123.67,123.67,123.27,123.28,1400,0
AXSM.US,5,20250902,203500,123.21,123.28,123.11,123.21,1037,0
AXSM.US,5,20250902,204000,123.16,123.16,123.02,123.04,525,0
AXSM.US,5,20250902,204500,122.99,123.16,122.94,123.16,1288,0
AXSM.US,5,20250902,205000,122.995,122.995,122.8401,122.99,1450,0
AXSM.US,5,20250902,205500,122.99,123.17,122.96,123.07,4627,0
AXSM.US,5,20250902,210000,123.185,123.26,123.18,123.19,1784,0
AXSM.US,5,20250902,210500,123.25,123.33,123.1,123.25,6748,0
AXSM.US,5,20250902,211000,123.11,123.22,123.11,123.22,870,0
AXSM.US,5,20250902,211500,123.16,123.41,123.12,123.41,8193,0
AXSM.US,5,20250902,212000,123.504,123.504,123.28,123.365,1229,0
AXSM.US,5,20250902,212500,123.28,123.415,123.22,123.415,1931,0
AXSM.US,5,20250902,213000,123.25,123.4,123.065,123.175,9358,0
AXSM.US,5,20250902,213500,123.1725,123.27,123.075,123.185,3612,0
AXSM.US,5,20250902,214000,123.115,123.4,123.11,123.31,10495,0
AXSM.US,5,20250902,214500,123.4,123.69,123.28,123.64,8684,0
AXSM.US,5,20250902,215000,123.66,123.66,123.27,123.27,10548,0
AXSM.US,5,20250902,215500,123.37,123.64,123.28,123.47,92246,0
AXSM.US,5,20250903,153000,123.5,124.2572,122.84,124.2572,4435,0
AXSM.US,5,20250903,153500,124.025,124.385,123.37,124.01,1200,0
