<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBNX.US,5,20250829,153000,18.83,19.21,18.82,19,7609,0
BBNX.US,5,20250829,153500,18.795,19.06,18.71,18.72,1392,0
BBNX.US,5,20250829,154000,18.94,19.1699,18.66,18.665,2101,0
BBNX.US,5,20250829,154500,18.73,18.73,18.42,18.73,349,0
BBNX.US,5,20250829,155000,18.62,18.695,18.465,18.64,5200,0
BBNX.US,5,20250829,155500,18.54,18.675,18.43,18.475,836,0
BBNX.US,5,20250829,160000,18.445,18.515,18.29,18.29,2871,0
BBNX.US,5,20250829,160500,18.28,18.465,18.28,18.3,1604,0
BBNX.US,5,20250829,161000,18.3,18.465,18.3,18.3,1500,0
BBNX.US,5,20250829,161500,18.28,18.31,18.21,18.21,1200,0
BBNX.US,5,20250829,162000,18.355,18.355,18.12,18.23,2664,0
BBNX.US,5,20250829,162500,18.145,18.33,18.13,18.33,1195,0
BBNX.US,5,20250829,163000,18.17,18.57,18.17,18.565,6076,0
BBNX.US,5,20250829,163500,18.48,18.48,18.43,18.43,1100,0
BBNX.US,5,20250829,164000,18.46,18.53,18.46,18.53,200,0
BBNX.US,5,20250829,164500,18.53,18.53,18.43,18.5,2336,0
BBNX.US,5,20250829,165000,18.5,18.5,18.44,18.5,400,0
BBNX.US,5,20250829,165500,18.6,18.715,18.55,18.63,3932,0
BBNX.US,5,20250829,170000,18.66,18.715,18.63,18.685,1100,0
BBNX.US,5,20250829,170500,18.685,18.6902,18.57,18.59,3226,0
BBNX.US,5,20250829,171000,18.6,18.6,18.6,18.6,100,0
BBNX.US,5,20250829,171500,18.62,18.62,18.55,18.55,600,0
BBNX.US,5,20250829,172000,18.54,18.555,18.51,18.555,1000,0
BBNX.US,5,20250829,172500,18.555,18.61,18.515,18.53,793,0
BBNX.US,5,20250829,173000,18.555,18.64,18.5,18.64,3786,0
BBNX.US,5,20250829,173500,18.6,18.6,18.6,18.6,100,0
BBNX.US,5,20250829,174000,18.625,18.67,18.625,18.65,1000,0
BBNX.US,5,20250829,174500,18.69,18.72,18.67,18.69,1500,0
BBNX.US,5,20250829,175000,18.72,18.72,18.65,18.65,2838,0
BBNX.US,5,20250829,175500,18.665,18.75,18.665,18.75,700,0
BBNX.US,5,20250829,180000,18.68,18.68,18.68,18.68,100,0
BBNX.US,5,20250829,180500,18.67,18.67,18.67,18.67,100,0
BBNX.US,5,20250829,181000,18.68,18.77,18.68,18.73,800,0
BBNX.US,5,20250829,181500,18.79,18.89,18.79,18.88,1000,0
BBNX.US,5,20250829,182000,18.78,18.88,18.78,18.825,500,0
BBNX.US,5,20250829,182500,18.825,18.825,18.77,18.815,500,0
BBNX.US,5,20250829,183000,18.785,18.88,18.785,18.81,2700,0
BBNX.US,5,20250829,183500,18.81,18.835,18.81,18.835,700,0
BBNX.US,5,20250829,184000,18.8,18.8,18.8,18.8,100,0
BBNX.US,5,20250829,184500,18.8,18.835,18.8,18.835,815,0
BBNX.US,5,20250829,185000,18.835,18.93,18.79,18.93,2178,0
BBNX.US,5,20250829,185500,18.95,19.32,18.95,19.1,14619,0
BBNX.US,5,20250829,190000,19.05,19.12,19.04,19.04,1125,0
BBNX.US,5,20250829,190500,19.04,19.04,18.98,19.04,7833,0
BBNX.US,5,20250829,191000,19,19.07,18.95,19.06,7146,0
BBNX.US,5,20250829,191500,19.06,19.06,18.94,18.94,1850,0
BBNX.US,5,20250829,192000,18.95,18.98,18.91,18.955,2625,0
BBNX.US,5,20250829,192500,18.96,19.025,18.955,18.98,2596,0
BBNX.US,5,20250829,193000,19,19.02,18.97,18.98,1400,0
BBNX.US,5,20250829,193500,18.96,19.02,18.93,18.93,5330,0
BBNX.US,5,20250829,194000,18.92,18.93,18.88,18.88,2373,0
BBNX.US,5,20250829,194500,18.88,18.89,18.86,18.86,800,0
BBNX.US,5,20250829,195000,18.85,18.86,18.81,18.82,1950,0
