<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCG.US,5,20250829,153000,1.99,1.99,1.99,1.99,1014,0
BCG.US,5,20250829,154000,1.9552,1.9552,1.9552,1.9552,100,0
BCG.US,5,20250829,171000,1.9505,1.9505,1.9505,1.9505,120,0
BCG.US,5,20250829,183500,1.965,1.965,1.965,1.965,100,0
BCG.US,5,20250829,184000,1.9798,1.9798,1.9798,1.9798,252,0
BCG.US,5,20250829,190500,1.955,1.955,1.955,1.955,100,0
BCG.US,5,20250829,191000,1.95,1.95,1.95,1.95,541,0
BCG.US,5,20250829,193000,1.95,1.95,1.95,1.95,1860,0
BCG.US,5,20250829,194500,1.96,1.96,1.96,1.96,100,0
BCG.US,5,20250902,154000,1.92,1.93,1.92,1.92,1248,0
BCG.US,5,20250902,154500,1.8822,1.8822,1.8822,1.8822,190,0
BCG.US,5,20250902,161500,1.89,1.89,1.89,1.89,100,0
BCG.US,5,20250902,162000,1.89,1.89,1.89,1.89,200,0
BCG.US,5,20250902,162500,1.89,1.89,1.89,1.89,2757,0
BCG.US,5,20250902,173000,1.8983,1.8983,1.8983,1.8983,500,0
BCG.US,5,20250902,173500,1.8821,1.8821,1.8821,1.8821,200,0
BCG.US,5,20250902,174000,1.8821,1.89,1.8818,1.8818,1238,0
BCG.US,5,20250902,180500,1.88,1.88,1.85,1.85,2120,0
BCG.US,5,20250902,181000,1.86,1.86,1.84,1.84,1834,0
BCG.US,5,20250902,181500,1.84,1.84,1.84,1.84,100,0
BCG.US,5,20250902,182000,1.84,1.84,1.84,1.84,101,0
BCG.US,5,20250902,195000,1.8564,1.8564,1.8564,1.8564,100,0
BCG.US,5,20250902,200000,1.8626,1.8626,1.8626,1.8626,250,0
BCG.US,5,20250902,201000,1.86,1.86,1.86,1.86,594,0
BCG.US,5,20250902,202000,1.86,1.86,1.86,1.86,823,0
BCG.US,5,20250902,212000,1.8781,1.8781,1.8781,1.8781,100,0
BCG.US,5,20250902,215500,1.87,1.87,1.87,1.87,200,0
BCG.US,5,20250903,153000,1.87,1.87,1.86,1.865,475,0
BCG.US,5,20250903,154500,1.8688,1.8688,1.8688,1.8688,100,0
BCG.US,5,20250903,161500,1.86,1.86,1.86,1.86,300,0
BCG.US,5,20250903,170000,1.865,1.88,1.865,1.88,8075,0
BCG.US,5,20250903,185000,1.86,1.86,1.86,1.86,100,0
BCG.US,5,20250903,192000,1.86,1.86,1.85,1.85,1000,0
BCG.US,5,20250903,195000,1.8101,1.8101,1.8101,1.8101,230,0
BCG.US,5,20250903,202000,1.81,1.8268,1.8,1.81,5452,0
BCG.US,5,20250903,203500,1.8,1.8,1.8,1.8,200,0
BCG.US,5,20250903,204000,1.8126,1.8126,1.69,1.755,16250,0
BCG.US,5,20250903,204500,1.84,1.84,1.7101,1.7598,1013,0
BCG.US,5,20250903,205000,1.8199,1.82,1.775,1.82,1300,0
BCG.US,5,20250903,205500,1.82,1.82,1.82,1.82,1150,0
BCG.US,5,20250903,212000,1.81,1.81,1.81,1.81,100,0
BCG.US,5,20250903,213500,1.81,1.81,1.81,1.81,100,0
BCG.US,5,20250903,214000,1.81,1.81,1.78,1.78,1235,0
BCG.US,5,20250903,215000,1.81,1.81,1.81,1.81,100,0
BCG.US,5,20250903,215500,1.78,1.79,1.75,1.76,2986,0
BCG.US,5,20250904,153000,1.75,1.75,1.75,1.75,878,0
BCG.US,5,20250904,154500,1.77,1.77,1.77,1.77,500,0
BCG.US,5,20250904,155000,1.78,1.7916,1.78,1.7916,1600,0
BCG.US,5,20250904,155500,1.8,1.8,1.8,1.8,1287,0
BCG.US,5,20250904,162000,1.7895,1.7895,1.7895,1.7895,600,0
BCG.US,5,20250904,164000,1.79,1.79,1.79,1.79,1311,0
BCG.US,5,20250904,165500,1.799,1.799,1.7793,1.78,1200,0
BCG.US,5,20250904,170000,1.78,1.78,1.768,1.77,1000,0
