<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCPC.US,5,20250829,153000,162.43,162.51,161.155,162.115,1666,0
BCPC.US,5,20250829,153500,161.845,163.065,161.845,163.065,339,0
BCPC.US,5,20250829,154000,162.55,163.255,162.5,163.255,615,0
BCPC.US,5,20250829,160000,162.215,162.215,161.83,161.83,1325,0
BCPC.US,5,20250829,160500,161.55,161.55,161.55,161.55,100,0
BCPC.US,5,20250829,161500,161.6125,161.6125,161.6125,161.6125,100,0
BCPC.US,5,20250829,162000,161.74,161.74,161.74,161.74,100,0
BCPC.US,5,20250829,162500,161.56,161.56,161.56,161.56,100,0
BCPC.US,5,20250829,163000,161.65,161.65,161.49,161.5,725,0
BCPC.US,5,20250829,164500,161.36,161.36,161.36,161.36,100,0
BCPC.US,5,20250829,165000,161.2,161.2631,161.16,161.2631,766,0
BCPC.US,5,20250829,165500,161.45,161.45,161.45,161.45,100,0
BCPC.US,5,20250829,170000,161.34,161.34,161.34,161.34,100,0
BCPC.US,5,20250829,171000,161.32,161.32,161.32,161.32,100,0
BCPC.US,5,20250829,171500,161.22,161.33,161.22,161.31,300,0
BCPC.US,5,20250829,172000,161.38,161.38,161.25,161.25,800,0
BCPC.US,5,20250829,172500,161.26,161.27,161.17,161.24,600,0
BCPC.US,5,20250829,173000,161.27,161.27,161.27,161.27,100,0
BCPC.US,5,20250829,173500,161.36,161.36,161.36,161.36,200,0
BCPC.US,5,20250829,174000,161.37,161.43,161.37,161.43,200,0
BCPC.US,5,20250829,174500,161.43,161.44,161.43,161.44,200,0
BCPC.US,5,20250829,175000,161.44,161.44,161.38,161.38,589,0
BCPC.US,5,20250829,175500,161.57,161.58,161.51,161.51,300,0
BCPC.US,5,20250829,180000,161.53,161.53,161.53,161.53,100,0
BCPC.US,5,20250829,180500,161.4101,161.48,161.4101,161.48,249,0
BCPC.US,5,20250829,181500,161.5,161.5,161.5,161.5,100,0
BCPC.US,5,20250829,182500,161.41,161.43,161.41,161.43,600,0
BCPC.US,5,20250829,183500,161.61,161.85,161.61,161.85,362,0
BCPC.US,5,20250829,184500,161.465,161.465,161.41,161.41,300,0
BCPC.US,5,20250829,185000,161.345,161.66,161.345,161.66,1383,0
BCPC.US,5,20250829,190000,161.57,161.57,161.57,161.57,200,0
BCPC.US,5,20250829,191500,161.54,161.54,161.54,161.54,100,0
BCPC.US,5,20250829,192000,161.6,161.63,161.6,161.62,639,0
BCPC.US,5,20250829,193000,161.68,161.68,161.68,161.68,200,0
BCPC.US,5,20250829,193500,161.83,162.365,161.82,162,1717,0
BCPC.US,5,20250829,194000,162.02,162.13,161.96,162.13,3313,0
BCPC.US,5,20250829,194500,162.24481,162.44,162.19,162.19,2309,0
BCPC.US,5,20250829,195500,162.08,162.08,161.98,161.98,800,0
BCPC.US,5,20250829,200500,161.55,161.55,161.495,161.495,591,0
BCPC.US,5,20250829,201000,161.42,161.525,161.4,161.5,3809,0
BCPC.US,5,20250829,202000,161.5,161.5,161.28,161.28,700,0
BCPC.US,5,20250829,202500,161.27,161.39,161.27,161.35,400,0
BCPC.US,5,20250829,204000,161.3506,161.45,161.25,161.28,5509,0
BCPC.US,5,20250829,204500,161.25,161.27,161.17,161.17,1868,0
BCPC.US,5,20250829,205000,161.13,161.41,161.13,161.26,3257,0
BCPC.US,5,20250829,205500,161.02,161.03,161.02,161.03,400,0
BCPC.US,5,20250829,210000,160.89,160.92,160.89,160.92,200,0
BCPC.US,5,20250829,210500,161.11,161.19,161.11,161.19,1917,0
BCPC.US,5,20250829,211500,161.23,161.23,161.23,161.23,100,0
BCPC.US,5,20250829,212000,161.32,161.32,161.14,161.31,1300,0
BCPC.US,5,20250829,212500,161.6,161.6,161.6,161.6,100,0
BCPC.US,5,20250829,213000,161.53,161.53,161.49,161.49,200,0
BCPC.US,5,20250829,213500,161.46,161.49,161.45,161.48,400,0
BCPC.US,5,20250829,214000,161.585,161.585,161.42,161.53,617,0
BCPC.US,5,20250829,214500,161.51,161.745,161.51,161.66,4959,0
BCPC.US,5,20250829,215000,161.955,162.035,161.8,161.905,3158,0
