<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BJRI.US,5,20250829,153000,33.84,33.885,33.57,33.57,5313,0
BJRI.US,5,20250829,153500,33.61,33.61,33.61,33.61,100,0
BJRI.US,5,20250829,154500,33.6,33.759,33.59,33.59,1050,0
BJRI.US,5,20250829,155000,33.745,33.745,33.56,33.58,2928,0
BJRI.US,5,20250829,155500,33.68,33.71,33.58,33.675,2171,0
BJRI.US,5,20250829,160000,33.685,33.72,33.68,33.72,3329,0
BJRI.US,5,20250829,160500,33.6,33.6,33.46,33.475,7555,0
BJRI.US,5,20250829,161000,33.475,33.475,33.47,33.47,490,0
BJRI.US,5,20250829,161500,33.42,33.42,33.42,33.42,200,0
BJRI.US,5,20250829,162000,33.42,33.42,33.4,33.4,400,0
BJRI.US,5,20250829,162500,33.425,33.48,33.41,33.45,2500,0
BJRI.US,5,20250829,163000,33.455,33.455,33.315,33.43,1722,0
BJRI.US,5,20250829,163500,33.45,33.46,33.4,33.4,789,0
BJRI.US,5,20250829,164000,33.41,33.525,33.4,33.525,3121,0
BJRI.US,5,20250829,164500,33.525,33.525,33.45,33.45,1512,0
BJRI.US,5,20250829,165000,33.41,33.48,33.405,33.445,4013,0
BJRI.US,5,20250829,165500,33.43,33.525,33.43,33.525,2302,0
BJRI.US,5,20250829,170000,33.525,33.525,33.47,33.52,2374,0
BJRI.US,5,20250829,170500,33.48,33.48,33.4,33.45,3510,0
BJRI.US,5,20250829,171000,33.43,33.43,33.39,33.39,1744,0
BJRI.US,5,20250829,171500,33.365,33.365,33.21,33.285,1381,0
BJRI.US,5,20250829,172000,33.275,33.275,33.26,33.26,200,0
BJRI.US,5,20250829,172500,33.265,33.33,33.265,33.32,1000,0
BJRI.US,5,20250829,173000,33.33,33.37,33.33,33.37,400,0
BJRI.US,5,20250829,173500,33.405,33.412,33.405,33.412,200,0
BJRI.US,5,20250829,174500,33.41,33.465,33.41,33.465,1644,0
BJRI.US,5,20250829,175000,33.43,33.45,33.43,33.45,900,0
BJRI.US,5,20250829,175500,33.48,33.51,33.48,33.5,827,0
BJRI.US,5,20250829,180000,33.48,33.51,33.47,33.5085,1307,0
BJRI.US,5,20250829,180500,33.52,33.56,33.52,33.5552,1030,0
BJRI.US,5,20250829,181500,33.56,33.58,33.53,33.58,601,0
BJRI.US,5,20250829,182000,33.51,33.54,33.5,33.54,1369,0
BJRI.US,5,20250829,182500,33.51,33.54,33.5,33.54,400,0
BJRI.US,5,20250829,183000,33.5011,33.54,33.5011,33.52,827,0
BJRI.US,5,20250829,183500,33.53,33.53,33.53,33.53,289,0
BJRI.US,5,20250829,184000,33.5316,33.565,33.53,33.5493,2727,0
BJRI.US,5,20250829,184500,33.55,33.55,33.54,33.54,200,0
BJRI.US,5,20250829,185000,33.56,33.56,33.54,33.54,400,0
BJRI.US,5,20250829,185500,33.545,33.56,33.545,33.55,335,0
BJRI.US,5,20250829,190000,33.54,33.55,33.54,33.55,509,0
BJRI.US,5,20250829,190500,33.555,33.585,33.55,33.585,2981,0
BJRI.US,5,20250829,191000,33.595,33.595,33.595,33.595,400,0
BJRI.US,5,20250829,191500,33.62,33.62,33.62,33.62,400,0
BJRI.US,5,20250829,192000,33.6,33.6,33.59,33.6,988,0
BJRI.US,5,20250829,192500,33.57,33.585,33.57,33.585,984,0
BJRI.US,5,20250829,193000,33.585,33.585,33.585,33.585,300,0
BJRI.US,5,20250829,193500,33.585,33.61,33.585,33.59,814,0
BJRI.US,5,20250829,194000,33.59,33.59,33.58,33.58,1441,0
BJRI.US,5,20250829,194500,33.56,33.57,33.54,33.54,2031,0
BJRI.US,5,20250829,195000,33.54,33.54,33.54,33.54,225,0
BJRI.US,5,20250829,195500,33.545,33.56,33.545,33.56,200,0
