<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUWU.US,5,20250829,163000,10.015,10.0172,10.015,10.0172,650,0
BLUWU.US,5,20250829,163500,10.0193,10.0193,10.0193,10.0193,300,0
BLUWU.US,5,20250829,174500,10.01,10.01,10,10,651,0
BLUWU.US,5,20250829,175500,10,10,10,10,100,0
BLUWU.US,5,20250829,184000,10,10,10,10,100,0
BLUWU.US,5,20250829,195000,10.01,10.01,10.01,10.01,1700,0
BLUWU.US,5,20250829,215500,10.02,10.02,10.02,10.02,200,0
BLUWU.US,5,20250904,200500,10.0102,10.0102,10.01,10.01,49685,0
BLUWU.US,5,20250904,201000,10.01,10.0119,10.01,10.0119,21090,0
BLUWU.US,5,20250904,215500,10.02,10.02,10.02,10.02,300,0
BLUWU.US,5,20250905,155000,10.02,10.02,10.02,10.02,15189,0
BLUWU.US,5,20250908,153000,10.1,10.1,10.1,10.1,1205,0
BLUWU.US,5,20250908,154000,10.09,10.0992,10.09,10.0992,500,0
BLUWU.US,5,20250908,154500,10.0532,10.0532,10.0532,10.0532,100,0
BLUWU.US,5,20250908,162000,10.05,10.05,10.05,10.05,300,0
BLUWU.US,5,20250908,165000,10.08,10.08,10.07,10.08,28667,0
BLUWU.US,5,20250908,165500,10.08,10.08,10.08,10.08,3100,0
BLUWU.US,5,20250908,170000,10.08,10.08,10.08,10.08,500,0
BLUWU.US,5,20250908,174500,10.1,10.1,10.1,10.1,100,0
BLUWU.US,5,20250908,214000,10.0799,10.08,10.0799,10.0799,4532,0
BLUWU.US,5,20250908,215500,10.08,10.08,10.0799,10.08,700,0
BLUWU.US,5,20250909,154000,10.08,10.08,10.08,10.08,1800,0
BLUWU.US,5,20250909,154500,10.08,10.08,10.08,10.08,6260,0
BLUWU.US,5,20250909,194000,10.08,10.08,10.08,10.08,51000,0
BLUWU.US,5,20250909,201000,10.0806,10.0806,10.0806,10.0806,300,0
BLUWU.US,5,20250909,201500,10.085,10.085,10.085,10.085,300,0
BLUWU.US,5,20250912,173500,10.03,10.03,10.03,10.03,4761,0
BLUWU.US,5,20250912,195000,10.04,10.05,10.03,10.05,1187,0
BLUWU.US,5,20250912,215500,10.06,10.06,10.06,10.06,100,0
BLUWU.US,5,20250915,195500,10.07,10.07,10.07,10.07,100,0
BLUWU.US,5,20250916,153000,10.07,10.07,10.07,10.07,100,0
BLUWU.US,5,20250916,160000,10.03,10.03,10.03,10.03,100,0
BLUWU.US,5,20250916,170000,10.05,10.05,10.05,10.05,100,0
BLUWU.US,5,20250916,174000,10.05,10.06,10.05,10.06,11117,0
BLUWU.US,5,20250916,174500,10.06,10.06,10.06,10.06,100,0
BLUWU.US,5,20250916,215500,10.075,10.075,10.075,10.075,400,0
BLUWU.US,5,20250917,153000,10.1,10.1106,10.1,10.11,602,0
BLUWU.US,5,20250917,153500,10.1165,10.12,10.1165,10.12,500,0
BLUWU.US,5,20250917,154000,10.1155,10.1155,10.1155,10.1155,100,0
BLUWU.US,5,20250917,154500,10.12,10.13,10.12,10.13,900,0
BLUWU.US,5,20250917,171000,10.11,10.11,10.11,10.11,598,0
BLUWU.US,5,20250917,181000,10.1,10.1,10.1,10.1,100,0
BLUWU.US,5,20250918,213000,10.12,10.12,10.12,10.12,100,0
BLUWU.US,5,20250919,161500,10.12,10.12,10.12,10.12,100,0
BLUWU.US,5,20250922,153000,10.12,10.13,10.12,10.12,1209,0
BLUWU.US,5,20250922,155000,10.04,10.04,10.03,10.03,900,0
BLUWU.US,5,20250922,170000,10.1,10.1,10.1,10.1,100,0
BLUWU.US,5,20250922,215500,10.03,10.03,10.03,10.03,344,0
BLUWU.US,5,20250923,165000,10.11,10.11,10.11,10.11,100,0
BLUWU.US,5,20250924,171500,10.11,10.11,10.11,10.11,100,0
