<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPOP.US,5,20250829,153000,125.25,125.405,124.95,125.405,3347,0
BPOP.US,5,20250829,153500,125.62,125.62,125.61,125.61,200,0
BPOP.US,5,20250829,154000,125.65,126.08,125.63,126.08,2611,0
BPOP.US,5,20250829,154500,125.955,125.955,125.84,125.9,700,0
BPOP.US,5,20250829,155000,125.95,125.95,125.82,125.94,1037,0
BPOP.US,5,20250829,155500,125.96,126.01,125.89,126.01,1080,0
BPOP.US,5,20250829,160000,126.21,126.27,125.84,125.875,4400,0
BPOP.US,5,20250829,160500,125.66,125.75,125.595,125.75,1480,0
BPOP.US,5,20250829,161000,125.62,125.69,125.37,125.54,1652,0
BPOP.US,5,20250829,161500,125.445,125.45,125.39,125.43,1400,0
BPOP.US,5,20250829,162000,125.41,125.48,125.25,125.3,2001,0
BPOP.US,5,20250829,162500,125.3,125.3,125.07,125.2,3173,0
BPOP.US,5,20250829,163000,125.16,125.34,125.14,125.34,1000,0
BPOP.US,5,20250829,163500,125.2,125.2,125.11,125.19,1824,0
BPOP.US,5,20250829,164000,125.3425,125.3425,125.09,125.09,1807,0
BPOP.US,5,20250829,164500,125.09,125.14,125,125.015,750,0
BPOP.US,5,20250829,165000,124.84,125.06,124.83,125.03,2200,0
BPOP.US,5,20250829,165500,124.985,125.21,124.985,125.21,3180,0
BPOP.US,5,20250829,170000,125.17,125.29,125.12,125.15,2307,0
BPOP.US,5,20250829,170500,125.31,125.41,125.31,125.32,2000,0
BPOP.US,5,20250829,171000,125.37,125.37,125.26,125.26,1100,0
BPOP.US,5,20250829,171500,125.33,125.335,125.33,125.335,300,0
BPOP.US,5,20250829,172000,125.405,125.405,125.33,125.36,2400,0
BPOP.US,5,20250829,172500,125.33,125.365,125.29,125.31,1000,0
BPOP.US,5,20250829,173000,125.29,125.57,125.29,125.57,8860,0
BPOP.US,5,20250829,173500,125.57,125.76,125.57,125.73,2290,0
BPOP.US,5,20250829,174000,125.725,125.875,125.72,125.87,1391,0
BPOP.US,5,20250829,174500,125.92,125.92,125.82,125.835,1491,0
BPOP.US,5,20250829,175000,125.75,125.84,125.71,125.76,5887,0
BPOP.US,5,20250829,175500,125.83,125.95,125.83,125.84,1290,0
BPOP.US,5,20250829,180000,125.77,125.93,125.77,125.93,489,0
BPOP.US,5,20250829,180500,125.94,126.03,125.935,126.02,2703,0
BPOP.US,5,20250829,181000,125.97,126.01,125.92,125.96,2900,0
BPOP.US,5,20250829,181500,125.965,126.02,125.935,125.935,1500,0
BPOP.US,5,20250829,182000,125.94,125.98,125.92,125.97,4847,0
BPOP.US,5,20250829,182500,125.91,125.979,125.85,125.85,2057,0
BPOP.US,5,20250829,183000,125.9,125.9,125.67,125.74,12602,0
BPOP.US,5,20250829,183500,125.745,125.745,125.66,125.665,600,0
BPOP.US,5,20250829,184000,125.695,125.76,125.68,125.725,6366,0
BPOP.US,5,20250829,184500,125.76,125.79,125.76,125.78,600,0
BPOP.US,5,20250829,185000,125.765,125.83,125.76,125.82,1795,0
BPOP.US,5,20250829,185500,125.82,125.84,125.685,125.685,2955,0
BPOP.US,5,20250829,190000,125.8,125.815,125.735,125.79,2003,0
BPOP.US,5,20250829,190500,125.7501,125.86,125.75,125.86,2211,0
BPOP.US,5,20250829,191000,125.87,125.87,125.8,125.85,2686,0
BPOP.US,5,20250829,191500,125.8,125.8,125.7,125.72,1500,0
BPOP.US,5,20250829,192000,125.71,125.795,125.71,125.795,1000,0
BPOP.US,5,20250829,192500,125.805,125.83,125.76,125.805,5291,0
BPOP.US,5,20250829,193000,125.805,125.965,125.805,125.965,1375,0
BPOP.US,5,20250829,193500,125.97,126.17,125.97,125.97,11224,0
BPOP.US,5,20250829,194000,125.97,125.97,125.84,125.94,1368,0
BPOP.US,5,20250829,194500,125.93,125.99,125.8534,125.94,2758,0
BPOP.US,5,20250829,195000,125.87,125.88,125.84,125.845,1783,0
BPOP.US,5,20250829,195500,125.85,125.85,125.645,125.67,2800,0
BPOP.US,5,20250829,200000,125.705,125.705,125.69,125.69,600,0
BPOP.US,5,20250829,200500,125.715,125.77,125.65,125.76,5971,0
BPOP.US,5,20250829,201000,125.76,125.78,125.525,125.55,8959,0
BPOP.US,5,20250829,201500,125.63,125.71,125.62,125.68,2700,0
BPOP.US,5,20250829,202000,125.63,125.63,125.495,125.61,2624,0
BPOP.US,5,20250829,202500,125.62,125.657,125.59,125.615,1310,0
BPOP.US,5,20250829,203000,125.62,125.71,125.62,125.71,1474,0
BPOP.US,5,20250829,203500,125.71,125.71,125.67,125.705,1710,0
BPOP.US,5,20250829,204000,125.74,125.74,125.66,125.66,6217,0
BPOP.US,5,20250829,204500,125.66,125.66,125.585,125.62,700,0
BPOP.US,5,20250829,205000,125.58,125.58,125.29,125.47,11758,0
BPOP.US,5,20250829,205500,125.425,125.425,125.32,125.35,1871,0
BPOP.US,5,20250829,210000,125.235,125.2351,125.175,125.18,1534,0
BPOP.US,5,20250829,210500,125.18,125.21,125.08,125.08,1940,0
BPOP.US,5,20250829,211000,125.09,125.135,125.05,125.05,1354,0
BPOP.US,5,20250829,211500,125.04,125.205,125.03,125.2,1200,0
BPOP.US,5,20250829,212000,125.207,125.22,125.18,125.19,3309,0
BPOP.US,5,20250829,212500,125.22,125.227,125.08,125.12,3200,0
BPOP.US,5,20250829,213000,125.115,125.21,125.115,125.12,3715,0
BPOP.US,5,20250829,213500,125.115,125.18,125.02,125.07,4499,0
BPOP.US,5,20250829,214000,125.05,125.09,124.95,125.0175,5980,0
BPOP.US,5,20250829,214500,125.03,125.32,125.03,125.32,12700,0
BPOP.US,5,20250829,215000,125.43,125.585,125.33,125.47,17656,0
BPOP.US,5,20250829,215500,125.49,125.65,125.42,125.64,163796,0
BPOP.US,5,20250902,153000,124.92,124.96,123.88,123.98,11655,0
BPOP.US,5,20250902,153500,123.78,123.78,123.625,123.625,800,0
BPOP.US,5,20250902,154000,123.64,123.87,123.56,123.76,3701,0
BPOP.US,5,20250902,154500,123.77,124.11,123.77,123.955,4048,0
BPOP.US,5,20250902,155000,124.21,124.81,124.21,124.805,1000,0
BPOP.US,5,20250902,155500,124.835,124.835,124.715,124.715,500,0
BPOP.US,5,20250902,160000,124.95,125.41,124.95,125.14,3916,0
BPOP.US,5,20250902,160500,125.17,125.175,125.17,125.175,500,0
BPOP.US,5,20250902,161000,125.33,125.43,125.26,125.32,1700,0
BPOP.US,5,20250902,161500,125.32,125.4,125.15,125.295,3487,0
BPOP.US,5,20250902,162000,125.17,125.2175,125.035,125.035,1382,0
BPOP.US,5,20250902,162500,125.2,125.2,125.2,125.2,100,0
BPOP.US,5,20250902,163000,125.255,125.255,125.255,125.255,100,0
BPOP.US,5,20250902,163500,125.09,125.26,124.945,124.945,2109,0
BPOP.US,5,20250902,164000,125.01,125.01,124.95,124.955,1000,0
