<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSY.US,5,20250829,153000,55.01,55.39,55,55.3,41917,0
BSY.US,5,20250829,153500,55.3,55.44,55.25,55.275,26644,0
BSY.US,5,20250829,154000,55.27,55.32,55.22,55.22,2349,0
BSY.US,5,20250829,154500,55.2,55.27,55.19,55.255,5195,0
BSY.US,5,20250829,155000,55.255,55.3,55.2,55.25,8166,0
BSY.US,5,20250829,155500,55.25,55.3,55.16,55.185,8757,0
BSY.US,5,20250829,160000,55.21,55.225,55.07,55.075,8906,0
BSY.US,5,20250829,160500,55.075,55.075,54.985,54.99,10308,0
BSY.US,5,20250829,161000,54.99,55.09,54.97,55.045,24081,0
BSY.US,5,20250829,161500,55.04,55.205,55.04,55.19,6894,0
BSY.US,5,20250829,162000,55.19,55.23,55.14,55.14,2005,0
BSY.US,5,20250829,162500,55.1101,55.18,55.1,55.175,5874,0
BSY.US,5,20250829,163000,55.23,55.23,55.155,55.2,4399,0
BSY.US,5,20250829,163500,55.19,55.25,55.15,55.25,5956,0
BSY.US,5,20250829,164000,55.24,55.27,55.125,55.125,10421,0
BSY.US,5,20250829,164500,55.125,55.125,55.035,55.075,16854,0
BSY.US,5,20250829,165000,55.075,55.11,55.07,55.1,12241,0
BSY.US,5,20250829,165500,55.109,55.109,55.02,55.055,4925,0
BSY.US,5,20250829,170000,55.05,55.079,54.98,55.02,21452,0
BSY.US,5,20250829,170500,55.025,55.08,55.025,55.06,2757,0
BSY.US,5,20250829,171000,55.06,55.1,55.03,55.03,2450,0
BSY.US,5,20250829,171500,55.035,55.1,55.03,55.09,7070,0
BSY.US,5,20250829,172000,55.11,55.11,55.09,55.11,1103,0
BSY.US,5,20250829,172500,55.1,55.19,55.1,55.19,4094,0
BSY.US,5,20250829,173000,55.2,55.27,55.18,55.255,5525,0
BSY.US,5,20250829,173500,55.255,55.39,55.255,55.38,9174,0
