<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BU.US,5,20251119,181500,20.27,20.27,20.27,20.27,100,0
BU.US,5,20251119,182000,20.27,20.27,20.27,20.27,100,0
BU.US,5,20251119,191500,20.39,20.39,20.39,20.39,100,0
BU.US,5,20251119,192000,20.28,20.28,20.28,20.28,100,0
BU.US,5,20251119,194000,20.05,20.05,20.05,20.05,100,0
BU.US,5,20251120,161000,20.11,20.11,20.11,20.11,100,0
BU.US,5,20251120,162000,20,20,20,20,2500,0
BU.US,5,20251120,164000,20.15,20.15,20.15,20.15,500,0
BU.US,5,20251120,165000,20,20,20,20,100,0
BU.US,5,20251121,153500,18.13,18.13,18.1,18.1,2910,0
BU.US,5,20251121,154500,18.32,18.32,18.32,18.32,100,0
BU.US,5,20251121,155000,18.36,18.47,18.36,18.44,1140,0
BU.US,5,20251121,155500,18.43,18.45,18.42,18.43,900,0
BU.US,5,20251121,160000,18.51,18.51,18.44,18.44,400,0
BU.US,5,20251121,160500,18.36,18.36,18.36,18.36,100,0
BU.US,5,20251121,161000,18.33,18.33,18.33,18.33,100,0
BU.US,5,20251121,164000,17.93,17.94,17.84,17.93,1600,0
BU.US,5,20251121,165000,18.2,18.2,18.2,18.2,100,0
BU.US,5,20251121,173000,18.49,18.49,18.49,18.49,320,0
BU.US,5,20251121,174000,18.62,18.62,18.62,18.62,320,0
BU.US,5,20251121,174500,18.64,18.64,18.64,18.64,300,0
BU.US,5,20251121,175000,18.81,18.81,18.78,18.78,400,0
BU.US,5,20251121,175500,18.76,18.815,18.76,18.815,200,0
BU.US,5,20251121,180000,18.82,18.82,18.79,18.81,400,0
BU.US,5,20251121,180500,18.79,18.81,18.78,18.79,600,0
BU.US,5,20251121,181000,18.78,18.78,18.78,18.78,100,0
BU.US,5,20251121,193500,18.57,18.57,18.57,18.57,100,0
BU.US,5,20251121,200000,18.59,18.59,18.59,18.59,100,0
BU.US,5,20251121,213500,18.42,18.42,18.42,18.42,320,0
BU.US,5,20251121,214500,18.42,18.71,18.42,18.66,6410,0
BU.US,5,20251124,154500,20.28,20.57,20.28,20.57,350,0
BU.US,5,20251124,161000,20.99,20.99,20.99,20.99,600,0
BU.US,5,20251124,164000,20.55,20.55,20.55,20.55,1500,0
BU.US,5,20251124,182000,21.03,21.03,21.03,21.03,500,0
BU.US,5,20251124,190500,21.13,21.13,21.13,21.13,100,0
BU.US,5,20251124,193500,21.31,21.31,21.31,21.31,100,0
BU.US,5,20251124,194000,21.32,21.34,21.32,21.34,610,0
BU.US,5,20251124,203000,21.3835,21.3835,21.3835,21.3835,1000,0
BU.US,5,20251124,203500,21.35,21.35,21.35,21.35,300,0
BU.US,5,20251125,153000,22.16,22.16,22.15,22.15,200,0
BU.US,5,20251125,171000,21.1699,21.1699,21.1699,21.1699,500,0
BU.US,5,20251125,172500,21.25,21.25,21.25,21.25,368,0
BU.US,5,20251125,175500,21.22,21.22,21.22,21.22,200,0
BU.US,5,20251125,192500,21.34,21.34,21.34,21.34,200,0
BU.US,5,20251125,210500,21.54,21.54,21.54,21.54,100,0
BU.US,5,20251125,214000,21.38,21.38,21.38,21.38,421,0
BU.US,5,20251126,154000,22.17,22.17,22.17,22.17,100,0
BU.US,5,20251126,155000,22.38,22.39,22.38,22.39,900,0
BU.US,5,20251126,161500,22.0968,22.0968,22.0968,22.0968,200,0
BU.US,5,20251126,171500,22.05,22.05,22.05,22.05,100,0
BU.US,5,20251126,174500,22.15,22.15,22.13,22.13,882,0
BU.US,5,20251126,175000,22.15,22.15,22.15,22.15,336,0
BU.US,5,20251126,202000,22.83,22.83,22.83,22.83,100,0
BU.US,5,20251126,214500,23.215,23.215,23.215,23.215,429,0
BU.US,5,20251201,153000,24.8,24.8,24.79,24.8,700,0
BU.US,5,20251201,154000,24.46,24.46,24.46,24.46,200,0
BU.US,5,20251201,155000,26.39,26.39,25.59,25.59,1000,0
BU.US,5,20251201,160000,25.65,25.65,25.65,25.65,100,0
BU.US,5,20251201,160500,25.65,25.65,25.65,25.65,196,0
BU.US,5,20251201,161000,26.445,26.445,26.445,26.445,100,0
BU.US,5,20251201,161500,25.414,25.51,25.414,25.51,965,0
BU.US,5,20251201,162000,25.28,25.28,25.28,25.28,270,0
BU.US,5,20251201,170000,25.11,25.11,25.11,25.11,200,0
BU.US,5,20251201,171500,25.04,25.04,25.04,25.04,100,0
BU.US,5,20251201,172000,25.01,25.01,25.01,25.01,200,0
BU.US,5,20251201,174500,25.01,25.01,25.01,25.01,200,0
BU.US,5,20251201,175500,24.5,24.5,24.5,24.5,100,0
BU.US,5,20251201,181500,24.64,24.64,24.64,24.64,200,0
BU.US,5,20251201,193000,24.62,24.62,24.62,24.62,100,0
BU.US,5,20251201,194500,24.61,24.61,24.61,24.61,100,0
BU.US,5,20251201,203000,24.6,24.6,24.6,24.6,100,0
BU.US,5,20251201,210000,24.65,24.65,24.65,24.65,2884,0
BU.US,5,20251201,212000,24.76,24.76,24.76,24.76,100,0
BU.US,5,20251202,161000,23.91,23.91,23.91,23.91,100,0
BU.US,5,20251202,164500,23.01,23.01,23.01,23.01,200,0
BU.US,5,20251203,153500,24.21,24.21,24.21,24.21,100,0
BU.US,5,20251203,154000,23.7887,23.7887,23.7887,23.7887,106,0
BU.US,5,20251203,161000,23.42,23.42,23.42,23.42,100,0
BU.US,5,20251203,205500,22.995,22.995,22.995,22.995,200,0
BU.US,5,20251204,162000,22.95,22.95,22.95,22.95,100,0
BU.US,5,20251204,170000,23.09,23.09,23.09,23.09,200,0
BU.US,5,20251205,160000,24.28,24.28,24.28,24.28,100,0
BU.US,5,20251205,160500,24.17,24.19,24.17,24.19,2440,0
BU.US,5,20251205,162500,24.132,24.132,24.132,24.132,131,0
BU.US,5,20251205,163000,24.31,24.31,24.31,24.31,100,0
BU.US,5,20251205,170500,23.91,23.97,23.91,23.97,1928,0
BU.US,5,20251205,171000,23.71,23.79,23.67,23.69,12422,0
BU.US,5,20251205,171500,23.53,23.53,23.53,23.53,2053,0
BU.US,5,20251205,172500,23.75,23.89,23.75,23.79,31129,0
BU.US,5,20251205,173000,23.7697,23.79,23.73,23.78,21000,0
BU.US,5,20251205,173500,23.67,23.67,23.65,23.67,6300,0
BU.US,5,20251205,181000,23.72,23.72,23.72,23.72,1669,0
BU.US,5,20251208,154500,23.25,23.25,23.25,23.25,200,0
BU.US,5,20251208,160500,22.94,22.94,22.94,22.94,200,0
BU.US,5,20251208,194500,22.64,22.64,22.58,22.5801,10352,0
BU.US,5,20251209,153000,22.54,22.54,22.54,22.54,100,0
BU.US,5,20251209,165500,22.47,22.61,22.47,22.61,529,0
BU.US,5,20251209,182000,23.0544,23.0544,23.0544,23.0544,100,0
BU.US,5,20251210,194000,23.3905,23.3905,23.3905,23.3905,170,0
BU.US,5,20251210,211000,23.73,23.73,23.73,23.73,100,0
BU.US,5,20251210,215000,24.23,24.23,24.23,24.23,308,0
BU.US,5,20251210,215500,24.12,24.12,24.12,24.12,100,0
BU.US,5,20251211,160000,24.73,24.73,24.73,24.73,100,0
