<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCLDO.US,5,20250829,153500,21.95,21.95,21.95,21.95,250,0
CCLDO.US,5,20250829,160500,21.75,21.7501,21.6101,21.6101,2500,0
CCLDO.US,5,20250829,171000,21.77,21.77,21.77,21.77,100,0
CCLDO.US,5,20250829,171500,21.77,21.77,21.77,21.77,300,0
CCLDO.US,5,20250829,175500,21.76,21.76,21.7,21.7,1826,0
CCLDO.US,5,20250829,185000,21.65,21.65,21.61,21.61,1000,0
CCLDO.US,5,20250829,195500,21.6,21.6,21.6,21.6,350,0
CCLDO.US,5,20250829,202500,21.6,21.605,21.6,21.605,800,0
CCLDO.US,5,20250829,204500,21.6,21.6,21.6,21.6,100,0
CCLDO.US,5,20250829,210500,21.58,21.58,21.58,21.58,100,0
CCLDO.US,5,20250829,215000,21.61,21.61,21.61,21.61,100,0
CCLDO.US,5,20250902,163500,21.78,21.78,21.78,21.78,100,0
CCLDO.US,5,20250902,164000,21.62,21.62,21.51,21.51,500,0
CCLDO.US,5,20250902,164500,21.65,21.65,21.65,21.65,100,0
CCLDO.US,5,20250902,165000,21.7,21.7,21.7,21.7,100,0
CCLDO.US,5,20250902,181000,21.503,21.52,21.5,21.5,2434,0
CCLDO.US,5,20250902,181500,21.68,21.68,21.68,21.68,400,0
CCLDO.US,5,20250902,182000,21.68,21.68,21.68,21.68,250,0
CCLDO.US,5,20250902,190000,21.65,21.65,21.65,21.65,150,0
CCLDO.US,5,20250902,191000,21.68,21.68,21.68,21.68,100,0
CCLDO.US,5,20250902,192000,21.5,21.5,21.4,21.4,360,0
CCLDO.US,5,20250902,193500,21.4,21.4,21.4,21.4,461,0
CCLDO.US,5,20250902,204000,21.4,21.4,21.4,21.4,400,0
CCLDO.US,5,20250902,205000,21.45,21.45,21.45,21.45,100,0
CCLDO.US,5,20250902,205500,21.48,21.48,21.48,21.48,200,0
CCLDO.US,5,20250902,210000,21.425,21.425,21.425,21.425,200,0
CCLDO.US,5,20250902,214000,21.49,21.49,21.49,21.49,100,0
CCLDO.US,5,20250903,153500,21.45,21.45,21.45,21.45,100,0
CCLDO.US,5,20250903,155500,21.38,21.38,21.38,21.38,140,0
CCLDO.US,5,20250903,160000,21.45,21.45,21.45,21.45,2500,0
CCLDO.US,5,20250903,160500,21.45,21.45,21.44,21.45,300,0
CCLDO.US,5,20250903,161500,21.65,21.65,21.65,21.65,100,0
CCLDO.US,5,20250903,171000,21.74,21.74,21.74,21.74,100,0
