<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHPG.US,5,20250829,215500,10.02,10.02,10.02,10.02,100,0
CHPG.US,5,20250902,201000,10.02,10.02,10.01,10.02,5946,0
CHPG.US,5,20250902,201500,10.02,10.02,10.02,10.02,200,0
CHPG.US,5,20250903,204500,10.03,10.03,10.01,10.02,5900,0
CHPG.US,5,20250903,205000,10.02,10.02,10.02,10.02,300,0
CHPG.US,5,20250904,181500,10.03,10.03,10.03,10.03,40292,0
CHPG.US,5,20250904,182000,10.03,10.03,10.03,10.03,100,0
CHPG.US,5,20250904,184500,10.03,10.03,10.03,10.03,100,0
CHPG.US,5,20250905,160500,10.06,10.06,10.06,10.06,600,0
CHPG.US,5,20250905,161000,10.03,10.03,10.03,10.03,100,0
CHPG.US,5,20250905,180500,10.03,10.03,10.03,10.03,400,0
CHPG.US,5,20250905,192000,10.02,10.02,10.02,10.02,100,0
CHPG.US,5,20250908,215500,10.02,10.02,10.02,10.02,100,0
CHPG.US,5,20250909,162000,10.02,10.02,10.02,10.02,100,0
CHPG.US,5,20250909,215500,10.0461,10.06,10.0461,10.06,12233,0
CHPG.US,5,20250910,162500,10.02,10.02,10.02,10.02,100,0
CHPG.US,5,20250910,190000,10.03,10.03,10.03,10.03,9250,0
CHPG.US,5,20250911,161500,10.02,10.02,10.02,10.02,100,0
CHPG.US,5,20250911,204500,10.0486,10.0486,10.0486,10.0486,500,0
CHPG.US,5,20250916,171000,10.04,10.04,10.02,10.02,5674,0
CHPG.US,5,20250916,173000,10.04,10.04,10.04,10.04,7026,0
CHPG.US,5,20250916,174000,10.04,10.04,10.04,10.04,100,0
CHPG.US,5,20250917,214000,10.05,10.05,10.04,10.04,2600,0
CHPG.US,5,20250923,173500,10.05,10.05,10.05,10.05,300,0
CHPG.US,5,20250923,174000,10.05,10.05,10.05,10.05,600,0
CHPG.US,5,20250923,174500,10.05,10.05,10.05,10.05,400,0
CHPG.US,5,20250923,180000,10.05,10.06,10.05,10.06,3100,0
CHPG.US,5,20250925,214500,10.07,10.07,10.07,10.07,3000,0
CHPG.US,5,20251007,174500,10.06,10.06,10.06,10.06,800,0
CHPG.US,5,20251009,174500,10.1,10.1,10.1,10.1,4896,0
CHPG.US,5,20251009,175000,10.11,10.12,10.1,10.12,5100,0
CHPG.US,5,20251015,155500,10.12,10.12,10.12,10.12,14134,0
CHPG.US,5,20251015,181000,10.12,10.12,10.12,10.12,3105,0
CHPG.US,5,20251016,174500,10.13,10.13,10.13,10.13,100,0
CHPG.US,5,20251021,215500,10.13,10.13,10.13,10.13,1099,0
CHPG.US,5,20251022,193000,10.13,10.13,10.13,10.13,1600,0
CHPG.US,5,20251023,214000,10.13,10.14,10.13,10.14,9904,0
CHPG.US,5,20251023,214500,10.13,10.13,10.13,10.13,200,0
CHPG.US,5,20251024,161000,10.14,10.14,10.14,10.14,1000,0
CHPG.US,5,20251027,162000,10.12,10.12,10.11,10.11,44999,0
CHPG.US,5,20251027,163000,10.12,10.12,10.12,10.12,25000,0
CHPG.US,5,20251027,180000,10.14,10.14,10.14,10.14,200,0
CHPG.US,5,20251027,184000,10.13,10.13,10.13,10.13,10000,0
CHPG.US,5,20251027,202500,10.13,10.13,10.13,10.13,20000,0
CHPG.US,5,20251028,183000,10.13,10.13,10.13,10.13,1974,0
CHPG.US,5,20251028,190500,10.14,10.14,10.14,10.14,300,0
CHPG.US,5,20251029,203500,10.14,10.145,10.14,10.14,4596,0
CHPG.US,5,20251029,204000,10.14,10.14,10.14,10.14,6404,0
CHPG.US,5,20251029,204500,10.14,10.145,10.14,10.14,4204,0
CHPG.US,5,20251029,205000,10.145,10.145,10.14,10.14,7304,0
CHPG.US,5,20251030,193500,10.14,10.14,10.14,10.14,2900,0
CHPG.US,5,20251030,204000,10.14,10.145,10.14,10.145,6500,0
CHPG.US,5,20251030,204500,10.145,10.145,10.145,10.145,100,0
CHPG.US,5,20251103,153000,10.17,10.17,10.17,10.17,100,0
CHPG.US,5,20251104,153000,10.13,10.13,10.13,10.13,10000,0
CHPG.US,5,20251111,204500,10.15,10.165,10.1499,10.165,7100,0
CHPG.US,5,20251112,211000,10.17,10.17,10.17,10.17,1000,0
CHPG.US,5,20251118,161000,10.16,10.16,10.16,10.16,600,0
CHPG.US,5,20251118,215500,10.16,10.16,10.16,10.16,1000,0
CHPG.US,5,20251203,193500,10.15,10.15,10.15,10.15,100,0
CHPG.US,5,20251204,153500,10.18,10.18,10.18,10.18,5000,0
CHPG.US,5,20251215,215500,10.13,10.13,10.13,10.13,114,0
CHPG.US,5,20251217,174000,10.17,10.17,10.17,10.17,100,0
CHPG.US,5,20251219,201500,10.13,10.14,10.13,10.14,800,0
CHPG.US,5,20251224,153500,10.18,10.18,10.18,10.18,100,0
CHPG.US,5,20251230,184000,10.15,10.15,10.15,10.15,100,0
CHPG.US,5,20251230,184500,10.15,10.15,10.15,10.15,100,0
CHPG.US,5,20251230,185000,10.15,10.15,10.15,10.15,200,0
CHPG.US,5,20251230,215500,10.17,10.17,10.17,10.17,408,0
CHPG.US,5,20251231,204500,10.17,10.19,10.17,10.19,4966,0
CHPG.US,5,20260102,153000,10.2,10.2,10.2,10.2,1000,0
CHPG.US,5,20260102,214500,10.19,10.2,10.19,10.2,1600,0
