<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COYA.US,5,20250829,153000,6.76,6.865,6.76,6.81,4349,0
COYA.US,5,20250829,153500,6.83,6.8301,6.78,6.8301,600,0
COYA.US,5,20250829,154000,6.75,6.75,6.75,6.75,400,0
COYA.US,5,20250829,154500,6.88,6.88,6.88,6.88,140,0
COYA.US,5,20250829,155000,6.75,6.76,6.72,6.72,1741,0
COYA.US,5,20250829,160500,6.745,6.745,6.745,6.745,120,0
COYA.US,5,20250829,161500,6.67,6.67,6.62,6.62,2700,0
COYA.US,5,20250829,162500,6.62,6.62,6.6,6.6,2145,0
COYA.US,5,20250829,164500,6.58,6.58,6.58,6.58,1200,0
COYA.US,5,20250829,165500,6.56,6.5974,6.53,6.55,1837,0
COYA.US,5,20250829,171500,6.6,6.6,6.6,6.6,100,0
COYA.US,5,20250829,172000,6.61,6.61,6.61,6.61,100,0
COYA.US,5,20250829,173000,6.59,6.59,6.59,6.59,100,0
COYA.US,5,20250829,174500,6.605,6.605,6.605,6.605,100,0
COYA.US,5,20250829,175000,6.6,6.6,6.56,6.57,800,0
COYA.US,5,20250829,180000,6.57,6.6244,6.56,6.6244,900,0
COYA.US,5,20250829,181000,6.58,6.58,6.54,6.56,6275,0
COYA.US,5,20250829,181500,6.57,6.57,6.57,6.57,440,0
COYA.US,5,20250829,185000,6.6,6.6,6.59,6.59,5153,0
COYA.US,5,20250829,185500,6.65,6.65,6.6,6.6,700,0
COYA.US,5,20250829,190000,6.645,6.645,6.645,6.645,189,0
COYA.US,5,20250829,192500,6.7067,6.7067,6.7067,6.7067,143,0
COYA.US,5,20250829,200000,6.6347,6.7189,6.61,6.7189,800,0
COYA.US,5,20250829,200500,6.6,6.65,6.59,6.65,300,0
COYA.US,5,20250829,201500,6.58,6.58,6.58,6.58,100,0
COYA.US,5,20250829,204500,6.58,6.58,6.58,6.58,100,0
COYA.US,5,20250829,205500,6.605,6.605,6.605,6.605,1574,0
COYA.US,5,20250829,211000,6.54,6.54,6.54,6.54,151,0
COYA.US,5,20250829,211500,6.54,6.54,6.54,6.54,100,0
COYA.US,5,20250829,212000,6.6423,6.6423,6.6423,6.6423,400,0
COYA.US,5,20250829,212500,6.5501,6.5501,6.5501,6.5501,125,0
COYA.US,5,20250829,214000,6.58,6.585,6.56,6.56,800,0
COYA.US,5,20250829,215000,6.56,6.56,6.55,6.55,373,0
COYA.US,5,20250829,215500,6.6,6.6,6.56,6.56,880,0
COYA.US,5,20250902,153000,6.75,6.75,6.53,6.7149,4609,0
COYA.US,5,20250902,153500,6.7164,6.7164,6.6309,6.64,1410,0
COYA.US,5,20250902,154000,6.6122,6.655,6.6122,6.655,200,0
COYA.US,5,20250902,154500,6.74,6.74,6.66,6.72,774,0
COYA.US,5,20250902,155000,6.665,6.665,6.665,6.665,300,0
COYA.US,5,20250902,160500,6.6728,6.69,6.6728,6.69,220,0
COYA.US,5,20250902,161500,6.6309,6.6309,6.6309,6.6309,628,0
COYA.US,5,20250902,162000,6.7,6.7,6.67,6.67,946,0
COYA.US,5,20250902,163000,6.685,6.685,6.685,6.685,100,0
COYA.US,5,20250902,163500,6.715,6.715,6.715,6.715,353,0
COYA.US,5,20250902,164000,6.68,6.68,6.68,6.68,187,0
COYA.US,5,20250902,165000,6.67,6.68,6.67,6.67,500,0
COYA.US,5,20250902,165500,6.66,6.66,6.66,6.66,444,0
COYA.US,5,20250902,172000,6.655,6.655,6.655,6.655,331,0
COYA.US,5,20250902,173500,6.65,6.65,6.65,6.65,1532,0
COYA.US,5,20250902,174000,6.62,6.62,6.58,6.58,1275,0
COYA.US,5,20250902,174500,6.57,6.57,6.53,6.53,1244,0
COYA.US,5,20250902,181500,6.53,6.5805,6.53,6.5805,888,0
COYA.US,5,20250902,183500,6.5704,6.5704,6.5704,6.5704,2500,0
COYA.US,5,20250902,184000,6.5704,6.5704,6.5704,6.5704,2500,0
COYA.US,5,20250902,184500,6.52,6.52,6.52,6.52,1000,0
COYA.US,5,20250902,193500,6.55,6.56,6.506,6.506,2398,0
COYA.US,5,20250902,194000,6.53,6.53,6.53,6.53,200,0
COYA.US,5,20250902,194500,6.55,6.55,6.54,6.54,300,0
COYA.US,5,20250902,195500,6.49,6.56,6.49,6.53,5737,0
COYA.US,5,20250902,200500,6.52,6.54,6.52,6.54,476,0
COYA.US,5,20250902,202000,6.5326,6.5326,6.52,6.525,3767,0
COYA.US,5,20250902,202500,6.51,6.52,6.5,6.52,2172,0
COYA.US,5,20250902,203000,6.53,6.53,6.4943,6.4943,367,0
COYA.US,5,20250902,203500,6.54,6.54,6.52,6.52,400,0
COYA.US,5,20250902,204000,6.5,6.535,6.49,6.535,1200,0
COYA.US,5,20250902,204500,6.52,6.52,6.48,6.49,1300,0
COYA.US,5,20250902,210000,6.515,6.515,6.515,6.515,100,0
COYA.US,5,20250902,213500,6.51,6.51,6.51,6.51,100,0
COYA.US,5,20250902,214000,6.515,6.515,6.515,6.515,100,0
COYA.US,5,20250902,215000,6.485,6.5,6.48,6.5,1251,0
COYA.US,5,20250902,215500,6.5259,6.5259,6.48,6.52,1251,0
COYA.US,5,20250903,153000,6.52,6.645,6.52,6.645,780,0
COYA.US,5,20250903,153500,6.7242,6.7491,6.7242,6.7491,1500,0
COYA.US,5,20250903,154000,6.74,6.7993,6.74,6.7993,2963,0
COYA.US,5,20250903,160000,6.69,6.715,6.63,6.71,7836,0
COYA.US,5,20250903,160500,6.62,6.6605,6.555,6.66,1700,0
COYA.US,5,20250903,161000,6.55,6.55,6.55,6.55,300,0
COYA.US,5,20250903,163000,6.655,6.655,6.655,6.655,200,0
COYA.US,5,20250903,164000,6.685,6.685,6.685,6.685,100,0
COYA.US,5,20250903,173500,6.58,6.58,6.56,6.56,1200,0
COYA.US,5,20250903,174000,6.57,6.57,6.57,6.57,400,0
COYA.US,5,20250903,174500,6.57,6.6,6.57,6.6,611,0
COYA.US,5,20250903,175500,6.6658,6.6658,6.58,6.58,369,0
COYA.US,5,20250903,180000,6.58,6.58,6.58,6.58,100,0
COYA.US,5,20250903,182000,6.583,6.635,6.57,6.624,2469,0
COYA.US,5,20250903,185500,6.57,6.57,6.57,6.57,100,0
COYA.US,5,20250903,190000,6.57,6.57,6.57,6.57,100,0
COYA.US,5,20250903,192500,6.58,6.624,6.57,6.57,3238,0
COYA.US,5,20250903,193000,6.56,6.56,6.56,6.56,200,0
COYA.US,5,20250903,194500,6.55,6.64,6.55,6.64,832,0
COYA.US,5,20250903,195000,6.515,6.5518,6.515,6.55,900,0
COYA.US,5,20250903,195500,6.5422,6.5422,6.5422,6.5422,490,0
COYA.US,5,20250903,200000,6.545,6.545,6.545,6.545,1000,0
COYA.US,5,20250903,201500,6.555,6.61,6.555,6.61,600,0
COYA.US,5,20250903,202500,6.52,6.625,6.51,6.625,11743,0
COYA.US,5,20250903,203000,6.61,6.61,6.605,6.605,500,0
COYA.US,5,20250903,203500,6.625,6.625,6.625,6.625,500,0
COYA.US,5,20250903,204500,6.625,6.625,6.625,6.625,100,0
COYA.US,5,20250903,205000,6.625,6.625,6.625,6.625,100,0
COYA.US,5,20250903,205500,6.64,6.64,6.64,6.64,500,0
COYA.US,5,20250904,154000,6.71,6.71,6.71,6.71,100,0
COYA.US,5,20250904,154500,6.68,6.6803,6.68,6.6803,600,0
COYA.US,5,20250904,165500,6.64,6.64,6.64,6.64,379,0
COYA.US,5,20250904,170500,6.6798,6.6798,6.6798,6.6798,100,0
COYA.US,5,20250904,171000,6.6,6.6,6.6,6.6,282,0
COYA.US,5,20250904,172000,6.56,6.562,6.49,6.49,6513,0
COYA.US,5,20250904,172500,6.46,6.48,6,6.3158,26189,0
COYA.US,5,20250904,173000,6.2288,6.3152,6.2288,6.3152,2763,0
COYA.US,5,20250904,173500,6.38,6.4478,6.38,6.4478,1150,0
COYA.US,5,20250904,174000,6.4201,6.55,6.39,6.55,4300,0
COYA.US,5,20250904,174500,6.485,6.485,6.485,6.485,100,0
COYA.US,5,20250904,175500,6.45,6.45,6.45,6.45,100,0
COYA.US,5,20250904,181000,6.49,6.49,6.49,6.49,200,0
COYA.US,5,20250904,181500,6.4869,6.5139,6.48,6.5139,600,0
COYA.US,5,20250904,183000,6.472,6.472,6.472,6.472,100,0
COYA.US,5,20250904,184000,6.42,6.42,6.42,6.42,100,0
COYA.US,5,20250904,184500,6.425,6.425,6.35,6.35,8063,0
COYA.US,5,20250904,185500,6.305,6.305,6.305,6.305,500,0
COYA.US,5,20250904,190000,6.3,6.3,6.3,6.3,300,0
COYA.US,5,20250904,192500,6.2752,6.2752,6.2752,6.2752,272,0
COYA.US,5,20250904,194000,6.3868,6.3868,6.3868,6.3868,500,0
COYA.US,5,20250904,200500,6.39,6.39,6.39,6.39,186,0
COYA.US,5,20250904,203000,6.3661,6.3661,6.3661,6.3661,240,0
COYA.US,5,20250904,204000,6.3939,6.3939,6.3939,6.3939,100,0
COYA.US,5,20250904,205000,6.41,6.41,6.41,6.41,100,0
COYA.US,5,20250904,205500,6.39,6.39,6.39,6.39,100,0
COYA.US,5,20250904,211000,6.4086,6.4086,6.4086,6.4086,100,0
COYA.US,5,20250904,211500,6.38,6.38,6.29,6.29,2093,0
COYA.US,5,20250904,212000,6.3,6.3,6.3,6.3,300,0
COYA.US,5,20250904,212500,6.3571,6.3571,6.3571,6.3571,100,0
COYA.US,5,20250904,214500,6.38,6.41,6.38,6.385,1550,0
COYA.US,5,20250904,215000,6.4057,6.4057,6.38,6.38,3600,0
COYA.US,5,20250904,215500,6.39,6.39,6.37,6.38,1254,0
COYA.US,5,20250905,153000,6.38,6.59,6.38,6.59,5327,0
COYA.US,5,20250905,153500,6.43,6.605,6.38,6.56,5285,0
COYA.US,5,20250905,155000,6.3146,6.36,6.3146,6.36,281,0
COYA.US,5,20250905,155500,6.352,6.352,6.352,6.352,500,0
COYA.US,5,20250905,160000,6.36,6.36,6.35,6.35,468,0
COYA.US,5,20250905,160500,6.272,6.324,6.2,6.28,9861,0
COYA.US,5,20250905,162000,6.28,6.28,6.205,6.205,2335,0
COYA.US,5,20250905,163500,6.1882,6.1882,6.1145,6.1145,1438,0
COYA.US,5,20250905,164000,6.175,6.175,6.1,6.1122,1622,0
COYA.US,5,20250905,164500,6.1,6.1,6.1,6.1,500,0
COYA.US,5,20250905,165000,6.1001,6.12,6.1001,6.12,5200,0
COYA.US,5,20250905,170000,6.11,6.11,6.1,6.11,757,0
COYA.US,5,20250905,170500,6.1,6.18,6.1,6.11,4828,0
COYA.US,5,20250905,171000,6.14,6.15,6.081,6.11,3777,0
COYA.US,5,20250905,171500,6.083,6.1,6.083,6.1,2275,0
COYA.US,5,20250905,172000,6.11,6.11,6.11,6.11,356,0
COYA.US,5,20250905,172500,6.096,6.11,6.0884,6.11,900,0
COYA.US,5,20250905,173000,6.1,6.1,6.09,6.09,200,0
COYA.US,5,20250905,173500,6.095,6.095,6.04,6.06,4070,0
COYA.US,5,20250905,174000,6.06,6.11,6.06,6.08,2643,0
COYA.US,5,20250905,175000,6.1,6.22,6.0799,6.15,14908,0
COYA.US,5,20250905,175500,6.105,6.12,6.08,6.08,9162,0
COYA.US,5,20250905,180000,6.09,6.14,6.07,6.12,1100,0
COYA.US,5,20250905,180500,6.12,6.12,6.08,6.08,859,0
COYA.US,5,20250905,181000,6.08,6.12,6.07,6.12,841,0
COYA.US,5,20250905,181500,6.07,6.165,6.07,6.1578,1660,0
COYA.US,5,20250905,182000,6.08,6.16,6.08,6.1,1589,0
COYA.US,5,20250905,182500,6.1,6.17,6.1,6.17,1400,0
COYA.US,5,20250905,183000,6.12,6.12,6.11,6.11,500,0
COYA.US,5,20250905,183500,6.1,6.1,6.08,6.08,1240,0
COYA.US,5,20250905,184000,6.08,6.12,6.08,6.1001,1321,0
COYA.US,5,20250905,184500,6.08,6.08,6.07,6.07,800,0
COYA.US,5,20250905,185000,6.08,6.16,6.06,6.06,1521,0
COYA.US,5,20250905,185500,6.06,6.11,6.06,6.06,1200,0
COYA.US,5,20250905,190000,6.09,6.125,6.06,6.125,2100,0
COYA.US,5,20250905,190500,6.07,6.125,6.04,6.04,835,0
COYA.US,5,20250905,191000,6.03,6.095,6.03,6.03,1302,0
COYA.US,5,20250905,191500,6.03,6.12,6.03,6.12,920,0
COYA.US,5,20250905,192000,6.05,6.11,6.04,6.04,897,0
COYA.US,5,20250905,192500,6.07,6.07,6.06,6.06,266,0
COYA.US,5,20250905,193000,6.04,6.06,6.04,6.05,3817,0
COYA.US,5,20250905,193500,6.04,6.105,6.03,6.03,1183,0
COYA.US,5,20250905,194000,6.03,6.03,6.03,6.03,100,0
COYA.US,5,20250905,194500,6.03,6.03,6,6,2570,0
COYA.US,5,20250905,195000,6.01,6.01,5.96,5.96,1334,0
COYA.US,5,20250905,195500,6,6.02,5.9919,5.9919,900,0
COYA.US,5,20250905,200000,6,6.04,5.9935,6.01,2293,0
COYA.US,5,20250905,200500,6.045,6.055,6,6.03,1399,0
COYA.US,5,20250905,201000,6,6,6,6,449,0
COYA.US,5,20250905,201500,5.9901,6,5.99,6,1048,0
COYA.US,5,20250905,202000,5.9991,6.05,5.9991,6.05,698,0
COYA.US,5,20250905,202500,6.055,6.055,6.01,6.02,1300,0
COYA.US,5,20250905,203000,6.01,6.095,6,6.01,1000,0
COYA.US,5,20250905,203500,6.0476,6.0476,6,6.0319,980,0
COYA.US,5,20250905,204000,6.02,6.0934,6.01,6.0934,678,0
COYA.US,5,20250905,204500,6.02,6.1,6.02,6.03,766,0
COYA.US,5,20250905,205000,6.04,6.0401,6.04,6.04,6590,0
COYA.US,5,20250905,205500,6.01,6.06,6.01,6.02,1600,0
COYA.US,5,20250905,210000,6.02,6.04,6,6.03,1528,0
COYA.US,5,20250905,210500,6.06,6.15,6.02,6.1,9984,0
COYA.US,5,20250905,211000,6.1,6.33,6.09,6.2884,9440,0
COYA.US,5,20250905,211500,6.18,6.29,6.14,6.15,5104,0
COYA.US,5,20250905,212000,6.15,6.15,6.15,6.15,200,0
COYA.US,5,20250905,212500,6.16,6.1821,6.12,6.1455,4100,0
COYA.US,5,20250905,213000,6.155,6.155,6.08,6.08,2000,0
COYA.US,5,20250905,213500,6.08,6.1702,6.08,6.1702,2404,0
COYA.US,5,20250905,214000,6.2532,6.34,6.16,6.2602,3500,0
COYA.US,5,20250905,214500,6.34,6.34,6.1501,6.2496,600,0
COYA.US,5,20250905,215500,6.255,6.38,6.2212,6.27,31263,0
COYA.US,5,20250908,153000,6.32,6.32,6.108,6.108,7283,0
COYA.US,5,20250908,154000,6.146,6.3692,6.146,6.26,1600,0
COYA.US,5,20250908,154500,6.31,6.3666,6.291,6.3542,2700,0
COYA.US,5,20250908,155000,6.325,6.325,6.325,6.325,105,0
COYA.US,5,20250908,161000,6.32,6.3899,6.3,6.3899,5000,0
COYA.US,5,20250908,161500,6.3899,6.3899,6.3389,6.3389,2300,0
COYA.US,5,20250908,162000,6.41,6.48,6.352,6.48,1800,0
COYA.US,5,20250908,162500,6.4655,6.4655,6.4655,6.4655,500,0
COYA.US,5,20250908,163000,6.4655,6.4655,6.41,6.41,1400,0
COYA.US,5,20250908,164000,6.4486,6.4486,6.4486,6.4486,200,0
COYA.US,5,20250908,164500,6.485,6.485,6.4813,6.4813,333,0
COYA.US,5,20250908,165000,6.36,6.36,6.36,6.36,100,0
COYA.US,5,20250908,165500,6.3814,6.3814,6.36,6.36,806,0
COYA.US,5,20250908,170000,6.36,6.36,6.36,6.36,5000,0
COYA.US,5,20250908,170500,6.4,6.4,6.4,6.4,3500,0
COYA.US,5,20250908,171000,6.36,6.36,6.24,6.3,19691,0
COYA.US,5,20250908,171500,6.38,6.4164,6.31,6.33,1800,0
COYA.US,5,20250908,172000,6.32,6.49,6.19,6.4358,11672,0
COYA.US,5,20250908,172500,6.36,6.36,6.21,6.3582,1400,0
COYA.US,5,20250908,173000,6.3599,6.405,6.3599,6.4,2200,0
COYA.US,5,20250908,173500,6.3,6.49,6.3,6.49,400,0
COYA.US,5,20250908,174500,6.38,6.41,6.21,6.34,5600,0
COYA.US,5,20250908,175000,6.4156,6.4156,6.1771,6.3642,3200,0
COYA.US,5,20250908,175500,6.49,6.49,6.37,6.4389,1800,0
COYA.US,5,20250908,180000,6.4,6.49,6.25,6.49,6591,0
COYA.US,5,20250908,180500,6.4305,6.4305,6.3318,6.38,1400,0
COYA.US,5,20250908,181000,6.405,6.405,6.405,6.405,100,0
COYA.US,5,20250908,181500,6.38,6.43,6.2,6.32,3328,0
COYA.US,5,20250908,182000,6.36,6.43,6.25,6.43,2300,0
COYA.US,5,20250908,182500,6.42,6.42,6.42,6.42,300,0
COYA.US,5,20250908,183000,6.42,6.43,6.38,6.425,1625,0
COYA.US,5,20250908,183500,6.4,6.4,6.4,6.4,300,0
COYA.US,5,20250908,184500,6.4,6.4,6.31,6.31,800,0
COYA.US,5,20250908,185500,6.39,6.4,6.39,6.4,2000,0
COYA.US,5,20250908,190000,6.415,6.415,6.415,6.415,100,0
COYA.US,5,20250908,192000,6.38,6.38,6.38,6.38,400,0
COYA.US,5,20250908,194000,6.37,6.37,6.37,6.37,100,0
COYA.US,5,20250908,195500,6.37,6.37,6.27,6.27,6400,0
COYA.US,5,20250908,200000,6.2555,6.3798,6.21,6.3798,5381,0
COYA.US,5,20250908,210000,6.365,6.365,6.365,6.365,100,0
COYA.US,5,20250908,211000,6.3243,6.3243,6.3243,6.3243,230,0
COYA.US,5,20250908,212000,6.33,6.36,6.33,6.36,760,0
COYA.US,5,20250908,213500,6.35,6.35,6.35,6.35,200,0
COYA.US,5,20250908,214000,6.3376,6.3699,6.3376,6.3699,314,0
COYA.US,5,20250908,215000,6.35,6.36,6.35,6.36,900,0
COYA.US,5,20250908,215500,6.38,6.38,6.33,6.33,1276,0
COYA.US,5,20250909,153000,6.42,6.42,6.42,6.42,1470,0
COYA.US,5,20250909,153500,6.4336,6.4336,6.415,6.415,315,0
COYA.US,5,20250909,154500,6.32,6.33,6.305,6.305,700,0
COYA.US,5,20250909,155000,6.29,6.29,6.29,6.29,100,0
COYA.US,5,20250909,160000,6.29,6.29,6.255,6.2719,1020,0
COYA.US,5,20250909,161000,6.27,6.3199,6.15,6.2,3060,0
COYA.US,5,20250909,161500,6.18,6.19,6.18,6.18,400,0
COYA.US,5,20250909,162000,6.26,6.31,6.18,6.2,2800,0
COYA.US,5,20250909,162500,6.268,6.268,6.155,6.155,1970,0
COYA.US,5,20250909,163000,6.2,6.2,6.2,6.2,1000,0
COYA.US,5,20250909,164500,6.1501,6.1501,6.1501,6.1501,500,0
COYA.US,5,20250909,165000,6.15,6.15,6.05,6.1,2395,0
COYA.US,5,20250909,165500,6.096,6.2,6.085,6.2,3300,0
COYA.US,5,20250909,170000,6.2133,6.28,6.1701,6.225,4200,0
COYA.US,5,20250909,170500,6.2,6.2,6.2,6.2,165,0
COYA.US,5,20250909,171000,6.2084,6.23,6.143,6.23,1100,0
COYA.US,5,20250909,171500,6.2338,6.24,6.15,6.15,1400,0
COYA.US,5,20250909,172000,6.16,6.19,6.12,6.1878,600,0
COYA.US,5,20250909,172500,6.12,6.3,6.12,6.2656,5000,0
COYA.US,5,20250909,173000,6.2601,6.2601,6.2601,6.2601,100,0
COYA.US,5,20250909,173500,6.1901,6.27,6.1901,6.2,2310,0
COYA.US,5,20250909,174000,6.26,6.26,6.19,6.25,3968,0
COYA.US,5,20250909,174500,6.225,6.24,6.14,6.24,2297,0
COYA.US,5,20250909,175000,6.1974,6.35,6.19,6.2664,2900,0
COYA.US,5,20250909,180500,6.2517,6.2517,6.15,6.1911,1300,0
COYA.US,5,20250909,181000,6.1813,6.24,6.1813,6.24,2204,0
COYA.US,5,20250909,181500,6.2686,6.3149,6.22,6.23,4028,0
COYA.US,5,20250909,182000,6.23,6.23,6.145,6.1841,1200,0
COYA.US,5,20250909,182500,6.1841,6.34,6.1841,6.2302,3900,0
COYA.US,5,20250909,183000,6.3,6.3,6.2771,6.2771,600,0
COYA.US,5,20250909,183500,6.2627,6.27,6.2627,6.27,400,0
COYA.US,5,20250909,184500,6.28,6.28,6.28,6.28,100,0
COYA.US,5,20250909,185000,6.305,6.305,6.305,6.305,150,0
COYA.US,5,20250909,190500,6.305,6.305,6.305,6.305,2000,0
COYA.US,5,20250909,191000,6.28,6.3146,6.27,6.305,1000,0
COYA.US,5,20250909,192500,6.26,6.285,6.26,6.285,300,0
COYA.US,5,20250909,193500,6.285,6.285,6.24,6.24,3600,0
COYA.US,5,20250909,194000,6.25,6.3085,6.23,6.2986,2000,0
COYA.US,5,20250909,194500,6.25,6.25,6.24,6.24,300,0
COYA.US,5,20250909,195000,6.23,6.23,6.21,6.21,400,0
COYA.US,5,20250909,195500,6.215,6.2648,6.2001,6.2648,5000,0
COYA.US,5,20250909,200000,6.2648,6.315,6.2001,6.28,700,0
COYA.US,5,20250909,200500,6.285,6.295,6.26,6.26,1000,0
COYA.US,5,20250909,201500,6.22,6.22,6.22,6.22,100,0
COYA.US,5,20250909,204500,6.29,6.29,6.29,6.29,400,0
COYA.US,5,20250909,205000,6.235,6.291,6.235,6.2727,4737,0
COYA.US,5,20250909,205500,6.25,6.25,6.25,6.25,100,0
COYA.US,5,20250909,210000,6.2597,6.2597,6.2597,6.2597,200,0
COYA.US,5,20250909,211000,6.23,6.23,6.23,6.23,100,0
COYA.US,5,20250909,212000,6.21,6.21,6.21,6.21,100,0
COYA.US,5,20250909,212500,6.2,6.21,6.2,6.21,2100,0
COYA.US,5,20250909,213000,6.23,6.32,6.18,6.2832,6261,0
COYA.US,5,20250909,213500,6.32,6.32,6.24,6.245,1800,0
COYA.US,5,20250909,214500,6.23,6.23,6.23,6.23,100,0
COYA.US,5,20250909,215000,6.23,6.24,6.2,6.23,1100,0
COYA.US,5,20250909,215500,6.21,6.27,6.17,6.27,3460,0
COYA.US,5,20250910,153000,6.28,6.41,6.28,6.3801,2233,0
COYA.US,5,20250910,163500,6.4072,6.4072,6.2601,6.2601,2200,0
COYA.US,5,20250910,164000,6.27,6.32,6.16,6.3,4264,0
COYA.US,5,20250910,164500,6.265,6.43,6.2545,6.395,2997,0
COYA.US,5,20250910,170500,6.35,6.391,6.3,6.3,2300,0
COYA.US,5,20250910,172000,6.39,6.4311,6.378,6.4311,1000,0
COYA.US,5,20250910,173500,6.395,6.41,6.342,6.35,4960,0
COYA.US,5,20250910,174000,6.35,6.43,6.34,6.43,4661,0
COYA.US,5,20250910,174500,6.42,6.42,6.42,6.42,300,0
COYA.US,5,20250910,180500,6.36,6.41,6.3,6.34,3000,0
COYA.US,5,20250910,181500,6.38,6.38,6.38,6.38,100,0
COYA.US,5,20250910,182500,6.3701,6.3701,6.37,6.37,600,0
COYA.US,5,20250910,185000,6.354,6.354,6.34,6.34,1100,0
COYA.US,5,20250910,185500,6.37,6.383,6.3457,6.37,2300,0
COYA.US,5,20250910,190500,6.38,6.38,6.375,6.375,300,0
COYA.US,5,20250910,193500,6.36,6.36,6.36,6.36,100,0
COYA.US,5,20250910,211000,6.34,6.34,6.34,6.34,100,0
COYA.US,5,20250910,212500,6.32,6.32,6.32,6.32,100,0
COYA.US,5,20250910,214000,6.27,6.2853,6.27,6.2853,500,0
COYA.US,5,20250910,214500,6.32,6.32,6.2846,6.32,700,0
COYA.US,5,20250910,215000,6.34,6.34,6.34,6.34,100,0
COYA.US,5,20250910,215500,6.35,6.35,6.31,6.31,687,0
COYA.US,5,20250911,153000,6.33,6.39,6.28,6.31,2000,0
COYA.US,5,20250911,153500,6.525,6.525,6.3901,6.3901,2600,0
COYA.US,5,20250911,154000,6.39,6.39,6.39,6.39,100,0
COYA.US,5,20250911,154500,6.35,6.399,6.2525,6.399,4427,0
COYA.US,5,20250911,155000,6.4,6.435,6.4,6.435,600,0
COYA.US,5,20250911,155500,6.48,6.515,6.4,6.48,3920,0
COYA.US,5,20250911,160000,6.44,6.44,6.4027,6.404,1944,0
COYA.US,5,20250911,160500,6.38,6.38,6.37,6.37,300,0
COYA.US,5,20250911,161000,6.36,6.36,6.36,6.36,200,0
COYA.US,5,20250911,161500,6.29,6.4,6.29,6.4,2400,0
COYA.US,5,20250911,162000,6.4126,6.45,6.38,6.445,2500,0
COYA.US,5,20250911,162500,6.4,6.41,6.38,6.38,800,0
COYA.US,5,20250911,163000,6.375,6.375,6.27,6.27,600,0
COYA.US,5,20250911,163500,6.3999,6.3999,6.27,6.36,2900,0
COYA.US,5,20250911,164000,6.4434,6.4434,6.3601,6.381,3300,0
COYA.US,5,20250911,164500,6.4,6.4,6.38,6.38,400,0
COYA.US,5,20250911,165000,6.38,6.38,6.32,6.32,500,0
COYA.US,5,20250911,165500,6.31,6.37,6.2652,6.37,2800,0
COYA.US,5,20250911,170000,6.37,6.39,6.34,6.34,1300,0
COYA.US,5,20250911,171000,6.31,6.31,6.29,6.29,200,0
COYA.US,5,20250911,171500,6.28,6.28,6.28,6.28,200,0
COYA.US,5,20250911,172000,6.28,6.3099,6.2792,6.2792,1600,0
COYA.US,5,20250911,172500,6.3,6.3,6.3,6.3,200,0
COYA.US,5,20250911,173000,6.29,6.3,6.29,6.29,700,0
COYA.US,5,20250911,173500,6.27,6.27,6.24,6.24,429,0
COYA.US,5,20250911,174000,6.24,6.24,6.24,6.24,100,0
COYA.US,5,20250911,174500,6.25,6.25,6.25,6.25,100,0
COYA.US,5,20250911,175000,6.24,6.2401,6.17,6.17,2521,0
COYA.US,5,20250911,175500,6.18,6.18,6.17,6.175,2394,0
COYA.US,5,20250911,180000,6.1761,6.24,6.175,6.1764,3868,0
COYA.US,5,20250911,180500,6.18,6.24,6.1701,6.1755,6620,0
COYA.US,5,20250911,181000,6.176,6.1793,6.175,6.175,1500,0
COYA.US,5,20250911,181500,6.17,6.17,6.16,6.16,420,0
COYA.US,5,20250911,182000,6.17,6.2006,6.17,6.2006,300,0
COYA.US,5,20250911,182500,6.18,6.18,6.17,6.18,847,0
COYA.US,5,20250911,183000,6.18,6.18,6.1798,6.1798,300,0
COYA.US,5,20250911,183500,6.18,6.18,6.18,6.18,100,0
