<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CREG.US,5,20250829,153000,1.64,1.64,1.64,1.64,100,0
CREG.US,5,20250829,153500,1.6,1.6,1.55,1.56,15553,0
CREG.US,5,20250829,154000,1.58,1.58,1.56,1.56,300,0
CREG.US,5,20250829,154500,1.56,1.57,1.56,1.57,864,0
CREG.US,5,20250829,160000,1.53,1.54,1.5298,1.54,2200,0
CREG.US,5,20250829,160500,1.55,1.55,1.5498,1.55,6181,0
CREG.US,5,20250829,161000,1.55,1.55,1.55,1.55,3000,0
CREG.US,5,20250829,162000,1.54,1.545,1.54,1.54,3668,0
CREG.US,5,20250829,162500,1.55,1.55,1.55,1.55,400,0
CREG.US,5,20250829,163000,1.55,1.56,1.54,1.56,1736,0
CREG.US,5,20250829,163500,1.5475,1.5475,1.5475,1.5475,100,0
CREG.US,5,20250829,165000,1.5543,1.5543,1.5543,1.5543,300,0
CREG.US,5,20250829,165500,1.5599,1.5599,1.5416,1.5416,1600,0
CREG.US,5,20250829,172500,1.56,1.56,1.56,1.56,120,0
CREG.US,5,20250829,173000,1.5599,1.56,1.5598,1.5598,1110,0
CREG.US,5,20250829,173500,1.5598,1.56,1.5598,1.56,3298,0
CREG.US,5,20250829,174000,1.565,1.565,1.565,1.565,700,0
CREG.US,5,20250829,175500,1.5601,1.5601,1.5601,1.5601,1566,0
CREG.US,5,20250829,182000,1.5692,1.5692,1.5692,1.5692,100,0
CREG.US,5,20250829,182500,1.565,1.57,1.565,1.57,210,0
CREG.US,5,20250829,183500,1.58,1.58,1.58,1.58,516,0
CREG.US,5,20250829,184000,1.5882,1.5882,1.5882,1.5882,500,0
CREG.US,5,20250829,185000,1.6,1.6,1.6,1.6,100,0
CREG.US,5,20250829,190000,1.6,1.6,1.6,1.6,100,0
CREG.US,5,20250829,190500,1.6,1.6,1.6,1.6,400,0
CREG.US,5,20250829,191000,1.6,1.63,1.6,1.61,431,0
CREG.US,5,20250829,191500,1.63,1.63,1.62,1.63,496,0
CREG.US,5,20250829,192500,1.63,1.64,1.63,1.64,5700,0
CREG.US,5,20250829,193500,1.63,1.63,1.62,1.63,700,0
CREG.US,5,20250829,194000,1.63,1.63,1.63,1.63,206,0
CREG.US,5,20250829,194500,1.62,1.62,1.62,1.62,200,0
CREG.US,5,20250829,195000,1.605,1.605,1.605,1.605,245,0
CREG.US,5,20250829,200000,1.62,1.62,1.62,1.62,100,0
CREG.US,5,20250829,202500,1.63,1.63,1.63,1.63,100,0
CREG.US,5,20250829,203000,1.615,1.615,1.615,1.615,100,0
CREG.US,5,20250829,204000,1.63,1.63,1.63,1.63,100,0
CREG.US,5,20250829,205000,1.63,1.63,1.63,1.63,100,0
CREG.US,5,20250829,210000,1.61,1.61,1.6,1.61,2391,0
CREG.US,5,20250829,212500,1.57,1.57,1.57,1.57,100,0
CREG.US,5,20250829,213500,1.5728,1.5728,1.5728,1.5728,170,0
CREG.US,5,20250829,214000,1.59,1.59,1.5899,1.59,4300,0
CREG.US,5,20250829,214500,1.5911,1.61,1.5911,1.61,800,0
CREG.US,5,20250829,215000,1.61,1.61,1.55,1.57,5950,0
CREG.US,5,20250829,215500,1.59,1.59,1.55,1.55,752,0
CREG.US,5,20250902,153000,1.521,1.521,1.52,1.52,617,0
CREG.US,5,20250902,154000,1.52,1.52,1.52,1.52,569,0
CREG.US,5,20250902,162500,1.525,1.54,1.525,1.535,1194,0
CREG.US,5,20250902,164000,1.5401,1.5401,1.54,1.5401,7351,0
CREG.US,5,20250902,170500,1.5299,1.5299,1.5299,1.5299,100,0
CREG.US,5,20250902,171000,1.51,1.51,1.51,1.51,400,0
CREG.US,5,20250902,171500,1.511,1.511,1.511,1.511,500,0
CREG.US,5,20250902,172000,1.5101,1.5101,1.471,1.471,14563,0
CREG.US,5,20250902,172500,1.4584,1.4584,1.4514,1.4514,9895,0
CREG.US,5,20250902,173500,1.46,1.47,1.4502,1.4502,6820,0
CREG.US,5,20250902,174000,1.47,1.47,1.47,1.47,366,0
CREG.US,5,20250902,174500,1.46,1.46,1.4511,1.4511,6600,0
CREG.US,5,20250902,175000,1.46,1.46,1.46,1.46,2000,0
CREG.US,5,20250902,175500,1.452,1.452,1.452,1.452,350,0
CREG.US,5,20250902,181000,1.45,1.45,1.45,1.45,100,0
CREG.US,5,20250902,182000,1.45,1.45,1.4111,1.42,3880,0
CREG.US,5,20250902,182500,1.4106,1.42,1.4106,1.4111,1700,0
CREG.US,5,20250902,183000,1.4184,1.4184,1.4184,1.4184,4600,0
CREG.US,5,20250902,183500,1.4113,1.4113,1.411,1.411,1500,0
CREG.US,5,20250902,185000,1.42,1.42,1.4107,1.415,1300,0
CREG.US,5,20250902,185500,1.415,1.45,1.415,1.45,2900,0
CREG.US,5,20250902,190000,1.43,1.43,1.43,1.43,1000,0
CREG.US,5,20250902,192500,1.43,1.43,1.43,1.43,905,0
CREG.US,5,20250902,193500,1.42,1.42,1.42,1.42,500,0
CREG.US,5,20250902,195000,1.421,1.43,1.421,1.43,653,0
CREG.US,5,20250902,195500,1.4298,1.44,1.4298,1.44,1449,0
CREG.US,5,20250902,200000,1.49,1.54,1.44,1.44,12030,0
CREG.US,5,20250902,201000,1.4101,1.43,1.4101,1.43,1405,0
CREG.US,5,20250902,202500,1.4379,1.4379,1.4379,1.4379,100,0
CREG.US,5,20250902,203000,1.44,1.46,1.44,1.46,1034,0
CREG.US,5,20250902,203500,1.44,1.44,1.44,1.44,427,0
CREG.US,5,20250902,212500,1.43,1.43,1.4152,1.4152,1500,0
CREG.US,5,20250902,214000,1.42,1.42,1.42,1.42,850,0
CREG.US,5,20250902,214500,1.4202,1.43,1.4201,1.43,1722,0
CREG.US,5,20250902,215000,1.4216,1.4216,1.42,1.42,2729,0
CREG.US,5,20250902,215500,1.42,1.42,1.415,1.42,400,0
CREG.US,5,20250903,153000,1.4202,1.4202,1.4202,1.4202,300,0
CREG.US,5,20250903,154500,1.4712,1.4712,1.4712,1.4712,500,0
CREG.US,5,20250903,155000,1.469,1.47,1.43,1.4569,5581,0
CREG.US,5,20250903,155500,1.46,1.46,1.45,1.45,950,0
CREG.US,5,20250903,160500,1.4823,1.4823,1.4823,1.4823,700,0
CREG.US,5,20250903,161000,1.47,1.47,1.45,1.45,2100,0
CREG.US,5,20250903,161500,1.4575,1.4599,1.4204,1.4345,3834,0
CREG.US,5,20250903,162000,1.43,1.4399,1.43,1.4399,5000,0
CREG.US,5,20250903,162500,1.43,1.44,1.41,1.41,5076,0
CREG.US,5,20250903,163000,1.42,1.43,1.42,1.425,3429,0
CREG.US,5,20250903,164000,1.412,1.425,1.4101,1.4101,1474,0
CREG.US,5,20250903,164500,1.4142,1.4199,1.4142,1.4193,4000,0
CREG.US,5,20250903,165000,1.42,1.42,1.41,1.41,1210,0
CREG.US,5,20250903,170000,1.42,1.42,1.42,1.42,2000,0
CREG.US,5,20250903,170500,1.44,1.44,1.44,1.44,900,0
CREG.US,5,20250903,171000,1.44,1.44,1.4352,1.44,1453,0
CREG.US,5,20250903,172000,1.4102,1.4102,1.34,1.34,3881,0
CREG.US,5,20250903,172500,1.3699,1.42,1.359,1.415,11955,0
CREG.US,5,20250903,173500,1.37,1.3899,1.3601,1.38,10759,0
CREG.US,5,20250903,174500,1.37,1.45,1.37,1.45,5444,0
CREG.US,5,20250903,180000,1.4,1.4,1.3843,1.3843,5100,0
CREG.US,5,20250903,180500,1.3799,1.39,1.375,1.39,6895,0
CREG.US,5,20250903,181000,1.4,1.4,1.4,1.4,100,0
CREG.US,5,20250903,182500,1.405,1.405,1.4,1.4,660,0
CREG.US,5,20250903,183500,1.4199,1.4199,1.4199,1.4199,1500,0
CREG.US,5,20250903,184000,1.3901,1.3915,1.38,1.38,17830,0
CREG.US,5,20250903,184500,1.3502,1.352,1.35,1.35,34722,0
CREG.US,5,20250903,185000,1.35,1.351,1.3,1.3198,17000,0
CREG.US,5,20250903,185500,1.31,1.345,1.31,1.34,10299,0
CREG.US,5,20250903,190000,1.32,1.33,1.31,1.33,2500,0
CREG.US,5,20250903,190500,1.33,1.38,1.33,1.33,3305,0
CREG.US,5,20250903,191000,1.33,1.3559,1.33,1.3559,2500,0
CREG.US,5,20250903,191500,1.33,1.34,1.33,1.3363,1600,0
CREG.US,5,20250903,192000,1.38,1.38,1.34,1.34,1062,0
CREG.US,5,20250903,193000,1.33,1.3302,1.33,1.3301,996,0
CREG.US,5,20250903,195000,1.34,1.34,1.33,1.33,1177,0
CREG.US,5,20250903,195500,1.3598,1.3598,1.3546,1.3546,400,0
CREG.US,5,20250903,200000,1.34,1.34,1.33,1.33,1000,0
CREG.US,5,20250903,201000,1.335,1.34,1.335,1.3363,3000,0
CREG.US,5,20250903,201500,1.3648,1.3648,1.3648,1.3648,1000,0
CREG.US,5,20250903,203000,1.36,1.36,1.36,1.36,100,0
CREG.US,5,20250903,203500,1.34,1.34,1.34,1.34,3609,0
CREG.US,5,20250903,204500,1.34,1.34,1.34,1.34,490,0
CREG.US,5,20250903,212500,1.3821,1.3821,1.3821,1.3821,100,0
CREG.US,5,20250903,213000,1.365,1.365,1.365,1.365,500,0
CREG.US,5,20250903,214500,1.3558,1.3558,1.34,1.3401,3100,0
CREG.US,5,20250903,215000,1.34,1.36,1.34,1.3401,5340,0
CREG.US,5,20250903,215500,1.34,1.344,1.34,1.34,5700,0
CREG.US,5,20250904,153000,1.35,1.35,1.34,1.34,1606,0
CREG.US,5,20250904,153500,1.31,1.31,1.31,1.31,300,0
CREG.US,5,20250904,154500,1.32,1.32,1.32,1.32,1000,0
