<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXAI.US,5,20250829,153000,0.7983,0.7983,0.7853,0.7853,1892,0
CXAI.US,5,20250829,153500,0.79,0.79,0.7853,0.7876,2465,0
CXAI.US,5,20250829,154000,0.79,0.7901,0.7857,0.7857,560,0
CXAI.US,5,20250829,154500,0.7853,0.7853,0.7853,0.7853,256,0
CXAI.US,5,20250829,155000,0.7886,0.7886,0.7801,0.7802,12028,0
CXAI.US,5,20250829,155500,0.78382,0.78382,0.7834,0.7834,300,0
CXAI.US,5,20250829,160000,0.7802,0.7812,0.7802,0.7812,322,0
CXAI.US,5,20250829,160500,0.7844,0.7878,0.7811,0.7844,5354,0
CXAI.US,5,20250829,161000,0.7849,0.7849,0.78435,0.78435,700,0
CXAI.US,5,20250829,161500,0.781,0.7837,0.7751,0.7751,10448,0
CXAI.US,5,20250829,162000,0.7753,0.7765,0.77,0.7734,22826,0
CXAI.US,5,20250829,162500,0.770301,0.770301,0.770301,0.770301,3513,0
CXAI.US,5,20250829,163000,0.7737,0.7737,0.7737,0.7737,3750,0
CXAI.US,5,20250829,163500,0.7709,0.7709,0.7708,0.7708,499,0
CXAI.US,5,20250829,165500,0.7766,0.7766,0.7711,0.7711,1800,0
CXAI.US,5,20250829,170000,0.7711,0.7767,0.7709,0.7709,5362,0
CXAI.US,5,20250829,170500,0.775,0.7757,0.7709,0.7709,5216,0
CXAI.US,5,20250829,171000,0.7708,0.7708,0.7567,0.7567,15457,0
CXAI.US,5,20250829,171500,0.7567,0.7574,0.7565,0.75655,9060,0
CXAI.US,5,20250829,172000,0.7531,0.7564,0.740101,0.7462,58733,0
CXAI.US,5,20250829,172500,0.75479,0.75479,0.7495,0.7513,3747,0
CXAI.US,5,20250829,173000,0.7512,0.76,0.7453,0.7466,43885,0
CXAI.US,5,20250829,173500,0.7474,0.7485,0.7407,0.7449,18317,0
CXAI.US,5,20250829,174000,0.7446,0.7479,0.743,0.7448,23838,0
CXAI.US,5,20250829,174500,0.7468,0.7468,0.7409,0.7449,15000,0
CXAI.US,5,20250829,175000,0.7472,0.7499,0.745,0.7463,6300,0
CXAI.US,5,20250829,175500,0.7457,0.7498,0.7457,0.748175,8281,0
CXAI.US,5,20250829,180000,0.7485,0.7549,0.7485,0.7539,4400,0
CXAI.US,5,20250829,181000,0.759449,0.7596,0.759449,0.7595,1200,0
CXAI.US,5,20250829,181500,0.7595,0.7647,0.7595,0.7611,7374,0
CXAI.US,5,20250829,182000,0.7619,0.7619,0.7618,0.7619,15500,0
CXAI.US,5,20250829,182500,0.764,0.7649,0.764,0.7648,2090,0
CXAI.US,5,20250829,183500,0.7644,0.7648,0.7637,0.7645,3300,0
CXAI.US,5,20250829,184000,0.76465,0.7647,0.7645,0.7647,800,0
CXAI.US,5,20250829,184500,0.7645,0.7647,0.7645,0.7647,752,0
CXAI.US,5,20250829,185000,0.7649,0.7649,0.764649,0.764649,500,0
CXAI.US,5,20250829,185500,0.7648,0.7648,0.7632,0.7641,1814,0
CXAI.US,5,20250829,190000,0.7633,0.764,0.7628,0.7629,1200,0
CXAI.US,5,20250829,190500,0.7625,0.7625,0.7618,0.7625,700,0
CXAI.US,5,20250829,191000,0.762,0.762,0.761,0.761,711,0
CXAI.US,5,20250829,191500,0.7608,0.7611,0.7601,0.7607,8902,0
CXAI.US,5,20250829,192500,0.7601,0.7601,0.76,0.76,300,0
CXAI.US,5,20250829,193000,0.7601,0.7601,0.76,0.76,1100,0
CXAI.US,5,20250829,193500,0.76,0.76005,0.76,0.76,900,0
CXAI.US,5,20250829,194000,0.7601,0.7607,0.76,0.7606,2720,0
CXAI.US,5,20250829,194500,0.76065,0.7607,0.7606,0.7607,7047,0
CXAI.US,5,20250829,195000,0.7608,0.7608,0.7606,0.7608,570,0
CXAI.US,5,20250829,195500,0.76125,0.7616,0.76125,0.76155,600,0
CXAI.US,5,20250829,200000,0.76155,0.76155,0.7615,0.76155,500,0
CXAI.US,5,20250829,200500,0.76155,0.76155,0.76155,0.76155,200,0
CXAI.US,5,20250829,201000,0.7615,0.7619,0.7615,0.7619,1112,0
CXAI.US,5,20250829,201500,0.7619,0.7619,0.7619,0.7619,300,0
CXAI.US,5,20250829,202000,0.7619,0.762,0.7619,0.7619,2226,0
CXAI.US,5,20250829,202500,0.7619,0.762,0.7619,0.76195,7396,0
CXAI.US,5,20250829,203000,0.762,0.762,0.7619,0.7619,2081,0
CXAI.US,5,20250829,203500,0.762,0.762,0.7619,0.7619,4140,0
CXAI.US,5,20250829,204000,0.7619,0.762,0.7619,0.7619,1178,0
CXAI.US,5,20250829,204500,0.762,0.7629,0.762,0.7629,1400,0
CXAI.US,5,20250829,210000,0.7629,0.7629,0.7629,0.7629,300,0
CXAI.US,5,20250829,210500,0.763,0.763,0.763,0.763,100,0
CXAI.US,5,20250829,211500,0.7629,0.7629,0.7629,0.7629,500,0
CXAI.US,5,20250829,212000,0.763,0.763,0.763,0.763,100,0
CXAI.US,5,20250829,212500,0.76295,0.763,0.7557,0.7557,18596,0
CXAI.US,5,20250829,213000,0.7569,0.76155,0.7569,0.76155,1608,0
CXAI.US,5,20250829,213500,0.7616,0.762,0.761,0.761,1200,0
CXAI.US,5,20250829,214000,0.7601,0.7601,0.7583,0.7584,550,0
CXAI.US,5,20250829,214500,0.7584,0.7592,0.756,0.756,4941,0
CXAI.US,5,20250829,215000,0.7564,0.7564,0.75,0.7524,16565,0
CXAI.US,5,20250829,215500,0.752,0.7539,0.75,0.7526,17545,0
