<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZR.US,5,20250829,153000,27.18,27.195,27.05,27.15,51258,0
CZR.US,5,20250829,153500,27.15,27.27,27.11,27.23,52708,0
CZR.US,5,20250829,154000,27.23,27.3,27.2,27.26,71492,0
CZR.US,5,20250829,154500,27.26,27.28,27.19,27.23,50436,0
CZR.US,5,20250829,155000,27.24,27.35,27.21,27.305,93550,0
CZR.US,5,20250829,155500,27.3,27.32,27.215,27.285,84592,0
CZR.US,5,20250829,160000,27.285,27.32,27.09,27.09,79945,0
CZR.US,5,20250829,160500,27.09,27.11,27.02,27.05,43562,0
CZR.US,5,20250829,161000,27.055,27.055,26.975,27.015,19291,0
CZR.US,5,20250829,161500,27.02,27.035,26.93,26.93,22434,0
CZR.US,5,20250829,162000,26.94,27.01,26.935,26.98,50880,0
CZR.US,5,20250829,162500,26.99,26.995,26.93,26.981,15643,0
CZR.US,5,20250829,163000,26.99,27.04,26.93,27.035,56438,0
CZR.US,5,20250829,163500,27.03,27.03,26.965,26.99,19044,0
CZR.US,5,20250829,164000,26.9851,27.055,26.98,27.005,47370,0
CZR.US,5,20250829,164500,27.005,27.02,26.89,26.925,59347,0
CZR.US,5,20250829,165000,26.93,26.96,26.88,26.94,95970,0
CZR.US,5,20250829,165500,26.94,26.995,26.9198,26.955,121774,0
CZR.US,5,20250829,170000,26.955,26.955,26.89,26.89,31586,0
CZR.US,5,20250829,170500,26.9,26.945,26.885,26.9,103705,0
CZR.US,5,20250829,171000,26.89,26.906664,26.87,26.875,18553,0
CZR.US,5,20250829,171500,26.875,26.9,26.84,26.88,21757,0
CZR.US,5,20250829,172000,26.88,26.89,26.865,26.87,12450,0
CZR.US,5,20250829,172500,26.875,26.92,26.875,26.915,69415,0
CZR.US,5,20250829,173000,26.915,26.97,26.885,26.935,23525,0
CZR.US,5,20250829,173500,26.93,26.95,26.91,26.91,11888,0
CZR.US,5,20250829,174000,26.915,26.92,26.875,26.875,21851,0
CZR.US,5,20250829,174500,26.88,26.94,26.88,26.895,26018,0
CZR.US,5,20250829,175000,26.895,26.9,26.81,26.82,29094,0
CZR.US,5,20250829,175500,26.83,26.93,26.83,26.895,37385,0
CZR.US,5,20250829,180000,26.895,26.92,26.885,26.885,24920,0
CZR.US,5,20250829,180500,26.89,26.89,26.835,26.88,23338,0
CZR.US,5,20250829,181000,26.89,26.91,26.86,26.86,18378,0
CZR.US,5,20250829,181500,26.86,26.87,26.825,26.835,18740,0
CZR.US,5,20250829,182000,26.835,26.87,26.835,26.87,21539,0
CZR.US,5,20250829,182500,26.875,26.875,26.82,26.825,17543,0
CZR.US,5,20250829,183000,26.825,26.89,26.82,26.885,37328,0
CZR.US,5,20250829,183500,26.88,26.885,26.845,26.845,15840,0
CZR.US,5,20250829,184000,26.845,26.85,26.805,26.805,25798,0
CZR.US,5,20250829,184500,26.805,26.815,26.76,26.765,35622,0
CZR.US,5,20250829,185000,26.76,26.785,26.76,26.785,16594,0
CZR.US,5,20250829,185500,26.785,26.81,26.77,26.77,13586,0
CZR.US,5,20250829,190000,26.775,26.785,26.745,26.755,34426,0
CZR.US,5,20250829,190500,26.75,26.845,26.75,26.835,24128,0
CZR.US,5,20250829,191000,26.835,26.87,26.825,26.855,24854,0
CZR.US,5,20250829,191500,26.855,26.89,26.845,26.885,25190,0
CZR.US,5,20250829,192000,26.885,26.935,26.885,26.935,23618,0
CZR.US,5,20250829,192500,26.935,26.975,26.92,26.975,40460,0
CZR.US,5,20250829,193000,26.975,26.995,26.96,26.975,26451,0
CZR.US,5,20250829,193500,26.98,26.995,26.95,26.96,16007,0
CZR.US,5,20250829,194000,26.96,26.995,26.955,26.98,30012,0
CZR.US,5,20250829,194500,26.98,26.99,26.97,26.98,12845,0
CZR.US,5,20250829,195000,26.985,26.995,26.963,26.965,17425,0
CZR.US,5,20250829,195500,26.96,26.96,26.925,26.925,13575,0
CZR.US,5,20250829,200000,26.925,26.925,26.855,26.855,18238,0
CZR.US,5,20250829,200500,26.855,26.865,26.84,26.865,23755,0
CZR.US,5,20250829,201000,26.865,26.865,26.835,26.835,8565,0
CZR.US,5,20250829,201500,26.835,26.85,26.83,26.835,12292,0
CZR.US,5,20250829,202000,26.84,26.8601,26.805,26.8601,61390,0
CZR.US,5,20250829,202500,26.865,26.915,26.865,26.875,37327,0
CZR.US,5,20250829,203000,26.875,26.885,26.8639,26.875,21131,0
CZR.US,5,20250829,203500,26.88,26.89,26.86,26.865,28200,0
CZR.US,5,20250829,204000,26.87,26.88,26.845,26.845,9701,0
CZR.US,5,20250829,204500,26.84,26.845,26.82,26.82,22955,0
CZR.US,5,20250829,205000,26.825,26.825,26.8,26.8,8784,0
CZR.US,5,20250829,205500,26.8,26.82,26.765,26.77,36690,0
CZR.US,5,20250829,210000,26.77,26.77,26.685,26.7,38638,0
CZR.US,5,20250829,210500,26.71,26.74,26.705,26.71,38718,0
CZR.US,5,20250829,211000,26.71,26.725,26.675,26.685,30047,0
CZR.US,5,20250829,211500,26.685,26.6954,26.66,26.6954,105182,0
CZR.US,5,20250829,212000,26.695,26.765,26.68,26.74,63108,0
CZR.US,5,20250829,212500,26.74,26.75,26.68,26.685,43545,0
CZR.US,5,20250829,213000,26.685,26.765,26.685,26.745,65424,0
CZR.US,5,20250829,213500,26.745,26.79,26.745,26.78,64506,0
CZR.US,5,20250829,214000,26.78,26.78,26.765,26.775,49913,0
CZR.US,5,20250829,214500,26.775,26.83,26.77,26.79,118983,0
CZR.US,5,20250829,215000,26.8,26.86,26.755,26.775,209619,0
CZR.US,5,20250829,215500,26.775,26.78,26.74,26.77,1362729,0
CZR.US,5,20250902,153000,25.97,26.02,25.81,25.935,96425,0
CZR.US,5,20250902,153500,25.95,26.06,25.95,26.045,29937,0
CZR.US,5,20250902,154000,26.0428,26.16,26.0301,26.15,16963,0
CZR.US,5,20250902,154500,26.15,26.15,25.975,26.05,57891,0
CZR.US,5,20250902,155000,26.05,26.08,25.96,26.02,45312,0
CZR.US,5,20250902,155500,26.03,26.075,26,26.07,17144,0
CZR.US,5,20250902,160000,26.06,26.13,26.005,26.07,54292,0
CZR.US,5,20250902,160500,26.08,26.095,25.98,25.99,24896,0
CZR.US,5,20250902,161000,25.99,26.01,25.925,25.945,351779,0
CZR.US,5,20250902,161500,25.94,25.97,25.89,25.89,44351,0
CZR.US,5,20250902,162000,25.9,25.99,25.89,25.89,39673,0
CZR.US,5,20250902,162500,25.9,25.99,25.875,25.98,39719,0
CZR.US,5,20250902,163000,25.98,26,25.95,25.95,52179,0
CZR.US,5,20250902,163500,25.94,25.96,25.885,25.9,28271,0
CZR.US,5,20250902,164000,25.9,25.9,25.83,25.86,51642,0
CZR.US,5,20250902,164500,25.86,25.89,25.845,25.88,39407,0
