<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DASH.US,5,20250829,153000,247.35,248.814,246.73,247.8499,42997,0
DASH.US,5,20250829,153500,247.25,247.25,245.395,245.395,10079,0
DASH.US,5,20250829,154000,245.36,246.0999,244.84,245.14,17704,0
DASH.US,5,20250829,154500,245.07,245.4,243.96,244.3,15944,0
DASH.US,5,20250829,155000,244.155,245.07,244.095,244.55,9064,0
DASH.US,5,20250829,155500,244.59,244.63,243.8,243.97,12728,0
DASH.US,5,20250829,160000,244.11,244.3,242.97,243.14,31656,0
DASH.US,5,20250829,160500,242.98,243.57,242.98,243.46,11821,0
DASH.US,5,20250829,161000,243.66,243.73,242.96,243.72,15856,0
DASH.US,5,20250829,161500,243.48,244.04,243.07,244.015,25025,0
DASH.US,5,20250829,162000,244,244.74,244,244.6553,9362,0
DASH.US,5,20250829,162500,244.53,244.95,244.09,244.82,11262,0
DASH.US,5,20250829,163000,244.66,244.725,244.3,244.64,9162,0
DASH.US,5,20250829,163500,244.6275,244.9,244.45,244.49,9383,0
DASH.US,5,20250829,164000,244.58,244.59,243.67,243.67,11828,0
DASH.US,5,20250829,164500,243.72,243.72,243.1,243.37,12947,0
DASH.US,5,20250829,165000,243.4,243.75,243.26,243.44,9535,0
DASH.US,5,20250829,165500,243.3,243.53,243.16,243.345,4548,0
DASH.US,5,20250829,170000,243.3,243.57,243.155,243.3,8196,0
DASH.US,5,20250829,170500,243.54,244.05,243.35,244.05,1650,0
DASH.US,5,20250829,171000,244.04,244.26,243.89,244.215,4174,0
DASH.US,5,20250829,171500,244.11,244.595,244.11,244.595,6159,0
DASH.US,5,20250829,172000,244.67,244.67,244.32,244.52,6496,0
DASH.US,5,20250829,172500,244.425,244.61,244.25,244.35,13975,0
DASH.US,5,20250829,173000,244.355,244.355,243.5273,243.82,7384,0
DASH.US,5,20250829,173500,243.83,244.03,243.6721,243.84,4758,0
DASH.US,5,20250829,174000,243.915,244.01,243.88,243.94,6308,0
DASH.US,5,20250829,174500,243.9,244.16,243.9,244.16,3703,0
DASH.US,5,20250829,175000,244.07,244.26,244.01,244.19,5539,0
DASH.US,5,20250829,175500,244.195,244.26,243.9625,243.965,2539,0
DASH.US,5,20250829,180000,243.985,244.265,243.985,244.19,3281,0
DASH.US,5,20250829,180500,244.11,244.17,243.87,244.13,3847,0
DASH.US,5,20250829,181000,244.28,244.71,244.28,244.69,6640,0
DASH.US,5,20250829,181500,244.745,244.87,244.693,244.865,5205,0
DASH.US,5,20250829,182000,244.88,244.885,244.75,244.77,4746,0
DASH.US,5,20250829,182500,244.8,244.9,244.44,244.52,14060,0
DASH.US,5,20250829,183000,244.44,244.71,244.44,244.695,20187,0
DASH.US,5,20250829,183500,244.68,244.73,244.48,244.62,8706,0
DASH.US,5,20250829,184000,244.53,244.83,244.53,244.75,11360,0
DASH.US,5,20250829,184500,244.785,245.06,244.78,244.885,9382,0
DASH.US,5,20250829,185000,244.81,244.82,244.33,244.41,3274,0
DASH.US,5,20250829,185500,244.4381,244.4381,244.07,244.1,8443,0
DASH.US,5,20250829,190000,244.15,244.15,243.43,243.475,2793,0
DASH.US,5,20250829,190500,243.5,243.92,243.3755,243.92,5380,0
DASH.US,5,20250829,191000,243.87,243.95,243.78,243.84,5331,0
DASH.US,5,20250829,191500,243.77,243.79,243.415,243.7,5893,0
DASH.US,5,20250829,192000,243.6444,243.89,243.6444,243.8325,1972,0
DASH.US,5,20250829,192500,243.8634,244.09,243.8,243.85,2713,0
DASH.US,5,20250829,193000,243.9,244.115,243.83,244.04,8167,0
DASH.US,5,20250829,193500,244.21,244.55,244.19,244.535,10542,0
DASH.US,5,20250829,194000,244.5739,244.745,244.43,244.71,5218,0
DASH.US,5,20250829,194500,244.93,245.445,244.92,245.445,5109,0
DASH.US,5,20250829,195000,245.46,245.87,245.4,245.68,13047,0
DASH.US,5,20250829,195500,245.68,245.68,245.29,245.34,7117,0
DASH.US,5,20250829,200000,245.33,245.4,245.17,245.4,11216,0
DASH.US,5,20250829,200500,245.35,245.53,245.3,245.4,9733,0
DASH.US,5,20250829,201000,245.395,245.47,245.28,245.395,12403,0
DASH.US,5,20250829,201500,245.415,245.415,245.1,245.125,5928,0
DASH.US,5,20250829,202000,245.19,245.58,245.065,245.48,7898,0
