<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDOG.US,5,20250829,153000,139.88,141.7,139.7601,141.47,165042,0
DDOG.US,5,20250829,153500,141.54,141.8995,141.46,141.585,44421,0
DDOG.US,5,20250829,154000,141.585,142.5,140.8542,140.95,153486,0
DDOG.US,5,20250829,154500,140.905,141.06,140.65,140.985,51979,0
DDOG.US,5,20250829,155000,140.89,140.92,140.3,140.7,97329,0
DDOG.US,5,20250829,155500,140.72,140.85,139.79,139.79,89364,0
DDOG.US,5,20250829,160000,139.89,139.91,138.74,138.8,69149,0
DDOG.US,5,20250829,160500,138.77,138.89,138.355,138.445,39753,0
DDOG.US,5,20250829,161000,138.52,138.66,137.83,138.29,64592,0
DDOG.US,5,20250829,161500,138.28,138.4887,138.13,138.365,37218,0
DDOG.US,5,20250829,162000,138.43,138.86,138.37,138.61,163069,0
DDOG.US,5,20250829,162500,138.47,138.79,138.31,138.66,23959,0
DDOG.US,5,20250829,163000,138.675,138.8,138.54,138.56,18747,0
DDOG.US,5,20250829,163500,138.54,138.865,138.5,138.66,57248,0
DDOG.US,5,20250829,164000,138.66,138.925,138.38,138.825,36397,0
DDOG.US,5,20250829,164500,138.835,139.02,138.49,138.54,19441,0
DDOG.US,5,20250829,165000,138.535,138.63,137.83,138.11,68938,0
DDOG.US,5,20250829,165500,138.13,138.13,137.53,137.7,32787,0
DDOG.US,5,20250829,170000,137.74,138.01,137.74,137.79,14115,0
DDOG.US,5,20250829,170500,137.84,138.115,137.73,138.085,20499,0
DDOG.US,5,20250829,171000,138.08,138.15,137.95,138.02,14444,0
DDOG.US,5,20250829,171500,138.0375,138.1,137.82,138.005,14107,0
DDOG.US,5,20250829,172000,137.99,137.99,137.78,137.825,7719,0
DDOG.US,5,20250829,172500,137.81,138.1499,137.64,138.095,32848,0
DDOG.US,5,20250829,173000,138.06,138.12,137.5601,137.64,15248,0
DDOG.US,5,20250829,173500,137.56,137.775,137.525,137.775,10852,0
DDOG.US,5,20250829,174000,137.76,137.76,137.51,137.61,18707,0
DDOG.US,5,20250829,174500,137.61,137.75,137.53,137.73,10243,0
DDOG.US,5,20250829,175000,137.72,137.72,137.38,137.45,15151,0
DDOG.US,5,20250829,175500,137.45,138.06,137.45,137.975,44483,0
DDOG.US,5,20250829,180000,138.03,138.07,137.805,137.805,10740,0
DDOG.US,5,20250829,180500,137.79,137.89,137.695,137.86,14505,0
DDOG.US,5,20250829,181000,137.85,138.13,137.85,138.055,12717,0
DDOG.US,5,20250829,181500,138.04,138.05,137.92,137.93,6223,0
DDOG.US,5,20250829,182000,137.93,138,137.9,137.925,7513,0
DDOG.US,5,20250829,182500,137.915,138.0276,137.785,137.785,6938,0
DDOG.US,5,20250829,183000,137.8,138.04,137.79,137.97,7168,0
DDOG.US,5,20250829,183500,137.97,138.05,137.95,138.03,5635,0
DDOG.US,5,20250829,184000,138.03,138.05,137.92,137.96,6425,0
DDOG.US,5,20250829,184500,137.97,138.03,137.92,137.975,7610,0
DDOG.US,5,20250829,185000,137.95,137.99,137.86,137.9,8064,0
DDOG.US,5,20250829,185500,137.925,138.6645,137.86,138.37,73571,0
DDOG.US,5,20250829,190000,138.28,138.29,137.66,137.71,9954,0
DDOG.US,5,20250829,190500,137.72,137.98,137.66,137.85,7891,0
DDOG.US,5,20250829,191000,137.89,137.895,137.68,137.79,17155,0
DDOG.US,5,20250829,191500,137.79,137.81,137.67,137.74,13617,0
DDOG.US,5,20250829,192000,137.76,137.9,137.76,137.82,6915,0
DDOG.US,5,20250829,192500,137.82,137.82,137.65,137.71,18416,0
DDOG.US,5,20250829,193000,137.72,137.86,137.095,137.095,26944,0
DDOG.US,5,20250829,193500,137.13,137.19,137,137.135,18388,0
DDOG.US,5,20250829,194000,137.1,137.19,136.91,136.98,12950,0
DDOG.US,5,20250829,194500,136.955,137.04,136.77,136.97,23889,0
DDOG.US,5,20250829,195000,136.93,136.955,136.8,136.84,10241,0
DDOG.US,5,20250829,195500,136.89,136.91,136.61,136.8,11588,0
DDOG.US,5,20250829,200000,136.755,136.79,136.46,136.57,20854,0
DDOG.US,5,20250829,200500,136.53,136.62,136.5,136.545,8033,0
DDOG.US,5,20250829,201000,136.57,136.7454,136.46,136.545,13840,0
DDOG.US,5,20250829,201500,136.55,136.62,136.09,136.49,66176,0
DDOG.US,5,20250829,202000,136.44,136.74,136.35,136.74,40305,0
DDOG.US,5,20250829,202500,136.84,136.9,136.66,136.705,13913,0
DDOG.US,5,20250829,203000,136.73,136.905,136.72,136.735,12479,0
DDOG.US,5,20250829,203500,136.75,136.76,136.66,136.68,7073,0
DDOG.US,5,20250829,204000,136.66,136.68,136.47,136.49,7766,0
DDOG.US,5,20250829,204500,136.45,136.51,136.41,136.48,9452,0
DDOG.US,5,20250829,205000,136.44,136.68,136.415,136.645,25421,0
DDOG.US,5,20250829,205500,136.67,136.7,136.47,136.53,14805,0
DDOG.US,5,20250829,210000,136.495,136.495,136.26,136.26,17899,0
DDOG.US,5,20250829,210500,136.245,136.33,136.175,136.295,11296,0
DDOG.US,5,20250829,211000,136.29,136.62,136.26,136.61,40692,0
DDOG.US,5,20250829,211500,136.64,136.805,136.64,136.805,24077,0
DDOG.US,5,20250829,212000,136.805,136.87,136.48,136.5,29366,0
DDOG.US,5,20250829,212500,136.45,136.45,136.04,136.05,20819,0
DDOG.US,5,20250829,213000,136.05,136.39,136.05,136.35,30076,0
DDOG.US,5,20250829,213500,136.35,136.4,136.2925,136.385,46603,0
DDOG.US,5,20250829,214000,136.385,136.44,136.25,136.315,73147,0
DDOG.US,5,20250829,214500,136.315,136.53,136.25,136.5,61773,0
DDOG.US,5,20250829,215000,136.52,136.725,136.32,136.38,119026,0
DDOG.US,5,20250829,215500,136.46,136.74,136.26,136.7,825214,0
DDOG.US,5,20250902,153000,134.48,134.565,132.2,133.59,202011,0
DDOG.US,5,20250902,153500,133.59,133.99,133.21,133.72,57144,0
DDOG.US,5,20250902,154000,133.73,134.21,133.42,133.9986,51895,0
DDOG.US,5,20250902,154500,133.96,134.97,133.87,134.89,78175,0
DDOG.US,5,20250902,155000,134.89,135.6,134.89,135.45,71517,0
DDOG.US,5,20250902,155500,135.47,135.515,135.1,135.225,47060,0
