<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOYU.US,5,20250829,153000,7.74,7.805,7.74,7.805,542,0
DOYU.US,5,20250829,153500,7.91,7.91,7.76,7.76,600,0
DOYU.US,5,20250829,154500,7.76,7.8789,7.76,7.8789,280,0
DOYU.US,5,20250829,155000,7.84,7.84,7.83,7.84,400,0
DOYU.US,5,20250829,155500,7.84,7.845,7.84,7.845,295,0
DOYU.US,5,20250829,160000,7.86,7.86,7.85,7.85,858,0
DOYU.US,5,20250829,160500,7.8428,7.8428,7.84,7.84,260,0
DOYU.US,5,20250829,161500,7.77,7.77,7.77,7.77,100,0
DOYU.US,5,20250829,162000,7.7758,7.84,7.7758,7.84,400,0
DOYU.US,5,20250829,163000,7.8994,7.8994,7.8994,7.8994,100,0
DOYU.US,5,20250829,163500,7.8344,7.84,7.8344,7.84,220,0
DOYU.US,5,20250829,165000,7.8999,7.8999,7.8999,7.8999,600,0
DOYU.US,5,20250829,165500,7.9,7.9,7.9,7.9,240,0
DOYU.US,5,20250829,170000,7.9,7.9094,7.9,7.9094,802,0
DOYU.US,5,20250829,171000,7.88,7.88,7.88,7.88,200,0
DOYU.US,5,20250829,171500,7.9023,7.9023,7.9023,7.9023,100,0
DOYU.US,5,20250829,172000,7.8824,7.8824,7.8824,7.8824,400,0
DOYU.US,5,20250829,173500,7.83,7.83,7.83,7.83,100,0
DOYU.US,5,20250829,180500,7.8307,7.8307,7.8307,7.8307,267,0
DOYU.US,5,20250829,181000,7.855,7.855,7.855,7.855,100,0
DOYU.US,5,20250829,181500,7.83,7.83,7.8,7.8,239,0
DOYU.US,5,20250829,182500,7.83,7.83,7.83,7.83,200,0
DOYU.US,5,20250829,183000,7.82,7.82,7.82,7.82,100,0
DOYU.US,5,20250829,183500,7.82,7.82,7.8,7.8,200,0
DOYU.US,5,20250829,185500,7.805,7.84,7.805,7.84,1199,0
DOYU.US,5,20250829,190000,7.87,7.87,7.84,7.84,400,0
DOYU.US,5,20250829,191000,7.83,7.83,7.83,7.83,100,0
DOYU.US,5,20250829,191500,7.84,7.84,7.84,7.84,100,0
DOYU.US,5,20250829,192000,7.82,7.82,7.82,7.82,200,0
DOYU.US,5,20250829,193000,7.79,7.79,7.79,7.79,100,0
DOYU.US,5,20250829,193500,7.8,7.815,7.8,7.815,2318,0
DOYU.US,5,20250829,194500,7.79,7.79,7.79,7.79,400,0
DOYU.US,5,20250829,195000,7.805,7.805,7.805,7.805,200,0
DOYU.US,5,20250829,200000,7.78,7.805,7.78,7.8,400,0
DOYU.US,5,20250829,200500,7.77,7.77,7.77,7.77,100,0
DOYU.US,5,20250829,203000,7.745,7.745,7.745,7.745,474,0
DOYU.US,5,20250829,203500,7.745,7.745,7.745,7.745,100,0
DOYU.US,5,20250829,204000,7.73,7.73,7.73,7.73,100,0
DOYU.US,5,20250829,210000,7.72,7.745,7.72,7.745,222,0
DOYU.US,5,20250829,211000,7.745,7.745,7.745,7.745,200,0
DOYU.US,5,20250829,211500,7.745,7.745,7.745,7.745,400,0
DOYU.US,5,20250829,212000,7.77,7.785,7.77,7.785,1842,0
DOYU.US,5,20250829,212500,7.76,7.76,7.76,7.76,400,0
DOYU.US,5,20250829,214000,7.75,7.755,7.73,7.75,505,0
DOYU.US,5,20250829,214500,7.75,7.76,7.72,7.76,932,0
DOYU.US,5,20250829,215000,7.71,7.735,7.71,7.72,907,0
DOYU.US,5,20250829,215500,7.735,7.77,7.7,7.72,2785,0
DOYU.US,5,20250902,153000,7.64,7.64,7.64,7.64,1136,0
DOYU.US,5,20250902,155500,7.66,7.66,7.66,7.66,200,0
DOYU.US,5,20250902,160000,7.76,7.76,7.7,7.7,300,0
DOYU.US,5,20250902,160500,7.61,7.61,7.61,7.61,100,0
DOYU.US,5,20250902,162000,7.685,7.685,7.685,7.685,100,0
DOYU.US,5,20250902,163000,7.69,7.69,7.68,7.69,300,0
DOYU.US,5,20250902,163500,7.77,7.77,7.77,7.77,100,0
DOYU.US,5,20250902,164500,7.78,7.78,7.78,7.78,200,0
DOYU.US,5,20250902,171000,7.725,7.725,7.725,7.725,100,0
DOYU.US,5,20250902,171500,7.725,7.725,7.725,7.725,100,0
