<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGHT.US,5,20250829,153000,2.01,2.0147,2,2.01,49466,0
EGHT.US,5,20250829,153500,2,2,1.99,1.99,12253,0
EGHT.US,5,20250829,154000,1.99,1.995,1.985,1.985,4908,0
EGHT.US,5,20250829,154500,1.985,1.985,1.98,1.985,3973,0
EGHT.US,5,20250829,155000,1.985,1.9899,1.98,1.98,11449,0
EGHT.US,5,20250829,155500,1.985,1.99,1.98,1.985,9066,0
EGHT.US,5,20250829,160000,1.985,2.005,1.98,2.005,76291,0
EGHT.US,5,20250829,160500,2.0001,2.005,1.99,2.0044,35956,0
EGHT.US,5,20250829,161000,2.005,2.005,2,2,7955,0
EGHT.US,5,20250829,161500,2,2.01,1.995,1.995,21100,0
EGHT.US,5,20250829,162000,1.995,2.005,1.995,2,9373,0
EGHT.US,5,20250829,162500,2,2.0008,1.99,1.995,17649,0
EGHT.US,5,20250829,163000,1.995,1.995,1.9917,1.995,1341,0
EGHT.US,5,20250829,163500,1.995,2.005,1.995,1.995,10280,0
EGHT.US,5,20250829,164000,1.99,1.995,1.99,1.99,1400,0
EGHT.US,5,20250829,164500,1.99,1.995,1.98,1.985,17478,0
EGHT.US,5,20250829,165000,1.985,1.985,1.985,1.985,4839,0
EGHT.US,5,20250829,165500,1.985,1.9891,1.985,1.9891,1379,0
EGHT.US,5,20250829,170000,1.99,1.99,1.98,1.985,8598,0
EGHT.US,5,20250829,170500,1.985,1.985,1.985,1.985,1611,0
EGHT.US,5,20250829,171000,1.985,1.9898,1.98,1.985,2750,0
EGHT.US,5,20250829,171500,1.985,1.985,1.98,1.985,1264,0
EGHT.US,5,20250829,172000,1.985,1.985,1.9834,1.985,514,0
EGHT.US,5,20250829,172500,1.985,1.985,1.985,1.985,4554,0
EGHT.US,5,20250829,173000,1.985,1.985,1.98,1.98,6533,0
EGHT.US,5,20250829,173500,1.98,1.99,1.975,1.985,22406,0
EGHT.US,5,20250829,174000,1.985,1.9889,1.985,1.985,4200,0
EGHT.US,5,20250829,174500,1.985,1.985,1.985,1.985,12607,0
EGHT.US,5,20250829,175000,1.985,1.985,1.985,1.985,6324,0
EGHT.US,5,20250829,175500,1.985,1.99,1.985,1.985,7590,0
EGHT.US,5,20250829,180000,1.985,1.985,1.98,1.985,5316,0
EGHT.US,5,20250829,180500,1.985,1.985,1.98,1.985,2376,0
EGHT.US,5,20250829,181000,1.985,1.985,1.98,1.985,7963,0
EGHT.US,5,20250829,181500,1.985,1.985,1.98,1.98,3622,0
EGHT.US,5,20250829,182000,1.98,1.985,1.98,1.985,476,0
EGHT.US,5,20250829,182500,1.98,1.985,1.98,1.985,7559,0
EGHT.US,5,20250829,183000,1.985,1.985,1.985,1.985,2147,0
EGHT.US,5,20250829,183500,1.985,1.99,1.985,1.985,21062,0
EGHT.US,5,20250829,184000,1.985,1.995,1.985,1.995,38574,0
EGHT.US,5,20250829,184500,2,2,1.99,1.995,300,0
EGHT.US,5,20250829,185000,1.995,1.995,1.995,1.995,1722,0
EGHT.US,5,20250829,185500,1.99,2,1.99,1.995,16476,0
EGHT.US,5,20250829,190000,1.995,1.995,1.985,1.985,5756,0
EGHT.US,5,20250829,190500,1.985,2.01,1.985,2,30861,0
EGHT.US,5,20250829,191000,1.99,2,1.985,1.995,67199,0
EGHT.US,5,20250829,191500,1.995,2,1.99,1.99,3234,0
EGHT.US,5,20250829,192000,1.99,1.995,1.99,1.995,7371,0
EGHT.US,5,20250829,192500,1.99,1.99,1.99,1.99,100,0
EGHT.US,5,20250829,193000,1.995,1.995,1.99,1.99,1600,0
EGHT.US,5,20250829,193500,1.99,1.995,1.985,1.995,12049,0
