<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENLT.US,5,20250829,154500,28.26,28.26,28.26,28.26,100,0
ENLT.US,5,20250829,155000,28.255,28.255,28.255,28.255,100,0
ENLT.US,5,20250829,155500,28.09,28.255,28.09,28.255,644,0
ENLT.US,5,20250829,160000,28.59,28.59,28.16,28.16,836,0
ENLT.US,5,20250829,161500,28.16,28.16,28.16,28.16,100,0
ENLT.US,5,20250829,162000,28.33,28.33,28.33,28.33,100,0
ENLT.US,5,20250829,165000,28.21,28.34,28.17,28.17,1750,0
ENLT.US,5,20250829,165500,28.17,28.17,28.17,28.17,200,0
ENLT.US,5,20250829,173500,28.22,28.22,28.22,28.22,100,0
ENLT.US,5,20250829,181000,28.155,28.155,28.155,28.155,100,0
ENLT.US,5,20250829,185000,28.305,28.305,28.305,28.305,100,0
ENLT.US,5,20250829,194000,28.15,28.15,28.055,28.055,400,0
ENLT.US,5,20250829,194500,27.9502,27.9505,27.9502,27.9505,606,0
ENLT.US,5,20250829,210500,28.05,28.05,28.05,28.05,200,0
ENLT.US,5,20250829,212000,28.08,28.12,28.07,28.12,700,0
ENLT.US,5,20250829,212500,28.015,28.06,28.015,28.06,2800,0
ENLT.US,5,20250829,213000,28.06,28.06,28.06,28.06,100,0
ENLT.US,5,20250829,213500,28.06,28.06,28.06,28.06,100,0
ENLT.US,5,20250829,214000,28.06,28.14,28.06,28.14,300,0
ENLT.US,5,20250829,215500,28.05,28.05,27.95,27.97,864,0
ENLT.US,5,20250902,153000,27.35,27.35,27.22,27.27,1170,0
ENLT.US,5,20250902,153500,27.41,27.42,27.335,27.335,600,0
ENLT.US,5,20250902,154000,27.315,27.4323,27.315,27.4323,664,0
ENLT.US,5,20250902,154500,27.35,27.35,27.28,27.28,706,0
ENLT.US,5,20250902,155500,27.28,27.28,27.28,27.28,202,0
ENLT.US,5,20250902,160500,27.29,27.29,27.235,27.235,500,0
ENLT.US,5,20250902,161000,27.29,27.29,27.29,27.29,100,0
ENLT.US,5,20250902,161500,27.27,27.27,27.27,27.27,180,0
ENLT.US,5,20250902,162500,27.15,27.15,27.07,27.145,1047,0
ENLT.US,5,20250902,163000,27.0801,27.21,27.0801,27.21,200,0
ENLT.US,5,20250902,165000,27.145,27.145,27.145,27.145,110,0
ENLT.US,5,20250902,170000,27.207,27.207,27.207,27.207,120,0
ENLT.US,5,20250902,183500,27.12,27.12,27.12,27.12,100,0
ENLT.US,5,20250902,191000,27.15,27.22,27.15,27.15,2100,0
ENLT.US,5,20250902,192500,27.1131,27.1131,27.1131,27.1131,497,0
ENLT.US,5,20250902,193000,27.16,27.16,27.16,27.16,100,0
ENLT.US,5,20250902,194000,27.23,27.23,27.23,27.23,100,0
ENLT.US,5,20250902,200000,27.15,27.15,27.15,27.15,200,0
ENLT.US,5,20250902,201000,27.1725,27.1725,27.1725,27.1725,100,0
ENLT.US,5,20250902,202000,27.15,27.15,27.12,27.12,200,0
ENLT.US,5,20250902,215500,27.13,27.13,27.02,27.02,397,0
ENLT.US,5,20250903,153000,27.56,27.605,27.55,27.55,3790,0
ENLT.US,5,20250903,153500,27.64,27.64,27.64,27.64,100,0
ENLT.US,5,20250903,154500,27.63,27.63,27.63,27.63,100,0
ENLT.US,5,20250903,160000,27.825,27.825,27.825,27.825,100,0
ENLT.US,5,20250903,160500,27.83,27.83,27.83,27.83,149,0
ENLT.US,5,20250903,161000,27.871,27.871,27.56,27.56,445,0
ENLT.US,5,20250903,162000,27.8,27.82,27.8,27.81,330,0
ENLT.US,5,20250903,162500,27.865,27.865,27.865,27.865,408,0
ENLT.US,5,20250903,163000,28.05,28.05,28.05,28.05,100,0
ENLT.US,5,20250903,164500,27.925,27.925,27.925,27.925,226,0
ENLT.US,5,20250903,180500,27.71,27.9,27.71,27.9,437,0
ENLT.US,5,20250903,184000,27.865,27.865,27.865,27.865,100,0
ENLT.US,5,20250903,184500,27.8101,27.8101,27.8101,27.8101,863,0
ENLT.US,5,20250903,185000,27.84,27.84,27.84,27.84,200,0
ENLT.US,5,20250903,185500,27.83,27.83,27.83,27.83,100,0
ENLT.US,5,20250903,195000,27.84,27.84,27.84,27.84,215,0
ENLT.US,5,20250903,200000,27.955,27.955,27.82,27.86,725,0
ENLT.US,5,20250903,200500,27.895,27.895,27.895,27.895,600,0
ENLT.US,5,20250903,203000,27.885,27.885,27.72,27.74,300,0
ENLT.US,5,20250903,204000,27.7,27.7,27.7,27.7,100,0
ENLT.US,5,20250903,210500,27.915,27.915,27.915,27.915,100,0
ENLT.US,5,20250903,211000,27.8,27.8,27.8,27.8,100,0
