<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCNCA.US,5,20250829,153000,2001.65,2001.65,2001.65,2001.65,326,0
FCNCA.US,5,20250829,153500,2002.85,2004.9,2001.9,2004.9,3375,0
FCNCA.US,5,20250829,154500,2012.03,2016.28,2011.41,2016.28,903,0
FCNCA.US,5,20250829,155000,2017.28,2019.78,2014.67,2014.67,4596,0
FCNCA.US,5,20250829,155500,2015.92,2017.92,2015.17,2017.52,1916,0
FCNCA.US,5,20250829,160000,2017,2017,2005.735,2005.735,1592,0
FCNCA.US,5,20250829,160500,2010.1,2010.7,2008.7,2008.7,1829,0
FCNCA.US,5,20250829,161000,2009.4,2009.4,1996.45,2002.95,2264,0
FCNCA.US,5,20250829,161500,2000.25,2000.95,1997,1998.2,4698,0
FCNCA.US,5,20250829,162000,1996.7,2000.45,1995.5,1995.5,4345,0
FCNCA.US,5,20250829,162500,1995.2,1996.55,1989.13,1993.95,4801,0
FCNCA.US,5,20250829,163000,1995.2,1999,1994.45,1998.95,1659,0
FCNCA.US,5,20250829,163500,1998.7,1998.95,1992.53,1997.45,3067,0
FCNCA.US,5,20250829,164500,1995.22,1995.22,1995.22,1995.22,141,0
FCNCA.US,5,20250829,165500,1995.185,1995.185,1995.185,1995.185,102,0
FCNCA.US,5,20250829,170000,2001.44,2002.69,2000.94,2001.94,1815,0
FCNCA.US,5,20250829,170500,2003.94,2003.94,2000.19,2000.19,2023,0
FCNCA.US,5,20250829,171000,2002.5,2002.5,2002.5,2002.5,207,0
FCNCA.US,5,20250829,171500,2003.5,2003.5,2000.995,2000.995,306,0
FCNCA.US,5,20250829,172500,2004,2004,2004,2004,200,0
FCNCA.US,5,20250829,173500,1999.6101,1999.6101,1999.6101,1999.6101,424,0
FCNCA.US,5,20250829,174000,2002.52,2009.0199,2002.52,2009.0199,201,0
FCNCA.US,5,20250829,174500,2004.605,2004.605,2004.605,2004.605,100,0
FCNCA.US,5,20250829,175500,2001.545,2003.32,2001.545,2003.32,200,0
FCNCA.US,5,20250829,180000,2004.525,2004.525,2004.525,2004.525,101,0
FCNCA.US,5,20250829,181000,2008.8,2011.8,2008.8,2011.4,300,0
FCNCA.US,5,20250829,181500,2011.4,2011.61,2011.4,2011.61,200,0
FCNCA.US,5,20250829,182500,2008.8,2008.8,2008.8,2008.8,100,0
FCNCA.US,5,20250829,183000,2007.66,2007.66,2007.66,2007.66,200,0
FCNCA.US,5,20250829,184500,2003.31,2003.31,2003.31,2003.31,100,0
FCNCA.US,5,20250829,185500,1998.6875,1998.6875,1998.665,1998.675,302,0
FCNCA.US,5,20250829,191500,2001.4775,2001.4775,1998.67,1998.67,500,0
FCNCA.US,5,20250829,193000,1997.565,1997.565,1997.565,1997.565,100,0
FCNCA.US,5,20250829,194000,1997.78,1997.78,1997.78,1997.78,400,0
FCNCA.US,5,20250829,195500,1996.86,1996.86,1996.86,1996.86,197,0
FCNCA.US,5,20250829,201000,1992.54,1992.54,1989.92,1989.92,300,0
FCNCA.US,5,20250829,201500,1989.675,1993.26,1989.675,1993.26,300,0
FCNCA.US,5,20250829,203000,1994.005,1994.005,1994.005,1994.005,100,0
FCNCA.US,5,20250829,205000,1989.46,1989.46,1989.46,1989.46,100,0
FCNCA.US,5,20250829,205500,1990.8775,1990.8775,1990.8775,1990.8775,100,0
FCNCA.US,5,20250829,210000,1988.01,1988.01,1988.01,1988.01,200,0
FCNCA.US,5,20250829,211000,1984.12,1984.12,1984.12,1984.12,100,0
FCNCA.US,5,20250829,211500,1983.485,1983.485,1983.485,1983.485,100,0
FCNCA.US,5,20250829,212000,1984.11,1984.8275,1983.445,1984.71,1082,0
FCNCA.US,5,20250829,213000,1984.21,1984.71,1983.21,1983.21,1082,0
FCNCA.US,5,20250829,213500,1981.96,1982,1979.31,1979.555,730,0
FCNCA.US,5,20250829,215500,1982.88,1985.35,1981.01,1983.91,9286,0
FCNCA.US,5,20250902,153000,1961.5,1961.5,1937.265,1947.75,1796,0
FCNCA.US,5,20250902,153500,1948.25,1951,1944.82,1949,1984,0
FCNCA.US,5,20250902,154000,1949.25,1958.25,1949.25,1958.25,290,0
FCNCA.US,5,20250902,154500,1954,1956.5,1947,1950.7,1854,0
FCNCA.US,5,20250902,155500,1960.69,1968.945,1960.69,1968.945,1819,0
FCNCA.US,5,20250902,160000,1972.9999,1973.89,1972.9999,1973.89,200,0
FCNCA.US,5,20250902,160500,1971.93,1971.93,1970.01,1970.01,200,0
FCNCA.US,5,20250902,161000,1973.39,1973.39,1973.39,1973.39,100,0
FCNCA.US,5,20250902,161500,1968.885,1968.885,1966.14,1968.12,1010,0
FCNCA.US,5,20250902,162500,1965,1969.55,1963.3,1969.55,301,0
FCNCA.US,5,20250902,164000,1969.55,1969.55,1969.55,1969.55,100,0
FCNCA.US,5,20250902,164500,1967.11,1967.11,1967.11,1967.11,100,0
FCNCA.US,5,20250902,172000,1959.74,1959.74,1959.74,1959.74,300,0
FCNCA.US,5,20250902,172500,1959.565,1959.565,1959.565,1959.565,100,0
FCNCA.US,5,20250902,174500,1959.57,1959.57,1959.57,1959.57,484,0
FCNCA.US,5,20250902,182500,1959.57,1959.57,1959.57,1959.57,300,0
FCNCA.US,5,20250902,191000,1965.32,1965.32,1965.32,1965.32,107,0
FCNCA.US,5,20250902,195000,1977.59,1978,1977.59,1978,1322,0
FCNCA.US,5,20250902,202000,1972.6,1972.6,1972.05,1972.05,200,0
FCNCA.US,5,20250902,204500,1975.88,1975.88,1975.87,1975.87,400,0
FCNCA.US,5,20250902,205500,1975.87,1975.87,1975.87,1975.87,100,0
FCNCA.US,5,20250902,210000,1975.87,1975.87,1975.87,1975.87,200,0
FCNCA.US,5,20250902,213000,1981.686,1981.686,1981.686,1981.686,164,0
FCNCA.US,5,20250902,214500,1985.68,1985.68,1985.68,1985.68,300,0
FCNCA.US,5,20250902,215000,1991.725,1991.725,1987.5,1987.81,400,0
FCNCA.US,5,20250902,215500,1988.01,1988.76,1986.885,1987.45,6872,0
FCNCA.US,5,20250903,153000,1977.6,1988.6,1977.6,1986.54,1233,0
FCNCA.US,5,20250903,153500,1994.1,1994.1,1994.1,1994.1,167,0
FCNCA.US,5,20250903,154000,1997.1,1998.1,1996.1,1996.1,1100,0
FCNCA.US,5,20250903,154500,1990.03,1990.23,1990.03,1990.23,300,0
FCNCA.US,5,20250903,155000,1988.53,1989.28,1988.53,1989.28,280,0
FCNCA.US,5,20250903,155500,1984.67,1985.28,1980.28,1983.28,1905,0
FCNCA.US,5,20250903,160000,1983.28,1983.28,1982.28,1982.28,340,0
FCNCA.US,5,20250903,161000,1971.22,1971.22,1971.16,1971.16,200,0
FCNCA.US,5,20250903,161500,1970.21,1976.95,1970.21,1976.95,680,0
FCNCA.US,5,20250903,165500,1967.02,1968.75,1967,1968.75,370,0
FCNCA.US,5,20250903,170000,1971.22,1972.75,1971.22,1971.25,889,0
FCNCA.US,5,20250903,170500,1967.75,1967.88,1966.75,1966.75,890,0
FCNCA.US,5,20250903,171000,1964.8,1964.8,1964.8,1964.8,200,0
FCNCA.US,5,20250903,172500,1956.0001,1956.0001,1956.0001,1956.0001,109,0
FCNCA.US,5,20250903,173500,1956,1956,1956,1956,100,0
FCNCA.US,5,20250903,174000,1954.765,1956.64,1954.765,1956.64,500,0
FCNCA.US,5,20250903,175000,1960,1960,1960,1960,100,0
FCNCA.US,5,20250903,175500,1960,1960,1960,1960,100,0
FCNCA.US,5,20250903,180500,1960,1960,1960,1960,100,0
FCNCA.US,5,20250903,182000,1960.11,1960.11,1960.11,1960.11,300,0
FCNCA.US,5,20250903,182500,1946.57,1946.57,1946.57,1946.57,385,0
FCNCA.US,5,20250903,185000,1957.495,1957.495,1957.495,1957.495,100,0
FCNCA.US,5,20250903,193500,1973.5975,1973.715,1973.5975,1973.71,400,0
FCNCA.US,5,20250903,194000,1973,1973,1966.99,1966.99,500,0
FCNCA.US,5,20250903,201000,1966.99,1966.99,1966.1075,1966.1075,400,0
FCNCA.US,5,20250903,201500,1966.1,1972.88,1966.1,1972.88,200,0
FCNCA.US,5,20250903,202500,1967.097,1967.097,1967.097,1967.097,100,0
FCNCA.US,5,20250903,204500,1974.16,1974.16,1974.16,1974.16,110,0
FCNCA.US,5,20250903,211000,1971.65,1971.65,1971.65,1971.65,100,0
FCNCA.US,5,20250903,211500,1973.715,1973.715,1971.65,1971.65,825,0
FCNCA.US,5,20250903,212500,1971.09,1971.09,1971.09,1971.09,291,0
FCNCA.US,5,20250903,213500,1979.28,1979.28,1979.1,1979.1,200,0
FCNCA.US,5,20250903,214000,1981.375,1981.375,1979.1,1979.1,200,0
FCNCA.US,5,20250903,214500,1983.445,1983.445,1980.735,1980.735,880,0
FCNCA.US,5,20250903,215000,1980.961,1980.961,1980.961,1980.961,200,0
FCNCA.US,5,20250903,215500,1984.39,1989.09,1984.39,1989.09,333,0
FCNCA.US,5,20250904,153000,1994,2007.7925,1989.04,1991.28,3353,0
FCNCA.US,5,20250904,153500,1991.53,1995.28,1990.96,1995.28,574,0
FCNCA.US,5,20250904,154000,2003.01,2006.78,2001.81,2005.28,2050,0
FCNCA.US,5,20250904,154500,2004.78,2006.28,2001.28,2001.28,1842,0
FCNCA.US,5,20250904,155000,2003.28,2004.2,2002.07,2004.2,617,0
FCNCA.US,5,20250904,155500,2002.13,2002.13,2002.13,2002.13,150,0
FCNCA.US,5,20250904,160500,1999.53,1999.53,1990,1990,400,0
FCNCA.US,5,20250904,161500,1998.8,1999.29,1998.65,1998.65,366,0
FCNCA.US,5,20250904,162000,1999.41,1999.41,1997.6,1997.6,650,0
FCNCA.US,5,20250904,163000,1996.59,1996.59,1996.59,1996.59,100,0
FCNCA.US,5,20250904,164000,1994.34,1994.34,1994.34,1994.34,160,0
FCNCA.US,5,20250904,164500,1997,1999.09,1997,1998.89,448,0
FCNCA.US,5,20250904,171000,2000,2000,2000,2000,150,0
FCNCA.US,5,20250904,172500,1999.035,1999.035,1998.81,1998.81,200,0
FCNCA.US,5,20250904,174000,1997.3,1997.3,1997.3,1997.3,100,0
FCNCA.US,5,20250904,175500,1995.04,1995.04,1995.04,1995.04,250,0
FCNCA.US,5,20250904,183000,1999.5,1999.5,1999.5,1999.5,125,0
FCNCA.US,5,20250904,183500,1998.9,1998.9,1998.9,1998.9,100,0
FCNCA.US,5,20250904,184000,1998.9,1998.9,1998.9,1998.9,300,0
FCNCA.US,5,20250904,190500,2000.83,2000.83,2000.83,2000.83,100,0
FCNCA.US,5,20250904,191000,2003.345,2003.345,2003.345,2003.345,200,0
FCNCA.US,5,20250904,193000,2003.34,2003.34,2003.34,2003.34,500,0
FCNCA.US,5,20250904,194000,2007.95,2007.95,2007.95,2007.95,100,0
FCNCA.US,5,20250904,200000,2009.96,2009.96,2007.95,2007.95,400,0
FCNCA.US,5,20250904,203000,2007.95,2007.95,2007.95,2007.95,200,0
FCNCA.US,5,20250904,203500,2003.3,2003.3,2003.09,2003.09,300,0
FCNCA.US,5,20250904,210500,2004.79,2004.79,2002.89,2002.89,400,0
FCNCA.US,5,20250904,213500,2008.79,2008.79,2007.195,2007.195,200,0
FCNCA.US,5,20250904,215000,2004.985,2010.82,2004.2,2010.11,706,0
FCNCA.US,5,20250904,215500,2010.955,2010.955,2004.2,2010.11,12843,0
FCNCA.US,5,20250905,153000,2003.11,2020.21,2003.11,2015.35,2440,0
FCNCA.US,5,20250905,153500,2020.305,2025.67,2018.86,2020.1149,1154,0
FCNCA.US,5,20250905,154500,2010.0825,2010.0825,2007.4825,2007.4825,300,0
FCNCA.US,5,20250905,155000,2007.1,2007.1,2005.01,2005.01,300,0
FCNCA.US,5,20250905,155500,2000.14,2000.14,1997.085,1997.085,200,0
FCNCA.US,5,20250905,160000,1991.42,1991.42,1991.42,1991.42,100,0
FCNCA.US,5,20250905,160500,1984.11,1984.11,1984.11,1984.11,200,0
FCNCA.US,5,20250905,161000,1969.88,1969.88,1969.88,1969.88,200,0
FCNCA.US,5,20250905,161500,1965.88,1965.88,1960,1960,636,0
FCNCA.US,5,20250905,162000,1960,1967.405,1959.81,1959.81,345,0
FCNCA.US,5,20250905,163000,1959,1959,1959,1959,100,0
FCNCA.US,5,20250905,163500,1952.4,1952.96,1952.4,1952.71,500,0
FCNCA.US,5,20250905,164500,1943.99,1944.29,1943.99,1944.29,200,0
FCNCA.US,5,20250905,165000,1947.545,1947.545,1947.545,1947.545,100,0
FCNCA.US,5,20250905,165500,1946.09,1946.09,1939.91,1939.91,200,0
FCNCA.US,5,20250905,171000,1938.07,1938.07,1937.87,1937.87,200,0
FCNCA.US,5,20250905,173000,1940.18,1946.01,1940.18,1946.01,400,0
FCNCA.US,5,20250905,173500,1947.99,1947.99,1947.99,1947.99,400,0
FCNCA.US,5,20250905,175000,1942.08,1942.08,1942.08,1942.08,100,0
FCNCA.US,5,20250905,181000,1944.195,1944.195,1944.195,1944.195,100,0
FCNCA.US,5,20250905,181500,1944.19,1944.19,1944.19,1944.19,300,0
FCNCA.US,5,20250905,182000,1935.11,1935.11,1935.11,1935.11,100,0
FCNCA.US,5,20250905,182500,1935.87,1935.87,1935.87,1935.87,100,0
FCNCA.US,5,20250905,183000,1935.72,1944.175,1935.72,1944.175,1860,0
FCNCA.US,5,20250905,183500,1940.57,1941.57,1937.32,1940.82,2127,0
FCNCA.US,5,20250905,184000,1939.57,1942.82,1939.57,1942.78,1190,0
FCNCA.US,5,20250905,184500,1942.32,1946.375,1939.57,1940.57,3887,0
FCNCA.US,5,20250905,185000,1940.57,1944.82,1940.57,1944.82,974,0
FCNCA.US,5,20250905,185500,1943.57,1944.57,1943.57,1944.57,245,0
FCNCA.US,5,20250905,190000,1948.3375,1948.3375,1946.07,1946.07,440,0
FCNCA.US,5,20250905,190500,1943.57,1944.32,1942.82,1944.32,1251,0
FCNCA.US,5,20250905,191000,1945.57,1948.32,1944.07,1947.32,1184,0
FCNCA.US,5,20250905,191500,1947.57,1947.82,1944.32,1944.56,2532,0
FCNCA.US,5,20250905,192000,1944.07,1944.07,1939.82,1942.32,2371,0
FCNCA.US,5,20250905,192500,1942.32,1942.32,1936.07,1936.57,2199,0
FCNCA.US,5,20250905,193000,1936.82,1936.82,1933.07,1933.57,1625,0
FCNCA.US,5,20250905,193500,1934.07,1934.32,1932.82,1932.82,560,0
FCNCA.US,5,20250905,194000,1936.98,1936.98,1933.82,1934.02,545,0
FCNCA.US,5,20250905,195500,1927.58,1927.58,1927.58,1927.58,100,0
FCNCA.US,5,20250905,202000,1934.17,1934.17,1934.17,1934.17,500,0
FCNCA.US,5,20250905,202500,1926.45,1927.015,1926.45,1927.015,400,0
FCNCA.US,5,20250905,203000,1933.3,1933.3,1930.26,1930.27,366,0
FCNCA.US,5,20250905,203500,1926.95,1928.37,1926.95,1928.37,200,0
FCNCA.US,5,20250905,204000,1927,1927,1927,1927,166,0
FCNCA.US,5,20250905,204500,1926.635,1929,1926.635,1929,200,0
FCNCA.US,5,20250905,205000,1927,1927,1923,1927,1628,0
FCNCA.US,5,20250905,205500,1927.95,1928.9,1924.4,1925.65,1082,0
FCNCA.US,5,20250905,210000,1924.9,1924.9,1922.43,1922.46,670,0
FCNCA.US,5,20250905,211000,1922.46,1922.46,1922.46,1922.46,200,0
FCNCA.US,5,20250905,211500,1921.26,1924.39,1921.26,1922.78,930,0
FCNCA.US,5,20250905,212500,1919.57,1919.57,1918.08,1918.08,500,0
FCNCA.US,5,20250905,213000,1918.325,1919.11,1915,1918.75,1210,0
FCNCA.US,5,20250905,213500,1918.05,1919.94,1918,1918,500,0
FCNCA.US,5,20250905,214500,1918.93,1926.6,1918.93,1925.23,916,0
FCNCA.US,5,20250905,215500,1925,1925.26,1922.34,1925.26,6779,0
FCNCA.US,5,20250908,153000,1926.95,1926.95,1919.2,1925.82,500,0
FCNCA.US,5,20250908,153500,1929.56,1929.56,1914.95,1916.16,945,0
FCNCA.US,5,20250908,154000,1909.41,1916.66,1909.41,1916.66,3747,0
FCNCA.US,5,20250908,154500,1913.66,1920.16,1911.41,1920.16,1743,0
FCNCA.US,5,20250908,155000,1916.16,1916.16,1907.46,1915.27,1301,0
FCNCA.US,5,20250908,155500,1908.41,1911.66,1907.91,1911.41,1510,0
FCNCA.US,5,20250908,160000,1905.91,1911.36,1905.41,1911.16,1535,0
FCNCA.US,5,20250908,161000,1917.9,1923.06,1917.9,1918.385,800,0
FCNCA.US,5,20250908,161500,1917.9,1917.9,1917.9,1917.9,303,0
FCNCA.US,5,20250908,162500,1917.9,1922.65,1917.65,1922.65,968,0
FCNCA.US,5,20250908,163500,1927.72,1929.5,1927.72,1928.03,300,0
FCNCA.US,5,20250908,170500,1936.99,1936.99,1936.99,1936.99,300,0
FCNCA.US,5,20250908,171000,1937.66,1937.66,1937.62,1937.62,500,0
FCNCA.US,5,20250908,171500,1937.62,1937.62,1937.62,1937.62,200,0
FCNCA.US,5,20250908,172000,1939.665,1939.665,1939.665,1939.665,133,0
FCNCA.US,5,20250908,172500,1938.2,1938.2,1938.2,1938.2,100,0
FCNCA.US,5,20250908,173500,1938.2,1938.2,1938.2,1938.2,200,0
FCNCA.US,5,20250908,180000,1934.91,1934.91,1934.91,1934.91,200,0
FCNCA.US,5,20250908,181500,1931.0325,1931.0325,1931.0325,1931.0325,100,0
FCNCA.US,5,20250908,182500,1936.13,1936.13,1936.13,1936.13,100,0
FCNCA.US,5,20250908,183000,1938.88,1938.88,1938.88,1938.88,200,0
FCNCA.US,5,20250908,183500,1939.33,1940.08,1936.78,1936.78,710,0
FCNCA.US,5,20250908,190500,1935.12,1935.12,1934.39,1934.39,600,0
FCNCA.US,5,20250908,191500,1939,1939,1939,1939,100,0
FCNCA.US,5,20250908,192000,1941.56,1941.56,1941.56,1941.56,100,0
