<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOCO.US,5,20250829,153000,5.13,5.13,5.13,5.13,1343,0
GOCO.US,5,20250829,153500,5.095,5.13,5.095,5.12,400,0
GOCO.US,5,20250829,154000,5.1,5.13,5.08,5.13,1300,0
GOCO.US,5,20250829,155000,5.16,5.16,5.16,5.16,300,0
GOCO.US,5,20250829,160000,5.185,5.285,5.185,5.24,12365,0
GOCO.US,5,20250829,160500,5.22,5.22,5.22,5.22,133,0
GOCO.US,5,20250829,162500,5.15,5.15,5.12,5.13,3100,0
GOCO.US,5,20250829,163000,5.165,5.165,5.165,5.165,100,0
GOCO.US,5,20250829,165500,5.13,5.15,5.13,5.13,800,0
GOCO.US,5,20250829,170500,5.1616,5.1616,5.1616,5.1616,500,0
GOCO.US,5,20250829,171000,5.18,5.2,5.18,5.2,858,0
GOCO.US,5,20250829,173000,5.165,5.165,5.165,5.165,1500,0
GOCO.US,5,20250829,174500,5.24,5.24,5.24,5.24,500,0
GOCO.US,5,20250829,181000,5.165,5.165,5.165,5.165,100,0
GOCO.US,5,20250829,182000,5.165,5.165,5.165,5.165,100,0
GOCO.US,5,20250829,182500,5.11,5.11,5.11,5.11,100,0
GOCO.US,5,20250829,183500,5.16,5.16,5.16,5.16,100,0
GOCO.US,5,20250829,195500,5.14,5.14,5.14,5.14,100,0
GOCO.US,5,20250829,200500,5.145,5.15,5.135,5.15,400,0
GOCO.US,5,20250829,202000,5.14,5.14,5.14,5.14,1405,0
GOCO.US,5,20250829,202500,5.15,5.16,5.15,5.16,300,0
GOCO.US,5,20250829,211000,5.14,5.15,5.14,5.15,200,0
GOCO.US,5,20250829,212500,5.12,5.12,5.11,5.11,200,0
GOCO.US,5,20250829,214500,5.13,5.13,5.13,5.13,100,0
GOCO.US,5,20250829,215000,5.14,5.15,5.14,5.15,300,0
GOCO.US,5,20250829,215500,5.145,5.145,5.1,5.11,5649,0
GOCO.US,5,20250902,153000,5.04,5.04,5.04,5.04,406,0
GOCO.US,5,20250902,153500,5.17,5.17,5.17,5.17,5925,0
GOCO.US,5,20250902,160000,5.055,5.1538,5.055,5.1538,200,0
GOCO.US,5,20250902,162500,5.055,5.055,5.055,5.055,100,0
GOCO.US,5,20250902,171500,5.06,5.06,5.04,5.048,3222,0
GOCO.US,5,20250902,172000,5.02,5.02,5.01,5.02,1481,0
GOCO.US,5,20250902,173000,5.0079,5.0079,5.0079,5.0079,118,0
GOCO.US,5,20250902,175000,5.03,5.03,5.03,5.03,636,0
GOCO.US,5,20250902,180000,5.035,5.035,5.035,5.035,101,0
GOCO.US,5,20250902,182500,5.03,5.03,5,5,5763,0
GOCO.US,5,20250902,183000,5.04,5.04,5.04,5.04,100,0
GOCO.US,5,20250902,183500,5.03,5.03,5.03,5.03,500,0
GOCO.US,5,20250902,184500,5.02,5.02,5.02,5.02,314,0
GOCO.US,5,20250902,185500,5.0698,5.0698,5.0698,5.0698,200,0
GOCO.US,5,20250902,191000,5.0289,5.0325,5.0289,5.0325,2700,0
GOCO.US,5,20250902,192000,5.01,5.01,5,5,308,0
GOCO.US,5,20250902,193000,4.984,4.984,4.984,4.984,200,0
GOCO.US,5,20250902,193500,4.97,4.99,4.9671,4.9671,300,0
GOCO.US,5,20250902,194000,4.97,4.99,4.97,4.99,409,0
GOCO.US,5,20250902,195000,5.0083,5.019,5.0083,5.019,499,0
GOCO.US,5,20250902,201000,5,5,5,5,700,0
GOCO.US,5,20250902,202500,4.98,4.98,4.98,4.98,100,0
GOCO.US,5,20250902,203500,4.98,4.99,4.98,4.99,481,0
GOCO.US,5,20250902,204500,5,5,5,5,200,0
GOCO.US,5,20250902,205000,5,5,5,5,100,0
GOCO.US,5,20250902,213000,4.98,4.99,4.98,4.99,400,0
GOCO.US,5,20250902,213500,5.0088,5.0088,5.0088,5.0088,300,0
GOCO.US,5,20250902,215000,5.02,5.02,5.005,5.005,200,0
GOCO.US,5,20250902,215500,5.005,5.02,4.99,4.99,6302,0
GOCO.US,5,20250903,153000,4.92,4.92,4.92,4.92,2219,0
GOCO.US,5,20250903,153500,4.88,4.88,4.88,4.88,950,0
GOCO.US,5,20250903,155000,5.01,5.01,5.01,5.01,300,0
GOCO.US,5,20250903,160000,4.92,4.92,4.92,4.92,100,0
GOCO.US,5,20250903,160500,5.0841,5.0841,5.0841,5.0841,100,0
GOCO.US,5,20250903,164000,5.06,5.06,5.035,5.06,2159,0
GOCO.US,5,20250903,164500,5.085,5.085,4.995,4.995,1300,0
GOCO.US,5,20250903,165000,5.015,5.05,5.015,5.05,500,0
GOCO.US,5,20250903,170000,5.01,5.01,5.01,5.01,500,0
GOCO.US,5,20250903,172000,4.97,4.97,4.97,4.97,100,0
GOCO.US,5,20250903,173000,4.96,4.96,4.94,4.94,700,0
GOCO.US,5,20250903,174000,4.935,4.935,4.935,4.935,100,0
GOCO.US,5,20250903,174500,4.975,4.975,4.975,4.975,100,0
GOCO.US,5,20250903,175000,4.935,4.935,4.935,4.935,100,0
GOCO.US,5,20250903,180000,4.93,4.935,4.93,4.935,481,0
GOCO.US,5,20250903,181500,4.93,4.9625,4.93,4.935,300,0
GOCO.US,5,20250903,182000,4.93,4.93,4.93,4.93,133,0
GOCO.US,5,20250903,183500,4.93,4.95,4.93,4.95,1300,0
GOCO.US,5,20250903,185000,4.95,4.95,4.95,4.95,200,0
GOCO.US,5,20250903,190000,4.9714,5.02,4.96,5.005,9456,0
GOCO.US,5,20250903,191500,5.01,5.01,5.01,5.01,100,0
GOCO.US,5,20250903,192500,4.97,4.985,4.88,4.94,14638,0
GOCO.US,5,20250903,193500,4.95,4.95,4.88,4.885,5909,0
GOCO.US,5,20250903,195000,4.89,4.89,4.89,4.89,200,0
GOCO.US,5,20250903,195500,4.88,4.89,4.88,4.89,600,0
GOCO.US,5,20250903,200000,4.845,4.845,4.845,4.845,100,0
GOCO.US,5,20250903,201000,4.856,4.856,4.856,4.856,100,0
GOCO.US,5,20250903,205500,4.86,4.86,4.85,4.85,398,0
GOCO.US,5,20250903,210500,4.805,4.825,4.805,4.825,200,0
GOCO.US,5,20250903,211500,4.8499,4.85,4.825,4.85,1316,0
GOCO.US,5,20250903,212500,4.83,4.83,4.83,4.83,100,0
GOCO.US,5,20250903,213000,4.835,4.85,4.83,4.835,2900,0
GOCO.US,5,20250903,213500,4.81,4.85,4.81,4.85,500,0
GOCO.US,5,20250903,214500,4.83,4.83,4.83,4.83,535,0
GOCO.US,5,20250903,215000,4.83,4.85,4.83,4.845,600,0
GOCO.US,5,20250903,215500,4.85,4.85,4.82,4.82,200,0
GOCO.US,5,20250904,153000,4.8,4.8,4.8,4.8,9640,0
GOCO.US,5,20250904,153500,4.995,4.995,4.995,4.995,133,0
GOCO.US,5,20250904,160000,4.8455,4.86,4.8455,4.86,600,0
GOCO.US,5,20250904,161000,4.8,4.81,4.77,4.77,1998,0
GOCO.US,5,20250904,161500,4.7509,4.79,4.75,4.79,2496,0
GOCO.US,5,20250904,162500,4.8678,4.8678,4.8678,4.8678,125,0
GOCO.US,5,20250904,163000,4.768,4.8,4.768,4.7834,1271,0
GOCO.US,5,20250904,163500,4.8127,4.8127,4.78,4.78,1200,0
GOCO.US,5,20250904,165000,4.7983,4.7983,4.72,4.72,1880,0
GOCO.US,5,20250904,170500,4.73,4.74,4.73,4.73,729,0
GOCO.US,5,20250904,173000,4.77,4.77,4.77,4.77,900,0
GOCO.US,5,20250904,173500,4.7716,4.7716,4.7716,4.7716,200,0
GOCO.US,5,20250904,174000,4.77,4.79,4.76,4.76,1586,0
GOCO.US,5,20250904,180000,4.76,4.76,4.76,4.76,300,0
GOCO.US,5,20250904,180500,4.78,4.78,4.74,4.74,200,0
GOCO.US,5,20250904,182000,4.7977,4.7977,4.7977,4.7977,400,0
GOCO.US,5,20250904,182500,4.7895,4.7895,4.7895,4.7895,1300,0
GOCO.US,5,20250904,183000,4.8,4.8,4.8,4.8,273,0
GOCO.US,5,20250904,184000,4.8095,4.8095,4.8095,4.8095,1000,0
GOCO.US,5,20250904,185000,4.8335,4.8335,4.8335,4.8335,100,0
GOCO.US,5,20250904,190000,4.7901,4.7901,4.7901,4.7901,1000,0
GOCO.US,5,20250904,190500,4.8141,4.8141,4.8141,4.8141,100,0
GOCO.US,5,20250904,192000,4.81,4.84,4.81,4.84,2166,0
GOCO.US,5,20250904,193500,4.8796,4.8796,4.8796,4.8796,1024,0
GOCO.US,5,20250904,194000,4.88,4.88,4.88,4.88,190,0
GOCO.US,5,20250904,195000,4.86,4.86,4.86,4.86,139,0
GOCO.US,5,20250904,195500,4.887,4.887,4.887,4.887,100,0
GOCO.US,5,20250904,201500,4.8895,4.9,4.8895,4.9,200,0
GOCO.US,5,20250904,202000,4.8813,4.8813,4.85,4.85,241,0
GOCO.US,5,20250904,202500,4.836,4.836,4.836,4.836,202,0
GOCO.US,5,20250904,212000,4.83,4.84,4.83,4.84,1304,0
GOCO.US,5,20250904,214500,4.86,4.87,4.86,4.87,932,0
GOCO.US,5,20250904,215500,4.88,4.9,4.86,4.89,4154,0
GOCO.US,5,20250905,153000,4.9,4.955,4.9,4.955,411,0
