<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GVH.US,5,20250829,153000,4.65,4.69,4.65,4.65,428,0
GVH.US,5,20250829,153500,4.6514,4.6514,4.65,4.65,1706,0
GVH.US,5,20250829,154500,4.61,4.61,4.61,4.61,190,0
GVH.US,5,20250829,155500,4.62,4.62,4.62,4.62,100,0
GVH.US,5,20250829,160500,4.61,4.61,4.61,4.61,337,0
GVH.US,5,20250829,161000,4.6144,4.6144,4.6144,4.6144,311,0
GVH.US,5,20250829,164500,4.62,4.62,4.62,4.62,100,0
GVH.US,5,20250829,170500,4.6163,4.6163,4.6163,4.6163,150,0
GVH.US,5,20250829,171500,4.6203,4.6203,4.6203,4.6203,275,0
GVH.US,5,20250829,173000,4.6362,4.6362,4.6362,4.6362,200,0
GVH.US,5,20250829,180500,4.65,4.75,4.65,4.75,9604,0
GVH.US,5,20250829,181000,4.73,4.74,4.6501,4.67,1185,0
GVH.US,5,20250829,182000,4.7095,4.7095,4.7,4.7,602,0
GVH.US,5,20250829,182500,4.7,4.73,4.7,4.73,700,0
GVH.US,5,20250829,183000,4.7298,4.7299,4.7298,4.7299,431,0
GVH.US,5,20250829,183500,4.73,4.82,4.7299,4.82,4149,0
GVH.US,5,20250829,184000,4.8,4.92,4.7699,4.8,8888,0
GVH.US,5,20250829,184500,4.8507,4.8507,4.8507,4.8507,100,0
GVH.US,5,20250829,185000,4.88,4.9,4.875,4.9,500,0
GVH.US,5,20250829,190500,4.88,4.8996,4.77,4.77,5248,0
GVH.US,5,20250829,191000,4.8895,4.9,4.88,4.9,3000,0
GVH.US,5,20250829,193500,4.87,4.87,4.87,4.87,100,0
GVH.US,5,20250829,194000,4.81,4.93,4.79,4.91,13732,0
GVH.US,5,20250829,195000,4.95,5,4.92,4.96,1974,0
GVH.US,5,20250829,195500,4.8672,4.95,4.8672,4.95,1883,0
GVH.US,5,20250829,201000,4.95,4.95,4.95,4.95,100,0
GVH.US,5,20250829,204000,4.95,5.14,4.95,5.08,7114,0
GVH.US,5,20250829,204500,5.1,5.1515,5.0786,5.1,8476,0
GVH.US,5,20250829,205000,5.1,5.115,5.04,5.04,779,0
GVH.US,5,20250829,205500,5.15,5.15,5.15,5.15,4616,0
GVH.US,5,20250829,211000,5.0688,5.08,5.0688,5.08,274,0
GVH.US,5,20250829,211500,5.1,5.1,5.1,5.1,189,0
GVH.US,5,20250829,212000,5.0897,5.1,5.0897,5.1,350,0
GVH.US,5,20250829,212500,5.0995,5.5,5.08,5.445,24511,0
GVH.US,5,20250829,213000,5.4,5.95,5.29,5.87,63860,0
GVH.US,5,20250829,213500,5.8994,5.94,5.62,5.73,36323,0
GVH.US,5,20250829,214000,5.73,5.79,5.6,5.63,18882,0
GVH.US,5,20250829,214500,5.6936,5.7,5.56,5.655,14538,0
GVH.US,5,20250829,215000,5.6482,5.7,5.6,5.67,12253,0
GVH.US,5,20250829,215500,5.68,6,5.64,5.9,81650,0
GVH.US,5,20250902,153000,4.98,4.98,4.86,4.86,4450,0
GVH.US,5,20250902,153500,4.83,4.97,4.6,4.6017,19869,0
GVH.US,5,20250902,154000,4.72,4.72,4.5501,4.59,17379,0
GVH.US,5,20250902,154500,4.58,4.7025,4.58,4.6,4233,0
GVH.US,5,20250902,155000,4.6,4.63,4.6,4.61,2702,0
GVH.US,5,20250902,155500,4.6,4.61,4.55,4.568,2681,0
GVH.US,5,20250902,160000,4.57,4.61,4.57,4.59,4253,0
GVH.US,5,20250902,160500,4.5894,4.6,4.53,4.53,5763,0
GVH.US,5,20250902,161000,4.55,4.5604,4.52,4.525,2772,0
GVH.US,5,20250902,161500,4.515,4.52,4.515,4.52,940,0
GVH.US,5,20250902,162000,4.55,4.5518,4.5349,4.5349,400,0
GVH.US,5,20250902,162500,4.5576,4.5899,4.5576,4.5899,210,0
GVH.US,5,20250902,163000,4.5899,4.5899,4.537,4.537,556,0
GVH.US,5,20250902,163500,4.54,4.56,4.505,4.51,9114,0
GVH.US,5,20250902,164000,4.5,4.51,4.48,4.48,1469,0
GVH.US,5,20250902,164500,4.47,4.47,4.45,4.45,3590,0
GVH.US,5,20250902,165000,4.45,4.4684,4.43,4.4499,8260,0
GVH.US,5,20250902,165500,4.47,4.51,4.47,4.51,1641,0
GVH.US,5,20250902,170000,4.5395,4.54,4.505,4.505,1947,0
GVH.US,5,20250902,170500,4.52,4.52,4.5,4.5,430,0
GVH.US,5,20250902,171000,4.485,4.485,4.48,4.485,775,0
GVH.US,5,20250902,171500,4.485,4.485,4.41,4.4108,4277,0
GVH.US,5,20250902,172000,4.41,4.43,4.41,4.43,1030,0
GVH.US,5,20250902,172500,4.44,4.4502,4.44,4.45,3800,0
GVH.US,5,20250902,173000,4.45,4.45,4.45,4.45,773,0
GVH.US,5,20250902,173500,4.4544,4.47,4.4544,4.47,390,0
GVH.US,5,20250902,174000,4.49,4.49,4.48,4.48,500,0
GVH.US,5,20250902,174500,4.48,4.49,4.48,4.49,1382,0
GVH.US,5,20250902,175000,4.49,4.49,4.49,4.49,293,0
GVH.US,5,20250902,175500,4.47,4.48,4.47,4.48,760,0
GVH.US,5,20250902,180000,4.48,4.48,4.48,4.48,100,0
GVH.US,5,20250902,180500,4.48,4.48,4.48,4.48,200,0
GVH.US,5,20250902,181000,4.48,4.48,4.48,4.48,420,0
GVH.US,5,20250902,181500,4.4799,4.4889,4.4799,4.4889,1290,0
GVH.US,5,20250902,182000,4.49,4.49,4.49,4.49,100,0
GVH.US,5,20250902,183000,4.48,4.49,4.47,4.47,1291,0
GVH.US,5,20250902,184000,4.48,4.48,4.48,4.48,100,0
GVH.US,5,20250902,184500,4.4792,4.48,4.4792,4.48,1287,0
GVH.US,5,20250902,185000,4.48,4.48,4.48,4.48,400,0
GVH.US,5,20250902,185500,4.48,4.48,4.48,4.48,100,0
GVH.US,5,20250902,190000,4.4785,4.4785,4.4501,4.4501,5403,0
GVH.US,5,20250902,190500,4.46,4.46,4.46,4.46,400,0
GVH.US,5,20250902,191500,4.46,4.46,4.44,4.44,4937,0
GVH.US,5,20250902,192000,4.4374,4.4374,4.42,4.42,1864,0
GVH.US,5,20250902,192500,4.42,4.42,4.42,4.42,100,0
GVH.US,5,20250902,193000,4.4208,4.4208,4.4208,4.4208,880,0
GVH.US,5,20250902,193500,4.41,4.41,4.41,4.41,126,0
GVH.US,5,20250902,194000,4.41,4.41,4.41,4.41,1972,0
GVH.US,5,20250902,194500,4.4,4.41,4.35,4.39,8721,0
GVH.US,5,20250902,195000,4.379,4.379,4.3542,4.36,1566,0
GVH.US,5,20250902,195500,4.36,4.3946,4.35,4.3946,1760,0
GVH.US,5,20250902,200500,4.35,4.35,4.34,4.35,4707,0
GVH.US,5,20250902,201000,4.3498,4.35,4.34,4.35,1109,0
GVH.US,5,20250902,201500,4.35,4.35,4.3298,4.3298,813,0
GVH.US,5,20250902,202000,4.3299,4.3299,4.3291,4.3291,600,0
GVH.US,5,20250902,202500,4.3298,4.3298,4.3298,4.3298,850,0
GVH.US,5,20250902,203500,4.34,4.34,4.34,4.34,655,0
GVH.US,5,20250902,204000,4.3401,4.3401,4.3401,4.3401,899,0
GVH.US,5,20250902,204500,4.34,4.34,4.34,4.34,909,0
GVH.US,5,20250902,205500,4.3385,4.35,4.3385,4.35,7113,0
GVH.US,5,20250902,210000,4.3888,4.4,4.38,4.4,800,0
GVH.US,5,20250902,211000,4.37,4.37,4.36,4.36,693,0
GVH.US,5,20250902,211500,4.34,4.3583,4.34,4.34,2508,0
