<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCMA.US,5,20250922,155000,10.05,10.05,10.05,10.05,10000,0
HCMA.US,5,20250922,155500,10.05,10.05,10.05,10.05,5000,0
HCMA.US,5,20250922,160000,10.05,10.05,10.05,10.05,4990,0
HCMA.US,5,20250922,172000,10.05,10.05,10.05,10.05,500,0
HCMA.US,5,20250922,184500,10.1485,10.15,10.1485,10.15,200,0
HCMA.US,5,20250922,185000,10.05,10.05,10.05,10.05,20000,0
HCMA.US,5,20250922,210500,10.08,10.08,10.08,10.08,1855,0
HCMA.US,5,20250922,212500,10.08,10.08,10.0799,10.0799,4000,0
HCMA.US,5,20250922,215000,10.07,10.0701,10.07,10.0701,1980,0
HCMA.US,5,20250923,153500,10.085,10.085,10.085,10.085,2090,0
HCMA.US,5,20250923,154000,10.085,10.085,10.085,10.085,1600,0
HCMA.US,5,20250923,154500,10.08,10.1,10.08,10.1,28290,0
HCMA.US,5,20250923,155000,10.1,10.1,10.08,10.08,99415,0
HCMA.US,5,20250923,155500,10.07,10.07,10.07,10.07,100,0
HCMA.US,5,20250923,161000,10.1,10.1,10.1,10.1,100,0
HCMA.US,5,20250923,165500,10.09,10.09,10.085,10.085,3200,0
HCMA.US,5,20250923,170000,10.09,10.09,10.09,10.09,13000,0
HCMA.US,5,20250923,172000,10.09,10.09,10.09,10.09,1000,0
HCMA.US,5,20250923,172500,10.09,10.09,10.09,10.09,5000,0
HCMA.US,5,20250923,173000,10.09,10.09,10.09,10.09,5000,0
HCMA.US,5,20250923,173500,10.09,10.09,10.09,10.09,27200,0
HCMA.US,5,20250923,181500,10.09,10.09,10.09,10.09,15000,0
HCMA.US,5,20250923,193000,10.1,10.1,10.0999,10.0999,170172,0
HCMA.US,5,20250923,194500,10.1,10.1,10.1,10.1,1100,0
HCMA.US,5,20250923,195000,10.1,10.1,10.1,10.1,13807,0
HCMA.US,5,20250923,195500,10.11,10.11,10.1,10.11,5000,0
HCMA.US,5,20250923,201000,10.1,10.1,10.1,10.1,100,0
HCMA.US,5,20250923,202500,10.09,10.09,10.08,10.08,4033,0
HCMA.US,5,20250923,213500,10.1,10.12,10.1,10.12,43538,0
HCMA.US,5,20250923,214000,10.1,10.1,10.1,10.1,4433,0
HCMA.US,5,20250923,214500,10.1,10.1,10.1,10.1,35086,0
HCMA.US,5,20250923,215000,10.1,10.1,10.1,10.1,10000,0
HCMA.US,5,20250924,153000,10.15,10.15,10.15,10.15,788,0
HCMA.US,5,20250924,154000,10.1,10.1,10.1,10.1,100,0
HCMA.US,5,20250924,162000,10.0915,10.0915,10.0915,10.0915,720,0
HCMA.US,5,20250924,162500,10.095,10.095,10.095,10.095,300,0
HCMA.US,5,20250924,163000,10.1,10.105,10.0999,10.1,112764,0
HCMA.US,5,20250924,163500,10.1,10.105,10.1,10.1,68086,0
HCMA.US,5,20250924,164500,10.1,10.1,10.1,10.1,99695,0
HCMA.US,5,20250924,165500,10.1,10.1,10.1,10.1,50000,0
HCMA.US,5,20250924,170000,10.0951,10.12,10.0951,10.1,90014,0
HCMA.US,5,20250924,170500,10.1,10.13,10.1,10.13,120898,0
HCMA.US,5,20250924,171000,10.135,10.135,10.11,10.11,29514,0
HCMA.US,5,20250924,171500,10.11,10.11,10.105,10.105,12198,0
HCMA.US,5,20250924,172000,10.11,10.11,10.11,10.11,22000,0
HCMA.US,5,20250924,172500,10.11,10.11,10.11,10.11,1978,0
HCMA.US,5,20250924,173000,10.11,10.11,10.1051,10.1051,4400,0
HCMA.US,5,20250924,173500,10.11,10.11,10.1063,10.1063,10100,0
HCMA.US,5,20250924,174000,10.11,10.11,10.11,10.11,2200,0
HCMA.US,5,20250924,175000,10.11,10.11,10.105,10.11,1500,0
HCMA.US,5,20250924,180000,10.1016,10.11,10.1016,10.11,600,0
HCMA.US,5,20250924,184500,10.1051,10.1051,10.1,10.1,3400,0
HCMA.US,5,20250924,185000,10.105,10.105,10.1,10.1,2772,0
HCMA.US,5,20250924,191000,10.11,10.11,10.11,10.11,400,0
HCMA.US,5,20250924,191500,10.11,10.11,10.11,10.11,5699,0
