<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HFFG.US,5,20250829,153000,3.4,3.4,3.4,3.4,1440,0
HFFG.US,5,20250829,154000,3.33,3.33,3.32,3.32,200,0
HFFG.US,5,20250829,161000,3.33,3.33,3.33,3.33,100,0
HFFG.US,5,20250829,164000,3.33,3.33,3.33,3.33,100,0
HFFG.US,5,20250829,171500,3.32,3.32,3.32,3.32,100,0
HFFG.US,5,20250829,172000,3.32,3.35,3.32,3.35,700,0
HFFG.US,5,20250829,172500,3.35,3.35,3.33,3.33,751,0
HFFG.US,5,20250829,173500,3.33,3.33,3.33,3.33,100,0
HFFG.US,5,20250829,174000,3.326,3.326,3.326,3.326,300,0
HFFG.US,5,20250829,174500,3.33,3.33,3.33,3.33,100,0
HFFG.US,5,20250829,180500,3.32,3.32,3.32,3.32,300,0
HFFG.US,5,20250829,183500,3.31,3.3101,3.31,3.31,918,0
HFFG.US,5,20250829,190000,3.3013,3.3013,3.3,3.3,1372,0
HFFG.US,5,20250829,192000,3.31,3.31,3.31,3.31,100,0
HFFG.US,5,20250829,194000,3.319,3.33,3.319,3.32,800,0
HFFG.US,5,20250829,195000,3.32,3.32,3.3,3.3,1092,0
HFFG.US,5,20250829,200000,3.3,3.3,3.3,3.3,1512,0
HFFG.US,5,20250829,201000,3.275,3.275,3.275,3.275,200,0
HFFG.US,5,20250829,203000,3.2808,3.2808,3.2808,3.2808,1880,0
HFFG.US,5,20250829,205000,3.27,3.27,3.27,3.27,200,0
HFFG.US,5,20250829,210000,3.27,3.27,3.265,3.265,552,0
HFFG.US,5,20250829,210500,3.265,3.265,3.265,3.265,983,0
HFFG.US,5,20250829,212500,3.26,3.26,3.255,3.26,630,0
HFFG.US,5,20250829,213000,3.26,3.27,3.26,3.27,306,0
HFFG.US,5,20250829,213500,3.265,3.265,3.265,3.265,100,0
HFFG.US,5,20250829,214000,3.28,3.28,3.27,3.27,400,0
HFFG.US,5,20250829,214500,3.285,3.285,3.275,3.275,545,0
HFFG.US,5,20250829,215000,3.27,3.28,3.27,3.28,700,0
HFFG.US,5,20250829,215500,3.27,3.28,3.261,3.28,11015,0
HFFG.US,5,20250902,153000,3.21,3.22,3.15,3.15,1750,0
HFFG.US,5,20250902,153500,3.18,3.235,3.16,3.19,1028,0
HFFG.US,5,20250902,154000,3.19,3.19,3.19,3.19,100,0
HFFG.US,5,20250902,154500,3.205,3.205,3.15,3.15,6500,0
HFFG.US,5,20250902,155000,3.2389,3.2389,3.2389,3.2389,500,0
HFFG.US,5,20250902,160000,3.18,3.19,3.18,3.18,400,0
HFFG.US,5,20250902,164500,3.1986,3.1986,3.18,3.18,2316,0
HFFG.US,5,20250902,165000,3.1892,3.1892,3.18,3.18,800,0
HFFG.US,5,20250902,171500,3.17,3.17,3.17,3.17,300,0
HFFG.US,5,20250902,173000,3.1789,3.1789,3.1789,3.1789,101,0
HFFG.US,5,20250902,180000,3.17,3.17,3.17,3.17,100,0
HFFG.US,5,20250902,183000,3.175,3.175,3.175,3.175,1100,0
HFFG.US,5,20250902,185000,3.185,3.185,3.18,3.18,300,0
HFFG.US,5,20250902,185500,3.19,3.22,3.19,3.22,400,0
HFFG.US,5,20250902,190000,3.275,3.275,3.275,3.275,900,0
HFFG.US,5,20250902,190500,3.275,3.28,3.25,3.25,300,0
HFFG.US,5,20250902,191000,3.26,3.26,3.26,3.26,200,0
HFFG.US,5,20250902,191500,3.265,3.265,3.265,3.265,400,0
HFFG.US,5,20250902,192000,3.265,3.265,3.265,3.265,700,0
HFFG.US,5,20250902,192500,3.26,3.26,3.2,3.2,909,0
HFFG.US,5,20250902,193000,3.21,3.21,3.21,3.21,100,0
HFFG.US,5,20250902,194500,3.22,3.22,3.22,3.22,300,0
HFFG.US,5,20250902,195000,3.22,3.22,3.22,3.22,100,0
HFFG.US,5,20250902,195500,3.22,3.22,3.22,3.22,500,0
HFFG.US,5,20250902,203000,3.22,3.22,3.22,3.22,120,0
HFFG.US,5,20250902,204500,3.23,3.23,3.23,3.23,300,0
