<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLIT.US,5,20250829,153000,9.71,9.8099,9.6525,9.67,13197,0
HLIT.US,5,20250829,153500,9.68,9.68,9.65,9.673153,1049,0
HLIT.US,5,20250829,154000,9.65,9.685,9.65,9.685,3808,0
HLIT.US,5,20250829,154500,9.67,9.67,9.66,9.66,593,0
HLIT.US,5,20250829,155000,9.66,9.68,9.66,9.68,969,0
HLIT.US,5,20250829,155500,9.66,9.665,9.66,9.665,2016,0
HLIT.US,5,20250829,160000,9.665,9.665,9.63,9.63,3800,0
HLIT.US,5,20250829,160500,9.62,9.625,9.61,9.62,1858,0
HLIT.US,5,20250829,161000,9.625,9.625,9.605,9.61,3254,0
HLIT.US,5,20250829,161500,9.61,9.61,9.59,9.6054,7638,0
HLIT.US,5,20250829,162000,9.61,9.64,9.61,9.6293,2182,0
HLIT.US,5,20250829,162500,9.62,9.62,9.61,9.61,900,0
HLIT.US,5,20250829,163000,9.62,9.625,9.62,9.62,2567,0
HLIT.US,5,20250829,163500,9.62,9.62,9.615,9.62,1274,0
HLIT.US,5,20250829,164000,9.63,9.635,9.63,9.63,1540,0
HLIT.US,5,20250829,164500,9.625,9.625,9.625,9.625,346,0
HLIT.US,5,20250829,165000,9.62,9.62,9.6,9.61,3000,0
HLIT.US,5,20250829,165500,9.61,9.615,9.59,9.59,5210,0
HLIT.US,5,20250829,170000,9.59,9.615,9.59,9.605,6983,0
HLIT.US,5,20250829,170500,9.605,9.615,9.605,9.615,700,0
HLIT.US,5,20250829,171000,9.62,9.635,9.61,9.61,4813,0
HLIT.US,5,20250829,171500,9.61,9.61,9.6,9.6,1031,0
HLIT.US,5,20250829,172000,9.59,9.59,9.585,9.59,900,0
HLIT.US,5,20250829,172500,9.6,9.61,9.595,9.595,2374,0
HLIT.US,5,20250829,173000,9.59,9.6,9.59,9.6,2004,0
HLIT.US,5,20250829,173500,9.595,9.6092,9.595,9.6092,436,0
HLIT.US,5,20250829,174000,9.6,9.62,9.595,9.62,4754,0
HLIT.US,5,20250829,174500,9.62,9.63,9.62,9.63,1667,0
HLIT.US,5,20250829,175000,9.62,9.625,9.62,9.62,2477,0
HLIT.US,5,20250829,175500,9.63,9.63,9.625,9.625,300,0
HLIT.US,5,20250829,180000,9.625,9.63,9.625,9.625,1526,0
HLIT.US,5,20250829,180500,9.63,9.64,9.625,9.635,1540,0
HLIT.US,5,20250829,181000,9.64,9.64,9.64,9.64,600,0
HLIT.US,5,20250829,181500,9.64,9.66,9.64,9.655,1651,0
HLIT.US,5,20250829,182000,9.66,9.66,9.655,9.66,1000,0
HLIT.US,5,20250829,182500,9.65,9.67,9.64,9.67,6296,0
HLIT.US,5,20250829,183000,9.69,9.7,9.69,9.69,904,0
HLIT.US,5,20250829,183500,9.695,9.7,9.695,9.7,500,0
HLIT.US,5,20250829,184000,9.695,9.7,9.6935,9.7,1323,0
HLIT.US,5,20250829,184500,9.695,9.7,9.685,9.685,5640,0
HLIT.US,5,20250829,185000,9.685,9.69,9.685,9.69,439,0
