<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSPRF.US,5,20250903,211000,0.2119,0.2119,0.2119,0.2119,300,0
HSPRF.US,5,20250904,155000,0.17,0.1775,0.16,0.1775,1699,0
HSPRF.US,5,20250904,163000,0.16,0.1688,0.16,0.16,50200,0
HSPRF.US,5,20250904,172500,0.167,0.167,0.167,0.167,5000,0
HSPRF.US,5,20250904,184000,0.15,0.16,0.15,0.15,25000,0
HSPRF.US,5,20250904,200000,0.15,0.15,0.15,0.15,100,0
HSPRF.US,5,20250904,203500,0.15,0.15,0.15,0.15,900,0
HSPRF.US,5,20250904,204000,0.15,0.15,0.15,0.15,1389,0
HSPRF.US,5,20250904,204500,0.16,0.16,0.16,0.16,500,0
HSPRF.US,5,20250904,205000,0.1795,0.1795,0.1795,0.1795,8900,0
HSPRF.US,5,20250912,215500,0.15,0.16,0.15,0.16,400,0
HSPRF.US,5,20250918,153000,0.209,0.209,0.209,0.209,400,0
HSPRF.US,5,20250918,153500,0.209,0.209,0.209,0.209,100,0
HSPRF.US,5,20250918,163500,0.209,0.209,0.209,0.209,293,0
HSPRF.US,5,20250918,174000,0.1585,0.1585,0.1585,0.1585,400,0
HSPRF.US,5,20250918,181000,0.1693,0.1693,0.1693,0.1693,1000,0
HSPRF.US,5,20250918,181500,0.15,0.1573,0.15,0.1573,24625,0
HSPRF.US,5,20250918,182000,0.1573,0.1573,0.153649,0.1572,2100,0
HSPRF.US,5,20250923,172500,0.1849,0.1849,0.1849,0.1849,100,0
HSPRF.US,5,20250924,212000,0.15001,0.15001,0.15001,0.15001,563,0
HSPRF.US,5,20250929,185000,0.16,0.16,0.16,0.16,293,0
HSPRF.US,5,20251002,155500,0.209,0.209,0.209,0.209,100,0
HSPRF.US,5,20251003,194000,0.1982,0.20851,0.1982,0.1982,6766,0
HSPRF.US,5,20251003,200500,0.209,0.209,0.209,0.209,300,0
HSPRF.US,5,20251006,171500,0.1215,0.1215,0.1032,0.1032,11284,0
HSPRF.US,5,20251006,205500,0.11,0.11,0.11,0.11,702,0
HSPRF.US,5,20251006,213500,0.105,0.105,0.08,0.0832,8200,0
HSPRF.US,5,20251007,154000,0.196,0.196,0.196,0.196,325,0
HSPRF.US,5,20251007,155500,0.105,0.105,0.105,0.105,400,0
HSPRF.US,5,20251007,211500,0.134,0.134,0.105,0.105,2025,0
HSPRF.US,5,20251007,214500,0.105,0.105,0.105,0.105,900,0
HSPRF.US,5,20251007,215000,0.105,0.134,0.105,0.105,1200,0
HSPRF.US,5,20251008,153000,0.105,0.105,0.105,0.105,725,0
HSPRF.US,5,20251008,153500,0.105,0.105,0.105,0.105,200,0
HSPRF.US,5,20251009,171500,0.105,0.105,0.105,0.105,11030,0
HSPRF.US,5,20251009,172500,0.09,0.091,0.09,0.091,4200,0
HSPRF.US,5,20251009,173000,0.09,0.09,0.09,0.09,1691,0
HSPRF.US,5,20251009,175500,0.1,0.1,0.1,0.1,100,0
HSPRF.US,5,20251009,202000,0.0901,0.0901,0.0901,0.0901,4718,0
HSPRF.US,5,20251009,210000,0.1,0.1,0.1,0.1,100,0
HSPRF.US,5,20251014,153000,0.1,0.1,0.09275,0.1,159900,0
HSPRF.US,5,20251015,184000,0.1233,0.1597,0.1233,0.1597,405,0
HSPRF.US,5,20251015,193500,0.149,0.149,0.1325,0.1341,334,0
HSPRF.US,5,20251015,195500,0.14,0.14,0.126,0.126,266,0
HSPRF.US,5,20251015,215500,0.117,0.1248,0.117,0.1248,4200,0
HSPRF.US,5,20251016,160000,0.116,0.1161,0.1151,0.1151,798,0
HSPRF.US,5,20251016,161000,0.116,0.116,0.116,0.116,479,0
HSPRF.US,5,20251016,161500,0.114428,0.114428,0.114428,0.114428,309,0
HSPRF.US,5,20251016,162500,0.116,0.116,0.116,0.116,100,0
HSPRF.US,5,20251020,164500,0.1081,0.1081,0.1081,0.1081,3838,0
HSPRF.US,5,20251020,191000,0.116,0.1676,0.116,0.1676,1000,0
HSPRF.US,5,20251020,200000,0.12,0.1204,0.12,0.12,10500,0
HSPRF.US,5,20251020,201500,0.124,0.124,0.124,0.124,3700,0
HSPRF.US,5,20251020,205000,0.124,0.13,0.124,0.124,5200,0
HSPRF.US,5,20251020,205500,0.1676,0.1676,0.1546,0.1547,4200,0
HSPRF.US,5,20251020,210500,0.122,0.122,0.122,0.122,292,0
HSPRF.US,5,20251020,211500,0.13,0.13,0.13,0.13,2800,0
HSPRF.US,5,20251020,213000,0.13,0.13,0.13,0.13,3500,0
HSPRF.US,5,20251020,213500,0.13,0.13,0.13,0.13,6500,0
HSPRF.US,5,20251020,215000,0.13,0.13,0.13,0.13,200,0
HSPRF.US,5,20251021,160500,0.13,0.13,0.13,0.13,740,0
HSPRF.US,5,20251021,181000,0.163001,0.163001,0.13,0.154091,2800,0
HSPRF.US,5,20251021,210500,0.13,0.1302,0.13,0.1302,4000,0
HSPRF.US,5,20251021,211000,0.1556,0.1557,0.1489,0.1489,2000,0
HSPRF.US,5,20251022,153000,0.1489,0.1489,0.1489,0.1489,100,0
HSPRF.US,5,20251027,205000,0.159,0.159,0.159,0.159,100,0
HSPRF.US,5,20251028,143000,0.15,0.15,0.15,0.15,200,0
HSPRF.US,5,20251028,165500,0.10385,0.10385,0.10385,0.10385,245,0
HSPRF.US,5,20251028,182500,0.13,0.13,0.13,0.13,1000,0
HSPRF.US,5,20251028,201000,0.1488,0.1488,0.1488,0.1488,100,0
HSPRF.US,5,20251028,204000,0.1429,0.1429,0.1429,0.1429,1000,0
HSPRF.US,5,20251030,143000,0.1151,0.1151,0.1151,0.1151,700,0
HSPRF.US,5,20251030,154000,0.1488,0.1488,0.1488,0.1488,400,0
HSPRF.US,5,20251107,162500,0.11,0.11,0.11,0.11,400,0
HSPRF.US,5,20251107,195000,0.1488,0.1488,0.1488,0.1488,100,0
HSPRF.US,5,20251107,205500,0.11,0.11,0.11,0.11,100,0
HSPRF.US,5,20251107,212000,0.145,0.145,0.145,0.145,100,0
HSPRF.US,5,20251107,213000,0.11,0.11,0.11,0.11,100,0
HSPRF.US,5,20251107,215000,0.12,0.12,0.12,0.12,100,0
HSPRF.US,5,20251107,215500,0.12,0.12,0.12,0.12,300,0
HSPRF.US,5,20251117,215500,0.1137,0.1137,0.109,0.11,400,0
HSPRF.US,5,20251120,191000,0.11,0.11,0.11,0.11,100,0
HSPRF.US,5,20251126,212000,0.115,0.122978,0.115,0.122978,4000,0
HSPRF.US,5,20251203,164500,0.1284,0.1284,0.1005,0.1005,22292,0
HSPRF.US,5,20251203,165000,0.1014,0.1014,0.1005,0.1014,1211,0
HSPRF.US,5,20251203,212500,0.1077,0.115,0.0912,0.0912,42905,0
HSPRF.US,5,20251203,213000,0.0934,0.0934,0.0923,0.0934,500,0
HSPRF.US,5,20251203,213500,0.1,0.1,0.0913,0.0978,43400,0
HSPRF.US,5,20251203,214000,0.098,0.1199,0.0979,0.1,19700,0
HSPRF.US,5,20251203,214500,0.1,0.113,0.0913,0.1,59600,0
HSPRF.US,5,20251203,215500,0.099,0.1,0.099,0.1,800,0
HSPRF.US,5,20251204,153500,0.1299,0.1299,0.1299,0.1299,2000,0
HSPRF.US,5,20251204,154000,0.12806,0.12806,0.119,0.1203,10210,0
HSPRF.US,5,20251204,160000,0.0956,0.0956,0.0956,0.0956,100,0
HSPRF.US,5,20251204,170000,0.0956,0.0956,0.0936,0.0936,10100,0
HSPRF.US,5,20251204,171000,0.096,0.096,0.096,0.096,100,0
HSPRF.US,5,20251204,201500,0.096,0.096,0.096,0.096,100,0
HSPRF.US,5,20251204,202000,0.0956,0.0956,0.0913,0.0913,12549,0
HSPRF.US,5,20251204,204000,0.095,0.095,0.095,0.095,100,0
HSPRF.US,5,20251209,212000,0.0901,0.0901,0.0901,0.0901,100,0
HSPRF.US,5,20251209,214000,0.0901,0.0901,0.0901,0.0901,100,0
HSPRF.US,5,20251209,214500,0.0901,0.0989,0.0901,0.0989,200,0
HSPRF.US,5,20251209,215000,0.0989,0.0989,0.0901,0.0901,200,0
HSPRF.US,5,20251209,215500,0.0901,0.0901,0.0901,0.0901,400,0
HSPRF.US,5,20251210,153000,0.1202,0.1202,0.1202,0.1202,1000,0
HSPRF.US,5,20251210,154500,0.127,0.13,0.119999,0.13,7452,0
HSPRF.US,5,20251210,155500,0.128,0.128,0.128,0.128,100,0
HSPRF.US,5,20251210,162000,0.11,0.11,0.1,0.1,4000,0
HSPRF.US,5,20251210,162500,0.1,0.1,0.1,0.1,100,0
HSPRF.US,5,20251210,165500,0.1,0.1178,0.0912,0.1178,27846,0
HSPRF.US,5,20251210,172000,0.11,0.115,0.11,0.115,2000,0
HSPRF.US,5,20251210,173000,0.115,0.115,0.115,0.115,200,0
HSPRF.US,5,20251210,174000,0.118,0.118,0.118,0.118,100,0
HSPRF.US,5,20251210,174500,0.1101,0.1101,0.1101,0.1101,100,0
HSPRF.US,5,20251210,175000,0.12,0.1201,0.1101,0.115,4977,0
HSPRF.US,5,20251210,175500,0.1101,0.1101,0.1101,0.1101,100,0
HSPRF.US,5,20251210,183000,0.125001,0.125001,0.11,0.1101,93505,0
HSPRF.US,5,20251210,183500,0.1101,0.1101,0.1101,0.1101,1100,0
HSPRF.US,5,20251210,184000,0.1101,0.1101,0.1101,0.1101,600,0
HSPRF.US,5,20251210,193000,0.1291,0.1291,0.1285,0.1285,293,0
HSPRF.US,5,20251210,200000,0.129,0.129,0.129,0.129,100,0
HSPRF.US,5,20251210,202000,0.11785,0.11785,0.11785,0.11785,200,0
HSPRF.US,5,20251211,153500,0.11,0.11,0.11,0.11,100,0
HSPRF.US,5,20251211,154000,0.12,0.12,0.12,0.12,200,0
HSPRF.US,5,20251211,154500,0.1105,0.115,0.1104,0.1104,2319,0
HSPRF.US,5,20251211,155000,0.112701,0.115,0.1105,0.115,16784,0
HSPRF.US,5,20251211,155500,0.12,0.122,0.115,0.1186,7201,0
HSPRF.US,5,20251211,160500,0.115,0.115,0.115,0.115,200,0
HSPRF.US,5,20251211,161000,0.115,0.115,0.115,0.115,1500,0
HSPRF.US,5,20251211,191000,0.11755,0.12,0.115,0.1151,23400,0
HSPRF.US,5,20251211,212000,0.115,0.115,0.115,0.115,363,0
HSPRF.US,5,20251211,213500,0.115,0.115,0.1104,0.1146,9826,0
