<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVMCU.US,5,20250902,155000,10.0553,10.0553,10.0553,10.0553,1175,0
HVMCU.US,5,20250902,161000,10.05,10.05,10.05,10.05,100,0
HVMCU.US,5,20250902,194000,10.05,10.05,10.05,10.05,4899,0
HVMCU.US,5,20250902,205000,10.05,10.05,10.05,10.05,100,0
HVMCU.US,5,20250902,212000,10.05,10.05,10.05,10.05,132200,0
HVMCU.US,5,20250902,212500,10.05,10.05,10.05,10.05,39995,0
HVMCU.US,5,20250902,213000,10.05,10.05,10.05,10.05,150000,0
HVMCU.US,5,20250902,215000,10.05,10.05,10.05,10.05,75100,0
HVMCU.US,5,20250902,215500,10.05,10.05,10.05,10.05,620,0
HVMCU.US,5,20250910,164500,10.06,10.06,10.06,10.06,1400,0
HVMCU.US,5,20250910,170500,10.08,10.08,10.08,10.08,300,0
HVMCU.US,5,20250911,214000,10.06,10.06,10.06,10.06,482,0
HVMCU.US,5,20250916,215000,10.07,10.07,10.07,10.07,100,0
HVMCU.US,5,20250917,185000,10.07,10.07,10.07,10.07,25000,0
HVMCU.US,5,20250917,204500,10.07,10.09,10.07,10.09,5950,0
HVMCU.US,5,20250918,180000,10.07,10.07,10.07,10.07,49895,0
HVMCU.US,5,20250919,212000,10.08,10.08,10.08,10.08,2960,0
HVMCU.US,5,20250922,195000,10.08,10.08,10.08,10.08,3500,0
HVMCU.US,5,20250923,174000,10.08,10.08,10.08,10.08,25000,0
HVMCU.US,5,20250923,174500,10.08,10.08,10.08,10.08,6833,0
HVMCU.US,5,20250923,194500,10.08,10.08,10.08,10.08,25000,0
HVMCU.US,5,20250923,201500,10.08,10.08,10.08,10.08,15000,0
HVMCU.US,5,20250923,214000,10.08,10.08,10.08,10.08,12500,0
HVMCU.US,5,20250924,161500,10.4772,10.4772,10.4772,10.4772,500,0
HVMCU.US,5,20250924,164000,10.08,10.08,10.08,10.08,100,0
HVMCU.US,5,20250924,193000,10.08,10.08,10.08,10.08,400,0
HVMCU.US,5,20250924,211000,10.09,10.09,10.085,10.09,7395,0
HVMCU.US,5,20250925,164500,10.08,10.08,10.08,10.08,1000,0
HVMCU.US,5,20250925,173000,10.08,10.08,10.08,10.08,1700,0
HVMCU.US,5,20250926,154500,10.08,10.08,10.08,10.08,1100,0
HVMCU.US,5,20250930,172500,10.1,10.1,10.1,10.1,4960,0
HVMCU.US,5,20250930,185000,10.1,10.1,10.1,10.1,1400,0
HVMCU.US,5,20251002,153000,10.11,10.11,10.05,10.05,1600,0
HVMCU.US,5,20251002,161500,10.1,10.1,10.1,10.1,100,0
HVMCU.US,5,20251002,180500,10.1,10.1,10.1,10.1,1000,0
HVMCU.US,5,20251007,195000,10.07,10.07,10.07,10.07,200,0
HVMCU.US,5,20251007,205000,10.07,10.07,10.07,10.07,100,0
HVMCU.US,5,20251008,203000,10.11,10.11,10.11,10.11,900,0
HVMCU.US,5,20251009,161500,10.11,10.11,10.1,10.11,12486,0
HVMCU.US,5,20251009,174500,10.15,10.15,10.15,10.15,600,0
HVMCU.US,5,20251014,202500,10.125,10.15,10.1232,10.1499,2800,0
HVMCU.US,5,20251014,203000,10.15,10.15,10.115,10.145,6400,0
HVMCU.US,5,20251014,205500,10.1499,10.15,10.1232,10.1499,1400,0
HVMCU.US,5,20251014,210000,10.1499,10.15,10.115,10.15,1500,0
HVMCU.US,5,20251014,210500,10.1495,10.15,10.1232,10.15,2200,0
HVMCU.US,5,20251014,212000,10.15,10.2035,10.1232,10.1501,4693,0
HVMCU.US,5,20251015,183500,10.18,10.18,10.17,10.17,400,0
HVMCU.US,5,20251015,203000,10.15,10.1514,10.15,10.15,900,0
HVMCU.US,5,20251016,165500,10.2,10.2,10.2,10.2,100,0
HVMCU.US,5,20251016,171000,10.2,10.25,10.2,10.25,700,0
HVMCU.US,5,20251016,171500,10.23,10.3049,10.23,10.23,5600,0
HVMCU.US,5,20251016,172000,10.23,10.23,10.17,10.1701,300,0
HVMCU.US,5,20251016,174500,10.1701,10.1701,10.17,10.17,200,0
HVMCU.US,5,20251016,181500,10.1701,10.1701,10.1701,10.1701,200,0
HVMCU.US,5,20251016,185500,10.17,10.17,10.17,10.17,400,0
HVMCU.US,5,20251016,192000,10.17,10.17,10.17,10.17,100,0
HVMCU.US,5,20251016,214000,10.2282,10.2283,10.1701,10.2282,4600,0
HVMCU.US,5,20251017,154000,10.5,10.5,10.5,10.5,100,0
HVMCU.US,5,20251017,164000,10.23,10.24,10.23,10.24,1000,0
HVMCU.US,5,20251020,153500,11,11,11,11,100,0
HVMCU.US,5,20251020,191000,10.3212,10.3212,10.3212,10.3212,100,0
HVMCU.US,5,20251021,154000,10.5,10.5,10.5,10.5,100,0
HVMCU.US,5,20251023,214000,10.68,10.8,10.68,10.69,3500,0
HVMCU.US,5,20251027,184000,10.17,10.17,10.17,10.17,102,0
HVMCU.US,5,20251027,185000,10.17,10.17,10.17,10.17,200,0
HVMCU.US,5,20251029,164000,10.17,10.17,10.17,10.17,100,0
HVMCU.US,5,20251031,165000,10.17,10.17,10.17,10.17,200,0
HVMCU.US,5,20251031,170000,10.1826,10.1826,10.1826,10.1826,100,0
HVMCU.US,5,20251031,175000,10.17,10.17,10.17,10.17,200,0
HVMCU.US,5,20251031,185000,10.17,10.17,10.17,10.17,200,0
HVMCU.US,5,20251114,193500,10.385,10.385,10.385,10.385,100,0
HVMCU.US,5,20251118,170500,10.17,10.17,10.17,10.17,240,0
HVMCU.US,5,20251201,171500,10.17,10.17,10.17,10.17,10000,0
HVMCU.US,5,20251201,201000,10.15,10.15,10.15,10.15,4456,0
HVMCU.US,5,20251212,215500,10.2,10.2,10.2,10.2,1761,0
