<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDN.US,5,20250829,153000,5.47,5.51,5.45,5.45,4578,0
IDN.US,5,20250829,153500,5.45,5.46,5.39,5.39,5937,0
IDN.US,5,20250829,154500,5.3806,5.405,5.3806,5.405,974,0
IDN.US,5,20250829,155000,5.41,5.41,5.4,5.4,300,0
IDN.US,5,20250829,155500,5.391,5.391,5.391,5.391,240,0
IDN.US,5,20250829,160500,5.4555,5.4724,5.4555,5.4724,300,0
IDN.US,5,20250829,161000,5.41,5.42,5.375,5.375,9125,0
IDN.US,5,20250829,161500,5.393,5.3993,5.393,5.3993,1620,0
IDN.US,5,20250829,162000,5.42,5.42,5.42,5.42,497,0
IDN.US,5,20250829,164500,5.39,5.4,5.385,5.385,1100,0
IDN.US,5,20250829,165000,5.4,5.4,5.39,5.39,1100,0
IDN.US,5,20250829,165500,5.405,5.43,5.405,5.43,4200,0
IDN.US,5,20250829,170000,5.4462,5.4562,5.4346,5.4346,384,0
IDN.US,5,20250829,171500,5.445,5.445,5.445,5.445,100,0
IDN.US,5,20250829,172000,5.43,5.4449,5.415,5.42,3324,0
IDN.US,5,20250829,172500,5.43,5.43,5.43,5.43,2084,0
IDN.US,5,20250829,173500,5.44,5.44,5.44,5.44,100,0
IDN.US,5,20250829,175000,5.425,5.425,5.425,5.425,100,0
IDN.US,5,20250829,180000,5.4144,5.4144,5.41,5.41,418,0
IDN.US,5,20250829,180500,5.42,5.42,5.42,5.42,171,0
IDN.US,5,20250829,181500,5.4,5.4,5.4,5.4,100,0
IDN.US,5,20250829,182000,5.43,5.43,5.41,5.43,3610,0
IDN.US,5,20250829,182500,5.4408,5.4408,5.4408,5.4408,100,0
IDN.US,5,20250829,183000,5.448,5.46,5.435,5.435,3800,0
IDN.US,5,20250829,183500,5.47,5.4899,5.46,5.46,300,0
IDN.US,5,20250829,184000,5.475,5.475,5.475,5.475,1000,0
IDN.US,5,20250829,184500,5.46,5.46,5.46,5.46,169,0
IDN.US,5,20250829,190500,5.4573,5.4573,5.4573,5.4573,138,0
IDN.US,5,20250829,191000,5.45,5.45,5.4186,5.45,400,0
IDN.US,5,20250829,191500,5.41,5.41,5.41,5.41,219,0
IDN.US,5,20250829,193500,5.43,5.43,5.43,5.43,200,0
IDN.US,5,20250829,200500,5.44,5.44,5.44,5.44,200,0
IDN.US,5,20250829,201000,5.44,5.45,5.4302,5.4302,823,0
IDN.US,5,20250829,201500,5.46,5.46,5.46,5.46,5555,0
IDN.US,5,20250829,202000,5.46,5.46,5.42,5.42,734,0
IDN.US,5,20250829,203000,5.42,5.42,5.42,5.42,369,0
IDN.US,5,20250829,203500,5.41,5.425,5.41,5.42,1834,0
IDN.US,5,20250829,204000,5.42,5.43,5.42,5.43,525,0
IDN.US,5,20250829,204500,5.45,5.45,5.44,5.44,1700,0
IDN.US,5,20250829,205000,5.41,5.41,5.4,5.4,2651,0
IDN.US,5,20250829,205500,5.39,5.4,5.37,5.4,9431,0
IDN.US,5,20250829,210000,5.41,5.41,5.388,5.388,636,0
IDN.US,5,20250829,210500,5.3801,5.3801,5.3801,5.3801,100,0
IDN.US,5,20250829,211000,5.41,5.41,5.3931,5.3931,300,0
IDN.US,5,20250829,211500,5.4005,5.4195,5.4,5.4195,876,0
IDN.US,5,20250829,212500,5.425,5.425,5.425,5.425,100,0
IDN.US,5,20250829,213000,5.4,5.4199,5.4,5.415,2523,0
IDN.US,5,20250829,213500,5.42,5.425,5.4,5.425,900,0
IDN.US,5,20250829,214000,5.41,5.45,5.41,5.44,2167,0
IDN.US,5,20250829,214500,5.43,5.45,5.43,5.44,3425,0
IDN.US,5,20250829,215000,5.44,5.45,5.41,5.44,11104,0
IDN.US,5,20250829,215500,5.42,5.45,5.42,5.45,10549,0
IDN.US,5,20250902,153000,5.365,5.365,5.217,5.2652,8696,0
IDN.US,5,20250902,154000,5.28,5.47,5.28,5.401,12985,0
IDN.US,5,20250902,154500,5.3614,5.37,5.3614,5.37,944,0
IDN.US,5,20250902,155000,5.47,5.47,5.338,5.395,1500,0
IDN.US,5,20250902,155500,5.2769,5.2769,5.2769,5.2769,100,0
IDN.US,5,20250902,160000,5.39,5.39,5.39,5.39,200,0
IDN.US,5,20250902,160500,5.35,5.355,5.35,5.355,200,0
IDN.US,5,20250902,161000,5.31,5.39,5.3,5.39,3288,0
IDN.US,5,20250902,163000,5.3675,5.3675,5.3662,5.3662,450,0
IDN.US,5,20250902,164500,5.35,5.36,5.34,5.35,1459,0
IDN.US,5,20250902,165000,5.36,5.42,5.35,5.42,6100,0
IDN.US,5,20250902,165500,5.374,5.45,5.374,5.45,1644,0
IDN.US,5,20250902,170000,5.425,5.425,5.425,5.425,100,0
IDN.US,5,20250902,170500,5.41,5.41,5.3775,5.4,868,0
IDN.US,5,20250902,171000,5.4095,5.4095,5.4095,5.4095,101,0
IDN.US,5,20250902,171500,5.4,5.4,5.4,5.4,200,0
IDN.US,5,20250902,173500,5.3603,5.3603,5.3603,5.3603,120,0
IDN.US,5,20250902,174500,5.379,5.379,5.379,5.379,500,0
IDN.US,5,20250902,175000,5.3582,5.3743,5.3294,5.3294,1000,0
IDN.US,5,20250902,180500,5.36,5.36,5.3437,5.3437,730,0
IDN.US,5,20250902,181000,5.38,5.4,5.38,5.4,200,0
IDN.US,5,20250902,181500,5.4,5.4,5.3665,5.3665,398,0
IDN.US,5,20250902,182000,5.381,5.3913,5.381,5.39,1850,0
IDN.US,5,20250902,182500,5.36,5.37,5.36,5.36,600,0
IDN.US,5,20250902,183000,5.35,5.35,5.35,5.35,100,0
IDN.US,5,20250902,183500,5.34,5.34,5.34,5.34,100,0
IDN.US,5,20250902,184000,5.316,5.34,5.316,5.34,2022,0
IDN.US,5,20250902,185500,5.3738,5.3738,5.3738,5.3738,100,0
IDN.US,5,20250902,190000,5.38,5.38,5.38,5.38,100,0
IDN.US,5,20250902,190500,5.36,5.38,5.36,5.38,209,0
IDN.US,5,20250902,191000,5.365,5.365,5.365,5.365,100,0
IDN.US,5,20250902,191500,5.36,5.36,5.36,5.36,100,0
IDN.US,5,20250902,192000,5.363,5.37,5.363,5.37,1100,0
IDN.US,5,20250902,193000,5.3816,5.3816,5.38,5.38,450,0
IDN.US,5,20250902,195000,5.39,5.41,5.39,5.41,2830,0
IDN.US,5,20250902,195500,5.405,5.405,5.405,5.405,100,0
IDN.US,5,20250902,200000,5.405,5.405,5.405,5.405,200,0
IDN.US,5,20250902,201000,5.395,5.395,5.395,5.395,100,0
IDN.US,5,20250902,201500,5.39,5.39,5.38,5.38,200,0
IDN.US,5,20250902,202000,5.395,5.395,5.38,5.38,1700,0
IDN.US,5,20250902,202500,5.375,5.375,5.375,5.375,100,0
IDN.US,5,20250902,203000,5.365,5.365,5.3501,5.365,1657,0
IDN.US,5,20250902,203500,5.365,5.365,5.365,5.365,200,0
IDN.US,5,20250902,204000,5.35,5.35,5.35,5.35,149,0
IDN.US,5,20250902,204500,5.37,5.39,5.37,5.39,800,0
IDN.US,5,20250902,205000,5.39,5.4,5.39,5.4,200,0
IDN.US,5,20250902,205500,5.37,5.39,5.37,5.38,1720,0
IDN.US,5,20250902,211000,5.38,5.38,5.3718,5.38,300,0
IDN.US,5,20250902,212000,5.3841,5.39,5.3827,5.3827,750,0
IDN.US,5,20250902,212500,5.3718,5.4,5.3718,5.4,520,0
IDN.US,5,20250902,213000,5.38,5.385,5.365,5.37,1200,0
IDN.US,5,20250902,213500,5.36,5.37,5.36,5.37,354,0
IDN.US,5,20250902,214000,5.37,5.38,5.37,5.38,600,0
IDN.US,5,20250902,214500,5.38,5.38,5.38,5.38,600,0
IDN.US,5,20250902,215000,5.38,5.38,5.355,5.37,5396,0
IDN.US,5,20250902,215500,5.37,5.37,5.33,5.35,7509,0
IDN.US,5,20250903,153000,5.36,5.36,5.36,5.36,5313,0
IDN.US,5,20250903,153500,5.36,5.375,5.36,5.375,307,0
IDN.US,5,20250903,154500,5.4,5.4,5.4,5.4,100,0
IDN.US,5,20250903,155000,5.3675,5.3675,5.3675,5.3675,188,0
IDN.US,5,20250903,155500,5.3576,5.3576,5.3576,5.3576,100,0
IDN.US,5,20250903,160000,5.3566,5.3566,5.3566,5.3566,150,0
IDN.US,5,20250903,161000,5.35,5.35,5.35,5.35,700,0
IDN.US,5,20250903,161500,5.3891,5.3891,5.3891,5.3891,400,0
IDN.US,5,20250903,162000,5.3201,5.4,5.3201,5.4,5620,0
IDN.US,5,20250903,162500,5.35,5.35,5.35,5.35,115,0
IDN.US,5,20250903,164000,5.37,5.37,5.34,5.34,646,0
IDN.US,5,20250903,170000,5.34,5.34,5.34,5.34,870,0
IDN.US,5,20250903,170500,5.32,5.32,5.32,5.32,100,0
IDN.US,5,20250903,171000,5.32,5.32,5.32,5.32,200,0
IDN.US,5,20250903,171500,5.33,5.33,5.32,5.32,635,0
IDN.US,5,20250903,172000,5.3204,5.3204,5.31,5.31,200,0
IDN.US,5,20250903,173500,5.303,5.3184,5.303,5.3184,2028,0
IDN.US,5,20250903,174000,5.32,5.32,5.32,5.32,100,0
IDN.US,5,20250903,174500,5.3358,5.3358,5.3358,5.3358,280,0
IDN.US,5,20250903,175000,5.3,5.34,5.3,5.34,600,0
