<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILPT.US,5,20250829,153000,6.09,6.09,6.02,6.035,9211,0
ILPT.US,5,20250829,153500,6.03,6.03,6.01,6.015,1000,0
ILPT.US,5,20250829,154000,6.015,6.015,6.015,6.015,2100,0
ILPT.US,5,20250829,154500,6.015,6.04,6.0146,6.03,8769,0
ILPT.US,5,20250829,155000,6.03,6.03,6.0101,6.02,4996,0
ILPT.US,5,20250829,155500,6.01,6.01,5.995,5.995,2807,0
ILPT.US,5,20250829,160000,6,6.01,5.995,5.995,4500,0
ILPT.US,5,20250829,160500,5.995,5.995,5.995,5.995,100,0
ILPT.US,5,20250829,161000,5.99,6.03,5.975,6.03,18344,0
ILPT.US,5,20250829,161500,6.05,6.05,6.05,6.05,2400,0
ILPT.US,5,20250829,162000,6.05,6.05,6.045,6.045,5700,0
ILPT.US,5,20250829,162500,6.045,6.045,6.04,6.04,1422,0
ILPT.US,5,20250829,163000,6.05,6.07,6.05,6.06,6876,0
ILPT.US,5,20250829,163500,6.05,6.05,6.05,6.05,600,0
ILPT.US,5,20250829,164000,6.055,6.055,6.05,6.055,828,0
ILPT.US,5,20250829,164500,6.05,6.05,6.04,6.045,1298,0
ILPT.US,5,20250829,165000,6.05,6.09,6.05,6.08,8526,0
ILPT.US,5,20250829,170000,6.1,6.13,6.095,6.13,9220,0
ILPT.US,5,20250829,170500,6.135,6.1358,6.12,6.125,4484,0
ILPT.US,5,20250829,171000,6.125,6.125,6.12,6.12,1059,0
ILPT.US,5,20250829,171500,6.125,6.125,6.115,6.115,3900,0
ILPT.US,5,20250829,172000,6.1146,6.1146,6.113881,6.113881,300,0
ILPT.US,5,20250829,172500,6.115,6.12,6.1123,6.1123,3033,0
ILPT.US,5,20250829,173000,6.12,6.125,6.12,6.12,602,0
ILPT.US,5,20250829,173500,6.12,6.125,6.12,6.125,398,0
ILPT.US,5,20250829,174000,6.13,6.135,6.13,6.135,205,0
ILPT.US,5,20250829,174500,6.14,6.1419,6.14,6.14,4910,0
ILPT.US,5,20250829,175000,6.14,6.15,6.14,6.15,12116,0
ILPT.US,5,20250829,175500,6.15,6.21,6.15,6.21,40307,0
ILPT.US,5,20250829,180000,6.21,6.23,6.21,6.2291,5444,0
ILPT.US,5,20250829,180500,6.225,6.225,6.22,6.225,1782,0
ILPT.US,5,20250829,181000,6.225,6.235,6.22,6.235,4717,0
ILPT.US,5,20250829,181500,6.235,6.235,6.21,6.21,4369,0
ILPT.US,5,20250829,182000,6.21,6.23,6.21,6.23,800,0
ILPT.US,5,20250829,182500,6.23,6.235,6.22,6.225,2208,0
ILPT.US,5,20250829,183000,6.23,6.23,6.22,6.23,2027,0
ILPT.US,5,20250829,183500,6.24,6.25,6.24,6.245,30140,0
ILPT.US,5,20250829,184000,6.24,6.24,6.2237,6.2237,6215,0
ILPT.US,5,20250829,184500,6.23,6.23,6.2209,6.2209,1080,0
ILPT.US,5,20250829,185000,6.22,6.22,6.21,6.21,1834,0
ILPT.US,5,20250829,190500,6.22,6.23,6.22,6.23,1222,0
ILPT.US,5,20250829,191000,6.225,6.23,6.22,6.22,3833,0
ILPT.US,5,20250829,191500,6.22,6.22,6.22,6.22,100,0
ILPT.US,5,20250829,192000,6.23,6.235,6.23,6.235,602,0
ILPT.US,5,20250829,192500,6.23,6.2301,6.215,6.215,7416,0
ILPT.US,5,20250829,193000,6.22,6.225,6.22,6.225,5452,0
ILPT.US,5,20250829,193500,6.23,6.23,6.23,6.23,2193,0
ILPT.US,5,20250829,194000,6.235,6.245,6.235,6.24,2629,0
ILPT.US,5,20250829,194500,6.235,6.24,6.225,6.225,3125,0
