<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INMB.US,5,20250829,153000,2.08,2.09,2.07,2.09,7865,0
INMB.US,5,20250829,153500,2.0808,2.0808,2.07,2.075,2141,0
INMB.US,5,20250829,154000,2.07,2.0702,2.0607,2.0702,1468,0
INMB.US,5,20250829,154500,2.07,2.07,2.07,2.07,300,0
INMB.US,5,20250829,155000,2.0743,2.0743,2.06,2.06,3417,0
INMB.US,5,20250829,155500,2.06,2.06,2.045,2.055,5718,0
INMB.US,5,20250829,160000,2.055,2.06,2.05,2.055,5925,0
INMB.US,5,20250829,160500,2.055,2.0599,2.0407,2.045,4063,0
INMB.US,5,20250829,161000,2.045,2.05,2.035,2.035,10988,0
INMB.US,5,20250829,161500,2.035,2.0391,2.03,2.035,3133,0
INMB.US,5,20250829,162000,2.035,2.04,2.03,2.035,10023,0
INMB.US,5,20250829,162500,2.035,2.05,2.03,2.048,8797,0
INMB.US,5,20250829,163000,2.04,2.05,2.04,2.05,7632,0
INMB.US,5,20250829,163500,2.055,2.06,2.05,2.055,6858,0
INMB.US,5,20250829,164000,2.055,2.06,2.0507,2.055,1489,0
INMB.US,5,20250829,164500,2.0599,2.06,2.0507,2.058,1595,0
INMB.US,5,20250829,165000,2.055,2.0586,2.052,2.055,2376,0
INMB.US,5,20250829,165500,2.055,2.06,2.055,2.055,400,0
INMB.US,5,20250829,170000,2.055,2.06,2.05,2.0501,7792,0
INMB.US,5,20250829,170500,2.055,2.06,2.05,2.05,9032,0
INMB.US,5,20250829,171000,2.055,2.058,2.05,2.055,8627,0
INMB.US,5,20250829,171500,2.055,2.06,2.05,2.055,1445,0
INMB.US,5,20250829,172000,2.055,2.06,2.05,2.055,2270,0
INMB.US,5,20250829,172500,2.0518,2.06,2.0518,2.06,3570,0
INMB.US,5,20250829,173000,2.06,2.06,2.05,2.06,30005,0
INMB.US,5,20250829,173500,2.05,2.06,2.05,2.055,6744,0
INMB.US,5,20250829,174000,2.05,2.06,2.05,2.055,1091,0
INMB.US,5,20250829,174500,2.055,2.06,2.0541,2.055,850,0
INMB.US,5,20250829,175000,2.055,2.055,2.05,2.0516,2100,0
INMB.US,5,20250829,175500,2.055,2.06,2.05,2.06,1450,0
INMB.US,5,20250829,180000,2.05,2.055,2.05,2.055,400,0
INMB.US,5,20250829,180500,2.05,2.05,2.05,2.05,200,0
INMB.US,5,20250829,181000,2.055,2.055,2.05,2.05,1580,0
INMB.US,5,20250829,181500,2.055,2.055,2.05,2.05,4204,0
INMB.US,5,20250829,182000,2.055,2.055,2.05,2.05,600,0
INMB.US,5,20250829,183000,2.055,2.055,2.055,2.055,5710,0
INMB.US,5,20250829,183500,2.0535,2.0594,2.0516,2.0516,7640,0
INMB.US,5,20250829,184000,2.055,2.06,2.05,2.055,4319,0
INMB.US,5,20250829,184500,2.055,2.0595,2.0516,2.0516,1495,0
INMB.US,5,20250829,185000,2.0525,2.06,2.0525,2.055,400,0
INMB.US,5,20250829,185500,2.055,2.06,2.03,2.0583,50424,0
INMB.US,5,20250829,190000,2.055,2.06,2.05,2.05,9790,0
INMB.US,5,20250829,190500,2.055,2.06,2.0507,2.055,3145,0
INMB.US,5,20250829,191000,2.055,2.06,2.05,2.055,930,0
INMB.US,5,20250829,191500,2.055,2.055,2.05,2.055,400,0
INMB.US,5,20250829,192000,2.05,2.0586,2.05,2.0507,1232,0
INMB.US,5,20250829,192500,2.0507,2.055,2.05,2.05,7920,0
INMB.US,5,20250829,193000,2.05,2.0537,2.05,2.0528,2300,0
INMB.US,5,20250829,193500,2.0589,2.06,2.055,2.055,660,0
INMB.US,5,20250829,194000,2.055,2.06,2.05,2.05,544,0
INMB.US,5,20250829,194500,2.055,2.055,2.04,2.0498,73936,0
INMB.US,5,20250829,195000,2.045,2.05,2.045,2.05,4720,0
INMB.US,5,20250829,195500,2.045,2.05,2.04,2.0464,1560,0
INMB.US,5,20250829,200000,2.048,2.05,2.0401,2.0463,4590,0
INMB.US,5,20250829,200500,2.05,2.05,2.04,2.04,969,0
INMB.US,5,20250829,201000,2.045,2.0491,2.045,2.045,2487,0
INMB.US,5,20250829,201500,2.0493,2.0493,2.03,2.04,29073,0
INMB.US,5,20250829,202000,2.04,2.045,2.04,2.04,6166,0
INMB.US,5,20250829,202500,2.045,2.0486,2.04,2.045,2997,0
INMB.US,5,20250829,203000,2.045,2.05,2.0419,2.045,840,0
INMB.US,5,20250829,203500,2.045,2.045,2.045,2.045,200,0
INMB.US,5,20250829,204000,2.04,2.045,2.04,2.045,5857,0
