<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPM.US,5,20250829,165500,1.9202,1.9202,1.9202,1.9202,120,0
IPM.US,5,20250829,173000,1.97,1.97,1.97,1.97,100,0
IPM.US,5,20250829,175500,1.96,1.96,1.96,1.96,100,0
IPM.US,5,20250829,180500,1.95,1.95,1.95,1.95,100,0
IPM.US,5,20250829,181000,1.9403,1.9403,1.9403,1.9403,191,0
IPM.US,5,20250829,194500,1.9502,1.9502,1.9502,1.9502,500,0
IPM.US,5,20250829,205000,1.9502,1.9502,1.9502,1.9502,500,0
IPM.US,5,20250829,205500,1.96,1.96,1.96,1.96,100,0
IPM.US,5,20250829,211500,1.955,1.955,1.94,1.94,430,0
IPM.US,5,20250829,215000,1.94,1.945,1.94,1.945,300,0
IPM.US,5,20250829,215500,1.9597,1.9597,1.93,1.93,3353,0
IPM.US,5,20250902,153000,1.86,1.91,1.86,1.8829,10500,0
IPM.US,5,20250902,154000,1.9179,1.9179,1.9179,1.9179,2500,0
IPM.US,5,20250902,155500,1.935,1.94,1.93,1.93,300,0
IPM.US,5,20250902,160500,1.91,1.91,1.91,1.91,100,0
IPM.US,5,20250902,161500,1.915,1.915,1.915,1.915,100,0
IPM.US,5,20250902,162000,1.915,1.915,1.915,1.915,100,0
IPM.US,5,20250902,171000,1.9005,1.9005,1.9005,1.9005,1090,0
IPM.US,5,20250902,171500,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250902,191500,1.8817,1.8817,1.8817,1.8817,243,0
IPM.US,5,20250902,192000,1.905,1.905,1.905,1.905,100,0
IPM.US,5,20250902,193000,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250902,201000,1.9152,1.9152,1.9152,1.9152,1000,0
IPM.US,5,20250902,201500,1.91,1.91,1.91,1.91,100,0
IPM.US,5,20250902,214000,1.896,1.896,1.896,1.896,100,0
IPM.US,5,20250903,153000,1.9,1.9,1.9,1.9,304,0
IPM.US,5,20250903,153500,1.89,1.89,1.88,1.88,1812,0
IPM.US,5,20250903,154000,1.915,1.94,1.915,1.94,1916,0
IPM.US,5,20250903,162000,1.9,1.9,1.9,1.9,150,0
IPM.US,5,20250903,162500,1.91,1.91,1.91,1.91,200,0
IPM.US,5,20250903,163000,1.89,1.89,1.89,1.89,250,0
IPM.US,5,20250903,164500,1.94,1.94,1.94,1.94,100,0
IPM.US,5,20250903,165500,1.9,1.9,1.9,1.9,400,0
IPM.US,5,20250903,185500,1.9,1.94,1.9,1.94,550,0
IPM.US,5,20250903,190000,1.925,1.925,1.925,1.925,100,0
IPM.US,5,20250903,191500,1.925,1.925,1.925,1.925,600,0
IPM.US,5,20250903,192500,1.925,1.925,1.925,1.925,100,0
IPM.US,5,20250903,195000,1.9,1.9,1.9,1.9,300,0
IPM.US,5,20250903,195500,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250903,200000,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250903,203000,1.9,1.9,1.89,1.9,940,0
IPM.US,5,20250903,203500,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250903,215500,1.91,1.91,1.91,1.91,594,0
IPM.US,5,20250904,153500,1.87,1.87,1.87,1.87,275,0
IPM.US,5,20250904,160000,1.8801,1.8801,1.88,1.88,702,0
IPM.US,5,20250904,160500,1.88,1.88,1.88,1.88,100,0
IPM.US,5,20250904,162500,1.8708,1.895,1.8708,1.895,1100,0
IPM.US,5,20250904,165000,1.89,1.89,1.89,1.89,600,0
IPM.US,5,20250904,172500,1.89,1.89,1.89,1.89,100,0
IPM.US,5,20250904,173000,1.9,1.9,1.9,1.9,1300,0
IPM.US,5,20250904,174000,1.8653,1.8868,1.8653,1.8868,400,0
IPM.US,5,20250904,174500,1.87,1.87,1.87,1.87,300,0
IPM.US,5,20250904,175000,1.87,1.87,1.87,1.87,100,0
IPM.US,5,20250904,185000,1.874,1.874,1.874,1.874,120,0
IPM.US,5,20250904,193000,1.8876,1.89,1.8876,1.89,200,0
IPM.US,5,20250904,215500,1.893,1.893,1.893,1.893,160,0
IPM.US,5,20250905,153000,1.93,1.94,1.93,1.94,14138,0
IPM.US,5,20250905,155500,1.897106,1.897106,1.897106,1.897106,300,0
IPM.US,5,20250905,163000,1.895,1.895,1.895,1.895,100,0
IPM.US,5,20250905,175500,1.89,1.89,1.88,1.89,650,0
IPM.US,5,20250905,183500,1.89,1.89,1.89,1.89,199,0
IPM.US,5,20250905,194500,1.89,1.89,1.89,1.89,250,0
IPM.US,5,20250908,171500,1.87,1.87,1.87,1.87,951,0
IPM.US,5,20250908,173500,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250908,182000,1.89,1.89,1.89,1.89,623,0
IPM.US,5,20250908,195000,1.88,1.88,1.88,1.88,200,0
IPM.US,5,20250908,203000,1.8999,1.8999,1.8999,1.8999,1500,0
IPM.US,5,20250908,203500,1.8881,1.8881,1.8881,1.8881,1000,0
IPM.US,5,20250908,205000,1.87,1.87,1.87,1.87,191,0
IPM.US,5,20250908,213500,1.87,1.87,1.87,1.87,148,0
IPM.US,5,20250908,215500,1.86,1.86,1.86,1.86,123,0
IPM.US,5,20250909,153000,1.85,1.85,1.85,1.85,430,0
IPM.US,5,20250909,155500,1.87,1.8899,1.87,1.8899,4000,0
IPM.US,5,20250909,162000,1.87,1.87,1.851,1.851,6159,0
IPM.US,5,20250909,170000,1.85,1.85,1.85,1.85,100,0
IPM.US,5,20250909,173000,1.9097,1.9097,1.9097,1.9097,300,0
IPM.US,5,20250909,180000,1.88,1.89,1.87,1.89,1400,0
IPM.US,5,20250909,191000,1.87,1.87,1.87,1.87,100,0
IPM.US,5,20250909,202500,1.88,1.88,1.88,1.88,1000,0
IPM.US,5,20250909,204000,1.88,1.89,1.88,1.89,2147,0
IPM.US,5,20250909,205000,1.89,1.89,1.89,1.89,590,0
IPM.US,5,20250909,205500,1.9,1.9,1.89,1.9,3434,0
IPM.US,5,20250909,211500,1.9,1.9,1.9,1.9,1500,0
IPM.US,5,20250909,213000,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250909,214000,1.8804,1.8804,1.8804,1.8804,150,0
IPM.US,5,20250909,214500,1.89,1.89,1.89,1.89,583,0
IPM.US,5,20250909,215500,1.9,1.9,1.9,1.9,196,0
IPM.US,5,20250910,154000,1.8732,1.8732,1.8732,1.8732,100,0
IPM.US,5,20250910,155000,1.89,1.89,1.89,1.89,100,0
IPM.US,5,20250910,160500,1.88,1.885,1.88,1.885,329,0
IPM.US,5,20250910,170000,1.88,1.88,1.88,1.88,200,0
IPM.US,5,20250910,170500,1.88,1.88,1.88,1.88,150,0
IPM.US,5,20250910,183000,1.89,1.89,1.89,1.89,100,0
IPM.US,5,20250910,190500,1.9096,1.9096,1.9096,1.9096,200,0
IPM.US,5,20250910,193000,1.8846,1.8846,1.8846,1.8846,600,0
IPM.US,5,20250910,202000,1.89,1.89,1.89,1.89,199,0
IPM.US,5,20250910,210000,1.89,1.89,1.89,1.89,125,0
IPM.US,5,20250910,212000,1.89,1.89,1.87,1.89,2840,0
IPM.US,5,20250910,215000,1.88,1.88,1.88,1.88,441,0
IPM.US,5,20250911,153000,1.87,1.87,1.87,1.87,250,0
IPM.US,5,20250911,162000,1.8801,1.8801,1.8801,1.8801,400,0
IPM.US,5,20250911,175500,1.89,1.89,1.89,1.89,751,0
IPM.US,5,20250911,181000,1.895,1.895,1.895,1.895,400,0
IPM.US,5,20250911,191000,1.8775,1.9,1.87,1.87,6656,0
IPM.US,5,20250911,194500,1.88,1.88,1.88,1.88,106,0
IPM.US,5,20250911,211000,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250911,212000,1.9,1.9,1.895,1.9,300,0
IPM.US,5,20250911,215500,1.9,1.9,1.89,1.89,363,0
IPM.US,5,20250912,154000,1.89,1.89,1.89,1.89,100,0
IPM.US,5,20250912,154500,1.9,1.91,1.895,1.895,706,0
IPM.US,5,20250912,155000,1.91,1.91,1.91,1.91,400,0
IPM.US,5,20250912,161000,1.91,1.91,1.91,1.91,113,0
IPM.US,5,20250912,164500,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250912,185500,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250912,192500,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250912,193000,1.92,1.92,1.92,1.92,200,0
IPM.US,5,20250912,193500,1.92,1.92,1.92,1.92,674,0
IPM.US,5,20250912,214000,1.92,1.92,1.92,1.92,100,0
IPM.US,5,20250915,155000,1.88,1.88,1.88,1.88,100,0
IPM.US,5,20250915,165500,1.92,1.92,1.92,1.92,154,0
IPM.US,5,20250915,174000,1.905,1.905,1.905,1.905,1000,0
IPM.US,5,20250915,175000,1.92,1.92,1.9189,1.9189,4427,0
IPM.US,5,20250915,181500,1.92,1.9201,1.92,1.92,886,0
IPM.US,5,20250915,185500,1.93,1.93,1.93,1.93,4200,0
IPM.US,5,20250915,192500,1.94,1.94,1.94,1.94,100,0
IPM.US,5,20250915,193000,1.94,1.95,1.94,1.95,4889,0
IPM.US,5,20250915,194500,1.95,1.95,1.95,1.95,209,0
IPM.US,5,20250915,195500,1.92,1.95,1.92,1.95,1426,0
IPM.US,5,20250915,205000,1.92,1.935,1.92,1.935,2500,0
IPM.US,5,20250915,213000,1.9302,1.97,1.9302,1.97,13873,0
IPM.US,5,20250915,213500,1.97,1.97,1.97,1.97,528,0
IPM.US,5,20250915,214000,1.97,2,1.97,1.98,3047,0
IPM.US,5,20250915,214500,2,2,2,2,1160,0
IPM.US,5,20250915,215000,2,2,2,2,2186,0
IPM.US,5,20250915,215500,2,2,1.997,2,10057,0
IPM.US,5,20250916,153000,1.93,1.93,1.93,1.93,500,0
IPM.US,5,20250916,155000,1.9001,1.9001,1.9001,1.9001,100,0
IPM.US,5,20250916,155500,1.93,1.93,1.93,1.93,2700,0
IPM.US,5,20250916,160000,1.91,1.91,1.91,1.91,100,0
IPM.US,5,20250916,160500,1.9016,1.92,1.9,1.9,12470,0
IPM.US,5,20250916,164000,1.9002,1.95,1.9,1.9012,5678,0
IPM.US,5,20250916,170000,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250916,173000,1.9,1.9,1.9,1.9,200,0
IPM.US,5,20250916,174000,1.9099,1.9099,1.908,1.908,600,0
IPM.US,5,20250916,181000,1.89,1.8986,1.89,1.8986,2000,0
IPM.US,5,20250916,190500,1.9099,1.9099,1.9099,1.9099,1000,0
IPM.US,5,20250916,192000,1.91,1.91,1.91,1.91,501,0
IPM.US,5,20250916,200000,1.9099,1.9099,1.9099,1.9099,1000,0
IPM.US,5,20250916,203500,1.8902,1.8902,1.8902,1.8902,5000,0
IPM.US,5,20250916,205000,1.9,1.9,1.9,1.9,1000,0
IPM.US,5,20250916,205500,1.9,1.9,1.9,1.9,100,0
IPM.US,5,20250916,210500,1.9099,1.9099,1.9099,1.9099,1989,0
IPM.US,5,20250916,212000,1.9,1.92,1.9,1.9099,4820,0
IPM.US,5,20250916,215000,1.95,1.95,1.95,1.95,320,0
IPM.US,5,20250916,215500,1.93,1.93,1.93,1.93,100,0
IPM.US,5,20250917,153000,2.58,2.88,2.5201,2.77,2769837,0
IPM.US,5,20250917,153500,2.765,2.7799,2.53,2.6,1162023,0
IPM.US,5,20250917,154000,2.5902,2.78,2.5701,2.625,1099681,0
IPM.US,5,20250917,154500,2.6213,2.6899,2.44,2.49,1023329,0
IPM.US,5,20250917,155000,2.48,2.51,2.37,2.405,886054,0
IPM.US,5,20250917,155500,2.4013,2.47,2.4,2.44,370625,0
IPM.US,5,20250917,160000,2.44,2.51,2.44,2.4501,362685,0
IPM.US,5,20250917,160500,2.4513,2.49,2.4,2.465,236126,0
IPM.US,5,20250917,161000,2.46,2.48,2.43,2.4413,198352,0
IPM.US,5,20250917,161500,2.44,2.56,2.44,2.54,450527,0
IPM.US,5,20250917,162000,2.5397,2.55,2.48,2.5375,203728,0
IPM.US,5,20250917,162500,2.53,2.54,2.5,2.5145,101419,0
IPM.US,5,20250917,163000,2.5101,2.52,2.46,2.5,178941,0
IPM.US,5,20250917,163500,2.48,2.54,2.38,2.4,290124,0
IPM.US,5,20250917,164000,2.395,2.42,2.23,2.2767,611686,0
IPM.US,5,20250917,164500,2.282,2.29,2.23,2.2736,231321,0
