<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KURA.US,5,20250829,153000,8.13,8.15,8,8.05,59967,0
KURA.US,5,20250829,153500,8.06,8.0899,8.0402,8.07,9802,0
KURA.US,5,20250829,154000,8.07,8.1099,8.065,8.1099,4734,0
KURA.US,5,20250829,154500,8.072,8.11,8.07,8.11,12037,0
KURA.US,5,20250829,155000,8.092,8.1,8.0024,8.0024,9457,0
KURA.US,5,20250829,155500,8.0199,8.0199,7.92,7.96,40367,0
KURA.US,5,20250829,160000,7.96,7.9801,7.895,7.895,14718,0
KURA.US,5,20250829,160500,7.89,7.89,7.815,7.82,27665,0
KURA.US,5,20250829,161000,7.825,7.8258,7.7842,7.815,32015,0
KURA.US,5,20250829,161500,7.81,7.835,7.775,7.835,12360,0
KURA.US,5,20250829,162000,7.85,7.865,7.825,7.825,24627,0
KURA.US,5,20250829,162500,7.83,7.84,7.795,7.84,7619,0
KURA.US,5,20250829,163000,7.83,7.87,7.802561,7.865,10104,0
KURA.US,5,20250829,163500,7.865,7.865,7.825,7.835,5904,0
KURA.US,5,20250829,164000,7.84,7.895,7.84,7.895,16226,0
KURA.US,5,20250829,164500,7.895,7.92,7.875,7.88,12974,0
KURA.US,5,20250829,165000,7.865,7.88,7.84,7.87,9100,0
KURA.US,5,20250829,165500,7.875,7.895,7.875,7.895,5955,0
KURA.US,5,20250829,170000,7.89,7.905,7.835,7.86,11453,0
KURA.US,5,20250829,170500,7.855,7.87,7.825,7.825,3596,0
KURA.US,5,20250829,171000,7.82,7.82,7.8,7.8,6863,0
KURA.US,5,20250829,171500,7.809,7.835,7.805,7.805,4602,0
KURA.US,5,20250829,172000,7.81,7.825,7.805,7.825,2720,0
KURA.US,5,20250829,172500,7.8254,7.83,7.815,7.825,3841,0
KURA.US,5,20250829,173000,7.825,7.825,7.805,7.805,2204,0
KURA.US,5,20250829,173500,7.8,7.81,7.795,7.81,8785,0
KURA.US,5,20250829,174000,7.805,7.82,7.8,7.815,6361,0
KURA.US,5,20250829,174500,7.815,7.84,7.815,7.825,14824,0
KURA.US,5,20250829,175000,7.82,7.84,7.815,7.83,7695,0
KURA.US,5,20250829,175500,7.83,7.83,7.81,7.81,2802,0
KURA.US,5,20250829,180000,7.82,7.82,7.805,7.805,1500,0
KURA.US,5,20250829,180500,7.81,7.81,7.8,7.8,6536,0
KURA.US,5,20250829,181000,7.8046,7.83,7.795,7.83,9110,0
KURA.US,5,20250829,181500,7.83,7.835,7.81,7.81,5000,0
KURA.US,5,20250829,182000,7.81,7.815,7.805,7.81,1800,0
KURA.US,5,20250829,182500,7.805,7.82,7.805,7.815,1433,0
KURA.US,5,20250829,183000,7.82,7.83,7.815,7.815,1950,0
KURA.US,5,20250829,183500,7.815,7.82,7.815,7.815,500,0
KURA.US,5,20250829,184000,7.81,7.825,7.8,7.825,20795,0
KURA.US,5,20250829,184500,7.82,7.82,7.7312,7.7312,96563,0
KURA.US,5,20250829,185000,7.73,7.75,7.73,7.74,3538,0
KURA.US,5,20250829,185500,7.745,7.745,7.7151,7.71805,5879,0
KURA.US,5,20250829,190000,7.715,7.72,7.695,7.72,17486,0
KURA.US,5,20250829,190500,7.725,7.77,7.725,7.735,8615,0
KURA.US,5,20250829,191000,7.7399,7.74,7.71,7.71,7462,0
KURA.US,5,20250829,191500,7.705,7.71,7.695,7.7,4483,0
KURA.US,5,20250829,192000,7.7,7.71,7.7,7.71,500,0
KURA.US,5,20250829,192500,7.705,7.71,7.7,7.705,1720,0
KURA.US,5,20250829,193000,7.705,7.715,7.7,7.715,5199,0
KURA.US,5,20250829,193500,7.72,7.725,7.71,7.715,4814,0
KURA.US,5,20250829,194000,7.7199,7.725,7.695,7.695,5969,0
KURA.US,5,20250829,194500,7.695,7.705,7.66,7.665,6384,0
KURA.US,5,20250829,195000,7.665,7.67,7.655,7.665,4283,0
KURA.US,5,20250829,195500,7.67,7.67,7.66,7.665,2547,0
KURA.US,5,20250829,200000,7.665,7.67,7.65,7.6502,5873,0
KURA.US,5,20250829,200500,7.655,7.68,7.655,7.675,4951,0
KURA.US,5,20250829,201000,7.675,7.68,7.6746,7.675,2076,0
KURA.US,5,20250829,201500,7.68,7.69,7.675,7.68,13333,0
KURA.US,5,20250829,202000,7.67,7.68,7.665,7.675,5584,0
KURA.US,5,20250829,202500,7.67,7.675,7.665,7.675,1518,0
KURA.US,5,20250829,203000,7.675,7.725,7.655,7.72,9572,0
KURA.US,5,20250829,203500,7.72,7.745,7.72,7.7354,4151,0
KURA.US,5,20250829,204000,7.73,7.745,7.715,7.745,14369,0
KURA.US,5,20250829,204500,7.745,7.8,7.74,7.79,14416,0
KURA.US,5,20250829,205000,7.785,7.785,7.775,7.78,2908,0
KURA.US,5,20250829,205500,7.79,7.81,7.78,7.795,8321,0
KURA.US,5,20250829,210000,7.8,7.82,7.8,7.8145,11525,0
KURA.US,5,20250829,210500,7.815,7.825,7.805,7.8086,17462,0
KURA.US,5,20250829,211000,7.81,7.8258,7.805,7.8258,7493,0
KURA.US,5,20250829,211500,7.825,7.825,7.79,7.81,12580,0
KURA.US,5,20250829,212000,7.8045,7.825,7.8,7.825,9598,0
KURA.US,5,20250829,212500,7.825,7.825,7.795,7.795,4008,0
KURA.US,5,20250829,213000,7.8,7.83,7.8,7.82,6442,0
KURA.US,5,20250829,213500,7.8165,7.82,7.795,7.82,18461,0
KURA.US,5,20250829,214000,7.825,7.845,7.825,7.835,22151,0
KURA.US,5,20250829,214500,7.835,7.855,7.825,7.845,26683,0
KURA.US,5,20250829,215000,7.8425,7.87,7.8412,7.87,29175,0
KURA.US,5,20250829,215500,7.87,7.9,7.86,7.9,215834,0
KURA.US,5,20250902,153000,7.99,8.22,7.98,8.0764,54989,0
KURA.US,5,20250902,153500,8.0918,8.0918,7.98,8.005,40633,0
KURA.US,5,20250902,154000,8.01,8.06,8,8.055,6296,0
KURA.US,5,20250902,154500,8.06,8.07,8.005,8.0536,39558,0
KURA.US,5,20250902,155000,8.06,8.1674,8.059,8.159,30729,0
KURA.US,5,20250902,155500,8.16,8.19,8.1539,8.17,23322,0
KURA.US,5,20250902,160000,8.18,8.205,8.165,8.165,25397,0
KURA.US,5,20250902,160500,8.16,8.16,8.13,8.155,27692,0
KURA.US,5,20250902,161000,8.155,8.2,8.14,8.1487,21900,0
KURA.US,5,20250902,161500,8.14,8.27,8.14,8.23,96304,0
KURA.US,5,20250902,162000,8.225,8.24,8.215,8.22,5393,0
KURA.US,5,20250902,162500,8.215,8.295,8.185,8.285,27637,0
KURA.US,5,20250902,163000,8.29,8.29,8.22,8.25,29095,0
KURA.US,5,20250902,163500,8.26,8.265,8.2225,8.225,11940,0
KURA.US,5,20250902,164000,8.225,8.2254,8.1842,8.19,25745,0
KURA.US,5,20250902,164500,8.195,8.2063,8.175,8.185,12754,0
KURA.US,5,20250902,165000,8.185,8.185,8.13,8.1525,70744,0
KURA.US,5,20250902,165500,8.155,8.18,8.11,8.155,90513,0
KURA.US,5,20250902,170000,8.155,8.17,8.115,8.1193,27963,0
KURA.US,5,20250902,170500,8.1108,8.14,8.075,8.14,10249,0
KURA.US,5,20250902,171000,8.14,8.145,8.11,8.1193,5533,0
KURA.US,5,20250902,171500,8.125,8.125,8.09,8.1,2126,0
KURA.US,5,20250902,172000,8.09,8.12,8.085,8.0874,17422,0
KURA.US,5,20250902,172500,8.085,8.085,8.01,8.045,63617,0
KURA.US,5,20250902,173000,8.045,8.045,7.95,7.9965,83406,0
KURA.US,5,20250902,173500,7.995,7.995,7.96,7.98,4863,0
KURA.US,5,20250902,174000,7.985,7.985,7.96,7.96,15187,0
KURA.US,5,20250902,174500,7.9508,8,7.95,7.95,14600,0
KURA.US,5,20250902,175000,7.94,7.955,7.93,7.945,6995,0
KURA.US,5,20250902,175500,7.945,7.945,7.905,7.92,3356,0
KURA.US,5,20250902,180000,7.93,7.945,7.9249,7.94,7700,0
KURA.US,5,20250902,180500,7.94,7.97,7.94,7.97,29625,0
KURA.US,5,20250902,181000,7.965,7.985,7.95,7.965,4399,0
KURA.US,5,20250902,181500,7.97,7.9891,7.96,7.98,6203,0
KURA.US,5,20250902,182000,7.975,7.985,7.95,7.95,5908,0
KURA.US,5,20250902,182500,7.94,7.945,7.925,7.925,2424,0
KURA.US,5,20250902,183000,7.92,7.93,7.9099,7.92,6710,0
KURA.US,5,20250902,183500,7.92,7.94,7.92,7.92,5436,0
KURA.US,5,20250902,184000,7.9251,7.935,7.925,7.935,1860,0
KURA.US,5,20250902,184500,7.935,7.94,7.925,7.925,9635,0
KURA.US,5,20250902,185000,7.925,7.965,7.925,7.95,8504,0
KURA.US,5,20250902,185500,7.9598,7.97,7.9598,7.965,2325,0
KURA.US,5,20250902,190000,7.961,7.98,7.961,7.97,5054,0
KURA.US,5,20250902,190500,7.98,8,7.98,7.985,5713,0
KURA.US,5,20250902,191000,7.99,7.998,7.98,7.9965,6063,0
KURA.US,5,20250902,191500,8,8.05,7.98,8.05,8414,0
KURA.US,5,20250902,192000,8.045,8.09,8.025,8.09,15193,0
KURA.US,5,20250902,192500,8.09,8.095,8.08,8.09,5565,0
KURA.US,5,20250902,193000,8.095,8.105,8.075,8.075,5961,0
KURA.US,5,20250902,193500,8.075,8.085,8.065,8.085,3750,0
KURA.US,5,20250902,194000,8.085,8.085,8.07,8.085,13281,0
KURA.US,5,20250902,194500,8.085,8.09,8.08,8.085,7611,0
KURA.US,5,20250902,195000,8.085,8.095,8.0791,8.085,6930,0
KURA.US,5,20250902,195500,8.085,8.095,8.08,8.0942,4379,0
KURA.US,5,20250902,200000,8.1,8.12,8.1,8.105,17099,0
KURA.US,5,20250902,200500,8.105,8.105,8.06,8.065,9644,0
KURA.US,5,20250902,201000,8.07,8.07,8.0554,8.065,6189,0
KURA.US,5,20250902,201500,8.07,8.07,8.06,8.06,1997,0
KURA.US,5,20250902,202000,8.06,8.085,8.06,8.07,6578,0
KURA.US,5,20250902,202500,8.0687,8.0687,8.06,8.065,5140,0
KURA.US,5,20250902,203000,8.07,8.075,8.06,8.065,12222,0
KURA.US,5,20250902,203500,8.0636,8.065,8.055,8.055,5136,0
KURA.US,5,20250902,204000,8.055,8.055,8.02,8.025,35235,0
KURA.US,5,20250902,204500,8.03,8.04,8.03,8.035,1552,0
KURA.US,5,20250902,205000,8.04,8.07,8.04,8.07,8540,0
KURA.US,5,20250902,205500,8.0749,8.085,8.05,8.085,7156,0
KURA.US,5,20250902,210000,8.09,8.095,8.08,8.08,3107,0
KURA.US,5,20250902,210500,8.0815,8.0892,8.0815,8.085,3578,0
KURA.US,5,20250902,211000,8.085,8.085,8.0742,8.075,4061,0
KURA.US,5,20250902,211500,8.07,8.075,8.065,8.075,2547,0
KURA.US,5,20250902,212000,8.075,8.075,8.07,8.075,4727,0
KURA.US,5,20250902,212500,8.075,8.075,8.055,8.055,9493,0
KURA.US,5,20250902,213000,8.055,8.055,8.03,8.035,14581,0
KURA.US,5,20250902,213500,8.03,8.04,8.02,8.025,11607,0
KURA.US,5,20250902,214000,8.02,8.025,8.015,8.015,7298,0
KURA.US,5,20250902,214500,8.01,8.035,8.005,8.035,17795,0
KURA.US,5,20250902,215000,8.04,8.055,7.985,7.985,31905,0
KURA.US,5,20250902,215500,7.985,7.99,7.94,7.95,250078,0
KURA.US,5,20250903,153000,7.95,8.0301,7.8561,7.99,62488,0
KURA.US,5,20250903,153500,8.01,8.17,8.01,8.17,17846,0
KURA.US,5,20250903,154000,8.17,8.27,8.16,8.2544,8915,0
KURA.US,5,20250903,154500,8.25,8.26,8.18,8.24,12743,0
KURA.US,5,20250903,155000,8.24,8.32,8.23,8.27,49750,0
KURA.US,5,20250903,155500,8.255,8.27,8.215,8.215,4115,0
KURA.US,5,20250903,160000,8.23,8.28,8.23,8.28,9628,0
KURA.US,5,20250903,160500,8.28,8.305,8.2594,8.2594,22387,0
KURA.US,5,20250903,161000,8.26,8.305,8.25,8.25,19582,0
KURA.US,5,20250903,161500,8.245,8.29,8.23,8.28,10559,0
KURA.US,5,20250903,162000,8.285,8.29,8.28,8.29,6456,0
KURA.US,5,20250903,162500,8.29,8.365,8.2801,8.34,23325,0
KURA.US,5,20250903,163000,8.335,8.415,8.335,8.415,38354,0
KURA.US,5,20250903,163500,8.41,8.445,8.405,8.41,18165,0
KURA.US,5,20250903,164000,8.4151,8.425,8.3819,8.385,14705,0
KURA.US,5,20250903,164500,8.39,8.39,8.32,8.32,23367,0
KURA.US,5,20250903,165000,8.325,8.35,8.32,8.35,16573,0
KURA.US,5,20250903,165500,8.345,8.345,8.315,8.315,7374,0
KURA.US,5,20250903,170000,8.315,8.315,8.27,8.285,9420,0
KURA.US,5,20250903,170500,8.28,8.3,8.25,8.295,12992,0
