<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB.US,5,20250829,153000,1.31,1.31,1.3,1.3042,12009,0
LAB.US,5,20250829,153500,1.305,1.305,1.3,1.3,4371,0
LAB.US,5,20250829,154000,1.295,1.295,1.29,1.2903,2078,0
LAB.US,5,20250829,154500,1.29,1.29,1.285,1.285,4204,0
LAB.US,5,20250829,155000,1.2811,1.2811,1.275,1.275,7580,0
LAB.US,5,20250829,155500,1.275,1.275,1.275,1.275,400,0
LAB.US,5,20250829,160000,1.275,1.275,1.27,1.27,1222,0
LAB.US,5,20250829,160500,1.2703,1.275,1.27,1.27,2700,0
LAB.US,5,20250829,161000,1.27,1.27,1.2605,1.27,18804,0
LAB.US,5,20250829,161500,1.275,1.28,1.27,1.275,4655,0
LAB.US,5,20250829,162000,1.275,1.275,1.275,1.275,400,0
LAB.US,5,20250829,162500,1.275,1.275,1.275,1.275,3200,0
LAB.US,5,20250829,163000,1.275,1.28,1.275,1.275,10654,0
LAB.US,5,20250829,163500,1.275,1.275,1.27,1.2711,22007,0
LAB.US,5,20250829,164000,1.275,1.275,1.265,1.265,24963,0
LAB.US,5,20250829,164500,1.2658,1.2658,1.26,1.26,2931,0
LAB.US,5,20250829,165000,1.265,1.265,1.26,1.265,2779,0
LAB.US,5,20250829,165500,1.26,1.2651,1.26,1.26,6473,0
LAB.US,5,20250829,170000,1.265,1.265,1.265,1.265,500,0
LAB.US,5,20250829,170500,1.26,1.265,1.26,1.265,200,0
LAB.US,5,20250829,171000,1.265,1.265,1.26,1.265,4280,0
LAB.US,5,20250829,171500,1.265,1.265,1.26,1.26,300,0
LAB.US,5,20250829,172000,1.26,1.265,1.26,1.265,4429,0
LAB.US,5,20250829,172500,1.265,1.265,1.26,1.26,200,0
LAB.US,5,20250829,173000,1.26,1.265,1.26,1.265,400,0
LAB.US,5,20250829,173500,1.26,1.265,1.26,1.265,200,0
LAB.US,5,20250829,174000,1.265,1.265,1.26,1.265,300,0
LAB.US,5,20250829,174500,1.265,1.265,1.265,1.265,200,0
LAB.US,5,20250829,175000,1.2653,1.2653,1.26,1.265,7146,0
LAB.US,5,20250829,175500,1.26,1.265,1.26,1.265,800,0
LAB.US,5,20250829,180000,1.265,1.265,1.265,1.265,900,0
LAB.US,5,20250829,180500,1.265,1.265,1.26,1.26,1605,0
LAB.US,5,20250829,181000,1.265,1.265,1.265,1.265,641,0
LAB.US,5,20250829,181500,1.265,1.265,1.265,1.265,200,0
LAB.US,5,20250829,182000,1.265,1.265,1.26,1.26,200,0
LAB.US,5,20250829,182500,1.2647,1.265,1.2647,1.265,1214,0
LAB.US,5,20250829,183000,1.265,1.265,1.265,1.265,200,0
LAB.US,5,20250829,183500,1.265,1.265,1.26,1.26,200,0
LAB.US,5,20250829,184000,1.265,1.265,1.265,1.265,200,0
LAB.US,5,20250829,184500,1.265,1.265,1.26,1.26,400,0
LAB.US,5,20250829,185000,1.26,1.26,1.25,1.255,3641,0
LAB.US,5,20250829,185500,1.255,1.255,1.255,1.255,8492,0
LAB.US,5,20250829,190000,1.255,1.255,1.255,1.255,200,0
LAB.US,5,20250829,190500,1.255,1.255,1.25,1.255,4255,0
LAB.US,5,20250829,191000,1.25,1.255,1.25,1.25,14013,0
LAB.US,5,20250829,191500,1.255,1.255,1.25,1.255,3075,0
LAB.US,5,20250829,192000,1.255,1.255,1.25,1.25,300,0
LAB.US,5,20250829,192500,1.255,1.255,1.255,1.255,366,0
LAB.US,5,20250829,193000,1.255,1.255,1.255,1.255,4900,0
LAB.US,5,20250829,193500,1.255,1.26,1.25,1.26,15326,0
LAB.US,5,20250829,194000,1.255,1.26,1.255,1.26,800,0
LAB.US,5,20250829,194500,1.26,1.26,1.2595,1.26,952,0
LAB.US,5,20250829,195000,1.25,1.26,1.25,1.255,400,0
LAB.US,5,20250829,195500,1.255,1.255,1.255,1.255,375,0
LAB.US,5,20250829,200000,1.255,1.26,1.255,1.26,1200,0
LAB.US,5,20250829,200500,1.25,1.2555,1.25,1.2551,9292,0
LAB.US,5,20250829,201000,1.255,1.255,1.255,1.255,2083,0
LAB.US,5,20250829,201500,1.255,1.2581,1.25,1.25,3802,0
LAB.US,5,20250829,202000,1.255,1.2558,1.25,1.255,1327,0
LAB.US,5,20250829,202500,1.255,1.2581,1.255,1.255,2580,0
LAB.US,5,20250829,203000,1.2551,1.2589,1.25,1.255,2120,0
LAB.US,5,20250829,203500,1.255,1.2558,1.2542,1.2558,569,0
LAB.US,5,20250829,204000,1.255,1.2565,1.255,1.255,5900,0
LAB.US,5,20250829,204500,1.255,1.255,1.25,1.255,700,0
LAB.US,5,20250829,205000,1.255,1.255,1.255,1.255,1100,0
