<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIDRW.US,5,20250829,162500,0.1886,0.1886,0.1886,0.1886,100,0
LIDRW.US,5,20250829,163500,0.1856,0.1856,0.1856,0.1856,250,0
LIDRW.US,5,20250829,171000,0.1846,0.1846,0.1846,0.1846,100,0
LIDRW.US,5,20250829,184500,0.1711,0.1711,0.1711,0.1711,800,0
LIDRW.US,5,20250829,191000,0.1766,0.1766,0.1766,0.1766,500,0
LIDRW.US,5,20250829,195000,0.1711,0.1711,0.1711,0.1711,100,0
LIDRW.US,5,20250829,195500,0.1766,0.1808,0.1766,0.1788,1258,0
LIDRW.US,5,20250829,200000,0.181,0.181,0.1797,0.1804,18964,0
LIDRW.US,5,20250829,200500,0.171,0.171,0.171,0.171,1000,0
LIDRW.US,5,20250829,202500,0.1755,0.1755,0.1755,0.1755,2000,0
LIDRW.US,5,20250829,213500,0.1701,0.1701,0.1701,0.1701,1029,0
LIDRW.US,5,20250902,153500,0.175,0.1751,0.175,0.175,4112,0
LIDRW.US,5,20250902,162000,0.1798,0.1798,0.1798,0.1798,100,0
LIDRW.US,5,20250902,173000,0.1798,0.1898,0.1798,0.1898,3118,0
LIDRW.US,5,20250902,180500,0.1799,0.1799,0.1799,0.1799,800,0
LIDRW.US,5,20250902,182000,0.192899,0.193,0.186449,0.1929,13950,0
LIDRW.US,5,20250902,183000,0.189899,0.19,0.186314,0.186314,2208,0
LIDRW.US,5,20250902,183500,0.193,0.1932,0.193,0.1932,2272,0
LIDRW.US,5,20250902,203000,0.1924,0.1924,0.1924,0.1924,100,0
LIDRW.US,5,20250902,214000,0.1887,0.1905,0.1886,0.1905,5600,0
LIDRW.US,5,20250903,153000,0.1714,0.1714,0.1714,0.1714,600,0
LIDRW.US,5,20250903,153500,0.1899,0.1899,0.1899,0.1899,126,0
LIDRW.US,5,20250903,154000,0.1899,0.19,0.1731,0.1731,1697,0
LIDRW.US,5,20250903,155000,0.1731,0.1731,0.1731,0.1731,100,0
LIDRW.US,5,20250903,161000,0.1827,0.1827,0.1827,0.1827,2604,0
LIDRW.US,5,20250903,170000,0.1857,0.1857,0.1857,0.1857,1000,0
LIDRW.US,5,20250903,170500,0.1895,0.19,0.1895,0.19,1000,0
LIDRW.US,5,20250903,174500,0.185551,0.185551,0.185551,0.185551,300,0
LIDRW.US,5,20250903,175000,0.1785,0.1785,0.1785,0.1785,200,0
LIDRW.US,5,20250903,185500,0.1786,0.1786,0.1786,0.1786,1000,0
LIDRW.US,5,20250903,193000,0.1856,0.1856,0.1856,0.1856,200,0
LIDRW.US,5,20250903,195500,0.1926,0.1926,0.19,0.19,2000,0
LIDRW.US,5,20250903,215000,0.1785,0.1785,0.1785,0.1785,481,0
LIDRW.US,5,20250904,154000,0.1721,0.1721,0.1713,0.1713,3000,0
LIDRW.US,5,20250904,163500,0.18,0.18,0.1701,0.1701,4999,0
LIDRW.US,5,20250904,171500,0.1702,0.1702,0.1702,0.1702,1200,0
LIDRW.US,5,20250904,172000,0.1701,0.1701,0.1701,0.1701,800,0
LIDRW.US,5,20250904,173500,0.1702,0.1702,0.1702,0.1702,300,0
LIDRW.US,5,20250904,174500,0.19018,0.19018,0.19018,0.19018,2000,0
LIDRW.US,5,20250904,185500,0.183,0.183,0.183,0.183,2000,0
LIDRW.US,5,20250904,190000,0.1824,0.1824,0.1824,0.1824,1000,0
LIDRW.US,5,20250904,192500,0.175,0.175,0.175,0.175,1700,0
LIDRW.US,5,20250904,194000,0.175,0.1823,0.175,0.1823,5272,0
LIDRW.US,5,20250904,194500,0.175,0.1778,0.175,0.1778,3030,0
LIDRW.US,5,20250904,203500,0.18,0.18,0.18,0.18,300,0
LIDRW.US,5,20250904,204000,0.18,0.18,0.18,0.18,200,0
LIDRW.US,5,20250904,205500,0.175,0.175,0.175,0.175,2000,0
LIDRW.US,5,20250904,211000,0.1703,0.1703,0.1703,0.1703,800,0
LIDRW.US,5,20250904,212000,0.1726,0.175,0.1726,0.1749,3786,0
LIDRW.US,5,20250904,214000,0.1702,0.1702,0.1702,0.1702,700,0
LIDRW.US,5,20250905,153000,0.1799,0.1799,0.1799,0.1799,1000,0
LIDRW.US,5,20250905,154000,0.1702,0.1702,0.1702,0.1702,660,0
