<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKSPR.US,5,20251110,154500,1.6,1.6,1.6,1.6,25892,0
LKSPR.US,5,20251110,160000,1.41,1.41,1.41,1.41,100,0
LKSPR.US,5,20251110,161000,1.42,1.42,1.42,1.42,100,0
LKSPR.US,5,20251110,161500,1.68,1.68,1.68,1.68,100,0
LKSPR.US,5,20251110,170500,1.43,1.7,1.43,1.7,300,0
LKSPR.US,5,20251110,214500,1.58,1.58,1.58,1.58,100,0
LKSPR.US,5,20251110,215500,1.75,1.75,1.75,1.75,3143,0
LKSPR.US,5,20251111,154000,1.44,1.44,1.44,1.44,101,0
LKSPR.US,5,20251111,155500,1.44,1.58,1.44,1.58,234,0
LKSPR.US,5,20251111,205500,1.65,1.65,1.65,1.65,100,0
LKSPR.US,5,20251112,153000,1.65,1.65,1.65,1.65,302,0
LKSPR.US,5,20251112,160000,1.49,1.49,1.49,1.49,139,0
LKSPR.US,5,20251112,185000,1.47,1.61,1.47,1.5,2500,0
LKSPR.US,5,20251112,185500,1.61,1.61,1.5,1.5,4500,0
LKSPR.US,5,20251112,190000,1.61,1.61,1.5,1.565,3700,0
LKSPR.US,5,20251112,213500,1.6,1.6,1.6,1.6,22269,0
LKSPR.US,5,20251113,212000,1.6,1.6,1.6,1.6,6987,0
LKSPR.US,5,20251113,212500,1.6,1.6,1.6,1.6,3984,0
LKSPR.US,5,20251114,163000,1.45,1.45,1.45,1.45,100,0
LKSPR.US,5,20251117,161500,1.61,1.61,1.61,1.61,498,0
LKSPR.US,5,20251118,174000,1.63,1.67,1.63,1.67,400,0
LKSPR.US,5,20251119,211000,1.67,1.67,1.67,1.67,102,0
LKSPR.US,5,20251120,161500,1.77,1.77,1.77,1.77,100,0
LKSPR.US,5,20251120,200500,1.61,1.61,1.61,1.61,1000,0
LKSPR.US,5,20251124,160500,2.17,2.19,2.17,2.1899,729,0
LKSPR.US,5,20251124,163500,1.76,1.79,1.68,1.68,1800,0
LKSPR.US,5,20251124,164500,2.08,2.08,2.08,2.08,100,0
LKSPR.US,5,20251124,215000,1.92,1.92,1.92,1.92,1600,0
LKSPR.US,5,20251124,215500,1.91,1.91,1.91,1.91,200,0
LKSPR.US,5,20251125,175500,1.6,1.6,1.6,1.6,100,0
LKSPR.US,5,20251125,184500,1.64,1.65,1.64,1.65,200,0
LKSPR.US,5,20251125,190500,1.73,1.81,1.73,1.81,400,0
LKSPR.US,5,20251125,194000,1.67,1.67,1.67,1.67,100,0
LKSPR.US,5,20251125,194500,1.67,1.78,1.67,1.77,1000,0
LKSPR.US,5,20251125,195000,1.88,1.92,1.88,1.91,893,0
LKSPR.US,5,20251125,195500,2,2,2,2,200,0
LKSPR.US,5,20251125,211500,1.72,1.72,1.72,1.72,300,0
LKSPR.US,5,20251125,212000,1.72,1.92,1.72,1.92,780,0
LKSPR.US,5,20251125,213500,2.03,2.03,2.03,2.03,400,0
LKSPR.US,5,20251125,214000,2.05,2.14,2.04,2.04,2100,0
LKSPR.US,5,20251126,182000,2.1,2.1,2.1,2.1,259,0
LKSPR.US,5,20251126,200500,2.02,2.02,2.02,2.02,100,0
LKSPR.US,5,20251126,210500,1.82,1.84,1.82,1.84,675,0
LKSPR.US,5,20251126,211500,1.79,2.2,1.79,2.05,1685,0
LKSPR.US,5,20251126,212000,2.05,2.05,2.05,2.05,1200,0
LKSPR.US,5,20251126,212500,2.05,2.05,2.05,2.05,400,0
LKSPR.US,5,20251126,213000,2.05,2.05,2.05,2.05,1000,0
LKSPR.US,5,20251126,213500,2.05,2.05,2.05,2.05,600,0
LKSPR.US,5,20251126,215500,2.05,2.05,2.05,2.05,800,0
LKSPR.US,5,20251201,165500,1.66,1.66,1.66,1.66,191,0
LKSPR.US,5,20251201,182500,1.715,1.715,1.715,1.715,142,0
LKSPR.US,5,20251201,211500,1.6,1.6,1.6,1.6,400,0
LKSPR.US,5,20251203,160000,1.75,1.82,1.75,1.79,1728,0
LKSPR.US,5,20251203,165000,1.69,1.69,1.69,1.69,400,0
LKSPR.US,5,20251203,191000,1.71,1.71,1.71,1.71,400,0
LKSPR.US,5,20251203,191500,1.71,1.79,1.71,1.71,1100,0
LKSPR.US,5,20251203,193500,1.69,1.7,1.65,1.7,1082,0
LKSPR.US,5,20251203,212000,1.72,1.72,1.72,1.72,100,0
LKSPR.US,5,20251203,212500,1.71,1.78,1.71,1.78,400,0
LKSPR.US,5,20251203,214500,2.05,2.05,2.05,2.05,400,0
LKSPR.US,5,20251203,215500,2.05,2.05,2.05,2.05,600,0
LKSPR.US,5,20251204,164500,1.99,1.99,1.99,1.99,200,0
LKSPR.US,5,20251205,193000,1.74,1.74,1.54,1.54,200,0
LKSPR.US,5,20251205,202500,1.69,1.69,1.69,1.69,100,0
LKSPR.US,5,20251205,214000,1.605,1.605,1.605,1.605,200,0
LKSPR.US,5,20251205,215000,1.74,1.74,1.74,1.74,100,0
LKSPR.US,5,20251215,175500,1.8,1.8,1.8,1.8,1400,0
LKSPR.US,5,20251215,180000,1.9,1.9,1.9,1.9,1300,0
LKSPR.US,5,20251215,185500,1.9,1.91,1.9,1.91,1451,0
LKSPR.US,5,20251219,211000,1.55,1.61,1.55,1.61,585,0
LKSPR.US,5,20251219,211500,1.59,1.9,1.59,1.81,801,0
LKSPR.US,5,20251219,212000,1.89,1.96,1.89,1.96,1600,0
LKSPR.US,5,20251222,190000,1.7,1.76,1.7,1.76,700,0
