<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LNKB.US,5,20250829,153000,7.34,7.34,7.34,7.34,452,0
LNKB.US,5,20250829,161500,7.382,7.382,7.382,7.382,300,0
LNKB.US,5,20250829,165000,7.35,7.35,7.35,7.35,1000,0
LNKB.US,5,20250829,170500,7.295,7.36,7.295,7.36,538,0
LNKB.US,5,20250829,182000,7.335,7.335,7.335,7.335,300,0
LNKB.US,5,20250829,184500,7.335,7.335,7.32,7.32,319,0
LNKB.US,5,20250829,193000,7.38,7.38,7.38,7.38,200,0
LNKB.US,5,20250829,195500,7.36,7.36,7.36,7.36,300,0
LNKB.US,5,20250829,205500,7.33,7.33,7.33,7.33,100,0
LNKB.US,5,20250829,210000,7.32,7.32,7.32,7.32,450,0
LNKB.US,5,20250829,210500,7.31,7.31,7.31,7.31,100,0
LNKB.US,5,20250829,212500,7.29,7.29,7.29,7.29,100,0
LNKB.US,5,20250829,214000,7.305,7.31,7.305,7.31,200,0
LNKB.US,5,20250829,214500,7.32,7.32,7.32,7.32,100,0
LNKB.US,5,20250829,215500,7.3,7.3,7.28,7.28,6612,0
LNKB.US,5,20250902,153000,7.19,7.19,7.19,7.19,261,0
LNKB.US,5,20250902,155000,7.4257,7.4257,7.4257,7.4257,1869,0
LNKB.US,5,20250902,170500,7.335,7.335,7.335,7.335,144,0
LNKB.US,5,20250902,171500,7.26,7.27,7.26,7.27,200,0
LNKB.US,5,20250902,183500,7.185,7.185,7.185,7.185,100,0
LNKB.US,5,20250902,185500,7.185,7.185,7.185,7.185,212,0
LNKB.US,5,20250902,191500,7.18,7.19,7.18,7.19,1200,0
LNKB.US,5,20250902,192000,7.185,7.21,7.18,7.21,2673,0
LNKB.US,5,20250902,193000,7.221,7.26,7.221,7.2514,3263,0
LNKB.US,5,20250902,200500,7.22,7.22,7.18,7.18,2734,0
LNKB.US,5,20250902,202000,7.2,7.2,7.2,7.2,100,0
LNKB.US,5,20250902,203500,7.2,7.2,7.2,7.2,100,0
LNKB.US,5,20250902,204000,7.17,7.17,7.17,7.17,100,0
LNKB.US,5,20250902,204500,7.2,7.25,7.2,7.235,1652,0
LNKB.US,5,20250902,205000,7.22,7.22,7.22,7.22,195,0
LNKB.US,5,20250902,205500,7.22,7.22,7.22,7.22,100,0
LNKB.US,5,20250902,212000,7.23,7.23,7.23,7.23,100,0
LNKB.US,5,20250902,212500,7.22,7.22,7.22,7.22,130,0
LNKB.US,5,20250902,214000,7.21,7.225,7.21,7.225,200,0
LNKB.US,5,20250902,215500,7.18,7.215,7.18,7.19,7798,0
LNKB.US,5,20250903,153000,7.15,7.4562,7.12,7.4562,2202,0
LNKB.US,5,20250903,161000,7.2474,7.31,7.23,7.23,1028,0
LNKB.US,5,20250903,162500,7.205,7.205,7.205,7.205,100,0
LNKB.US,5,20250903,165500,7.21,7.23,7.21,7.23,683,0
LNKB.US,5,20250903,173000,7.21,7.21,7.21,7.21,100,0
LNKB.US,5,20250903,174000,7.2,7.2,7.2,7.2,100,0
LNKB.US,5,20250903,180500,7.22,7.24,7.2199,7.23,2688,0
LNKB.US,5,20250903,185000,7.215,7.215,7.215,7.215,277,0
LNKB.US,5,20250903,192500,7.26,7.27,7.26,7.27,310,0
LNKB.US,5,20250903,193000,7.25,7.25,7.25,7.25,300,0
LNKB.US,5,20250903,193500,7.25,7.25,7.25,7.25,300,0
LNKB.US,5,20250903,195000,7.25,7.25,7.25,7.25,116,0
LNKB.US,5,20250903,200500,7.22,7.25,7.21,7.21,2098,0
LNKB.US,5,20250903,201000,7.192,7.192,7.183,7.183,720,0
LNKB.US,5,20250903,201500,7.185,7.185,7.185,7.185,100,0
LNKB.US,5,20250903,203500,7.2,7.2,7.2,7.2,100,0
LNKB.US,5,20250903,211000,7.2,7.2,7.18,7.18,1499,0
LNKB.US,5,20250903,214000,7.17,7.17,7.15,7.15,10217,0
