<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFIC.US,5,20250829,153000,13.23,13.265,13.23,13.265,6571,0
MFIC.US,5,20250829,153500,13.25,13.27,13.25,13.25,1962,0
MFIC.US,5,20250829,154000,13.2541,13.2541,13.245,13.245,400,0
MFIC.US,5,20250829,154500,13.245,13.25,13.245,13.25,300,0
MFIC.US,5,20250829,155000,13.245,13.245,13.23,13.24,1332,0
MFIC.US,5,20250829,155500,13.23,13.24,13.23,13.24,3548,0
MFIC.US,5,20250829,160000,13.235,13.235,13.215,13.215,6526,0
MFIC.US,5,20250829,160500,13.215,13.24,13.215,13.235,2300,0
MFIC.US,5,20250829,161500,13.23,13.23,13.215,13.22,2286,0
MFIC.US,5,20250829,162000,13.22,13.225,13.215,13.215,2016,0
MFIC.US,5,20250829,162500,13.215,13.22,13.21,13.22,1508,0
MFIC.US,5,20250829,163000,13.225,13.225,13.225,13.225,200,0
MFIC.US,5,20250829,163500,13.24,13.24,13.24,13.24,450,0
MFIC.US,5,20250829,164000,13.2305,13.24,13.225,13.225,1750,0
MFIC.US,5,20250829,164500,13.22,13.22,13.2135,13.2135,8930,0
MFIC.US,5,20250829,165000,13.2109,13.215,13.2109,13.215,774,0
MFIC.US,5,20250829,165500,13.21,13.21,13.2,13.2,633,0
MFIC.US,5,20250829,170000,13.205,13.205,13.203,13.203,5653,0
MFIC.US,5,20250829,170500,13.1946,13.205,13.1946,13.2035,7105,0
MFIC.US,5,20250829,171000,13.205,13.205,13.2,13.2,951,0
MFIC.US,5,20250829,171500,13.1999,13.1999,13.1935,13.1935,1280,0
MFIC.US,5,20250829,172000,13.195,13.2,13.195,13.195,1877,0
MFIC.US,5,20250829,172500,13.195,13.195,13.19,13.19,1800,0
MFIC.US,5,20250829,173000,13.1875,13.1901,13.1875,13.1901,3332,0
MFIC.US,5,20250829,173500,13.19,13.19,13.1819,13.185,2300,0
MFIC.US,5,20250829,174000,13.185,13.185,13.18,13.18,900,0
MFIC.US,5,20250829,174500,13.185,13.185,13.185,13.185,1442,0
MFIC.US,5,20250829,175000,13.185,13.185,13.185,13.185,300,0
MFIC.US,5,20250829,175500,13.185,13.19,13.185,13.185,600,0
MFIC.US,5,20250829,180000,13.185,13.185,13.185,13.185,400,0
MFIC.US,5,20250829,180500,13.181,13.1881,13.181,13.1881,2047,0
MFIC.US,5,20250829,181000,13.185,13.185,13.1801,13.1801,400,0
MFIC.US,5,20250829,181500,13.1842,13.185,13.1835,13.185,1158,0
MFIC.US,5,20250829,182000,13.185,13.185,13.185,13.185,100,0
