<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOBBW.US,5,20250829,153000,2.04,2.07,2,2,8316,0
MOBBW.US,5,20250829,173000,1.7,1.7,1.5,1.5,919,0
MOBBW.US,5,20250829,185500,1.7,1.7,1.69,1.69,1000,0
MOBBW.US,5,20250829,193500,1.62,1.62,1.62,1.62,100,0
MOBBW.US,5,20250829,204000,1.65,1.65,1.65,1.65,1000,0
MOBBW.US,5,20250829,205000,1.65,1.65,1.65,1.65,200,0
MOBBW.US,5,20250829,205500,1.65,1.65,1.64,1.65,2500,0
MOBBW.US,5,20250903,154000,1.72,1.72,1.72,1.72,995,0
MOBBW.US,5,20250903,155500,1.72,1.72,1.72,1.72,100,0
MOBBW.US,5,20250903,160000,1.73,1.73,1.73,1.73,1000,0
MOBBW.US,5,20250903,163500,1.72,1.72,1.72,1.72,100,0
MOBBW.US,5,20250903,172500,1.71,1.71,1.71,1.71,923,0
MOBBW.US,5,20250903,184500,1.42,1.42,1.42,1.42,500,0
MOBBW.US,5,20250903,185500,1.42,1.42,1.42,1.42,500,0
MOBBW.US,5,20250903,212500,1.39,1.39,1.39,1.39,100,0
MOBBW.US,5,20250903,213500,1.39,1.39,1.39,1.39,100,0
MOBBW.US,5,20250903,215500,1.42,1.42,1.42,1.42,200,0
MOBBW.US,5,20250904,155500,1.4,1.4,1.4,1.4,100,0
MOBBW.US,5,20250904,213000,1.4,1.4,1.4,1.4,200,0
MOBBW.US,5,20250905,182500,1.8,1.9,1.8,1.9,3975,0
MOBBW.US,5,20250905,190000,1.79,1.8,1.3601,1.8,6200,0
MOBBW.US,5,20250905,191000,1.8,1.8,1.8,1.8,300,0
MOBBW.US,5,20250905,192000,1.8,1.8,1.8,1.8,100,0
MOBBW.US,5,20250905,194500,1.895,1.895,1.895,1.895,100,0
MOBBW.US,5,20250905,195000,1.81,1.9,1.81,1.9,1799,0
MOBBW.US,5,20250905,195500,1.89,1.9,1.89,1.9,900,0
MOBBW.US,5,20250905,204000,1.8,1.8,1.78,1.78,700,0
MOBBW.US,5,20250908,153500,1.8,1.8,1.8,1.8,2400,0
MOBBW.US,5,20250908,155000,1.74,1.74,1.66,1.66,2593,0
MOBBW.US,5,20250908,164500,1.75,1.75,1.75,1.75,100,0
MOBBW.US,5,20250908,165000,1.775,1.8,1.775,1.775,2802,0
MOBBW.US,5,20250908,165500,1.8,1.8,1.8,1.8,2602,0
MOBBW.US,5,20250908,173500,1.84,1.84,1.82,1.82,2977,0
MOBBW.US,5,20250908,213500,1.88,1.88,1.88,1.88,1100,0
MOBBW.US,5,20250909,165000,1.7,1.7,1.6635,1.6635,1500,0
MOBBW.US,5,20250909,171000,1.7,1.7,1.65,1.65,1700,0
MOBBW.US,5,20250909,190500,1.7,1.7,1.646,1.7,4100,0
MOBBW.US,5,20250909,191500,1.667,1.7,1.667,1.667,1184,0
MOBBW.US,5,20250909,200500,1.79,1.79,1.79,1.79,300,0
MOBBW.US,5,20250910,160000,1.7,1.7,1.7,1.7,100,0
MOBBW.US,5,20250910,160500,1.66,1.66,1.65,1.65,1018,0
MOBBW.US,5,20250910,163000,1.8282,1.8282,1.8282,1.8282,200,0
MOBBW.US,5,20250910,214500,1.75,1.75,1.75,1.75,100,0
MOBBW.US,5,20250911,171000,1.97,1.98,1.97,1.98,1394,0
