<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOFG.US,5,20250829,153000,30.38,30.435,30.38,30.435,473,0
MOFG.US,5,20250829,153500,30.38,30.38,30.38,30.38,940,0
MOFG.US,5,20250829,154500,30.38,30.38,30.38,30.38,987,0
MOFG.US,5,20250829,155000,30.329,30.535,30.329,30.535,755,0
MOFG.US,5,20250829,155500,30.54,30.54,30.24,30.395,1159,0
MOFG.US,5,20250829,160000,30.535,30.535,30.405,30.405,200,0
MOFG.US,5,20250829,160500,30.26,30.26,30.26,30.26,200,0
MOFG.US,5,20250829,161500,30.265,30.27,30.265,30.27,200,0
MOFG.US,5,20250829,162000,30.275,30.275,30.275,30.275,100,0
MOFG.US,5,20250829,162500,30.265,30.265,30.265,30.265,100,0
MOFG.US,5,20250829,163000,30.4021,30.4021,30.26,30.33,1659,0
MOFG.US,5,20250829,164000,30.34,30.34,30.34,30.34,100,0
MOFG.US,5,20250829,164500,30.32,30.32,30.26,30.26,200,0
MOFG.US,5,20250829,165000,30.26,30.26,30.25,30.25,480,0
MOFG.US,5,20250829,165500,30.28,30.28,30.28,30.28,216,0
MOFG.US,5,20250829,170500,30.2622,30.36,30.2622,30.36,1300,0
MOFG.US,5,20250829,171000,30.35,30.35,30.305,30.305,300,0
MOFG.US,5,20250829,173000,30.35,30.35,30.3,30.3,200,0
MOFG.US,5,20250829,173500,30.39,30.39,30.345,30.345,204,0
MOFG.US,5,20250829,174000,30.37,30.37,30.37,30.37,100,0
MOFG.US,5,20250829,175000,30.36,30.36,30.32,30.32,200,0
MOFG.US,5,20250829,175500,30.365,30.415,30.365,30.415,200,0
MOFG.US,5,20250829,180000,30.4,30.4,30.4,30.4,300,0
MOFG.US,5,20250829,181000,30.44,30.44,30.42,30.42,400,0
MOFG.US,5,20250829,181500,30.4766,30.4766,30.4766,30.4766,131,0
MOFG.US,5,20250829,182000,30.4799,30.4799,30.4799,30.4799,197,0
MOFG.US,5,20250829,184000,30.41,30.41,30.38,30.39,734,0
MOFG.US,5,20250829,190000,30.42,30.42,30.42,30.42,200,0
MOFG.US,5,20250829,191000,30.445,30.445,30.445,30.445,160,0
MOFG.US,5,20250829,191500,30.43,30.43,30.43,30.43,100,0
MOFG.US,5,20250829,193500,30.47,30.47,30.45,30.45,300,0
MOFG.US,5,20250829,194000,30.44,30.44,30.44,30.44,110,0
MOFG.US,5,20250829,195000,30.43,30.43,30.43,30.43,100,0
MOFG.US,5,20250829,200000,30.44,30.4594,30.43,30.44,978,0
MOFG.US,5,20250829,200500,30.45,30.45,30.45,30.45,100,0
MOFG.US,5,20250829,201500,30.46,30.46,30.46,30.46,100,0
MOFG.US,5,20250829,202000,30.44,30.44,30.44,30.44,200,0
MOFG.US,5,20250829,202500,30.34,30.34,30.34,30.34,100,0
MOFG.US,5,20250829,203000,30.39,30.41,30.39,30.41,300,0
MOFG.US,5,20250829,204000,30.4,30.4,30.4,30.4,100,0
MOFG.US,5,20250829,205000,30.36,30.37,30.36,30.37,200,0
MOFG.US,5,20250829,210500,30.32,30.33,30.32,30.32,500,0
MOFG.US,5,20250829,212000,30.29,30.29,30.29,30.29,200,0
MOFG.US,5,20250829,213000,30.245,30.245,30.23,30.23,300,0
MOFG.US,5,20250829,213500,30.26,30.26,30.23,30.23,600,0
MOFG.US,5,20250829,214000,30.2,30.2,30.2,30.2,200,0
MOFG.US,5,20250829,214500,30.21,30.23,30.21,30.23,300,0
MOFG.US,5,20250829,215000,30.27,30.325,30.21,30.21,1700,0
MOFG.US,5,20250829,215500,30.235,30.255,30.22,30.24,24356,0
MOFG.US,5,20250902,153000,29.835,29.835,29.835,29.835,100,0
