<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSGY.US,5,20250829,153000,12.89,13,12.89,12.89,652,0
MSGY.US,5,20250829,153500,12.8794,12.8794,12.63,12.63,210,0
MSGY.US,5,20250829,154000,12.63,12.7511,12.63,12.7511,900,0
MSGY.US,5,20250829,154500,12.63,12.63,12.63,12.63,100,0
MSGY.US,5,20250829,155000,12.67,12.9,12.67,12.7,1189,0
MSGY.US,5,20250829,160000,13,13,12.4737,12.4737,2400,0
MSGY.US,5,20250829,160500,12.3,12.72,12.3,12.7,383,0
MSGY.US,5,20250829,162000,12.805,12.805,12.66,12.66,500,0
MSGY.US,5,20250829,163500,12.865,12.865,12.865,12.865,156,0
MSGY.US,5,20250829,164500,12.8561,12.8561,12.8561,12.8561,194,0
MSGY.US,5,20250829,165000,12.79,12.79,12.7,12.71,1088,0
MSGY.US,5,20250829,165500,12.3783,12.3783,12.3783,12.3783,194,0
MSGY.US,5,20250829,170500,12.5741,12.59,12.5741,12.59,635,0
MSGY.US,5,20250829,173500,12.5,12.5,12.5,12.5,156,0
MSGY.US,5,20250829,180000,12.39,12.39,12.31,12.34,600,0
MSGY.US,5,20250829,181000,12.9607,12.9607,12.5,12.5,500,0
MSGY.US,5,20250829,190000,12.5,12.6,11.8,12.1,136545,0
MSGY.US,5,20250829,190500,12.1,13.2,11.81,12.4801,155134,0
MSGY.US,5,20250829,191000,12.7,12.7,12.47,12.47,700,0
MSGY.US,5,20250829,191500,12.4,12.41,12.175,12.175,3512,0
MSGY.US,5,20250829,192000,12.35,12.35,12.28,12.28,210,0
MSGY.US,5,20250829,194000,12.15,12.15,12.15,12.15,100,0
MSGY.US,5,20250829,195000,12.15,12.16,12.07,12.07,572,0
MSGY.US,5,20250829,195500,12,12.08,12,12.01,2399,0
MSGY.US,5,20250829,200000,12.29,12.54,12.23,12.54,21567,0
MSGY.US,5,20250829,200500,12.9,12.9,12.46,12.57,16396,0
MSGY.US,5,20250829,201000,12.58,12.8,12.54,12.74,11244,0
MSGY.US,5,20250829,204000,12.99,13,12.99,13,2100,0
MSGY.US,5,20250829,205000,13.1004,13.1142,13.1004,13.1142,1141,0
MSGY.US,5,20250829,205500,13.1,13.101,13.1,13.101,1100,0
MSGY.US,5,20250829,210000,13.12,13.2,13.1,13.1002,2542,0
MSGY.US,5,20250829,210500,13.101,13.101,12.88,12.95,3924,0
MSGY.US,5,20250829,211000,12.95,13.1,12.95,13.05,5715,0
MSGY.US,5,20250829,213000,13.05,13.05,13.05,13.05,100,0
MSGY.US,5,20250829,213500,13.02,13.02,13,13,2013,0
MSGY.US,5,20250829,214000,13.0001,13.1,13.0001,13.1,436,0
MSGY.US,5,20250829,214500,13,13,12.98,12.98,300,0
MSGY.US,5,20250829,215000,13.05,13.2,13.05,13.19,9103,0
MSGY.US,5,20250829,215500,13.2,13.37,13.2,13.37,583,0
MSGY.US,5,20250902,153000,12.9,12.9,12.504,12.865,2955,0
MSGY.US,5,20250902,153500,13,13,12.7869,12.7869,417,0
MSGY.US,5,20250902,154000,12.79,12.96,12.78,12.78,500,0
MSGY.US,5,20250902,154500,12.7,12.7,12.5,12.5,350,0
MSGY.US,5,20250902,155000,12.78,12.78,12.78,12.78,100,0
MSGY.US,5,20250902,160000,12.77,12.77,12.77,12.77,100,0
MSGY.US,5,20250902,160500,12.78,12.78,12.4,12.4,200,0
MSGY.US,5,20250902,161500,12.7,12.7,12.7,12.7,100,0
MSGY.US,5,20250902,162000,12.69,12.69,12.69,12.69,100,0
MSGY.US,5,20250902,163000,12.68,12.68,12.5,12.5,200,0
MSGY.US,5,20250902,163500,12.33,12.33,12.3,12.3,200,0
MSGY.US,5,20250902,164000,12.68,12.68,12.55,12.56,300,0
MSGY.US,5,20250902,164500,12.5,12.59,12.5,12.59,800,0
MSGY.US,5,20250902,165000,12.5999,12.5999,12.5999,12.5999,320,0
MSGY.US,5,20250902,165500,12.46,12.59,12.46,12.59,500,0
MSGY.US,5,20250902,170000,12.49,12.6,12.49,12.6,200,0
MSGY.US,5,20250902,170500,12.5,12.59,12.5,12.55,500,0
MSGY.US,5,20250902,171000,12.3207,12.5,12.3207,12.5,1397,0
MSGY.US,5,20250902,171500,12.5,12.5,12.5,12.5,100,0
MSGY.US,5,20250902,172000,12.5,12.5,12.5,12.5,100,0
MSGY.US,5,20250902,172500,12.55,12.55,12.55,12.55,450,0
MSGY.US,5,20250902,173000,12.65,13.7,12.65,13.69,76688,0
MSGY.US,5,20250902,173500,13.2202,14,13.2202,13.7005,2031,0
MSGY.US,5,20250902,175500,13.87,13.87,13.8201,13.8201,200,0
MSGY.US,5,20250902,180000,13.49,13.49,13.49,13.49,100,0
MSGY.US,5,20250902,180500,13.6,13.6,13.6,13.6,800,0
