<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVIS.US,5,20250829,153000,1.16,1.17,1.1515,1.16,100907,0
MVIS.US,5,20250829,153500,1.16,1.1665,1.14,1.1484,73935,0
MVIS.US,5,20250829,154000,1.14,1.15,1.14,1.15,54924,0
MVIS.US,5,20250829,154500,1.15,1.15,1.14,1.145,31848,0
MVIS.US,5,20250829,155000,1.14,1.15,1.14,1.14,17167,0
MVIS.US,5,20250829,155500,1.15,1.15,1.14,1.145,42518,0
MVIS.US,5,20250829,160000,1.145,1.15,1.14,1.14,24782,0
MVIS.US,5,20250829,160500,1.14,1.14,1.13,1.1342,96957,0
MVIS.US,5,20250829,161000,1.1381,1.1381,1.13,1.1334,37515,0
MVIS.US,5,20250829,161500,1.13,1.135,1.12,1.125,56512,0
MVIS.US,5,20250829,162000,1.125,1.1386,1.125,1.1386,35850,0
MVIS.US,5,20250829,162500,1.1319,1.1399,1.13,1.1301,36556,0
MVIS.US,5,20250829,163000,1.135,1.135,1.1301,1.1348,5015,0
MVIS.US,5,20250829,163500,1.135,1.1382,1.13,1.1351,6358,0
MVIS.US,5,20250829,164000,1.135,1.14,1.1304,1.135,9718,0
MVIS.US,5,20250829,164500,1.135,1.1383,1.13,1.135,6328,0
MVIS.US,5,20250829,165000,1.1346,1.1398,1.1346,1.1398,1720,0
MVIS.US,5,20250829,165500,1.132,1.1388,1.132,1.135,13430,0
MVIS.US,5,20250829,170000,1.135,1.14,1.135,1.135,8662,0
MVIS.US,5,20250829,170500,1.135,1.14,1.13,1.1333,7995,0
MVIS.US,5,20250829,171000,1.135,1.14,1.1323,1.135,26042,0
MVIS.US,5,20250829,171500,1.135,1.14,1.13,1.1349,20825,0
MVIS.US,5,20250829,172000,1.135,1.1454,1.1328,1.1454,30840,0
MVIS.US,5,20250829,172500,1.1431,1.145,1.1431,1.145,2750,0
MVIS.US,5,20250829,173000,1.145,1.145,1.135,1.135,27617,0
MVIS.US,5,20250829,173500,1.135,1.1386,1.135,1.1386,8674,0
MVIS.US,5,20250829,174000,1.1342,1.1397,1.1342,1.1397,3008,0
MVIS.US,5,20250829,174500,1.135,1.1399,1.135,1.135,16275,0
MVIS.US,5,20250829,175000,1.135,1.1359,1.1331,1.135,4364,0
MVIS.US,5,20250829,175500,1.135,1.135,1.13,1.135,1893,0
MVIS.US,5,20250829,180000,1.135,1.1386,1.135,1.135,10567,0
MVIS.US,5,20250829,180500,1.135,1.1382,1.135,1.135,3400,0
MVIS.US,5,20250829,181000,1.135,1.135,1.135,1.135,1904,0
MVIS.US,5,20250829,181500,1.135,1.14,1.135,1.135,9811,0
MVIS.US,5,20250829,182000,1.135,1.14,1.135,1.135,11803,0
MVIS.US,5,20250829,182500,1.135,1.1387,1.135,1.135,6729,0
MVIS.US,5,20250829,183000,1.135,1.14,1.130871,1.135,8063,0
MVIS.US,5,20250829,183500,1.135,1.135,1.13,1.135,3407,0
MVIS.US,5,20250829,184000,1.135,1.1399,1.135,1.1397,2057,0
MVIS.US,5,20250829,184500,1.135,1.1399,1.1301,1.135,3377,0
MVIS.US,5,20250829,185000,1.135,1.1361,1.135,1.135,5785,0
MVIS.US,5,20250829,185500,1.135,1.14,1.1302,1.14,5919,0
MVIS.US,5,20250829,190000,1.1304,1.14,1.1304,1.1324,7675,0
MVIS.US,5,20250829,190500,1.135,1.14,1.135,1.135,1420,0
MVIS.US,5,20250829,191000,1.135,1.138,1.1301,1.135,14494,0
MVIS.US,5,20250829,191500,1.135,1.14,1.13,1.135,5957,0
MVIS.US,5,20250829,192000,1.135,1.14,1.132,1.14,39355,0
MVIS.US,5,20250829,192500,1.1347,1.1499,1.1347,1.1499,26838,0
MVIS.US,5,20250829,193000,1.145,1.1465,1.1437,1.145,6850,0
MVIS.US,5,20250829,193500,1.145,1.145,1.1403,1.1403,15800,0
MVIS.US,5,20250829,194000,1.145,1.15,1.1423,1.1483,11852,0
MVIS.US,5,20250829,194500,1.15,1.15,1.145,1.145,1901,0
MVIS.US,5,20250829,195000,1.145,1.145,1.145,1.145,2725,0
MVIS.US,5,20250829,195500,1.141,1.15,1.141,1.1496,5352,0
MVIS.US,5,20250829,200000,1.145,1.1464,1.145,1.145,1550,0
MVIS.US,5,20250829,200500,1.145,1.1499,1.1401,1.1499,2939,0
