<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYPSW.US,5,20250829,153000,0.0199,0.0199,0.0199,0.0199,500,0
MYPSW.US,5,20250902,153000,0.0198,0.0198,0.0198,0.0198,800,0
MYPSW.US,5,20250902,162500,0.0195,0.0198,0.0195,0.0195,1915,0
MYPSW.US,5,20250902,170000,0.0183,0.0183,0.0183,0.0183,100,0
MYPSW.US,5,20250903,154000,0.0184,0.0184,0.0184,0.0184,100,0
MYPSW.US,5,20250903,184000,0.0184,0.0184,0.0184,0.0184,700,0
MYPSW.US,5,20250903,193500,0.0184,0.0184,0.0184,0.0184,100,0
MYPSW.US,5,20250904,165500,0.0186,0.0186,0.0185,0.0185,440,0
MYPSW.US,5,20250904,170500,0.0195,0.02,0.0184,0.02,11070,0
MYPSW.US,5,20250904,171000,0.0184,0.0184,0.0184,0.0184,600,0
MYPSW.US,5,20250904,181500,0.0187,0.019101,0.0183,0.018885,33389,0
MYPSW.US,5,20250904,182000,0.0183,0.018885,0.015,0.015,32934,0
MYPSW.US,5,20250911,155500,0.0134,0.0134,0.0134,0.0134,333,0
MYPSW.US,5,20250911,200000,0.0189,0.0197,0.0189,0.0197,38000,0
MYPSW.US,5,20250911,203500,0.0167,0.0167,0.0167,0.0167,100,0
MYPSW.US,5,20250915,203000,0.0196,0.0196,0.0196,0.0196,600,0
MYPSW.US,5,20250917,170000,0.0141,0.0141,0.0141,0.0141,300,0
MYPSW.US,5,20250917,201000,0.0145,0.0145,0.014446,0.014446,2300,0
MYPSW.US,5,20250917,212000,0.0195,0.02,0.0195,0.02,9041,0
MYPSW.US,5,20250917,213000,0.02,0.02,0.02,0.02,100,0
MYPSW.US,5,20250918,182000,0.0145,0.0145,0.0145,0.0145,18700,0
MYPSW.US,5,20250918,182500,0.0142,0.0142,0.0142,0.0142,6299,0
MYPSW.US,5,20250918,183000,0.0142,0.0142,0.0142,0.0142,200,0
MYPSW.US,5,20250918,190000,0.0143,0.0143,0.0142,0.0142,1612,0
MYPSW.US,5,20250918,201000,0.0143,0.0143,0.0143,0.0143,100,0
MYPSW.US,5,20250918,202000,0.0143,0.0151,0.0143,0.0151,1400,0
MYPSW.US,5,20250918,203000,0.0202,0.0202,0.0202,0.0202,100,0
MYPSW.US,5,20250919,181500,0.018,0.018,0.018,0.018,100,0
MYPSW.US,5,20250919,184500,0.0202,0.0202,0.0202,0.0202,1221,0
MYPSW.US,5,20250919,200000,0.0147,0.0147,0.0147,0.0147,181,0
MYPSW.US,5,20250922,160000,0.02,0.02,0.02,0.02,100,0
MYPSW.US,5,20250922,162000,0.02,0.02,0.02,0.02,468,0
MYPSW.US,5,20250923,155500,0.0135,0.0135,0.0135,0.0135,487,0
MYPSW.US,5,20250923,161000,0.0135,0.0135,0.0135,0.0135,400,0
MYPSW.US,5,20250923,170500,0.0135,0.0135,0.0135,0.0135,515,0
MYPSW.US,5,20250923,174500,0.0199,0.0199,0.019803,0.019803,1000,0
MYPSW.US,5,20250923,213000,0.013501,0.013501,0.0135,0.0135,6900,0
MYPSW.US,5,20250923,213500,0.0134,0.0134,0.0128,0.0128,17632,0
MYPSW.US,5,20250923,214000,0.0128,0.0143,0.0127,0.0131,11941,0
MYPSW.US,5,20250923,214500,0.0197,0.0198,0.0197,0.0198,2800,0
MYPSW.US,5,20250924,153000,0.02,0.02,0.0197,0.0197,19402,0
MYPSW.US,5,20250924,171000,0.0202,0.0202,0.0201,0.0202,1478,0
MYPSW.US,5,20250924,184000,0.02,0.02,0.02,0.02,2299,0
MYPSW.US,5,20250924,202500,0.0134,0.0134,0.0134,0.0134,1000,0
MYPSW.US,5,20250924,203000,0.0137,0.0196,0.0137,0.0196,13301,0
MYPSW.US,5,20250924,205500,0.02,0.02,0.02,0.02,5000,0
MYPSW.US,5,20250926,155500,0.0142,0.0142,0.0142,0.0142,500,0
MYPSW.US,5,20250929,160000,0.02,0.02,0.02,0.02,100,0
MYPSW.US,5,20250929,162000,0.0201,0.0201,0.0144,0.0144,10187,0
MYPSW.US,5,20250929,185500,0.0143,0.0143,0.0143,0.0143,3000,0
MYPSW.US,5,20250929,195000,0.0144,0.0144,0.0144,0.0144,100,0
MYPSW.US,5,20250929,195500,0.0171,0.0171,0.0171,0.0171,100,0
MYPSW.US,5,20250929,204500,0.014401,0.014401,0.014401,0.014401,500,0
MYPSW.US,5,20250930,155500,0.0145,0.0146,0.0144,0.0146,1040,0
MYPSW.US,5,20250930,174500,0.0197,0.021,0.0197,0.021,8128,0
MYPSW.US,5,20250930,180500,0.021,0.021,0.021,0.021,100,0
MYPSW.US,5,20250930,181000,0.021101,0.022059,0.021,0.022059,7511,0
MYPSW.US,5,20250930,191000,0.0205,0.021,0.017699,0.021,3400,0
MYPSW.US,5,20251002,154000,0.0151,0.0151,0.0146,0.0146,1000,0
MYPSW.US,5,20251002,161000,0.0201,0.0204,0.0201,0.0204,1002,0
MYPSW.US,5,20251002,185500,0.0136,0.0136,0.0136,0.0136,10000,0
MYPSW.US,5,20251003,161000,0.02,0.0201,0.02,0.0201,1418,0
MYPSW.US,5,20251003,162500,0.02,0.02,0.02,0.02,3174,0
MYPSW.US,5,20251003,185000,0.0151,0.0151,0.0146,0.0146,3174,0
MYPSW.US,5,20251006,155500,0.014633,0.014633,0.014633,0.014633,709,0
MYPSW.US,5,20251007,194500,0.0146,0.0146,0.0145,0.0145,620,0
MYPSW.US,5,20251008,153500,0.0145,0.0158,0.0144,0.0158,820,0
