<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFE.US,5,20250829,153000,2.65,2.66,2.61,2.6299,60105,0
NFE.US,5,20250829,153500,2.62,2.63,2.62,2.6291,35160,0
NFE.US,5,20250829,154000,2.62,2.6391,2.615,2.635,19159,0
NFE.US,5,20250829,154500,2.6332,2.635,2.5842,2.595,53880,0
NFE.US,5,20250829,155000,2.595,2.6099,2.59,2.605,29641,0
NFE.US,5,20250829,155500,2.605,2.6273,2.59,2.6111,40972,0
NFE.US,5,20250829,160000,2.625,2.63,2.61,2.61,21568,0
NFE.US,5,20250829,160500,2.6109,2.6144,2.59,2.59,47487,0
NFE.US,5,20250829,161000,2.595,2.595,2.58,2.58,55022,0
NFE.US,5,20250829,161500,2.58,2.58,2.55,2.56,95065,0
NFE.US,5,20250829,162000,2.5535,2.565,2.5524,2.5524,18777,0
NFE.US,5,20250829,162500,2.555,2.56,2.55,2.56,17548,0
NFE.US,5,20250829,163000,2.5538,2.56,2.51,2.525,195101,0
NFE.US,5,20250829,163500,2.525,2.5298,2.51,2.515,20884,0
NFE.US,5,20250829,164000,2.515,2.53,2.51,2.51,82396,0
NFE.US,5,20250829,164500,2.515,2.525,2.51,2.515,40787,0
NFE.US,5,20250829,165000,2.515,2.515,2.49,2.49,50880,0
NFE.US,5,20250829,165500,2.495,2.5,2.4916,2.495,25253,0
NFE.US,5,20250829,170000,2.495,2.51,2.49,2.495,58623,0
NFE.US,5,20250829,170500,2.49,2.495,2.48,2.485,68597,0
NFE.US,5,20250829,171000,2.4872,2.5,2.48,2.495,77295,0
NFE.US,5,20250829,171500,2.49,2.4999,2.48,2.495,59873,0
NFE.US,5,20250829,172000,2.49,2.5,2.49,2.495,12795,0
NFE.US,5,20250829,172500,2.4998,2.5,2.49,2.495,22606,0
NFE.US,5,20250829,173000,2.495,2.4999,2.47,2.485,68612,0
NFE.US,5,20250829,173500,2.48,2.5,2.47,2.5,71329,0
NFE.US,5,20250829,174000,2.5,2.5,2.49,2.4969,10428,0
NFE.US,5,20250829,174500,2.495,2.51,2.49,2.505,20541,0
NFE.US,5,20250829,175000,2.505,2.51,2.5,2.51,3374,0
NFE.US,5,20250829,175500,2.51,2.5299,2.505,2.51,39204,0
NFE.US,5,20250829,180000,2.5199,2.53,2.5142,2.53,26039,0
NFE.US,5,20250829,180500,2.525,2.53,2.52,2.5299,15487,0
NFE.US,5,20250829,181000,2.525,2.5272,2.52,2.5272,7467,0
NFE.US,5,20250829,181500,2.53,2.54,2.52,2.535,65548,0
NFE.US,5,20250829,182000,2.535,2.5378,2.53,2.535,3554,0
NFE.US,5,20250829,182500,2.53,2.55,2.53,2.54,43266,0
NFE.US,5,20250829,183000,2.54,2.55,2.5362,2.545,3034,0
NFE.US,5,20250829,183500,2.5499,2.55,2.545,2.545,8179,0
NFE.US,5,20250829,184000,2.545,2.55,2.54,2.545,6892,0
NFE.US,5,20250829,184500,2.545,2.545,2.54,2.545,8996,0
NFE.US,5,20250829,185000,2.545,2.5491,2.54,2.545,13123,0
NFE.US,5,20250829,185500,2.545,2.55,2.54,2.545,10436,0
NFE.US,5,20250829,190000,2.545,2.55,2.54,2.545,12656,0
NFE.US,5,20250829,190500,2.55,2.56,2.5401,2.56,40924,0
NFE.US,5,20250829,191000,2.56,2.56,2.55,2.555,5406,0
NFE.US,5,20250829,191500,2.55,2.555,2.54,2.55,11638,0
NFE.US,5,20250829,192000,2.545,2.55,2.525,2.525,26846,0
NFE.US,5,20250829,192500,2.53,2.53,2.52,2.5265,6376,0
NFE.US,5,20250829,193000,2.525,2.565,2.52,2.555,74361,0
NFE.US,5,20250829,193500,2.555,2.56,2.55,2.55,15250,0
NFE.US,5,20250829,194000,2.55,2.55,2.54,2.5471,19924,0
NFE.US,5,20250829,194500,2.545,2.55,2.54,2.54,7183,0
NFE.US,5,20250829,195000,2.54,2.55,2.54,2.545,11222,0
NFE.US,5,20250829,195500,2.545,2.545,2.53,2.54,38145,0
NFE.US,5,20250829,200000,2.535,2.54,2.53,2.53,2639,0
NFE.US,5,20250829,200500,2.535,2.54,2.53,2.535,21667,0
NFE.US,5,20250829,201000,2.53,2.54,2.53,2.54,4454,0
NFE.US,5,20250829,201500,2.535,2.54,2.53,2.54,5341,0
NFE.US,5,20250829,202000,2.535,2.54,2.52,2.53,25912,0
NFE.US,5,20250829,202500,2.53,2.53,2.51,2.515,49811,0
NFE.US,5,20250829,203000,2.515,2.53,2.51,2.53,44330,0
NFE.US,5,20250829,203500,2.53,2.54,2.52,2.5228,28040,0
NFE.US,5,20250829,204000,2.53,2.53,2.51,2.51,12354,0
NFE.US,5,20250829,204500,2.52,2.52,2.51,2.515,5889,0
NFE.US,5,20250829,205000,2.52,2.52,2.51,2.515,25120,0
NFE.US,5,20250829,205500,2.515,2.52,2.51,2.52,13281,0
NFE.US,5,20250829,210000,2.52,2.52,2.505,2.52,37298,0
NFE.US,5,20250829,210500,2.515,2.53,2.515,2.5246,25210,0
NFE.US,5,20250829,211000,2.525,2.53,2.52,2.52,2698,0
NFE.US,5,20250829,211500,2.525,2.53,2.5201,2.525,15938,0
NFE.US,5,20250829,212000,2.53,2.55,2.5147,2.515,144297,0
NFE.US,5,20250829,212500,2.515,2.52,2.49,2.49,53007,0
NFE.US,5,20250829,213000,2.5,2.5,2.49,2.49,57885,0
