<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NHICW.US,5,20250829,153500,0.307,0.307,0.2854,0.2854,600,0
NHICW.US,5,20250829,191500,0.26,0.26,0.26,0.26,730,0
NHICW.US,5,20250829,205000,0.3099,0.3099,0.3099,0.3099,351,0
NHICW.US,5,20250909,170500,0.2872,0.2872,0.2872,0.2872,500,0
NHICW.US,5,20250911,194500,0.2726,0.2726,0.2726,0.2726,2500,0
NHICW.US,5,20250916,202500,0.2996,0.3,0.2996,0.3,200216,0
NHICW.US,5,20250916,203000,0.31,0.31,0.31,0.31,1800,0
NHICW.US,5,20250916,203500,0.31,0.31,0.308175,0.308175,2000,0
NHICW.US,5,20250916,204500,0.3099,0.3099,0.3099,0.3099,1100,0
NHICW.US,5,20250916,205000,0.31,0.31,0.31,0.31,100,0
NHICW.US,5,20250916,210500,0.31,0.31,0.3099,0.31,1404,0
NHICW.US,5,20250916,211500,0.31,0.31,0.3099,0.3099,1400,0
NHICW.US,5,20250917,153000,0.38,0.38,0.38,0.38,429,0
NHICW.US,5,20250917,182000,0.3156,0.3156,0.3156,0.3156,204,0
NHICW.US,5,20250917,200500,0.3055,0.3055,0.3055,0.3055,3000,0
NHICW.US,5,20250917,201500,0.3055,0.35,0.3055,0.317515,1600,0
NHICW.US,5,20250917,202000,0.3144,0.3144,0.3144,0.3144,500,0
NHICW.US,5,20250917,210000,0.287699,0.3144,0.287699,0.3144,1300,0
NHICW.US,5,20250918,195000,0.3337,0.3337,0.3337,0.3337,2200,0
NHICW.US,5,20250922,195000,0.3006,0.3401,0.3006,0.3401,245,0
NHICW.US,5,20250922,200000,0.3454,0.3454,0.3454,0.3454,100,0
NHICW.US,5,20250924,211000,0.3499,0.3499,0.3499,0.3499,2000,0
NHICW.US,5,20250924,211500,0.349899,0.35,0.3251,0.35,1700,0
NHICW.US,5,20250924,213000,0.3499,0.3499,0.3499,0.3499,2000,0
NHICW.US,5,20250924,214500,0.35,0.35,0.35,0.35,100,0
NHICW.US,5,20250929,153000,0.35,0.35,0.35,0.35,4100,0
NHICW.US,5,20250929,175500,0.38,0.38,0.36,0.36,1200,0
NHICW.US,5,20250929,185000,0.358,0.36,0.358,0.36,200,0
NHICW.US,5,20250929,194500,0.3596,0.3596,0.3596,0.3596,100,0
NHICW.US,5,20250929,203000,0.36,0.36,0.36,0.36,100,0
NHICW.US,5,20250929,203500,0.368,0.3699,0.368,0.3685,300,0
NHICW.US,5,20250929,204000,0.36,0.36,0.36,0.36,100,0
NHICW.US,5,20250929,211500,0.36,0.36,0.36,0.36,100,0
NHICW.US,5,20250930,160000,0.37,0.37,0.37,0.37,100,0
NHICW.US,5,20250930,214000,0.36,0.36,0.36,0.36,200,0
NHICW.US,5,20251002,162500,0.37,0.37,0.37,0.37,2200,0
NHICW.US,5,20251002,165500,0.4492,0.4492,0.4492,0.4492,266,0
NHICW.US,5,20251002,202500,0.372,0.372,0.372,0.372,300,0
NHICW.US,5,20251006,161000,0.4361,0.4361,0.4361,0.4361,100,0
NHICW.US,5,20251006,162500,0.4198,0.4198,0.4091,0.4091,800,0
NHICW.US,5,20251006,163000,0.385,0.3857,0.385,0.3857,4200,0
NHICW.US,5,20251006,164000,0.4175,0.4175,0.4175,0.4175,100,0
NHICW.US,5,20251008,215000,0.42,0.45,0.42,0.435,5594,0
NHICW.US,5,20251009,153000,0.44,0.44,0.44,0.44,2100,0
NHICW.US,5,20251009,153500,0.445,0.445,0.445,0.445,100,0
NHICW.US,5,20251013,194000,0.4453,0.45,0.4453,0.45,766,0
NHICW.US,5,20251014,213500,0.435,0.45,0.435,0.45,766,0
NHICW.US,5,20251015,211500,0.43,0.5034,0.43,0.5034,172645,0
NHICW.US,5,20251015,212000,0.5034,0.5034,0.5034,0.5034,200,0
NHICW.US,5,20251015,213500,0.5033,0.51,0.4967,0.4967,993,0
NHICW.US,5,20251016,153000,0.49,0.49,0.46,0.46,300,0
NHICW.US,5,20251016,154000,0.505,0.505,0.505,0.505,100,0
NHICW.US,5,20251016,165000,0.5,0.5,0.5,0.5,100,0
NHICW.US,5,20251016,180000,0.490101,0.490101,0.490101,0.490101,100,0
NHICW.US,5,20251016,201000,0.5,0.5,0.5,0.5,426,0
NHICW.US,5,20251016,201500,0.5,0.5,0.5,0.5,952,0
NHICW.US,5,20251016,203000,0.5,0.5,0.5,0.5,100,0
NHICW.US,5,20251016,205000,0.49,0.49,0.49,0.49,300,0
NHICW.US,5,20251016,215000,0.49,0.49,0.49,0.49,200,0
NHICW.US,5,20251016,215500,0.49,0.49,0.49,0.49,200,0
NHICW.US,5,20251021,205500,0.42,0.45,0.42,0.45,1808,0
NHICW.US,5,20251021,210500,0.45,0.45,0.45,0.45,942,0
NHICW.US,5,20251023,153500,0.441,0.441,0.441,0.441,175,0
NHICW.US,5,20251023,214500,0.4351,0.45,0.43505,0.4463,7400,0
NHICW.US,5,20251023,215000,0.45,0.45,0.4463,0.449,1600,0
NHICW.US,5,20251023,215500,0.45,0.45,0.45,0.45,2331,0
NHICW.US,5,20251024,164000,0.4473,0.4473,0.4473,0.4473,5000,0
NHICW.US,5,20251024,164500,0.44,0.46,0.44,0.4599,4900,0
NHICW.US,5,20251024,173000,0.4899,0.49,0.47195,0.476824,12500,0
NHICW.US,5,20251024,174500,0.4611,0.4639,0.4611,0.4611,900,0
NHICW.US,5,20251024,185000,0.46,0.46,0.46,0.46,200,0
NHICW.US,5,20251024,192500,0.475,0.5,0.475,0.5,1400,0
NHICW.US,5,20251024,210000,0.51,0.51,0.51,0.51,1200,0
NHICW.US,5,20251024,213500,0.5,0.5,0.48,0.5,2600,0
NHICW.US,5,20251024,214500,0.48,0.5473,0.46,0.5473,9300,0
NHICW.US,5,20251024,215000,0.555,0.555,0.51,0.52,2300,0
NHICW.US,5,20251024,215500,0.528,0.54,0.52,0.5201,5100,0
NHICW.US,5,20251027,143000,0.5661,0.5661,0.5661,0.5661,1100,0
NHICW.US,5,20251027,144000,0.53,0.53,0.52,0.5201,4895,0
NHICW.US,5,20251027,165500,0.5511,0.5511,0.5511,0.5511,2000,0
NHICW.US,5,20251027,181000,0.51,0.570001,0.5,0.5001,11287,0
NHICW.US,5,20251027,192500,0.51,0.51,0.5,0.5,500,0
NHICW.US,5,20251027,201000,0.5,0.5,0.5,0.5,100,0
NHICW.US,5,20251027,203000,0.5,0.5,0.5,0.5,3710,0
NHICW.US,5,20251027,204500,0.5,0.5001,0.5,0.5001,5366,0
NHICW.US,5,20251028,170000,0.5494,0.5494,0.5,0.5001,3000,0
NHICW.US,5,20251028,181000,0.57,0.57,0.57,0.57,5000,0
NHICW.US,5,20251028,181500,0.5,0.5001,0.5,0.5001,3600,0
NHICW.US,5,20251030,153000,0.5,0.5,0.5,0.5,4996,0
NHICW.US,5,20251030,154000,0.5,0.5228,0.5,0.5,82499,0
NHICW.US,5,20251031,171500,0.56,0.57,0.56,0.56,2208,0
NHICW.US,5,20251031,172000,0.56,0.56,0.56,0.56,1000,0
NHICW.US,5,20251031,174500,0.5699,0.5699,0.5,0.5,10000,0
NHICW.US,5,20251031,180500,0.56,0.56,0.56,0.56,100,0
NHICW.US,5,20251031,182500,0.5345,0.5558,0.5345,0.5558,3200,0
NHICW.US,5,20251031,191000,0.5515,0.5515,0.5,0.5,987,0
NHICW.US,5,20251031,194000,0.5,0.5525,0.5,0.5525,12600,0
NHICW.US,5,20251031,194500,0.545,0.545,0.545,0.545,300,0
